index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,0,0,*,arp,*,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,*,0,0,*,arp,*,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,*,0,0,*,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
3,10.40.182.3,*,0,0,*,arp,*,"[18, 21, 18, 19, 21, 18, 19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26]"
4,10.40.182.6,*,138,138,*,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
5,10.40.182.6,*,0,0,*,arp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
6,10.40.85.1,*,0,0,*,arp,*,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,10.40.85.1,*,0,0,*,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
8,10.40.85.10,*,0,0,*,arp,*,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
9,10.40.85.10,*,2048,52233,*,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
10,10.40.85.10,*,46811,53,*,udp,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
11,10.40.85.10,*,56837,3001,*,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
12,10.40.85.30,*,0,0,*,arp,*,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
13,149.171.126.10,*,1043,53,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4734, 6084]"
14,149.171.126.10,*,47439,53,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4883, 6441]"
15,149.171.126.14,*,32820,53,*,udp,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
16,149.171.126.14,*,1043,53,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5175, 8625, 5336, 3312, 0, 0, 0, 0]"
17,149.171.126.14,*,47439,53,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4275, 7125, 4427, 2736, 0, 0, 0, 0]"
18,149.171.126.14,*,5060,4569,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14]"
19,149.171.126.15,*,1043,53,*,udp,*,"[0, 0, 0, 0, 4715, 9522, 4508, 4209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,149.171.126.15,*,47439,53,*,udp,*,"[0, 0, 0, 0, 4488, 9108, 4312, 4048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,149.171.126.18,*,1043,53,*,udp,*,"[3416, 1120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,149.171.126.18,*,47439,53,*,udp,*,"[3185, 1040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,149.171.126.3,*,6881,23580,*,tcp,*,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,149.171.126.3,*,6881,24448,*,tcp,*,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,149.171.126.3,*,6881,61135,*,tcp,*,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,175.45.176.0,*,10537,1723,*,tcp,*,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,175.45.176.0,*,10539,1723,*,tcp,*,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,175.45.176.0,*,11725,1723,*,tcp,*,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,175.45.176.0,*,13956,179,*,tcp,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,175.45.176.0,*,16405,1723,*,tcp,*,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,175.45.176.0,*,18087,1723,*,tcp,*,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,175.45.176.0,*,18810,1723,*,tcp,*,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,175.45.176.0,*,2048,48879,*,icmp,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
34,175.45.176.0,*,8273,1723,*,tcp,*,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,175.45.176.0,*,1960,179,*,tcp,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,175.45.176.0,*,55997,179,*,tcp,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,175.45.176.0,*,64508,520,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
38,175.45.176.0,*,65481,179,*,tcp,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,175.45.176.0,*,12992,179,*,tcp,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
