cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,*,*,ACC,[10]
1,*,*,*,*,*,*,CLO,[10]
2,*,*,*,*,*,*,CON,[0.761192036665285]
3,*,*,*,*,*,*,ECO,[0.5002584647368276]
4,*,*,*,*,*,*,ECR,[3.4641016151377544]
5,*,*,*,*,*,*,FIN,[0.3931257988841768]
6,*,*,*,*,*,*,INT,[0.023444618120477514]
7,*,*,*,*,*,*,PAR,[3.4641016151377544]
8,*,*,*,*,*,*,REQ,[0.2645030623844487]
9,*,*,*,*,*,*,RST,[0.46513692688550307]
10,*,*,*,*,*,*,TST,[3.4641016151377544]
