cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,*,arp,CON,[1.9185695916297518]
1,*,*,*,*,*,arp,INT,[3.4313556536424437]
2,*,*,*,*,*,icmp,ECO,[0.5002584647368276]
3,*,*,*,*,*,icmp,ECR,[3.4641016151377544]
4,*,*,*,*,*,icmp,PAR,[3.4641016151377544]
5,*,*,*,*,*,icmp,TST,[3.4641016151377544]
6,*,*,*,*,*,ospf,INT,[10]
7,*,*,*,*,*,ospf,REQ,[3.203121287835202]
8,*,*,*,*,*,sctp,CON,[10]
9,*,*,*,*,*,sctp,INT,[10]
10,*,*,*,*,*,tcp,ACC,[10]
11,*,*,*,*,*,tcp,CLO,[10]
12,*,*,*,*,*,tcp,CON,[3.398779446660162]
13,*,*,*,*,*,tcp,FIN,[0.3931257988841768]
14,*,*,*,*,*,tcp,REQ,[0.5142366990532985]
15,*,*,*,*,*,tcp,RST,[0.46513692688550307]
16,*,*,*,*,*,udp,CON,[0.5262520209976532]
17,*,*,*,*,*,udp,INT,[0.036828444677029074]
18,*,*,*,*,*,udp,REQ,[0.629620021098235]
