cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,dhcp,*,CON,[10]
1,*,*,*,*,dhcp,*,INT,[10]
2,*,*,*,*,dns,*,CON,[7.210212634479928]
3,*,*,*,*,dns,*,FIN,[10]
4,*,*,*,*,dns,*,INT,[0.0731739003068065]
5,*,*,*,*,dns,*,REQ,[10]
6,*,*,*,*,ftp,*,CON,[5.340489990004038]
7,*,*,*,*,ftp,*,FIN,[3.667492319779488]
8,*,*,*,*,http,*,CON,[4.501445734275837]
9,*,*,*,*,http,*,FIN,[3.4508213821552807]
10,*,*,*,*,pop3,*,FIN,[10]
11,*,*,*,*,smtp,*,CON,[10]
12,*,*,*,*,smtp,*,FIN,[3.8726228154640308]
13,*,*,*,*,snmp,*,INT,[10]
14,*,*,*,*,ssh,*,CON,[5.340489990004038]
15,*,*,*,*,ssh,*,FIN,[1.054225556757192]
16,*,*,*,*,unknown,*,ACC,[10]
17,*,*,*,*,unknown,*,CLO,[10]
18,*,*,*,*,unknown,*,CON,[9.57984520596408]
19,*,*,*,*,unknown,*,ECO,[0.5002584647368276]
20,*,*,*,*,unknown,*,ECR,[3.4641016151377544]
21,*,*,*,*,unknown,*,FIN,[1.5905162270941366]
22,*,*,*,*,unknown,*,INT,[1.6869952308388123]
23,*,*,*,*,unknown,*,PAR,[3.4641016151377544]
24,*,*,*,*,unknown,*,REQ,[0.2845528572007626]
25,*,*,*,*,unknown,*,RST,[0.38953477835191475]
26,*,*,*,*,unknown,*,TST,[3.4641016151377544]
