cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,dhcp,udp,CON,[10]
1,*,*,*,*,dhcp,udp,INT,[10]
2,*,*,*,*,dns,tcp,FIN,[10]
3,*,*,*,*,dns,udp,CON,[7.210212634479928]
4,*,*,*,*,dns,udp,INT,[0.0731739003068065]
5,*,*,*,*,dns,udp,REQ,[10]
6,*,*,*,*,ftp,tcp,CON,[5.340489990004038]
7,*,*,*,*,ftp,tcp,FIN,[3.667492319779488]
8,*,*,*,*,http,tcp,CON,[4.501445734275837]
9,*,*,*,*,http,tcp,FIN,[3.4508213821552807]
10,*,*,*,*,pop3,tcp,FIN,[10]
11,*,*,*,*,smtp,tcp,CON,[10]
12,*,*,*,*,smtp,tcp,FIN,[3.8726228154640308]
13,*,*,*,*,snmp,udp,INT,[10]
14,*,*,*,*,ssh,tcp,CON,[5.340489990004038]
15,*,*,*,*,ssh,tcp,FIN,[1.054225556757192]
16,*,*,*,*,unknown,arp,CON,[1.9185695916297518]
17,*,*,*,*,unknown,arp,INT,[3.4313556536424437]
18,*,*,*,*,unknown,icmp,ECO,[0.5002584647368276]
19,*,*,*,*,unknown,icmp,ECR,[3.4641016151377544]
20,*,*,*,*,unknown,icmp,PAR,[3.4641016151377544]
21,*,*,*,*,unknown,icmp,TST,[3.4641016151377544]
22,*,*,*,*,unknown,ospf,INT,[10]
23,*,*,*,*,unknown,ospf,REQ,[3.203121287835202]
24,*,*,*,*,unknown,sctp,CON,[10]
25,*,*,*,*,unknown,sctp,INT,[10]
26,*,*,*,*,unknown,tcp,ACC,[10]
27,*,*,*,*,unknown,tcp,CLO,[10]
28,*,*,*,*,unknown,tcp,CON,[3.237279397225868]
29,*,*,*,*,unknown,tcp,FIN,[1.5905162270941366]
30,*,*,*,*,unknown,tcp,REQ,[0.5142366990532985]
31,*,*,*,*,unknown,tcp,RST,[0.38953477835191475]
32,*,*,*,*,unknown,udp,CON,[10]
33,*,*,*,*,unknown,udp,INT,[1.2395171872843131]
34,*,*,*,*,unknown,udp,REQ,[0.4006672861534223]
