cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,dhcp,udp,*,[10]
1,*,*,*,*,dns,tcp,*,[10]
2,*,*,*,*,dns,udp,*,[0.5520185321029798]
3,*,*,*,*,ftp,tcp,*,[3.585667528039018]
4,*,*,*,*,http,tcp,*,[3.405012863392446]
5,*,*,*,*,pop3,tcp,*,[10]
6,*,*,*,*,smtp,tcp,*,[3.8046427467512167]
7,*,*,*,*,snmp,udp,*,[10]
8,*,*,*,*,ssh,tcp,*,[1.051800279461208]
9,*,*,*,*,unknown,arp,*,[2.515611897565028]
10,*,*,*,*,unknown,icmp,*,[0.7385215429876179]
11,*,*,*,*,unknown,ospf,*,[5.227990139672067]
12,*,*,*,*,unknown,sctp,*,[10]
13,*,*,*,*,unknown,tcp,*,[1.9413312298793701]
14,*,*,*,*,unknown,udp,*,[8.766451937150096]
