cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,*,*,CON,[2.744053434836879]
1,*,*,*,0,*,*,INT,[6.740158695986798]
2,*,*,*,0,*,*,PAR,[10]
3,*,*,*,0,*,*,REQ,[3.203121287835202]
4,*,*,*,0,*,*,TST,[3.4641016151377544]
5,*,*,*,10000,*,*,FIN,[10]
6,*,*,*,10001,*,*,FIN,[10]
7,*,*,*,10005,*,*,FIN,[10]
8,*,*,*,10013,*,*,FIN,[10]
9,*,*,*,10016,*,*,FIN,[10]
10,*,*,*,10019,*,*,FIN,[10]
11,*,*,*,10024,*,*,FIN,[10]
12,*,*,*,10033,*,*,FIN,[10]
13,*,*,*,10039,*,*,FIN,[10]
14,*,*,*,10040,*,*,FIN,[10]
15,*,*,*,10046,*,*,FIN,[10]
16,*,*,*,10056,*,*,CON,[10]
17,*,*,*,10061,*,*,FIN,[10]
18,*,*,*,10063,*,*,FIN,[10]
19,*,*,*,10064,*,*,FIN,[1.5877132402714706]
20,*,*,*,10066,*,*,FIN,[10]
21,*,*,*,10078,*,*,FIN,[10]
22,*,*,*,10088,*,*,FIN,[10]
23,*,*,*,10099,*,*,FIN,[10]
24,*,*,*,10100,*,*,FIN,[10]
25,*,*,*,10107,*,*,CON,[10]
26,*,*,*,10133,*,*,FIN,[10]
27,*,*,*,10142,*,*,FIN,[10]
28,*,*,*,10145,*,*,FIN,[10]
29,*,*,*,10152,*,*,FIN,[10]
30,*,*,*,10153,*,*,CON,[10]
31,*,*,*,10158,*,*,CON,[10]
32,*,*,*,10163,*,*,FIN,[1.5877132402714706]
33,*,*,*,10165,*,*,CON,[10]
34,*,*,*,10180,*,*,FIN,[10]
35,*,*,*,10195,*,*,FIN,[10]
36,*,*,*,10201,*,*,FIN,[10]
37,*,*,*,10202,*,*,FIN,[10]
38,*,*,*,10203,*,*,FIN,[10]
39,*,*,*,10217,*,*,FIN,[10]
40,*,*,*,10229,*,*,FIN,[10]
41,*,*,*,10231,*,*,CON,[10]
42,*,*,*,1024,*,*,FIN,[1.5877132402714706]
43,*,*,*,10247,*,*,FIN,[10]
44,*,*,*,10259,*,*,FIN,[10]
45,*,*,*,10262,*,*,FIN,[10]
46,*,*,*,10263,*,*,FIN,[10]
47,*,*,*,10274,*,*,FIN,[10]
48,*,*,*,10284,*,*,FIN,[10]
49,*,*,*,10300,*,*,FIN,[10]
