cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,*,*,*,[4.15053738871462]
1,*,*,*,10000,*,*,*,[10]
2,*,*,*,10001,*,*,*,[10]
3,*,*,*,10005,*,*,*,[10]
4,*,*,*,10013,*,*,*,[10]
5,*,*,*,10016,*,*,*,[10]
6,*,*,*,10019,*,*,*,[10]
7,*,*,*,10024,*,*,*,[10]
8,*,*,*,10033,*,*,*,[10]
9,*,*,*,10039,*,*,*,[10]
10,*,*,*,10040,*,*,*,[10]
11,*,*,*,10046,*,*,*,[10]
12,*,*,*,10056,*,*,*,[10]
13,*,*,*,10061,*,*,*,[10]
14,*,*,*,10063,*,*,*,[10]
15,*,*,*,10064,*,*,*,[1.5877132402714706]
16,*,*,*,10066,*,*,*,[10]
17,*,*,*,10078,*,*,*,[10]
18,*,*,*,10088,*,*,*,[10]
19,*,*,*,10099,*,*,*,[10]
20,*,*,*,10100,*,*,*,[10]
21,*,*,*,10107,*,*,*,[10]
22,*,*,*,10133,*,*,*,[10]
23,*,*,*,10142,*,*,*,[10]
24,*,*,*,10145,*,*,*,[10]
25,*,*,*,10152,*,*,*,[10]
26,*,*,*,10153,*,*,*,[10]
27,*,*,*,10158,*,*,*,[0.9622504486493761]
28,*,*,*,10163,*,*,*,[1.5877132402714706]
29,*,*,*,10165,*,*,*,[10]
30,*,*,*,10180,*,*,*,[10]
31,*,*,*,10195,*,*,*,[10]
32,*,*,*,10201,*,*,*,[1.5877132402714706]
33,*,*,*,10202,*,*,*,[10]
34,*,*,*,10203,*,*,*,[10]
35,*,*,*,10217,*,*,*,[10]
36,*,*,*,10229,*,*,*,[10]
37,*,*,*,10231,*,*,*,[10]
38,*,*,*,1024,*,*,*,[1.5877132402714706]
39,*,*,*,10247,*,*,*,[10]
40,*,*,*,10259,*,*,*,[10]
41,*,*,*,10262,*,*,*,[10]
42,*,*,*,10263,*,*,*,[10]
43,*,*,*,10274,*,*,*,[10]
44,*,*,*,10284,*,*,*,[10]
45,*,*,*,10300,*,*,*,[10]
46,*,*,*,10305,*,*,*,[1.5877132402714706]
47,*,*,*,10306,*,*,*,[10]
48,*,*,*,10307,*,*,*,[10]
49,*,*,*,10312,*,*,*,[10]
50,*,*,*,10331,*,*,*,[10]
51,*,*,*,10336,*,*,*,[10]
52,*,*,*,10338,*,*,*,[10]
53,*,*,*,10346,*,*,*,[10]
54,*,*,*,1035,*,*,*,[10]
55,*,*,*,10352,*,*,*,[1.5877132402714706]
56,*,*,*,10356,*,*,*,[10]
57,*,*,*,10362,*,*,*,[10]
58,*,*,*,10365,*,*,*,[10]
59,*,*,*,1037,*,*,*,[2.2131760318935654]
60,*,*,*,10371,*,*,*,[10]
61,*,*,*,10372,*,*,*,[1.5877132402714706]
62,*,*,*,10384,*,*,*,[10]
63,*,*,*,10389,*,*,*,[10]
64,*,*,*,10391,*,*,*,[10]
65,*,*,*,10395,*,*,*,[10]
66,*,*,*,10396,*,*,*,[10]
67,*,*,*,10405,*,*,*,[10]
68,*,*,*,10415,*,*,*,[10]
69,*,*,*,10417,*,*,*,[10]
70,*,*,*,10418,*,*,*,[1.5877132402714706]
71,*,*,*,10420,*,*,*,[10]
72,*,*,*,10422,*,*,*,[0.6666666666666669]
73,*,*,*,10425,*,*,*,[10]
74,*,*,*,10430,*,*,*,[10]
75,*,*,*,10432,*,*,*,[10]
76,*,*,*,10433,*,*,*,[10]
77,*,*,*,10434,*,*,*,[10]
78,*,*,*,10450,*,*,*,[10]
79,*,*,*,10454,*,*,*,[10]
80,*,*,*,1047,*,*,*,[10]
81,*,*,*,10476,*,*,*,[10]
82,*,*,*,1048,*,*,*,[10]
83,*,*,*,10487,*,*,*,[10]
84,*,*,*,10491,*,*,*,[10]
85,*,*,*,10495,*,*,*,[10]
86,*,*,*,10497,*,*,*,[10]
87,*,*,*,10503,*,*,*,[10]
88,*,*,*,10513,*,*,*,[10]
89,*,*,*,1052,*,*,*,[10]
90,*,*,*,10533,*,*,*,[3.4641016151377544]
91,*,*,*,10545,*,*,*,[1.5877132402714706]
92,*,*,*,10546,*,*,*,[10]
93,*,*,*,10547,*,*,*,[10]
94,*,*,*,10551,*,*,*,[10]
95,*,*,*,10552,*,*,*,[10]
96,*,*,*,10554,*,*,*,[10]
97,*,*,*,10557,*,*,*,[10]
98,*,*,*,10564,*,*,*,[10]
99,*,*,*,1057,*,*,*,[1.5877132402714706]
100,*,*,*,10576,*,*,*,[2.2131760318935654]
101,*,*,*,10602,*,*,*,[10]
102,*,*,*,10607,*,*,*,[1.5877132402714706]
103,*,*,*,10610,*,*,*,[10]
104,*,*,*,10611,*,*,*,[10]
105,*,*,*,10617,*,*,*,[10]
106,*,*,*,10618,*,*,*,[1.5877132402714706]
107,*,*,*,10622,*,*,*,[10]
108,*,*,*,10627,*,*,*,[10]
109,*,*,*,10642,*,*,*,[10]
110,*,*,*,10648,*,*,*,[10]
111,*,*,*,1065,*,*,*,[0.959403223600247]
112,*,*,*,10651,*,*,*,[10]
113,*,*,*,10659,*,*,*,[10]
114,*,*,*,10671,*,*,*,[10]
115,*,*,*,10685,*,*,*,[10]
116,*,*,*,10696,*,*,*,[10]
117,*,*,*,10702,*,*,*,[10]
118,*,*,*,10708,*,*,*,[10]
119,*,*,*,1071,*,*,*,[10]
120,*,*,*,10711,*,*,*,[10]
121,*,*,*,10712,*,*,*,[10]
122,*,*,*,10713,*,*,*,[10]
123,*,*,*,10718,*,*,*,[1.5877132402714706]
124,*,*,*,10723,*,*,*,[10]
125,*,*,*,1073,*,*,*,[10]
126,*,*,*,10731,*,*,*,[10]
127,*,*,*,10734,*,*,*,[10]
128,*,*,*,1074,*,*,*,[1.5877132402714706]
129,*,*,*,10741,*,*,*,[10]
130,*,*,*,10743,*,*,*,[10]
