cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,*,arp,CON,[1.9185695916297518]
1,*,*,*,0,*,arp,INT,[3.4313556536424437]
2,*,*,*,0,*,icmp,PAR,[10]
3,*,*,*,0,*,icmp,TST,[3.4641016151377544]
4,*,*,*,0,*,ospf,INT,[10]
5,*,*,*,0,*,ospf,REQ,[3.203121287835202]
6,*,*,*,0,*,sctp,CON,[10]
7,*,*,*,0,*,sctp,INT,[10]
8,*,*,*,0,*,udp,INT,[10]
9,*,*,*,10000,*,tcp,FIN,[10]
10,*,*,*,10001,*,tcp,FIN,[10]
11,*,*,*,10005,*,tcp,FIN,[10]
12,*,*,*,10013,*,tcp,FIN,[10]
13,*,*,*,10016,*,tcp,FIN,[10]
14,*,*,*,10019,*,tcp,FIN,[10]
15,*,*,*,10024,*,tcp,FIN,[10]
16,*,*,*,10033,*,tcp,FIN,[10]
17,*,*,*,10039,*,tcp,FIN,[10]
18,*,*,*,10040,*,tcp,FIN,[10]
19,*,*,*,10046,*,tcp,FIN,[10]
20,*,*,*,10056,*,udp,CON,[10]
21,*,*,*,10061,*,tcp,FIN,[10]
22,*,*,*,10063,*,tcp,FIN,[10]
23,*,*,*,10064,*,tcp,FIN,[1.5877132402714706]
24,*,*,*,10066,*,tcp,FIN,[10]
25,*,*,*,10078,*,tcp,FIN,[10]
26,*,*,*,10088,*,tcp,FIN,[10]
27,*,*,*,10099,*,tcp,FIN,[10]
28,*,*,*,10100,*,tcp,FIN,[10]
29,*,*,*,10107,*,udp,CON,[10]
30,*,*,*,10133,*,tcp,FIN,[10]
31,*,*,*,10142,*,tcp,FIN,[10]
32,*,*,*,10145,*,tcp,FIN,[10]
33,*,*,*,10152,*,tcp,FIN,[10]
34,*,*,*,10153,*,udp,CON,[10]
35,*,*,*,10158,*,udp,CON,[10]
36,*,*,*,10163,*,tcp,FIN,[1.5877132402714706]
37,*,*,*,10165,*,udp,CON,[10]
38,*,*,*,10180,*,tcp,FIN,[10]
39,*,*,*,10195,*,tcp,FIN,[10]
40,*,*,*,10201,*,tcp,FIN,[10]
41,*,*,*,10202,*,tcp,FIN,[10]
42,*,*,*,10203,*,tcp,FIN,[10]
43,*,*,*,10217,*,tcp,FIN,[10]
44,*,*,*,10229,*,tcp,FIN,[10]
45,*,*,*,10231,*,udp,CON,[10]
46,*,*,*,1024,*,tcp,FIN,[1.5877132402714706]
47,*,*,*,10247,*,tcp,FIN,[10]
48,*,*,*,10259,*,tcp,FIN,[10]
49,*,*,*,10262,*,tcp,FIN,[10]
50,*,*,*,10263,*,tcp,FIN,[10]
51,*,*,*,10274,*,tcp,FIN,[10]
52,*,*,*,10284,*,tcp,FIN,[10]
53,*,*,*,10300,*,tcp,FIN,[10]
54,*,*,*,10305,*,tcp,FIN,[1.5877132402714706]
55,*,*,*,10306,*,tcp,FIN,[10]
56,*,*,*,10307,*,tcp,FIN,[10]
57,*,*,*,10312,*,tcp,FIN,[10]
58,*,*,*,10331,*,tcp,FIN,[10]
59,*,*,*,10336,*,udp,CON,[10]
60,*,*,*,10338,*,tcp,FIN,[10]
61,*,*,*,10346,*,udp,CON,[10]
62,*,*,*,1035,*,udp,CON,[10]
63,*,*,*,10352,*,tcp,FIN,[1.5877132402714706]
64,*,*,*,10356,*,tcp,FIN,[10]
65,*,*,*,10362,*,tcp,FIN,[10]
66,*,*,*,10365,*,tcp,FIN,[10]
67,*,*,*,1037,*,tcp,FIN,[0.9622504486493761]
68,*,*,*,1037,*,udp,CON,[10]
69,*,*,*,10371,*,udp,CON,[10]
70,*,*,*,10372,*,udp,CON,[10]
71,*,*,*,10384,*,udp,CON,[10]
72,*,*,*,10389,*,udp,CON,[10]
73,*,*,*,10391,*,tcp,FIN,[10]
74,*,*,*,10395,*,tcp,FIN,[10]
75,*,*,*,10396,*,tcp,FIN,[10]
76,*,*,*,10405,*,tcp,FIN,[10]
77,*,*,*,10415,*,tcp,FIN,[10]
78,*,*,*,10417,*,tcp,FIN,[10]
79,*,*,*,10418,*,tcp,FIN,[1.5877132402714706]
80,*,*,*,10420,*,tcp,FIN,[10]
81,*,*,*,10422,*,tcp,FIN,[10]
82,*,*,*,10425,*,tcp,FIN,[10]
83,*,*,*,10430,*,tcp,FIN,[10]
84,*,*,*,10432,*,tcp,FIN,[10]
85,*,*,*,10433,*,tcp,FIN,[10]
86,*,*,*,10434,*,udp,CON,[10]
87,*,*,*,10450,*,tcp,FIN,[10]
88,*,*,*,10454,*,tcp,FIN,[10]
89,*,*,*,1047,*,tcp,FIN,[10]
90,*,*,*,10476,*,tcp,FIN,[10]
91,*,*,*,1048,*,tcp,FIN,[10]
92,*,*,*,10487,*,udp,CON,[10]
93,*,*,*,10491,*,tcp,FIN,[10]
94,*,*,*,10495,*,tcp,FIN,[10]
95,*,*,*,10497,*,udp,CON,[10]
96,*,*,*,10503,*,tcp,FIN,[10]
97,*,*,*,10513,*,tcp,FIN,[10]
98,*,*,*,1052,*,tcp,FIN,[10]
99,*,*,*,10533,*,tcp,FIN,[1.5877132402714706]
100,*,*,*,10533,*,udp,CON,[10]
101,*,*,*,10545,*,tcp,FIN,[10]
102,*,*,*,10546,*,tcp,FIN,[10]
103,*,*,*,10547,*,udp,INT,[10]
104,*,*,*,10551,*,tcp,FIN,[10]
105,*,*,*,10552,*,tcp,FIN,[10]
106,*,*,*,10554,*,tcp,FIN,[10]
107,*,*,*,10557,*,tcp,FIN,[10]
108,*,*,*,10564,*,tcp,FIN,[10]
109,*,*,*,1057,*,tcp,FIN,[1.5877132402714706]
110,*,*,*,10576,*,tcp,FIN,[2.2131760318935654]
111,*,*,*,10602,*,tcp,FIN,[10]
112,*,*,*,10607,*,tcp,FIN,[1.5877132402714706]
113,*,*,*,10610,*,tcp,FIN,[10]
114,*,*,*,10611,*,tcp,FIN,[10]
115,*,*,*,10617,*,tcp,FIN,[10]
116,*,*,*,10618,*,tcp,FIN,[1.5877132402714706]
117,*,*,*,10622,*,tcp,FIN,[10]
118,*,*,*,10627,*,tcp,FIN,[10]
119,*,*,*,10642,*,tcp,FIN,[10]
120,*,*,*,10648,*,tcp,FIN,[10]
121,*,*,*,1065,*,tcp,FIN,[0.959403223600247]
122,*,*,*,10651,*,tcp,FIN,[10]
123,*,*,*,10659,*,tcp,FIN,[10]
124,*,*,*,10671,*,tcp,FIN,[10]
125,*,*,*,10685,*,tcp,FIN,[10]
126,*,*,*,10696,*,tcp,FIN,[10]
127,*,*,*,10702,*,tcp,FIN,[10]
128,*,*,*,10708,*,tcp,FIN,[10]
129,*,*,*,1071,*,tcp,FIN,[10]
130,*,*,*,10711,*,tcp,FIN,[10]
131,*,*,*,10712,*,tcp,FIN,[10]
132,*,*,*,10713,*,tcp,FIN,[10]
133,*,*,*,10718,*,tcp,FIN,[1.5877132402714706]
134,*,*,*,10723,*,tcp,FIN,[10]
135,*,*,*,1073,*,tcp,FIN,[10]
136,*,*,*,10731,*,tcp,FIN,[10]
137,*,*,*,10734,*,tcp,FIN,[10]
138,*,*,*,1074,*,tcp,FIN,[1.5877132402714706]
139,*,*,*,10741,*,tcp,FIN,[10]
140,*,*,*,10743,*,tcp,CON,[10]
141,*,*,*,10743,*,tcp,FIN,[10]
142,*,*,*,1075,*,udp,CON,[10]
143,*,*,*,10755,*,udp,CON,[10]
144,*,*,*,1076,*,udp,CON,[10]
145,*,*,*,10760,*,tcp,FIN,[10]
146,*,*,*,10765,*,tcp,FIN,[10]
147,*,*,*,1077,*,tcp,FIN,[10]
148,*,*,*,10784,*,tcp,FIN,[10]
149,*,*,*,10792,*,tcp,FIN,[10]
150,*,*,*,10806,*,tcp,FIN,[1.5877132402714706]
151,*,*,*,10817,*,tcp,FIN,[10]
152,*,*,*,10824,*,tcp,FIN,[10]
153,*,*,*,10833,*,tcp,FIN,[10]
154,*,*,*,10840,*,tcp,FIN,[10]
155,*,*,*,10844,*,tcp,FIN,[10]
156,*,*,*,10849,*,tcp,FIN,[10]
157,*,*,*,10866,*,tcp,FIN,[10]
158,*,*,*,10868,*,udp,CON,[10]
159,*,*,*,1087,*,tcp,FIN,[10]
160,*,*,*,10883,*,tcp,FIN,[1.5877132402714706]
161,*,*,*,10889,*,tcp,FIN,[10]
162,*,*,*,1089,*,tcp,FIN,[10]
163,*,*,*,10893,*,tcp,FIN,[10]
164,*,*,*,10897,*,tcp,FIN,[10]
165,*,*,*,10897,*,udp,CON,[10]
166,*,*,*,1090,*,tcp,FIN,[10]
167,*,*,*,10912,*,tcp,FIN,[10]
168,*,*,*,10917,*,tcp,FIN,[10]
169,*,*,*,10920,*,tcp,FIN,[10]
170,*,*,*,10925,*,tcp,FIN,[1.5877132402714706]
171,*,*,*,10927,*,tcp,CON,[10]
172,*,*,*,10934,*,tcp,FIN,[10]
173,*,*,*,10938,*,tcp,FIN,[10]
174,*,*,*,1094,*,tcp,FIN,[10]
175,*,*,*,10941,*,tcp,FIN,[10]
176,*,*,*,10942,*,udp,CON,[10]
177,*,*,*,1095,*,tcp,FIN,[1.5877132402714706]
178,*,*,*,10951,*,tcp,FIN,[10]
179,*,*,*,10962,*,tcp,FIN,[10]
180,*,*,*,1097,*,udp,CON,[10]
181,*,*,*,10973,*,tcp,FIN,[10]
182,*,*,*,10975,*,tcp,FIN,[10]
183,*,*,*,10979,*,tcp,FIN,[1.5877132402714706]
184,*,*,*,1099,*,tcp,FIN,[1.5877132402714706]
185,*,*,*,10993,*,tcp,FIN,[10]
186,*,*,*,10995,*,tcp,FIN,[10]
187,*,*,*,10997,*,tcp,FIN,[10]
188,*,*,*,110,*,tcp,FIN,[10]
189,*,*,*,11006,*,tcp,FIN,[10]
190,*,*,*,11013,*,tcp,FIN,[10]
191,*,*,*,11015,*,tcp,FIN,[10]
192,*,*,*,11019,*,tcp,FIN,[10]
193,*,*,*,11025,*,tcp,FIN,[10]
194,*,*,*,1103,*,tcp,FIN,[10]
195,*,*,*,11036,*,tcp,FIN,[10]
196,*,*,*,11046,*,tcp,FIN,[10]
197,*,*,*,11049,*,udp,CON,[1.5877132402714706]
198,*,*,*,11055,*,udp,CON,[10]
