cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,*,arp,*,[2.515611897565028]
1,*,*,*,0,*,icmp,*,[2.3061183443574222]
2,*,*,*,0,*,ospf,*,[5.227990139672067]
3,*,*,*,0,*,sctp,*,[10]
4,*,*,*,0,*,udp,*,[10]
5,*,*,*,10000,*,tcp,*,[10]
6,*,*,*,10001,*,tcp,*,[10]
7,*,*,*,10005,*,tcp,*,[10]
8,*,*,*,10013,*,tcp,*,[10]
9,*,*,*,10016,*,tcp,*,[10]
10,*,*,*,10019,*,tcp,*,[10]
11,*,*,*,10024,*,tcp,*,[10]
12,*,*,*,10033,*,tcp,*,[10]
13,*,*,*,10039,*,tcp,*,[10]
14,*,*,*,10040,*,tcp,*,[10]
15,*,*,*,10046,*,tcp,*,[10]
16,*,*,*,10056,*,udp,*,[10]
17,*,*,*,10061,*,tcp,*,[10]
18,*,*,*,10063,*,tcp,*,[10]
19,*,*,*,10064,*,tcp,*,[1.5877132402714706]
20,*,*,*,10066,*,tcp,*,[10]
21,*,*,*,10078,*,tcp,*,[10]
22,*,*,*,10088,*,tcp,*,[10]
23,*,*,*,10099,*,tcp,*,[10]
24,*,*,*,10100,*,tcp,*,[10]
25,*,*,*,10107,*,udp,*,[10]
26,*,*,*,10133,*,tcp,*,[10]
27,*,*,*,10142,*,tcp,*,[10]
28,*,*,*,10145,*,tcp,*,[10]
29,*,*,*,10152,*,tcp,*,[10]
30,*,*,*,10153,*,udp,*,[10]
31,*,*,*,10158,*,udp,*,[10]
32,*,*,*,10163,*,tcp,*,[1.5877132402714706]
33,*,*,*,10165,*,udp,*,[10]
34,*,*,*,10180,*,tcp,*,[10]
35,*,*,*,10195,*,tcp,*,[10]
36,*,*,*,10201,*,tcp,*,[10]
37,*,*,*,10202,*,tcp,*,[10]
38,*,*,*,10203,*,tcp,*,[10]
39,*,*,*,10217,*,tcp,*,[10]
40,*,*,*,10229,*,tcp,*,[10]
41,*,*,*,10231,*,udp,*,[10]
42,*,*,*,1024,*,tcp,*,[1.5877132402714706]
