cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,unknown,*,CON,[2.744053434836879]
1,*,*,*,0,unknown,*,INT,[6.740158695986798]
2,*,*,*,0,unknown,*,PAR,[10]
3,*,*,*,0,unknown,*,REQ,[3.203121287835202]
4,*,*,*,0,unknown,*,TST,[3.4641016151377544]
5,*,*,*,10000,unknown,*,FIN,[10]
6,*,*,*,10001,unknown,*,FIN,[10]
7,*,*,*,10005,unknown,*,FIN,[10]
8,*,*,*,10013,unknown,*,FIN,[10]
9,*,*,*,10016,unknown,*,FIN,[10]
10,*,*,*,10019,unknown,*,FIN,[10]
11,*,*,*,10024,unknown,*,FIN,[10]
12,*,*,*,10033,unknown,*,FIN,[10]
13,*,*,*,10039,unknown,*,FIN,[10]
14,*,*,*,10040,unknown,*,FIN,[10]
15,*,*,*,10046,unknown,*,FIN,[10]
16,*,*,*,10056,unknown,*,CON,[10]
17,*,*,*,10061,unknown,*,FIN,[10]
18,*,*,*,10063,unknown,*,FIN,[10]
19,*,*,*,10064,unknown,*,FIN,[1.5877132402714706]
20,*,*,*,10066,unknown,*,FIN,[10]
21,*,*,*,10078,unknown,*,FIN,[10]
22,*,*,*,10088,unknown,*,FIN,[10]
23,*,*,*,10099,unknown,*,FIN,[10]
24,*,*,*,10100,unknown,*,FIN,[10]
25,*,*,*,10107,unknown,*,CON,[10]
26,*,*,*,10133,unknown,*,FIN,[10]
27,*,*,*,10142,unknown,*,FIN,[10]
28,*,*,*,10145,unknown,*,FIN,[10]
29,*,*,*,10152,unknown,*,FIN,[10]
30,*,*,*,10153,unknown,*,CON,[10]
31,*,*,*,10158,unknown,*,CON,[10]
32,*,*,*,10163,unknown,*,FIN,[1.5877132402714706]
33,*,*,*,10165,unknown,*,CON,[10]
34,*,*,*,10180,unknown,*,FIN,[10]
35,*,*,*,10195,unknown,*,FIN,[10]
36,*,*,*,10201,unknown,*,FIN,[10]
37,*,*,*,10202,unknown,*,FIN,[10]
38,*,*,*,10203,unknown,*,FIN,[10]
39,*,*,*,10217,unknown,*,FIN,[10]
40,*,*,*,10229,unknown,*,FIN,[10]
41,*,*,*,10231,unknown,*,CON,[10]
42,*,*,*,1024,unknown,*,FIN,[1.5877132402714706]
43,*,*,*,10247,unknown,*,FIN,[10]
44,*,*,*,10259,unknown,*,FIN,[10]
45,*,*,*,10262,unknown,*,FIN,[10]
46,*,*,*,10263,unknown,*,FIN,[10]
47,*,*,*,10274,unknown,*,FIN,[10]
48,*,*,*,10284,unknown,*,FIN,[10]
49,*,*,*,10300,unknown,*,FIN,[10]
50,*,*,*,10305,unknown,*,FIN,[1.5877132402714706]
51,*,*,*,10306,unknown,*,FIN,[10]
52,*,*,*,10307,unknown,*,FIN,[10]
53,*,*,*,10312,unknown,*,FIN,[10]
54,*,*,*,10331,unknown,*,FIN,[10]
55,*,*,*,10336,unknown,*,CON,[10]
56,*,*,*,10338,unknown,*,FIN,[10]
57,*,*,*,10346,unknown,*,CON,[10]
58,*,*,*,1035,unknown,*,CON,[10]
59,*,*,*,10352,unknown,*,FIN,[1.5877132402714706]
60,*,*,*,10356,unknown,*,FIN,[10]
61,*,*,*,10362,unknown,*,FIN,[10]
62,*,*,*,10365,unknown,*,FIN,[10]
63,*,*,*,1037,unknown,*,CON,[10]
64,*,*,*,1037,unknown,*,FIN,[0.9622504486493761]
65,*,*,*,10371,unknown,*,CON,[10]
66,*,*,*,10372,unknown,*,CON,[10]
67,*,*,*,10384,unknown,*,CON,[10]
68,*,*,*,10389,unknown,*,CON,[10]
69,*,*,*,10391,unknown,*,FIN,[10]
70,*,*,*,10395,unknown,*,FIN,[10]
71,*,*,*,10396,unknown,*,FIN,[10]
72,*,*,*,10405,unknown,*,FIN,[10]
73,*,*,*,10415,unknown,*,FIN,[10]
74,*,*,*,10417,unknown,*,FIN,[10]
75,*,*,*,10418,unknown,*,FIN,[1.5877132402714706]
76,*,*,*,10420,unknown,*,FIN,[10]
77,*,*,*,10422,unknown,*,FIN,[10]
78,*,*,*,10425,unknown,*,FIN,[10]
79,*,*,*,10430,unknown,*,FIN,[10]
80,*,*,*,10432,unknown,*,FIN,[10]
81,*,*,*,10433,unknown,*,FIN,[10]
82,*,*,*,10434,unknown,*,CON,[10]
83,*,*,*,10450,unknown,*,FIN,[10]
84,*,*,*,10454,unknown,*,FIN,[10]
85,*,*,*,1047,unknown,*,FIN,[10]
86,*,*,*,10476,unknown,*,FIN,[10]
87,*,*,*,1048,unknown,*,FIN,[10]
88,*,*,*,10487,unknown,*,CON,[10]
89,*,*,*,10491,unknown,*,FIN,[10]
90,*,*,*,10495,unknown,*,FIN,[10]
91,*,*,*,10497,unknown,*,CON,[10]
92,*,*,*,10503,unknown,*,FIN,[10]
93,*,*,*,10513,unknown,*,FIN,[10]
94,*,*,*,1052,unknown,*,FIN,[10]
95,*,*,*,10533,unknown,*,CON,[10]
96,*,*,*,10533,unknown,*,FIN,[1.5877132402714706]
97,*,*,*,10545,unknown,*,FIN,[10]
98,*,*,*,10546,unknown,*,FIN,[10]
99,*,*,*,10547,unknown,*,INT,[10]
100,*,*,*,10551,unknown,*,FIN,[10]
101,*,*,*,10552,unknown,*,FIN,[10]
102,*,*,*,10554,unknown,*,FIN,[10]
103,*,*,*,10557,unknown,*,FIN,[10]
104,*,*,*,10564,unknown,*,FIN,[10]
105,*,*,*,1057,unknown,*,FIN,[1.5877132402714706]
106,*,*,*,10576,unknown,*,FIN,[2.2131760318935654]
107,*,*,*,10602,unknown,*,FIN,[10]
108,*,*,*,10607,unknown,*,FIN,[1.5877132402714706]
109,*,*,*,10610,unknown,*,FIN,[10]
110,*,*,*,10611,unknown,*,FIN,[10]
111,*,*,*,10617,unknown,*,FIN,[10]
112,*,*,*,10618,unknown,*,FIN,[1.5877132402714706]
113,*,*,*,10622,unknown,*,FIN,[10]
114,*,*,*,10627,unknown,*,FIN,[10]
115,*,*,*,10642,unknown,*,FIN,[10]
116,*,*,*,10648,unknown,*,FIN,[10]
117,*,*,*,1065,unknown,*,FIN,[0.959403223600247]
118,*,*,*,10651,unknown,*,FIN,[10]
119,*,*,*,10659,unknown,*,FIN,[10]
120,*,*,*,10671,unknown,*,FIN,[10]
121,*,*,*,10685,unknown,*,FIN,[10]
122,*,*,*,10696,unknown,*,FIN,[10]
123,*,*,*,10702,unknown,*,FIN,[10]
124,*,*,*,10708,unknown,*,FIN,[10]
125,*,*,*,1071,unknown,*,FIN,[10]
126,*,*,*,10711,unknown,*,FIN,[10]
127,*,*,*,10712,unknown,*,FIN,[10]
128,*,*,*,10713,unknown,*,FIN,[10]
129,*,*,*,10718,unknown,*,FIN,[1.5877132402714706]
130,*,*,*,10723,unknown,*,FIN,[10]
131,*,*,*,1073,unknown,*,FIN,[10]
132,*,*,*,10731,unknown,*,FIN,[10]
133,*,*,*,10734,unknown,*,FIN,[10]
134,*,*,*,1074,unknown,*,FIN,[1.5877132402714706]
