cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,unknown,*,*,[4.15053738871462]
1,*,*,*,10000,unknown,*,*,[10]
2,*,*,*,10001,unknown,*,*,[10]
3,*,*,*,10005,unknown,*,*,[10]
4,*,*,*,10013,unknown,*,*,[10]
5,*,*,*,10016,unknown,*,*,[10]
6,*,*,*,10019,unknown,*,*,[10]
7,*,*,*,10024,unknown,*,*,[10]
8,*,*,*,10033,unknown,*,*,[10]
9,*,*,*,10039,unknown,*,*,[10]
10,*,*,*,10040,unknown,*,*,[10]
11,*,*,*,10046,unknown,*,*,[10]
12,*,*,*,10056,unknown,*,*,[10]
13,*,*,*,10061,unknown,*,*,[10]
14,*,*,*,10063,unknown,*,*,[10]
15,*,*,*,10064,unknown,*,*,[1.5877132402714706]
16,*,*,*,10066,unknown,*,*,[10]
17,*,*,*,10078,unknown,*,*,[10]
18,*,*,*,10088,unknown,*,*,[10]
19,*,*,*,10099,unknown,*,*,[10]
20,*,*,*,10100,unknown,*,*,[10]
21,*,*,*,10107,unknown,*,*,[10]
22,*,*,*,10133,unknown,*,*,[10]
23,*,*,*,10142,unknown,*,*,[10]
24,*,*,*,10145,unknown,*,*,[10]
25,*,*,*,10152,unknown,*,*,[10]
26,*,*,*,10153,unknown,*,*,[10]
27,*,*,*,10158,unknown,*,*,[0.9622504486493761]
28,*,*,*,10163,unknown,*,*,[1.5877132402714706]
29,*,*,*,10165,unknown,*,*,[10]
30,*,*,*,10180,unknown,*,*,[10]
31,*,*,*,10195,unknown,*,*,[10]
32,*,*,*,10201,unknown,*,*,[1.5877132402714706]
33,*,*,*,10202,unknown,*,*,[10]
34,*,*,*,10203,unknown,*,*,[10]
35,*,*,*,10217,unknown,*,*,[10]
36,*,*,*,10229,unknown,*,*,[10]
37,*,*,*,10231,unknown,*,*,[10]
38,*,*,*,1024,unknown,*,*,[1.5877132402714706]
39,*,*,*,10247,unknown,*,*,[10]
40,*,*,*,10259,unknown,*,*,[10]
41,*,*,*,10262,unknown,*,*,[10]
42,*,*,*,10263,unknown,*,*,[10]
43,*,*,*,10274,unknown,*,*,[10]
44,*,*,*,10284,unknown,*,*,[10]
45,*,*,*,10300,unknown,*,*,[10]
46,*,*,*,10305,unknown,*,*,[1.5877132402714706]
47,*,*,*,10306,unknown,*,*,[10]
48,*,*,*,10307,unknown,*,*,[10]
49,*,*,*,10312,unknown,*,*,[10]
50,*,*,*,10331,unknown,*,*,[10]
51,*,*,*,10336,unknown,*,*,[10]
52,*,*,*,10338,unknown,*,*,[10]
53,*,*,*,10346,unknown,*,*,[10]
54,*,*,*,1035,unknown,*,*,[10]
55,*,*,*,10352,unknown,*,*,[1.5877132402714706]
56,*,*,*,10356,unknown,*,*,[10]
57,*,*,*,10362,unknown,*,*,[10]
58,*,*,*,10365,unknown,*,*,[10]
59,*,*,*,1037,unknown,*,*,[2.2131760318935654]
60,*,*,*,10371,unknown,*,*,[10]
61,*,*,*,10372,unknown,*,*,[1.5877132402714706]
62,*,*,*,10384,unknown,*,*,[10]
63,*,*,*,10389,unknown,*,*,[10]
64,*,*,*,10391,unknown,*,*,[10]
65,*,*,*,10395,unknown,*,*,[10]
66,*,*,*,10396,unknown,*,*,[10]
67,*,*,*,10405,unknown,*,*,[10]
68,*,*,*,10415,unknown,*,*,[10]
69,*,*,*,10417,unknown,*,*,[10]
70,*,*,*,10418,unknown,*,*,[1.5877132402714706]
71,*,*,*,10420,unknown,*,*,[10]
72,*,*,*,10422,unknown,*,*,[0.6666666666666669]
73,*,*,*,10425,unknown,*,*,[10]
74,*,*,*,10430,unknown,*,*,[10]
