cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,unknown,arp,CON,[1.9185695916297518]
1,*,*,*,0,unknown,arp,INT,[3.4313556536424437]
2,*,*,*,0,unknown,icmp,PAR,[10]
3,*,*,*,0,unknown,icmp,TST,[3.4641016151377544]
4,*,*,*,0,unknown,ospf,INT,[10]
5,*,*,*,0,unknown,ospf,REQ,[3.203121287835202]
6,*,*,*,0,unknown,sctp,CON,[10]
7,*,*,*,0,unknown,sctp,INT,[10]
8,*,*,*,0,unknown,udp,INT,[10]
9,*,*,*,10000,unknown,tcp,FIN,[10]
10,*,*,*,10001,unknown,tcp,FIN,[10]
11,*,*,*,10005,unknown,tcp,FIN,[10]
12,*,*,*,10013,unknown,tcp,FIN,[10]
13,*,*,*,10016,unknown,tcp,FIN,[10]
14,*,*,*,10019,unknown,tcp,FIN,[10]
15,*,*,*,10024,unknown,tcp,FIN,[10]
16,*,*,*,10033,unknown,tcp,FIN,[10]
17,*,*,*,10039,unknown,tcp,FIN,[10]
18,*,*,*,10040,unknown,tcp,FIN,[10]
19,*,*,*,10046,unknown,tcp,FIN,[10]
20,*,*,*,10056,unknown,udp,CON,[10]
21,*,*,*,10061,unknown,tcp,FIN,[10]
22,*,*,*,10063,unknown,tcp,FIN,[10]
23,*,*,*,10064,unknown,tcp,FIN,[1.5877132402714706]
24,*,*,*,10066,unknown,tcp,FIN,[10]
25,*,*,*,10078,unknown,tcp,FIN,[10]
26,*,*,*,10088,unknown,tcp,FIN,[10]
27,*,*,*,10099,unknown,tcp,FIN,[10]
28,*,*,*,10100,unknown,tcp,FIN,[10]
29,*,*,*,10107,unknown,udp,CON,[10]
30,*,*,*,10133,unknown,tcp,FIN,[10]
31,*,*,*,10142,unknown,tcp,FIN,[10]
32,*,*,*,10145,unknown,tcp,FIN,[10]
33,*,*,*,10152,unknown,tcp,FIN,[10]
34,*,*,*,10153,unknown,udp,CON,[10]
35,*,*,*,10158,unknown,udp,CON,[10]
36,*,*,*,10163,unknown,tcp,FIN,[1.5877132402714706]
37,*,*,*,10165,unknown,udp,CON,[10]
38,*,*,*,10180,unknown,tcp,FIN,[10]
39,*,*,*,10195,unknown,tcp,FIN,[10]
40,*,*,*,10201,unknown,tcp,FIN,[10]
41,*,*,*,10202,unknown,tcp,FIN,[10]
42,*,*,*,10203,unknown,tcp,FIN,[10]
43,*,*,*,10217,unknown,tcp,FIN,[10]
44,*,*,*,10229,unknown,tcp,FIN,[10]
45,*,*,*,10231,unknown,udp,CON,[10]
46,*,*,*,1024,unknown,tcp,FIN,[1.5877132402714706]
47,*,*,*,10247,unknown,tcp,FIN,[10]
48,*,*,*,10259,unknown,tcp,FIN,[10]
49,*,*,*,10262,unknown,tcp,FIN,[10]
50,*,*,*,10263,unknown,tcp,FIN,[10]
51,*,*,*,10274,unknown,tcp,FIN,[10]
52,*,*,*,10284,unknown,tcp,FIN,[10]
53,*,*,*,10300,unknown,tcp,FIN,[10]
54,*,*,*,10305,unknown,tcp,FIN,[1.5877132402714706]
55,*,*,*,10306,unknown,tcp,FIN,[10]
56,*,*,*,10307,unknown,tcp,FIN,[10]
57,*,*,*,10312,unknown,tcp,FIN,[10]
58,*,*,*,10331,unknown,tcp,FIN,[10]
59,*,*,*,10336,unknown,udp,CON,[10]
60,*,*,*,10338,unknown,tcp,FIN,[10]
61,*,*,*,10346,unknown,udp,CON,[10]
62,*,*,*,1035,unknown,udp,CON,[10]
63,*,*,*,10352,unknown,tcp,FIN,[1.5877132402714706]
64,*,*,*,10356,unknown,tcp,FIN,[10]
65,*,*,*,10362,unknown,tcp,FIN,[10]
66,*,*,*,10365,unknown,tcp,FIN,[10]
67,*,*,*,1037,unknown,tcp,FIN,[0.9622504486493761]
68,*,*,*,1037,unknown,udp,CON,[10]
69,*,*,*,10371,unknown,udp,CON,[10]
70,*,*,*,10372,unknown,udp,CON,[10]
71,*,*,*,10384,unknown,udp,CON,[10]
72,*,*,*,10389,unknown,udp,CON,[10]
73,*,*,*,10391,unknown,tcp,FIN,[10]
74,*,*,*,10395,unknown,tcp,FIN,[10]
75,*,*,*,10396,unknown,tcp,FIN,[10]
76,*,*,*,10405,unknown,tcp,FIN,[10]
77,*,*,*,10415,unknown,tcp,FIN,[10]
78,*,*,*,10417,unknown,tcp,FIN,[10]
79,*,*,*,10418,unknown,tcp,FIN,[1.5877132402714706]
80,*,*,*,10420,unknown,tcp,FIN,[10]
81,*,*,*,10422,unknown,tcp,FIN,[10]
82,*,*,*,10425,unknown,tcp,FIN,[10]
83,*,*,*,10430,unknown,tcp,FIN,[10]
84,*,*,*,10432,unknown,tcp,FIN,[10]
85,*,*,*,10433,unknown,tcp,FIN,[10]
86,*,*,*,10434,unknown,udp,CON,[10]
87,*,*,*,10450,unknown,tcp,FIN,[10]
88,*,*,*,10454,unknown,tcp,FIN,[10]
89,*,*,*,1047,unknown,tcp,FIN,[10]
90,*,*,*,10476,unknown,tcp,FIN,[10]
91,*,*,*,1048,unknown,tcp,FIN,[10]
92,*,*,*,10487,unknown,udp,CON,[10]
93,*,*,*,10491,unknown,tcp,FIN,[10]
