cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,unknown,arp,*,[2.515611897565028]
1,*,*,*,0,unknown,icmp,*,[2.3061183443574222]
2,*,*,*,0,unknown,ospf,*,[5.227990139672067]
3,*,*,*,0,unknown,sctp,*,[10]
4,*,*,*,0,unknown,udp,*,[10]
5,*,*,*,10000,unknown,tcp,*,[10]
6,*,*,*,10001,unknown,tcp,*,[10]
7,*,*,*,10005,unknown,tcp,*,[10]
8,*,*,*,10013,unknown,tcp,*,[10]
9,*,*,*,10016,unknown,tcp,*,[10]
10,*,*,*,10019,unknown,tcp,*,[10]
11,*,*,*,10024,unknown,tcp,*,[10]
12,*,*,*,10033,unknown,tcp,*,[10]
13,*,*,*,10039,unknown,tcp,*,[10]
14,*,*,*,10040,unknown,tcp,*,[10]
15,*,*,*,10046,unknown,tcp,*,[10]
16,*,*,*,10056,unknown,udp,*,[10]
17,*,*,*,10061,unknown,tcp,*,[10]
18,*,*,*,10063,unknown,tcp,*,[10]
19,*,*,*,10064,unknown,tcp,*,[1.5877132402714706]
20,*,*,*,10066,unknown,tcp,*,[10]
21,*,*,*,10078,unknown,tcp,*,[10]
22,*,*,*,10088,unknown,tcp,*,[10]
23,*,*,*,10099,unknown,tcp,*,[10]
24,*,*,*,10100,unknown,tcp,*,[10]
25,*,*,*,10107,unknown,udp,*,[10]
26,*,*,*,10133,unknown,tcp,*,[10]
27,*,*,*,10142,unknown,tcp,*,[10]
28,*,*,*,10145,unknown,tcp,*,[10]
29,*,*,*,10152,unknown,tcp,*,[10]
30,*,*,*,10153,unknown,udp,*,[10]
31,*,*,*,10158,unknown,udp,*,[10]
32,*,*,*,10163,unknown,tcp,*,[1.5877132402714706]
33,*,*,*,10165,unknown,udp,*,[10]
34,*,*,*,10180,unknown,tcp,*,[10]
35,*,*,*,10195,unknown,tcp,*,[10]
36,*,*,*,10201,unknown,tcp,*,[10]
37,*,*,*,10202,unknown,tcp,*,[10]
38,*,*,*,10203,unknown,tcp,*,[10]
39,*,*,*,10217,unknown,tcp,*,[10]
40,*,*,*,10229,unknown,tcp,*,[10]
41,*,*,*,10231,unknown,udp,*,[10]
42,*,*,*,1024,unknown,tcp,*,[1.5877132402714706]
43,*,*,*,10247,unknown,tcp,*,[10]
44,*,*,*,10259,unknown,tcp,*,[10]
45,*,*,*,10262,unknown,tcp,*,[10]
46,*,*,*,10263,unknown,tcp,*,[10]
47,*,*,*,10274,unknown,tcp,*,[10]
48,*,*,*,10284,unknown,tcp,*,[10]
49,*,*,*,10300,unknown,tcp,*,[10]
50,*,*,*,10305,unknown,tcp,*,[1.5877132402714706]
51,*,*,*,10306,unknown,tcp,*,[10]
52,*,*,*,10307,unknown,tcp,*,[10]
53,*,*,*,10312,unknown,tcp,*,[10]
