cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,*,*,INT,[3.477838527698241]
1,*,*,10.40.182.3,*,*,*,CON,[2.292651303622075]
2,*,*,10.40.182.3,*,*,*,INT,[3.3348395128594532]
3,*,*,10.40.85.1,*,*,*,CON,[1.1392028369236462]
4,*,*,10.40.85.30,*,*,*,CON,[2.7937414508601557]
5,*,*,149.171.126.0,*,*,*,CLO,[10]
6,*,*,149.171.126.0,*,*,*,CON,[0.04181301425628002]
7,*,*,149.171.126.0,*,*,*,FIN,[0.4252590247796919]
8,*,*,149.171.126.0,*,*,*,INT,[10]
9,*,*,149.171.126.1,*,*,*,CON,[0.4371509003805249]
10,*,*,149.171.126.1,*,*,*,FIN,[2.0553289665025893]
11,*,*,149.171.126.1,*,*,*,INT,[10]
12,*,*,149.171.126.10,*,*,*,CON,[10]
13,*,*,149.171.126.10,*,*,*,FIN,[1.555609494583208]
14,*,*,149.171.126.10,*,*,*,INT,[0.3167449031825388]
15,*,*,149.171.126.10,*,*,*,TST,[10]
16,*,*,149.171.126.11,*,*,*,CON,[4.715027198381944]
17,*,*,149.171.126.11,*,*,*,ECO,[10]
18,*,*,149.171.126.11,*,*,*,FIN,[0.7188768636906847]
19,*,*,149.171.126.11,*,*,*,INT,[1.07212983960416]
20,*,*,149.171.126.11,*,*,*,REQ,[0.24853848486505278]
21,*,*,149.171.126.12,*,*,*,FIN,[0.6242204669476233]
22,*,*,149.171.126.12,*,*,*,INT,[0.31013183405016265]
23,*,*,149.171.126.13,*,*,*,CON,[0.2720331090971075]
24,*,*,149.171.126.13,*,*,*,ECO,[1.5877132402714706]
25,*,*,149.171.126.13,*,*,*,FIN,[0.3782508800715802]
26,*,*,149.171.126.13,*,*,*,INT,[0.9540435390368696]
27,*,*,149.171.126.14,*,*,*,ACC,[10]
28,*,*,149.171.126.14,*,*,*,CON,[10]
29,*,*,149.171.126.14,*,*,*,FIN,[2.590483036859846]
30,*,*,149.171.126.14,*,*,*,INT,[1.4608244532794081]
31,*,*,149.171.126.15,*,*,*,CON,[10]
32,*,*,149.171.126.15,*,*,*,ECO,[10]
33,*,*,149.171.126.15,*,*,*,FIN,[1.7719726449677498]
34,*,*,149.171.126.15,*,*,*,INT,[5.739047993709056]
35,*,*,149.171.126.15,*,*,*,RST,[10]
36,*,*,149.171.126.16,*,*,*,CON,[10]
37,*,*,149.171.126.16,*,*,*,FIN,[2.2763163653406697]
