cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,*,*,*,[3.477838527698241]
1,*,*,10.40.182.3,*,*,*,*,[2.856108005866807]
2,*,*,10.40.85.1,*,*,*,*,[1.1392028369236462]
3,*,*,10.40.85.30,*,*,*,*,[2.7937414508601557]
4,*,*,149.171.126.0,*,*,*,*,[0.30071674351092775]
5,*,*,149.171.126.1,*,*,*,*,[2.0544446859372223]
6,*,*,149.171.126.10,*,*,*,*,[1.305945471008057]
7,*,*,149.171.126.11,*,*,*,*,[0.664715668825607]
8,*,*,149.171.126.12,*,*,*,*,[0.751186926119156]
9,*,*,149.171.126.13,*,*,*,*,[0.3917350380367351]
10,*,*,149.171.126.14,*,*,*,*,[3.234585363792202]
11,*,*,149.171.126.15,*,*,*,*,[2.112837961184231]
12,*,*,149.171.126.16,*,*,*,*,[1.6974776671317324]
13,*,*,149.171.126.17,*,*,*,*,[0.25159223220348564]
14,*,*,149.171.126.18,*,*,*,*,[10]
15,*,*,149.171.126.19,*,*,*,*,[2.563661907340629]
16,*,*,149.171.126.2,*,*,*,*,[0.6930489140547642]
17,*,*,149.171.126.3,*,*,*,*,[0.9815120505140748]
18,*,*,149.171.126.4,*,*,*,*,[1.5282010456477535]
19,*,*,149.171.126.5,*,*,*,*,[1.0918597731179696]
20,*,*,149.171.126.6,*,*,*,*,[2.0122673599502816]
21,*,*,149.171.126.7,*,*,*,*,[1.710884301786544]
22,*,*,149.171.126.8,*,*,*,*,[0.7061869928607719]
23,*,*,149.171.126.9,*,*,*,*,[0.46779234317806706]
24,*,*,175.45.176.0,*,*,*,*,[0.5312050140608031]
25,*,*,175.45.176.1,*,*,*,*,[0.03938989875630894]
26,*,*,175.45.176.2,*,*,*,*,[0.6982565352753429]
27,*,*,175.45.176.3,*,*,*,*,[0.42527270834006803]
28,*,*,224.0.0.5,*,*,*,*,[3.4763439588541063]
29,*,*,59.166.0.0,*,*,*,*,[10]
30,*,*,59.166.0.1,*,*,*,*,[10]
31,*,*,59.166.0.2,*,*,*,*,[10]
32,*,*,59.166.0.3,*,*,*,*,[10]
33,*,*,59.166.0.4,*,*,*,*,[10]
34,*,*,59.166.0.5,*,*,*,*,[10]
35,*,*,59.166.0.6,*,*,*,*,[10]
36,*,*,59.166.0.7,*,*,*,*,[10]
37,*,*,59.166.0.8,*,*,*,*,[10]
38,*,*,59.166.0.9,*,*,*,*,[10]
