cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,*,arp,INT,[3.477838527698241]
1,*,*,10.40.182.3,*,*,arp,CON,[2.292651303622075]
2,*,*,10.40.182.3,*,*,arp,INT,[3.3348395128594532]
3,*,*,10.40.85.1,*,*,arp,CON,[1.1392028369236462]
4,*,*,10.40.85.30,*,*,arp,CON,[2.7937414508601557]
5,*,*,149.171.126.0,*,*,tcp,CLO,[10]
6,*,*,149.171.126.0,*,*,tcp,CON,[10]
7,*,*,149.171.126.0,*,*,tcp,FIN,[0.4252590247796919]
8,*,*,149.171.126.0,*,*,udp,CON,[0.26594686304417625]
9,*,*,149.171.126.0,*,*,udp,INT,[10]
10,*,*,149.171.126.1,*,*,tcp,CON,[10]
11,*,*,149.171.126.1,*,*,tcp,FIN,[2.0553289665025893]
12,*,*,149.171.126.1,*,*,udp,CON,[0.6930673797123407]
13,*,*,149.171.126.1,*,*,udp,INT,[10]
14,*,*,149.171.126.10,*,*,icmp,TST,[10]
15,*,*,149.171.126.10,*,*,tcp,CON,[10]
16,*,*,149.171.126.10,*,*,tcp,FIN,[1.555609494583208]
17,*,*,149.171.126.10,*,*,udp,CON,[10]
18,*,*,149.171.126.10,*,*,udp,INT,[0.3167449031825388]
19,*,*,149.171.126.11,*,*,icmp,ECO,[10]
20,*,*,149.171.126.11,*,*,sctp,INT,[10]
21,*,*,149.171.126.11,*,*,tcp,CON,[0.9622504486493761]
22,*,*,149.171.126.11,*,*,tcp,FIN,[0.7188768636906847]
23,*,*,149.171.126.11,*,*,udp,CON,[10]
24,*,*,149.171.126.11,*,*,udp,INT,[0.9318763763100308]
25,*,*,149.171.126.11,*,*,udp,REQ,[7.216878364870321]
26,*,*,149.171.126.12,*,*,ospf,INT,[10]
27,*,*,149.171.126.12,*,*,tcp,FIN,[0.6242204669476233]
28,*,*,149.171.126.12,*,*,udp,INT,[0.08253508486818845]
29,*,*,149.171.126.13,*,*,icmp,ECO,[1.5877132402714706]
30,*,*,149.171.126.13,*,*,tcp,CON,[0.2720331090971075]
31,*,*,149.171.126.13,*,*,tcp,FIN,[0.3782508800715802]
32,*,*,149.171.126.13,*,*,udp,INT,[0.9540435390368696]
33,*,*,149.171.126.14,*,*,sctp,CON,[10]
34,*,*,149.171.126.14,*,*,tcp,ACC,[10]
35,*,*,149.171.126.14,*,*,tcp,FIN,[2.590483036859846]
36,*,*,149.171.126.14,*,*,udp,INT,[1.4608244532794081]
37,*,*,149.171.126.15,*,*,icmp,ECO,[10]
38,*,*,149.171.126.15,*,*,tcp,CON,[10]
39,*,*,149.171.126.15,*,*,tcp,FIN,[1.7719726449677498]
40,*,*,149.171.126.15,*,*,tcp,RST,[10]
41,*,*,149.171.126.15,*,*,udp,CON,[10]
42,*,*,149.171.126.15,*,*,udp,INT,[5.739047993709056]
43,*,*,149.171.126.16,*,*,tcp,CON,[10]
44,*,*,149.171.126.16,*,*,tcp,FIN,[2.2763163653406697]
45,*,*,149.171.126.16,*,*,udp,CON,[10]
46,*,*,149.171.126.16,*,*,udp,INT,[0.2490332988722717]
47,*,*,149.171.126.17,*,*,tcp,FIN,[1.9518684251070184]
48,*,*,149.171.126.17,*,*,udp,CON,[10]
49,*,*,149.171.126.17,*,*,udp,INT,[1.753100725848841]
50,*,*,149.171.126.18,*,*,icmp,ECO,[10]
51,*,*,149.171.126.18,*,*,ospf,INT,[10]
52,*,*,149.171.126.18,*,*,tcp,CON,[0.3707610938869616]
53,*,*,149.171.126.18,*,*,tcp,FIN,[1.7180382249509913]
54,*,*,149.171.126.18,*,*,udp,CON,[10]
55,*,*,149.171.126.18,*,*,udp,INT,[10]
56,*,*,149.171.126.19,*,*,tcp,CLO,[10]
57,*,*,149.171.126.19,*,*,tcp,CON,[10]
58,*,*,149.171.126.19,*,*,tcp,FIN,[0.2225547734707276]
59,*,*,149.171.126.19,*,*,tcp,REQ,[10]
60,*,*,149.171.126.19,*,*,udp,CON,[10]
61,*,*,149.171.126.19,*,*,udp,INT,[0.7348094335140691]
62,*,*,149.171.126.2,*,*,tcp,CON,[10]
63,*,*,149.171.126.2,*,*,tcp,FIN,[1.0352851411588557]
64,*,*,149.171.126.2,*,*,udp,CON,[0.10626930406363495]
65,*,*,149.171.126.2,*,*,udp,INT,[10]
66,*,*,149.171.126.3,*,*,tcp,CON,[10]
67,*,*,149.171.126.3,*,*,tcp,FIN,[1.490533677155464]
68,*,*,149.171.126.3,*,*,udp,CON,[0.04993031570130646]
