cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,*,arp,*,[3.477838527698241]
1,*,*,10.40.182.3,*,*,arp,*,[2.856108005866807]
2,*,*,10.40.85.1,*,*,arp,*,[1.1392028369236462]
3,*,*,10.40.85.30,*,*,arp,*,[2.7937414508601557]
4,*,*,149.171.126.0,*,*,tcp,*,[0.23899012938774428]
5,*,*,149.171.126.0,*,*,udp,*,[0.23872395580343378]
6,*,*,149.171.126.1,*,*,tcp,*,[1.9178865694193372]
7,*,*,149.171.126.1,*,*,udp,*,[0.6589390617719603]
8,*,*,149.171.126.10,*,*,icmp,*,[3.4641016151377544]
9,*,*,149.171.126.10,*,*,tcp,*,[1.561980423220628]
10,*,*,149.171.126.10,*,*,udp,*,[0.25153261689370066]
11,*,*,149.171.126.11,*,*,icmp,*,[10]
12,*,*,149.171.126.11,*,*,sctp,*,[10]
13,*,*,149.171.126.11,*,*,tcp,*,[0.47247029085039466]
14,*,*,149.171.126.11,*,*,udp,*,[1.0485803363294006]
15,*,*,149.171.126.12,*,*,ospf,*,[10]
16,*,*,149.171.126.12,*,*,tcp,*,[0.6205026234501585]
17,*,*,149.171.126.12,*,*,udp,*,[0.08253508486818845]
18,*,*,149.171.126.13,*,*,icmp,*,[1.5877132402714706]
19,*,*,149.171.126.13,*,*,tcp,*,[0.029460100347588957]
20,*,*,149.171.126.13,*,*,udp,*,[0.9540435390368696]
21,*,*,149.171.126.14,*,*,sctp,*,[10]
22,*,*,149.171.126.14,*,*,tcp,*,[2.6128951822905098]
23,*,*,149.171.126.14,*,*,udp,*,[1.4535777837875359]
24,*,*,149.171.126.15,*,*,icmp,*,[2.345207879911715]
25,*,*,149.171.126.15,*,*,tcp,*,[1.3398491771924708]
26,*,*,149.171.126.15,*,*,udp,*,[5.948816383357278]
27,*,*,149.171.126.16,*,*,tcp,*,[2.21946952475954]
28,*,*,149.171.126.16,*,*,udp,*,[0.267855583089362]
29,*,*,149.171.126.17,*,*,tcp,*,[0.08965181863674784]
30,*,*,149.171.126.17,*,*,udp,*,[1.9030369721385443]
31,*,*,149.171.126.18,*,*,icmp,*,[10]
32,*,*,149.171.126.18,*,*,ospf,*,[10]
33,*,*,149.171.126.18,*,*,tcp,*,[0.06586358787088961]
34,*,*,149.171.126.18,*,*,udp,*,[10]
35,*,*,149.171.126.19,*,*,tcp,*,[2.522776574397959]
36,*,*,149.171.126.19,*,*,udp,*,[0.8485299410817226]
37,*,*,149.171.126.2,*,*,tcp,*,[0.7482038364982561]
38,*,*,149.171.126.2,*,*,udp,*,[0.09091929347666541]
39,*,*,149.171.126.3,*,*,tcp,*,[1.167322975460605]
40,*,*,149.171.126.3,*,*,udp,*,[0.03189992392027879]
41,*,*,149.171.126.4,*,*,tcp,*,[1.2474591294133053]
42,*,*,149.171.126.4,*,*,udp,*,[1.6040000700252217]
43,*,*,149.171.126.5,*,*,tcp,*,[1.386102329280277]
44,*,*,149.171.126.5,*,*,udp,*,[0.14907633207088525]
45,*,*,149.171.126.6,*,*,tcp,*,[2.1561201616644206]
46,*,*,149.171.126.6,*,*,udp,*,[0.5744116865690714]
47,*,*,149.171.126.7,*,*,tcp,*,[1.7702399667599686]
48,*,*,149.171.126.7,*,*,udp,*,[0.7544074337462233]
49,*,*,149.171.126.8,*,*,tcp,*,[0.7689995718998138]
50,*,*,149.171.126.8,*,*,udp,*,[0.16697495628689105]
51,*,*,149.171.126.9,*,*,tcp,*,[0.2721438043349495]
52,*,*,149.171.126.9,*,*,udp,*,[0.9058437764391335]
53,*,*,175.45.176.0,*,*,udp,*,[0.5311128062389431]
54,*,*,175.45.176.1,*,*,icmp,*,[10]
55,*,*,175.45.176.1,*,*,udp,*,[0.039614955941911556]
56,*,*,175.45.176.2,*,*,icmp,*,[3.4641016151377544]
57,*,*,175.45.176.3,*,*,tcp,*,[10]
58,*,*,224.0.0.5,*,*,ospf,*,[3.4763439588541063]
59,*,*,59.166.0.0,*,*,tcp,*,[10]
60,*,*,59.166.0.1,*,*,tcp,*,[10]
61,*,*,59.166.0.1,*,*,udp,*,[10]
62,*,*,59.166.0.2,*,*,tcp,*,[10]
63,*,*,59.166.0.3,*,*,tcp,*,[10]
64,*,*,59.166.0.3,*,*,udp,*,[10]
65,*,*,59.166.0.4,*,*,tcp,*,[10]
66,*,*,59.166.0.4,*,*,udp,*,[10]
67,*,*,59.166.0.5,*,*,tcp,*,[10]
68,*,*,59.166.0.5,*,*,udp,*,[10]
69,*,*,59.166.0.6,*,*,tcp,*,[10]
70,*,*,59.166.0.6,*,*,udp,*,[10]
71,*,*,59.166.0.7,*,*,tcp,*,[10]
72,*,*,59.166.0.7,*,*,udp,*,[10]
73,*,*,59.166.0.8,*,*,tcp,*,[10]
74,*,*,59.166.0.8,*,*,udp,*,[10]
75,*,*,59.166.0.9,*,*,tcp,*,[10]
76,*,*,59.166.0.9,*,*,udp,*,[10]
