cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,unknown,*,INT,[3.477838527698241]
1,*,*,10.40.182.3,*,unknown,*,CON,[2.292651303622075]
2,*,*,10.40.182.3,*,unknown,*,INT,[3.3348395128594532]
3,*,*,10.40.85.1,*,unknown,*,CON,[1.1392028369236462]
4,*,*,10.40.85.30,*,unknown,*,CON,[2.7937414508601557]
5,*,*,149.171.126.0,*,dns,*,CON,[5.3497464068461635]
6,*,*,149.171.126.0,*,dns,*,INT,[10]
7,*,*,149.171.126.0,*,ftp,*,FIN,[3.8231283212086677]
8,*,*,149.171.126.0,*,http,*,CON,[10]
9,*,*,149.171.126.0,*,http,*,FIN,[7.118108215247406]
10,*,*,149.171.126.0,*,smtp,*,CON,[10]
11,*,*,149.171.126.0,*,smtp,*,FIN,[2.817507840120348]
12,*,*,149.171.126.0,*,ssh,*,FIN,[0.9128269920854463]
13,*,*,149.171.126.0,*,unknown,*,CLO,[10]
14,*,*,149.171.126.0,*,unknown,*,CON,[7.364625481001525]
15,*,*,149.171.126.0,*,unknown,*,FIN,[1.6203944390904765]
16,*,*,149.171.126.1,*,dns,*,CON,[6.540594426160211]
17,*,*,149.171.126.1,*,dns,*,INT,[10]
18,*,*,149.171.126.1,*,ftp,*,FIN,[7.402800845734899]
19,*,*,149.171.126.1,*,http,*,CON,[10]
20,*,*,149.171.126.1,*,http,*,FIN,[8.059585302621146]
21,*,*,149.171.126.1,*,smtp,*,FIN,[3.281316595624958]
22,*,*,149.171.126.1,*,ssh,*,FIN,[0.6926613129256353]
23,*,*,149.171.126.1,*,unknown,*,CON,[7.721836051331733]
24,*,*,149.171.126.1,*,unknown,*,FIN,[0.15277606342585592]
25,*,*,149.171.126.1,*,unknown,*,INT,[10]
26,*,*,149.171.126.10,*,dns,*,CON,[10]
27,*,*,149.171.126.10,*,http,*,FIN,[0.1017413842513387]
28,*,*,149.171.126.10,*,pop3,*,FIN,[10]
29,*,*,149.171.126.10,*,smtp,*,FIN,[10]
30,*,*,149.171.126.10,*,unknown,*,CON,[10]
31,*,*,149.171.126.10,*,unknown,*,FIN,[9.778857254343244]
32,*,*,149.171.126.10,*,unknown,*,INT,[0.3167449031825388]
33,*,*,149.171.126.10,*,unknown,*,TST,[10]
34,*,*,149.171.126.11,*,dhcp,*,INT,[10]
35,*,*,149.171.126.11,*,dns,*,CON,[10]
36,*,*,149.171.126.11,*,dns,*,INT,[10]
37,*,*,149.171.126.11,*,dns,*,REQ,[10]
38,*,*,149.171.126.11,*,ftp,*,FIN,[0.9622504486493761]
39,*,*,149.171.126.11,*,http,*,CON,[10]
40,*,*,149.171.126.11,*,http,*,FIN,[10]
41,*,*,149.171.126.11,*,smtp,*,FIN,[10]
42,*,*,149.171.126.11,*,snmp,*,INT,[10]
43,*,*,149.171.126.11,*,unknown,*,ECO,[10]
44,*,*,149.171.126.11,*,unknown,*,FIN,[0.5376484099756681]
45,*,*,149.171.126.11,*,unknown,*,INT,[0.7214961813688372]
46,*,*,149.171.126.12,*,http,*,FIN,[10]
47,*,*,149.171.126.12,*,pop3,*,FIN,[10]
48,*,*,149.171.126.12,*,smtp,*,FIN,[10]
49,*,*,149.171.126.12,*,unknown,*,FIN,[0.06663099742576337]
50,*,*,149.171.126.12,*,unknown,*,INT,[0.31241897683421305]
51,*,*,149.171.126.13,*,ftp,*,FIN,[0.2702227553634718]
52,*,*,149.171.126.13,*,http,*,FIN,[10]
53,*,*,149.171.126.13,*,pop3,*,FIN,[10]
54,*,*,149.171.126.13,*,smtp,*,FIN,[10]
55,*,*,149.171.126.13,*,ssh,*,FIN,[10]
56,*,*,149.171.126.13,*,unknown,*,CON,[0.2720331090971075]
57,*,*,149.171.126.13,*,unknown,*,ECO,[1.5877132402714706]
58,*,*,149.171.126.13,*,unknown,*,FIN,[0.05143713672958541]
59,*,*,149.171.126.13,*,unknown,*,INT,[0.9540435390368696]
60,*,*,149.171.126.14,*,ftp,*,FIN,[2.213176031893565]
61,*,*,149.171.126.14,*,http,*,FIN,[5.773502691896258]
62,*,*,149.171.126.14,*,pop3,*,FIN,[10]
63,*,*,149.171.126.14,*,smtp,*,FIN,[10]
64,*,*,149.171.126.14,*,unknown,*,ACC,[10]
65,*,*,149.171.126.14,*,unknown,*,CON,[10]
66,*,*,149.171.126.14,*,unknown,*,FIN,[2.139013732203445]
67,*,*,149.171.126.14,*,unknown,*,INT,[1.4608244532794081]
68,*,*,149.171.126.15,*,dns,*,FIN,[10]
69,*,*,149.171.126.15,*,ftp,*,FIN,[10]
70,*,*,149.171.126.15,*,http,*,CON,[10]
71,*,*,149.171.126.15,*,http,*,FIN,[10]
72,*,*,149.171.126.15,*,pop3,*,FIN,[10]
73,*,*,149.171.126.15,*,smtp,*,FIN,[10]
74,*,*,149.171.126.15,*,unknown,*,CON,[10]
75,*,*,149.171.126.15,*,unknown,*,ECO,[10]
76,*,*,149.171.126.15,*,unknown,*,FIN,[0.8929081854357105]
77,*,*,149.171.126.15,*,unknown,*,INT,[5.739047993709056]
78,*,*,149.171.126.15,*,unknown,*,RST,[10]
79,*,*,149.171.126.16,*,http,*,FIN,[10]
80,*,*,149.171.126.16,*,pop3,*,FIN,[10]
81,*,*,149.171.126.16,*,smtp,*,FIN,[10]
82,*,*,149.171.126.16,*,snmp,*,INT,[10]
83,*,*,149.171.126.16,*,unknown,*,CON,[10]
84,*,*,149.171.126.16,*,unknown,*,FIN,[1.7481995605653664]
85,*,*,149.171.126.16,*,unknown,*,INT,[0.2302110146551814]
86,*,*,149.171.126.17,*,dhcp,*,CON,[10]
87,*,*,149.171.126.17,*,ftp,*,FIN,[0.12830005981991682]
88,*,*,149.171.126.17,*,http,*,FIN,[10]
89,*,*,149.171.126.17,*,pop3,*,FIN,[10]
90,*,*,149.171.126.17,*,smtp,*,FIN,[10]
91,*,*,149.171.126.17,*,unknown,*,CON,[10]
92,*,*,149.171.126.17,*,unknown,*,FIN,[1.1047118188342355]
93,*,*,149.171.126.17,*,unknown,*,INT,[1.753100725848841]
94,*,*,149.171.126.18,*,dns,*,INT,[10]
95,*,*,149.171.126.18,*,http,*,FIN,[10]
96,*,*,149.171.126.18,*,pop3,*,FIN,[10]
97,*,*,149.171.126.18,*,smtp,*,FIN,[10]
98,*,*,149.171.126.18,*,unknown,*,CON,[0.35710700261067124]
99,*,*,149.171.126.18,*,unknown,*,ECO,[10]
100,*,*,149.171.126.18,*,unknown,*,FIN,[1.2989052754639374]
101,*,*,149.171.126.18,*,unknown,*,INT,[0.7054443172778704]
102,*,*,149.171.126.19,*,ftp,*,FIN,[0.2474358296526967]
103,*,*,149.171.126.19,*,http,*,FIN,[0.3461933377038536]
104,*,*,149.171.126.19,*,smtp,*,FIN,[10]
105,*,*,149.171.126.19,*,unknown,*,CLO,[10]
106,*,*,149.171.126.19,*,unknown,*,CON,[10]
107,*,*,149.171.126.19,*,unknown,*,FIN,[2.951705966482881]
108,*,*,149.171.126.19,*,unknown,*,INT,[0.7348094335140691]
109,*,*,149.171.126.19,*,unknown,*,REQ,[10]
110,*,*,149.171.126.2,*,dns,*,CON,[5.904907248295367]
111,*,*,149.171.126.2,*,ftp,*,FIN,[2.549180327868852]
112,*,*,149.171.126.2,*,http,*,CON,[1.5877132402714706]
113,*,*,149.171.126.2,*,http,*,FIN,[4.7902556721385645]
114,*,*,149.171.126.2,*,smtp,*,CON,[10]
115,*,*,149.171.126.2,*,smtp,*,FIN,[3.9006878080987906]
116,*,*,149.171.126.2,*,ssh,*,FIN,[1.273859743540175]
117,*,*,149.171.126.2,*,unknown,*,CON,[9.29316664311309]
118,*,*,149.171.126.2,*,unknown,*,FIN,[0.5629689177935565]
119,*,*,149.171.126.2,*,unknown,*,INT,[10]
120,*,*,149.171.126.3,*,dns,*,CON,[7.516408052800915]
121,*,*,149.171.126.3,*,dns,*,INT,[10]
