cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,unknown,*,*,[3.477838527698241]
1,*,*,10.40.182.3,*,unknown,*,*,[2.856108005866807]
2,*,*,10.40.85.1,*,unknown,*,*,[1.1392028369236462]
3,*,*,10.40.85.30,*,unknown,*,*,[2.7937414508601557]
4,*,*,149.171.126.0,*,dns,*,*,[5.306961600147301]
5,*,*,149.171.126.0,*,ftp,*,*,[3.8231283212086677]
6,*,*,149.171.126.0,*,http,*,*,[7.059861653286805]
7,*,*,149.171.126.0,*,smtp,*,*,[2.6639329892961783]
8,*,*,149.171.126.0,*,ssh,*,*,[0.9128269920854463]
9,*,*,149.171.126.0,*,unknown,*,*,[3.6948653466199293]
10,*,*,149.171.126.1,*,dns,*,*,[6.515747048153173]
11,*,*,149.171.126.1,*,ftp,*,*,[7.402800845734899]
12,*,*,149.171.126.1,*,http,*,*,[7.981410657777094]
13,*,*,149.171.126.1,*,smtp,*,*,[3.281316595624958]
14,*,*,149.171.126.1,*,ssh,*,*,[0.6926613129256353]
15,*,*,149.171.126.1,*,unknown,*,*,[2.523884329187326]
16,*,*,149.171.126.10,*,dns,*,*,[10]
17,*,*,149.171.126.10,*,http,*,*,[0.1017413842513387]
18,*,*,149.171.126.10,*,pop3,*,*,[10]
19,*,*,149.171.126.10,*,smtp,*,*,[10]
20,*,*,149.171.126.10,*,unknown,*,*,[2.2695004036216964]
21,*,*,149.171.126.11,*,dhcp,*,*,[10]
22,*,*,149.171.126.11,*,dns,*,*,[10]
23,*,*,149.171.126.11,*,ftp,*,*,[0.9622504486493761]
24,*,*,149.171.126.11,*,http,*,*,[10]
25,*,*,149.171.126.11,*,smtp,*,*,[10]
26,*,*,149.171.126.11,*,snmp,*,*,[10]
27,*,*,149.171.126.11,*,unknown,*,*,[0.4188014637376792]
28,*,*,149.171.126.12,*,http,*,*,[10]
29,*,*,149.171.126.12,*,pop3,*,*,[10]
30,*,*,149.171.126.12,*,smtp,*,*,[10]
31,*,*,149.171.126.12,*,unknown,*,*,[0.23395159667929777]
32,*,*,149.171.126.13,*,ftp,*,*,[0.2702227553634718]
33,*,*,149.171.126.13,*,http,*,*,[10]
34,*,*,149.171.126.13,*,pop3,*,*,[10]
35,*,*,149.171.126.13,*,smtp,*,*,[10]
36,*,*,149.171.126.13,*,ssh,*,*,[0.08660254037844387]
37,*,*,149.171.126.13,*,unknown,*,*,[0.2320080705953014]
38,*,*,149.171.126.14,*,ftp,*,*,[2.213176031893565]
39,*,*,149.171.126.14,*,http,*,*,[5.773502691896258]
40,*,*,149.171.126.14,*,pop3,*,*,[10]
41,*,*,149.171.126.14,*,smtp,*,*,[10]
42,*,*,149.171.126.14,*,unknown,*,*,[2.7556208474239536]
43,*,*,149.171.126.15,*,dns,*,*,[10]
44,*,*,149.171.126.15,*,ftp,*,*,[10]
45,*,*,149.171.126.15,*,http,*,*,[10]
46,*,*,149.171.126.15,*,pop3,*,*,[10]
47,*,*,149.171.126.15,*,smtp,*,*,[10]
48,*,*,149.171.126.15,*,unknown,*,*,[1.335690218349391]
49,*,*,149.171.126.16,*,http,*,*,[10]
50,*,*,149.171.126.16,*,pop3,*,*,[10]
51,*,*,149.171.126.16,*,smtp,*,*,[10]
52,*,*,149.171.126.16,*,snmp,*,*,[10]
53,*,*,149.171.126.16,*,unknown,*,*,[1.3182411337262914]
54,*,*,149.171.126.17,*,dhcp,*,*,[10]
55,*,*,149.171.126.17,*,ftp,*,*,[0.12830005981991682]
56,*,*,149.171.126.17,*,http,*,*,[10]
57,*,*,149.171.126.17,*,pop3,*,*,[10]
58,*,*,149.171.126.17,*,smtp,*,*,[10]
59,*,*,149.171.126.17,*,unknown,*,*,[0.06648183234917483]
60,*,*,149.171.126.18,*,dns,*,*,[10]
61,*,*,149.171.126.18,*,http,*,*,[10]
62,*,*,149.171.126.18,*,pop3,*,*,[10]
63,*,*,149.171.126.18,*,smtp,*,*,[10]
64,*,*,149.171.126.18,*,unknown,*,*,[0.026082771919535834]
65,*,*,149.171.126.19,*,ftp,*,*,[0.2474358296526967]
66,*,*,149.171.126.19,*,http,*,*,[0.3462927284779403]
67,*,*,149.171.126.19,*,smtp,*,*,[10]
68,*,*,149.171.126.19,*,unknown,*,*,[10]
69,*,*,149.171.126.2,*,dns,*,*,[5.904907248295367]
70,*,*,149.171.126.2,*,ftp,*,*,[2.556657165784524]
71,*,*,149.171.126.2,*,http,*,*,[4.746244751351856]
72,*,*,149.171.126.2,*,smtp,*,*,[3.708971583126071]
73,*,*,149.171.126.2,*,ssh,*,*,[1.2746273391790761]
74,*,*,149.171.126.2,*,unknown,*,*,[2.6136526956477795]
75,*,*,149.171.126.3,*,dns,*,*,[7.485239534559636]
76,*,*,149.171.126.3,*,ftp,*,*,[2.512742854329185]
77,*,*,149.171.126.3,*,http,*,*,[4.9839045537349875]
78,*,*,149.171.126.3,*,smtp,*,*,[3.3653814550603682]
79,*,*,149.171.126.3,*,ssh,*,*,[0.9369524396246467]
80,*,*,149.171.126.3,*,unknown,*,*,[4.138678863291449]
81,*,*,149.171.126.4,*,dns,*,*,[9.062326215142118]
82,*,*,149.171.126.4,*,ftp,*,*,[3.1536050095264017]
83,*,*,149.171.126.4,*,http,*,*,[8.33697843431924]
84,*,*,149.171.126.4,*,smtp,*,*,[3.386166228262931]
85,*,*,149.171.126.4,*,ssh,*,*,[0.8322269298653194]
86,*,*,149.171.126.4,*,unknown,*,*,[1.6786279556283643]
87,*,*,149.171.126.5,*,dns,*,*,[5.0278029248092295]
88,*,*,149.171.126.5,*,ftp,*,*,[2.8036254909288405]
89,*,*,149.171.126.5,*,http,*,*,[4.888918632070095]
90,*,*,149.171.126.5,*,smtp,*,*,[2.875917211699838]
91,*,*,149.171.126.5,*,ssh,*,*,[1.0269905604313097]
92,*,*,149.171.126.5,*,unknown,*,*,[2.3913938254678535]
93,*,*,149.171.126.6,*,dns,*,*,[5.3257362447390735]
94,*,*,149.171.126.6,*,ftp,*,*,[4.151864557779708]
95,*,*,149.171.126.6,*,http,*,*,[6.404336919177104]
96,*,*,149.171.126.6,*,smtp,*,*,[5.053290255829329]
97,*,*,149.171.126.6,*,ssh,*,*,[0.7654573204612724]
98,*,*,149.171.126.6,*,unknown,*,*,[1.7816975086082818]
99,*,*,149.171.126.7,*,dns,*,*,[6.540923624758946]
100,*,*,149.171.126.7,*,ftp,*,*,[3.8721788799361168]
101,*,*,149.171.126.7,*,http,*,*,[7.31828571400972]
102,*,*,149.171.126.7,*,smtp,*,*,[3.1705590934660117]
103,*,*,149.171.126.7,*,ssh,*,*,[1.6437536744907069]
104,*,*,149.171.126.7,*,unknown,*,*,[1.7613265833403646]
105,*,*,149.171.126.8,*,dns,*,*,[7.8430495156770705]
106,*,*,149.171.126.8,*,ftp,*,*,[1.9070592826049926]
107,*,*,149.171.126.8,*,http,*,*,[5.588611256295144]
108,*,*,149.171.126.8,*,smtp,*,*,[2.718564457738188]
109,*,*,149.171.126.8,*,ssh,*,*,[1.161191689391071]
110,*,*,149.171.126.8,*,unknown,*,*,[3.901917478160833]
111,*,*,149.171.126.9,*,dns,*,*,[5.509060489298286]
112,*,*,149.171.126.9,*,ftp,*,*,[2.56733736307552]
113,*,*,149.171.126.9,*,http,*,*,[4.7700135453783945]
114,*,*,149.171.126.9,*,smtp,*,*,[4.010075612570665]
115,*,*,149.171.126.9,*,ssh,*,*,[0.9884148953275864]
116,*,*,149.171.126.9,*,unknown,*,*,[3.268878801962324]
117,*,*,175.45.176.0,*,unknown,*,*,[0.3778418849234836]
118,*,*,175.45.176.1,*,dns,*,*,[0.042728990370492596]
119,*,*,175.45.176.1,*,unknown,*,*,[10]
120,*,*,175.45.176.2,*,unknown,*,*,[1.1430011430017146]
121,*,*,175.45.176.3,*,unknown,*,*,[10]
122,*,*,224.0.0.5,*,unknown,*,*,[3.4763439588541063]
123,*,*,59.166.0.0,*,unknown,*,*,[10]
124,*,*,59.166.0.1,*,unknown,*,*,[10]
125,*,*,59.166.0.2,*,unknown,*,*,[10]
126,*,*,59.166.0.3,*,unknown,*,*,[10]
127,*,*,59.166.0.4,*,unknown,*,*,[10]
128,*,*,59.166.0.5,*,unknown,*,*,[10]
129,*,*,59.166.0.6,*,unknown,*,*,[10]
130,*,*,59.166.0.7,*,unknown,*,*,[10]
131,*,*,59.166.0.8,*,unknown,*,*,[10]
132,*,*,59.166.0.9,*,unknown,*,*,[10]
