cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,unknown,arp,INT,[3.477838527698241]
1,*,*,10.40.182.3,*,unknown,arp,CON,[2.292651303622075]
2,*,*,10.40.182.3,*,unknown,arp,INT,[3.3348395128594532]
3,*,*,10.40.85.1,*,unknown,arp,CON,[1.1392028369236462]
4,*,*,10.40.85.30,*,unknown,arp,CON,[2.7937414508601557]
5,*,*,149.171.126.0,*,dns,udp,CON,[5.3497464068461635]
6,*,*,149.171.126.0,*,dns,udp,INT,[10]
7,*,*,149.171.126.0,*,ftp,tcp,FIN,[3.8231283212086677]
8,*,*,149.171.126.0,*,http,tcp,CON,[10]
9,*,*,149.171.126.0,*,http,tcp,FIN,[7.118108215247406]
10,*,*,149.171.126.0,*,smtp,tcp,CON,[10]
11,*,*,149.171.126.0,*,smtp,tcp,FIN,[2.817507840120348]
12,*,*,149.171.126.0,*,ssh,tcp,FIN,[0.9128269920854463]
13,*,*,149.171.126.0,*,unknown,tcp,CLO,[10]
14,*,*,149.171.126.0,*,unknown,tcp,CON,[10]
15,*,*,149.171.126.0,*,unknown,tcp,FIN,[1.6203944390904765]
16,*,*,149.171.126.0,*,unknown,udp,CON,[6.860153511971989]
17,*,*,149.171.126.1,*,dns,udp,CON,[6.540594426160211]
18,*,*,149.171.126.1,*,dns,udp,INT,[10]
19,*,*,149.171.126.1,*,ftp,tcp,FIN,[7.402800845734899]
20,*,*,149.171.126.1,*,http,tcp,CON,[10]
21,*,*,149.171.126.1,*,http,tcp,FIN,[8.059585302621146]
22,*,*,149.171.126.1,*,smtp,tcp,FIN,[3.281316595624958]
23,*,*,149.171.126.1,*,ssh,tcp,FIN,[0.6926613129256353]
24,*,*,149.171.126.1,*,unknown,tcp,CON,[10]
25,*,*,149.171.126.1,*,unknown,tcp,FIN,[0.15277606342585592]
26,*,*,149.171.126.1,*,unknown,udp,CON,[7.2263786532811904]
27,*,*,149.171.126.1,*,unknown,udp,INT,[10]
28,*,*,149.171.126.10,*,dns,udp,CON,[10]
29,*,*,149.171.126.10,*,http,tcp,FIN,[0.1017413842513387]
30,*,*,149.171.126.10,*,pop3,tcp,FIN,[10]
31,*,*,149.171.126.10,*,smtp,tcp,FIN,[10]
32,*,*,149.171.126.10,*,unknown,icmp,TST,[10]
