cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,*,unknown,arp,*,[3.477838527698241]
1,*,*,10.40.182.3,*,unknown,arp,*,[2.856108005866807]
2,*,*,10.40.85.1,*,unknown,arp,*,[1.1392028369236462]
3,*,*,10.40.85.30,*,unknown,arp,*,[2.7937414508601557]
4,*,*,149.171.126.0,*,dns,udp,*,[5.306961600147301]
5,*,*,149.171.126.0,*,ftp,tcp,*,[3.8231283212086677]
6,*,*,149.171.126.0,*,http,tcp,*,[7.059861653286805]
7,*,*,149.171.126.0,*,smtp,tcp,*,[2.6639329892961783]
8,*,*,149.171.126.0,*,ssh,tcp,*,[0.9128269920854463]
9,*,*,149.171.126.0,*,unknown,tcp,*,[1.7854545486909348]
10,*,*,149.171.126.0,*,unknown,udp,*,[6.860153511971989]
11,*,*,149.171.126.1,*,dns,udp,*,[6.515747048153173]
12,*,*,149.171.126.1,*,ftp,tcp,*,[7.402800845734899]
13,*,*,149.171.126.1,*,http,tcp,*,[7.981410657777094]
14,*,*,149.171.126.1,*,smtp,tcp,*,[3.281316595624958]
15,*,*,149.171.126.1,*,ssh,tcp,*,[0.6926613129256353]
16,*,*,149.171.126.1,*,unknown,tcp,*,[0.2809267150480955]
17,*,*,149.171.126.1,*,unknown,udp,*,[7.258839925738915]
18,*,*,149.171.126.10,*,dns,udp,*,[10]
19,*,*,149.171.126.10,*,http,tcp,*,[0.1017413842513387]
20,*,*,149.171.126.10,*,pop3,tcp,*,[10]
21,*,*,149.171.126.10,*,smtp,tcp,*,[10]
22,*,*,149.171.126.10,*,unknown,icmp,*,[3.4641016151377544]
23,*,*,149.171.126.10,*,unknown,tcp,*,[9.852627517867909]
24,*,*,149.171.126.10,*,unknown,udp,*,[0.31909303052217397]
25,*,*,149.171.126.11,*,dhcp,udp,*,[10]
26,*,*,149.171.126.11,*,dns,udp,*,[10]
27,*,*,149.171.126.11,*,ftp,tcp,*,[0.9622504486493761]
28,*,*,149.171.126.11,*,http,tcp,*,[10]
29,*,*,149.171.126.11,*,smtp,tcp,*,[10]
30,*,*,149.171.126.11,*,snmp,udp,*,[10]
31,*,*,149.171.126.11,*,unknown,icmp,*,[10]
32,*,*,149.171.126.11,*,unknown,sctp,*,[10]
33,*,*,149.171.126.11,*,unknown,tcp,*,[0.30462387987102685]
34,*,*,149.171.126.11,*,unknown,udp,*,[0.5767191849811703]
35,*,*,149.171.126.12,*,http,tcp,*,[10]
36,*,*,149.171.126.12,*,pop3,tcp,*,[10]
37,*,*,149.171.126.12,*,smtp,tcp,*,[10]
38,*,*,149.171.126.12,*,unknown,ospf,*,[10]
39,*,*,149.171.126.12,*,unknown,tcp,*,[0.0642106053707877]
40,*,*,149.171.126.12,*,unknown,udp,*,[0.08497796169890594]
41,*,*,149.171.126.13,*,ftp,tcp,*,[0.2702227553634718]
42,*,*,149.171.126.13,*,http,tcp,*,[10]
43,*,*,149.171.126.13,*,pop3,tcp,*,[10]
44,*,*,149.171.126.13,*,smtp,tcp,*,[10]
45,*,*,149.171.126.13,*,ssh,tcp,*,[0.08660254037844387]
46,*,*,149.171.126.13,*,unknown,icmp,*,[1.5877132402714706]
47,*,*,149.171.126.13,*,unknown,tcp,*,[0.14016586137462578]
48,*,*,149.171.126.13,*,unknown,udp,*,[0.9540435390368696]
49,*,*,149.171.126.14,*,ftp,tcp,*,[2.213176031893565]
50,*,*,149.171.126.14,*,http,tcp,*,[5.773502691896258]
51,*,*,149.171.126.14,*,pop3,tcp,*,[10]
52,*,*,149.171.126.14,*,smtp,tcp,*,[10]
53,*,*,149.171.126.14,*,unknown,sctp,*,[10]
54,*,*,149.171.126.14,*,unknown,tcp,*,[2.1520505339713516]
55,*,*,149.171.126.14,*,unknown,udp,*,[1.4535777837875359]
56,*,*,149.171.126.15,*,dns,tcp,*,[10]
57,*,*,149.171.126.15,*,ftp,tcp,*,[10]
58,*,*,149.171.126.15,*,http,tcp,*,[10]
59,*,*,149.171.126.15,*,pop3,tcp,*,[10]
60,*,*,149.171.126.15,*,smtp,tcp,*,[10]
61,*,*,149.171.126.15,*,unknown,icmp,*,[2.345207879911715]
62,*,*,149.171.126.15,*,unknown,tcp,*,[0.5499205023828896]
63,*,*,149.171.126.15,*,unknown,udp,*,[5.948816383357278]
64,*,*,149.171.126.16,*,http,tcp,*,[10]
65,*,*,149.171.126.16,*,pop3,tcp,*,[10]
66,*,*,149.171.126.16,*,smtp,tcp,*,[10]
67,*,*,149.171.126.16,*,snmp,udp,*,[10]
68,*,*,149.171.126.16,*,unknown,tcp,*,[1.6922944438302827]
69,*,*,149.171.126.16,*,unknown,udp,*,[0.2490332988722717]
70,*,*,149.171.126.17,*,dhcp,udp,*,[10]
71,*,*,149.171.126.17,*,ftp,tcp,*,[0.12830005981991682]
72,*,*,149.171.126.17,*,http,tcp,*,[10]
73,*,*,149.171.126.17,*,pop3,tcp,*,[10]
74,*,*,149.171.126.17,*,smtp,tcp,*,[10]
75,*,*,149.171.126.17,*,unknown,tcp,*,[0.08577238576159776]
