cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,0,*,*,INT,[3.477838527698241]
1,*,*,10.40.182.3,0,*,*,CON,[2.292651303622075]
2,*,*,10.40.182.3,0,*,*,INT,[3.3348395128594532]
3,*,*,10.40.85.1,0,*,*,CON,[1.1392028369236462]
4,*,*,10.40.85.30,0,*,*,CON,[2.7937414508601557]
5,*,*,149.171.126.0,10024,*,*,FIN,[10]
6,*,*,149.171.126.0,10046,*,*,FIN,[10]
7,*,*,149.171.126.0,10133,*,*,FIN,[10]
8,*,*,149.171.126.0,10145,*,*,FIN,[10]
9,*,*,149.171.126.0,10195,*,*,FIN,[10]
10,*,*,149.171.126.0,10201,*,*,FIN,[10]
11,*,*,149.171.126.0,10259,*,*,FIN,[10]
12,*,*,149.171.126.0,10274,*,*,FIN,[10]
13,*,*,149.171.126.0,10305,*,*,FIN,[10]
14,*,*,149.171.126.0,10338,*,*,FIN,[10]
15,*,*,149.171.126.0,10415,*,*,FIN,[10]
16,*,*,149.171.126.0,10417,*,*,FIN,[10]
17,*,*,149.171.126.0,10434,*,*,CON,[10]
18,*,*,149.171.126.0,10491,*,*,FIN,[10]
19,*,*,149.171.126.0,1071,*,*,FIN,[10]
20,*,*,149.171.126.0,1073,*,*,FIN,[10]
21,*,*,149.171.126.0,10849,*,*,FIN,[10]
22,*,*,149.171.126.0,10866,*,*,FIN,[10]
23,*,*,149.171.126.0,1090,*,*,FIN,[10]
24,*,*,149.171.126.0,10934,*,*,FIN,[10]
25,*,*,149.171.126.0,10951,*,*,FIN,[10]
26,*,*,149.171.126.0,11013,*,*,FIN,[10]
27,*,*,149.171.126.0,11015,*,*,FIN,[10]
28,*,*,149.171.126.0,1106,*,*,CON,[10]
29,*,*,149.171.126.0,11076,*,*,FIN,[10]
30,*,*,149.171.126.0,111,*,*,CON,[0.9218243987387434]
31,*,*,149.171.126.0,11120,*,*,FIN,[10]
32,*,*,149.171.126.0,11191,*,*,FIN,[10]
33,*,*,149.171.126.0,11213,*,*,FIN,[10]
34,*,*,149.171.126.0,11227,*,*,FIN,[10]
35,*,*,149.171.126.0,11344,*,*,FIN,[10]
36,*,*,149.171.126.0,11573,*,*,FIN,[10]
37,*,*,149.171.126.0,11853,*,*,FIN,[10]
38,*,*,149.171.126.0,11897,*,*,FIN,[10]
39,*,*,149.171.126.0,1191,*,*,FIN,[10]
40,*,*,149.171.126.0,1195,*,*,CON,[10]
41,*,*,149.171.126.0,11962,*,*,FIN,[10]
42,*,*,149.171.126.0,11966,*,*,FIN,[10]
43,*,*,149.171.126.0,12074,*,*,FIN,[10]
44,*,*,149.171.126.0,12116,*,*,FIN,[10]
45,*,*,149.171.126.0,12150,*,*,FIN,[10]
46,*,*,149.171.126.0,12180,*,*,FIN,[10]
47,*,*,149.171.126.0,12199,*,*,CON,[10]
48,*,*,149.171.126.0,12215,*,*,FIN,[10]
49,*,*,149.171.126.0,12218,*,*,FIN,[10]
50,*,*,149.171.126.0,12269,*,*,FIN,[10]
51,*,*,149.171.126.0,1229,*,*,CON,[10]
52,*,*,149.171.126.0,1240,*,*,FIN,[10]
53,*,*,149.171.126.0,1247,*,*,FIN,[10]
54,*,*,149.171.126.0,12532,*,*,FIN,[10]
55,*,*,149.171.126.0,12704,*,*,CON,[10]
56,*,*,149.171.126.0,12816,*,*,FIN,[10]
57,*,*,149.171.126.0,12893,*,*,CON,[10]
58,*,*,149.171.126.0,12925,*,*,FIN,[10]
59,*,*,149.171.126.0,12954,*,*,FIN,[10]
60,*,*,149.171.126.0,12987,*,*,FIN,[10]
61,*,*,149.171.126.0,1304,*,*,FIN,[10]
62,*,*,149.171.126.0,13051,*,*,FIN,[10]
63,*,*,149.171.126.0,13082,*,*,CON,[10]
64,*,*,149.171.126.0,13103,*,*,FIN,[10]
65,*,*,149.171.126.0,13281,*,*,FIN,[10]
66,*,*,149.171.126.0,13335,*,*,FIN,[10]
67,*,*,149.171.126.0,13379,*,*,FIN,[10]
68,*,*,149.171.126.0,13416,*,*,FIN,[10]
69,*,*,149.171.126.0,13637,*,*,FIN,[10]
70,*,*,149.171.126.0,13644,*,*,FIN,[10]
71,*,*,149.171.126.0,13648,*,*,CON,[10]
72,*,*,149.171.126.0,1368,*,*,FIN,[10]
73,*,*,149.171.126.0,13833,*,*,CON,[10]
74,*,*,149.171.126.0,13893,*,*,FIN,[10]
75,*,*,149.171.126.0,13927,*,*,FIN,[10]
76,*,*,149.171.126.0,1397,*,*,FIN,[0.2474358296526968]
77,*,*,149.171.126.0,1399,*,*,FIN,[10]
78,*,*,149.171.126.0,14023,*,*,FIN,[10]
79,*,*,149.171.126.0,14057,*,*,FIN,[10]
80,*,*,149.171.126.0,14118,*,*,FIN,[10]
81,*,*,149.171.126.0,14148,*,*,FIN,[10]
82,*,*,149.171.126.0,143,*,*,CON,[1.5877132402714706]
83,*,*,149.171.126.0,143,*,*,FIN,[0.2352002315818805]
84,*,*,149.171.126.0,14445,*,*,FIN,[10]
85,*,*,149.171.126.0,14510,*,*,FIN,[10]
86,*,*,149.171.126.0,14614,*,*,FIN,[10]
87,*,*,149.171.126.0,14717,*,*,CON,[10]
88,*,*,149.171.126.0,14746,*,*,FIN,[10]
89,*,*,149.171.126.0,14807,*,*,FIN,[10]
90,*,*,149.171.126.0,14864,*,*,FIN,[10]
91,*,*,149.171.126.0,14924,*,*,FIN,[10]
92,*,*,149.171.126.0,14951,*,*,FIN,[10]
93,*,*,149.171.126.0,15050,*,*,FIN,[10]
94,*,*,149.171.126.0,15156,*,*,FIN,[10]
95,*,*,149.171.126.0,1516,*,*,FIN,[10]
96,*,*,149.171.126.0,15183,*,*,FIN,[10]
97,*,*,149.171.126.0,15204,*,*,FIN,[10]
98,*,*,149.171.126.0,15251,*,*,FIN,[10]
99,*,*,149.171.126.0,15292,*,*,FIN,[10]
100,*,*,149.171.126.0,1537,*,*,CON,[10]
101,*,*,149.171.126.0,15422,*,*,FIN,[10]
102,*,*,149.171.126.0,15447,*,*,FIN,[10]
103,*,*,149.171.126.0,15451,*,*,CON,[10]
104,*,*,149.171.126.0,15497,*,*,FIN,[10]
105,*,*,149.171.126.0,15508,*,*,FIN,[10]
106,*,*,149.171.126.0,15528,*,*,FIN,[10]
107,*,*,149.171.126.0,15548,*,*,FIN,[10]
108,*,*,149.171.126.0,15555,*,*,CON,[10]
109,*,*,149.171.126.0,15642,*,*,FIN,[10]
