cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,0,*,*,*,[3.477838527698241]
1,*,*,10.40.182.3,0,*,*,*,[2.856108005866807]
2,*,*,10.40.85.1,0,*,*,*,[1.1392028369236462]
3,*,*,10.40.85.30,0,*,*,*,[2.7937414508601557]
4,*,*,149.171.126.0,10024,*,*,*,[10]
5,*,*,149.171.126.0,10046,*,*,*,[10]
6,*,*,149.171.126.0,10133,*,*,*,[10]
7,*,*,149.171.126.0,10145,*,*,*,[10]
8,*,*,149.171.126.0,10195,*,*,*,[10]
9,*,*,149.171.126.0,10201,*,*,*,[10]
10,*,*,149.171.126.0,10259,*,*,*,[10]
11,*,*,149.171.126.0,10274,*,*,*,[10]
12,*,*,149.171.126.0,10305,*,*,*,[10]
13,*,*,149.171.126.0,10338,*,*,*,[10]
14,*,*,149.171.126.0,10415,*,*,*,[10]
15,*,*,149.171.126.0,10417,*,*,*,[10]
16,*,*,149.171.126.0,10434,*,*,*,[10]
17,*,*,149.171.126.0,10491,*,*,*,[10]
18,*,*,149.171.126.0,1071,*,*,*,[10]
19,*,*,149.171.126.0,1073,*,*,*,[10]
20,*,*,149.171.126.0,10849,*,*,*,[10]
21,*,*,149.171.126.0,10866,*,*,*,[10]
22,*,*,149.171.126.0,1090,*,*,*,[10]
23,*,*,149.171.126.0,10934,*,*,*,[10]
24,*,*,149.171.126.0,10951,*,*,*,[10]
25,*,*,149.171.126.0,11013,*,*,*,[10]
26,*,*,149.171.126.0,11015,*,*,*,[10]
27,*,*,149.171.126.0,1106,*,*,*,[10]
28,*,*,149.171.126.0,11076,*,*,*,[10]
29,*,*,149.171.126.0,111,*,*,*,[0.9218243987387434]
30,*,*,149.171.126.0,11120,*,*,*,[10]
31,*,*,149.171.126.0,11191,*,*,*,[10]
32,*,*,149.171.126.0,11213,*,*,*,[10]
33,*,*,149.171.126.0,11227,*,*,*,[10]
34,*,*,149.171.126.0,11344,*,*,*,[10]
35,*,*,149.171.126.0,11573,*,*,*,[10]
36,*,*,149.171.126.0,11853,*,*,*,[10]
37,*,*,149.171.126.0,11897,*,*,*,[10]
38,*,*,149.171.126.0,1191,*,*,*,[10]
39,*,*,149.171.126.0,1195,*,*,*,[10]
40,*,*,149.171.126.0,11962,*,*,*,[10]
41,*,*,149.171.126.0,11966,*,*,*,[10]
42,*,*,149.171.126.0,12074,*,*,*,[10]
43,*,*,149.171.126.0,12116,*,*,*,[10]
44,*,*,149.171.126.0,12150,*,*,*,[10]
45,*,*,149.171.126.0,12180,*,*,*,[10]
46,*,*,149.171.126.0,12199,*,*,*,[10]
47,*,*,149.171.126.0,12215,*,*,*,[10]
48,*,*,149.171.126.0,12218,*,*,*,[10]
49,*,*,149.171.126.0,12269,*,*,*,[10]
50,*,*,149.171.126.0,1229,*,*,*,[10]
51,*,*,149.171.126.0,1240,*,*,*,[10]
52,*,*,149.171.126.0,1247,*,*,*,[10]
53,*,*,149.171.126.0,12532,*,*,*,[10]
54,*,*,149.171.126.0,12704,*,*,*,[10]
55,*,*,149.171.126.0,12816,*,*,*,[10]
56,*,*,149.171.126.0,12893,*,*,*,[10]
57,*,*,149.171.126.0,12925,*,*,*,[10]
58,*,*,149.171.126.0,12954,*,*,*,[10]
59,*,*,149.171.126.0,12987,*,*,*,[10]
60,*,*,149.171.126.0,1304,*,*,*,[10]
61,*,*,149.171.126.0,13051,*,*,*,[10]
62,*,*,149.171.126.0,13082,*,*,*,[10]
63,*,*,149.171.126.0,13103,*,*,*,[10]
64,*,*,149.171.126.0,13281,*,*,*,[10]
65,*,*,149.171.126.0,13335,*,*,*,[10]
66,*,*,149.171.126.0,13379,*,*,*,[10]
67,*,*,149.171.126.0,13416,*,*,*,[10]
68,*,*,149.171.126.0,13637,*,*,*,[10]
69,*,*,149.171.126.0,13644,*,*,*,[10]
70,*,*,149.171.126.0,13648,*,*,*,[10]
71,*,*,149.171.126.0,1368,*,*,*,[10]
72,*,*,149.171.126.0,13833,*,*,*,[10]
73,*,*,149.171.126.0,13893,*,*,*,[10]
74,*,*,149.171.126.0,13927,*,*,*,[10]
75,*,*,149.171.126.0,1397,*,*,*,[0.2474358296526968]
76,*,*,149.171.126.0,1399,*,*,*,[10]
77,*,*,149.171.126.0,14023,*,*,*,[10]
78,*,*,149.171.126.0,14057,*,*,*,[10]
79,*,*,149.171.126.0,14118,*,*,*,[10]
80,*,*,149.171.126.0,14148,*,*,*,[10]
81,*,*,149.171.126.0,143,*,*,*,[0.13184297886274307]
82,*,*,149.171.126.0,14445,*,*,*,[10]
83,*,*,149.171.126.0,14510,*,*,*,[10]
84,*,*,149.171.126.0,14614,*,*,*,[10]
85,*,*,149.171.126.0,14717,*,*,*,[10]
86,*,*,149.171.126.0,14746,*,*,*,[10]
87,*,*,149.171.126.0,14807,*,*,*,[10]
88,*,*,149.171.126.0,14864,*,*,*,[10]
89,*,*,149.171.126.0,14924,*,*,*,[10]
90,*,*,149.171.126.0,14951,*,*,*,[10]
91,*,*,149.171.126.0,15050,*,*,*,[10]
92,*,*,149.171.126.0,15156,*,*,*,[10]
93,*,*,149.171.126.0,1516,*,*,*,[10]
94,*,*,149.171.126.0,15183,*,*,*,[10]
95,*,*,149.171.126.0,15204,*,*,*,[10]
96,*,*,149.171.126.0,15251,*,*,*,[10]
97,*,*,149.171.126.0,15292,*,*,*,[10]
98,*,*,149.171.126.0,1537,*,*,*,[10]
99,*,*,149.171.126.0,15422,*,*,*,[10]
100,*,*,149.171.126.0,15447,*,*,*,[10]
101,*,*,149.171.126.0,15451,*,*,*,[10]
102,*,*,149.171.126.0,15497,*,*,*,[10]
103,*,*,149.171.126.0,15508,*,*,*,[10]
104,*,*,149.171.126.0,15528,*,*,*,[10]
105,*,*,149.171.126.0,15548,*,*,*,[10]
106,*,*,149.171.126.0,15555,*,*,*,[10]
107,*,*,149.171.126.0,15642,*,*,*,[10]
108,*,*,149.171.126.0,1576,*,*,*,[10]
109,*,*,149.171.126.0,15834,*,*,*,[10]
110,*,*,149.171.126.0,15885,*,*,*,[10]
111,*,*,149.171.126.0,15903,*,*,*,[1.5877132402714706]
112,*,*,149.171.126.0,15951,*,*,*,[10]
113,*,*,149.171.126.0,15975,*,*,*,[10]
114,*,*,149.171.126.0,16028,*,*,*,[10]
115,*,*,149.171.126.0,16241,*,*,*,[10]
116,*,*,149.171.126.0,16249,*,*,*,[10]
117,*,*,149.171.126.0,16340,*,*,*,[10]
118,*,*,149.171.126.0,16368,*,*,*,[10]
119,*,*,149.171.126.0,16403,*,*,*,[10]
120,*,*,149.171.126.0,1642,*,*,*,[10]
121,*,*,149.171.126.0,16420,*,*,*,[10]
122,*,*,149.171.126.0,16478,*,*,*,[10]
123,*,*,149.171.126.0,1650,*,*,*,[10]
