cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,10.40.170.2,0,unknown,arp,*,[3.477838527698241]
1,*,*,10.40.182.3,0,unknown,arp,*,[2.856108005866807]
2,*,*,10.40.85.1,0,unknown,arp,*,[1.1392028369236462]
3,*,*,10.40.85.30,0,unknown,arp,*,[2.7937414508601557]
4,*,*,149.171.126.0,10024,unknown,tcp,*,[10]
5,*,*,149.171.126.0,10046,unknown,tcp,*,[10]
6,*,*,149.171.126.0,10133,unknown,tcp,*,[10]
7,*,*,149.171.126.0,10145,unknown,tcp,*,[10]
8,*,*,149.171.126.0,10195,unknown,tcp,*,[10]
9,*,*,149.171.126.0,10201,unknown,tcp,*,[10]
10,*,*,149.171.126.0,10259,unknown,tcp,*,[10]
11,*,*,149.171.126.0,10274,unknown,tcp,*,[10]
12,*,*,149.171.126.0,10305,unknown,tcp,*,[10]
13,*,*,149.171.126.0,10338,unknown,tcp,*,[10]
14,*,*,149.171.126.0,10415,unknown,tcp,*,[10]
15,*,*,149.171.126.0,10417,unknown,tcp,*,[10]
16,*,*,149.171.126.0,10434,unknown,udp,*,[10]
17,*,*,149.171.126.0,10491,unknown,tcp,*,[10]
18,*,*,149.171.126.0,1071,unknown,tcp,*,[10]
19,*,*,149.171.126.0,1073,unknown,tcp,*,[10]
20,*,*,149.171.126.0,10849,unknown,tcp,*,[10]
21,*,*,149.171.126.0,10866,unknown,tcp,*,[10]
22,*,*,149.171.126.0,1090,unknown,tcp,*,[10]
23,*,*,149.171.126.0,10934,unknown,tcp,*,[10]
24,*,*,149.171.126.0,10951,unknown,tcp,*,[10]
25,*,*,149.171.126.0,11013,unknown,tcp,*,[10]
26,*,*,149.171.126.0,11015,unknown,tcp,*,[10]
27,*,*,149.171.126.0,1106,unknown,udp,*,[10]
28,*,*,149.171.126.0,11076,unknown,tcp,*,[10]
29,*,*,149.171.126.0,111,unknown,udp,*,[0.9218243987387434]
30,*,*,149.171.126.0,11120,unknown,tcp,*,[10]
31,*,*,149.171.126.0,11191,unknown,tcp,*,[10]
32,*,*,149.171.126.0,11213,unknown,tcp,*,[10]
33,*,*,149.171.126.0,11227,unknown,tcp,*,[10]
34,*,*,149.171.126.0,11344,unknown,tcp,*,[10]
35,*,*,149.171.126.0,11573,unknown,tcp,*,[10]
36,*,*,149.171.126.0,11853,unknown,tcp,*,[10]
37,*,*,149.171.126.0,11897,unknown,tcp,*,[10]
38,*,*,149.171.126.0,1191,unknown,tcp,*,[10]
39,*,*,149.171.126.0,1195,unknown,udp,*,[10]
40,*,*,149.171.126.0,11962,unknown,tcp,*,[10]
41,*,*,149.171.126.0,11966,unknown,tcp,*,[10]
42,*,*,149.171.126.0,12074,unknown,tcp,*,[10]
43,*,*,149.171.126.0,12116,unknown,tcp,*,[10]
44,*,*,149.171.126.0,12150,unknown,tcp,*,[10]
45,*,*,149.171.126.0,12180,unknown,tcp,*,[10]
46,*,*,149.171.126.0,12199,unknown,udp,*,[10]
47,*,*,149.171.126.0,12215,unknown,tcp,*,[10]
48,*,*,149.171.126.0,12218,unknown,tcp,*,[10]
49,*,*,149.171.126.0,12269,unknown,tcp,*,[10]
50,*,*,149.171.126.0,1229,unknown,udp,*,[10]
51,*,*,149.171.126.0,1240,unknown,tcp,*,[10]
52,*,*,149.171.126.0,1247,unknown,tcp,*,[10]
53,*,*,149.171.126.0,12532,unknown,tcp,*,[10]
54,*,*,149.171.126.0,12704,unknown,udp,*,[10]
55,*,*,149.171.126.0,12816,unknown,tcp,*,[10]
56,*,*,149.171.126.0,12893,unknown,udp,*,[10]
57,*,*,149.171.126.0,12925,unknown,tcp,*,[10]
58,*,*,149.171.126.0,12954,unknown,tcp,*,[10]
59,*,*,149.171.126.0,12987,unknown,tcp,*,[10]
60,*,*,149.171.126.0,1304,unknown,tcp,*,[10]
61,*,*,149.171.126.0,13051,unknown,tcp,*,[10]
62,*,*,149.171.126.0,13082,unknown,udp,*,[10]
63,*,*,149.171.126.0,13103,unknown,tcp,*,[10]
64,*,*,149.171.126.0,13281,unknown,tcp,*,[10]
65,*,*,149.171.126.0,13335,unknown,tcp,*,[10]
66,*,*,149.171.126.0,13379,unknown,tcp,*,[10]
67,*,*,149.171.126.0,13416,unknown,tcp,*,[10]
68,*,*,149.171.126.0,13637,unknown,tcp,*,[10]
69,*,*,149.171.126.0,13644,unknown,tcp,*,[10]
70,*,*,149.171.126.0,13648,unknown,udp,*,[10]
71,*,*,149.171.126.0,1368,unknown,tcp,*,[10]
72,*,*,149.171.126.0,13833,unknown,udp,*,[10]
73,*,*,149.171.126.0,13893,unknown,tcp,*,[10]
74,*,*,149.171.126.0,13927,unknown,tcp,*,[10]
75,*,*,149.171.126.0,1397,unknown,tcp,*,[0.2474358296526968]
76,*,*,149.171.126.0,1399,unknown,tcp,*,[10]
77,*,*,149.171.126.0,14023,unknown,tcp,*,[10]
78,*,*,149.171.126.0,14057,unknown,tcp,*,[10]
79,*,*,149.171.126.0,14118,unknown,tcp,*,[10]
80,*,*,149.171.126.0,14148,unknown,tcp,*,[10]
81,*,*,149.171.126.0,143,unknown,tcp,*,[0.13184297886274307]
82,*,*,149.171.126.0,14445,unknown,tcp,*,[10]
83,*,*,149.171.126.0,14510,unknown,tcp,*,[10]
84,*,*,149.171.126.0,14614,unknown,tcp,*,[10]
85,*,*,149.171.126.0,14717,unknown,udp,*,[10]
86,*,*,149.171.126.0,14746,unknown,tcp,*,[10]
87,*,*,149.171.126.0,14807,unknown,tcp,*,[10]
88,*,*,149.171.126.0,14864,unknown,tcp,*,[10]
89,*,*,149.171.126.0,14924,unknown,tcp,*,[10]
90,*,*,149.171.126.0,14951,unknown,tcp,*,[10]
91,*,*,149.171.126.0,15050,unknown,tcp,*,[10]
92,*,*,149.171.126.0,15156,unknown,tcp,*,[10]
93,*,*,149.171.126.0,1516,unknown,tcp,*,[10]
94,*,*,149.171.126.0,15183,unknown,tcp,*,[10]
95,*,*,149.171.126.0,15204,unknown,tcp,*,[10]
96,*,*,149.171.126.0,15251,unknown,tcp,*,[10]
97,*,*,149.171.126.0,15292,unknown,tcp,*,[10]
98,*,*,149.171.126.0,1537,unknown,udp,*,[10]
99,*,*,149.171.126.0,15422,unknown,tcp,*,[10]
100,*,*,149.171.126.0,15447,unknown,tcp,*,[10]
101,*,*,149.171.126.0,15451,unknown,udp,*,[10]
102,*,*,149.171.126.0,15497,unknown,tcp,*,[10]
103,*,*,149.171.126.0,15508,unknown,tcp,*,[10]
104,*,*,149.171.126.0,15528,unknown,tcp,*,[10]
105,*,*,149.171.126.0,15548,unknown,tcp,*,[10]
106,*,*,149.171.126.0,15555,unknown,udp,*,[10]
107,*,*,149.171.126.0,15642,unknown,tcp,*,[10]
108,*,*,149.171.126.0,1576,unknown,tcp,*,[10]
109,*,*,149.171.126.0,15834,unknown,tcp,*,[10]
110,*,*,149.171.126.0,15885,unknown,tcp,*,[10]
111,*,*,149.171.126.0,15903,unknown,tcp,*,[10]
112,*,*,149.171.126.0,15951,unknown,tcp,*,[10]
113,*,*,149.171.126.0,15975,unknown,tcp,*,[10]
114,*,*,149.171.126.0,16028,unknown,tcp,*,[10]
115,*,*,149.171.126.0,16241,unknown,tcp,*,[10]
116,*,*,149.171.126.0,16249,unknown,tcp,*,[10]
117,*,*,149.171.126.0,16340,unknown,udp,*,[10]
118,*,*,149.171.126.0,16368,unknown,tcp,*,[10]
119,*,*,149.171.126.0,16403,unknown,udp,*,[10]
120,*,*,149.171.126.0,1642,unknown,tcp,*,[10]
121,*,*,149.171.126.0,16420,unknown,tcp,*,[10]
122,*,*,149.171.126.0,16478,unknown,tcp,*,[10]
123,*,*,149.171.126.0,1650,unknown,tcp,*,[10]
124,*,*,149.171.126.0,16569,unknown,tcp,*,[10]
125,*,*,149.171.126.0,16578,unknown,tcp,*,[10]
126,*,*,149.171.126.0,16585,unknown,tcp,*,[10]
127,*,*,149.171.126.0,16660,unknown,tcp,*,[10]
128,*,*,149.171.126.0,16795,unknown,tcp,*,[10]
129,*,*,149.171.126.0,16931,unknown,tcp,*,[10]
130,*,*,149.171.126.0,17013,unknown,tcp,*,[10]
131,*,*,149.171.126.0,17139,unknown,tcp,*,[10]
132,*,*,149.171.126.0,17147,unknown,tcp,*,[10]
133,*,*,149.171.126.0,1716,unknown,udp,*,[10]
134,*,*,149.171.126.0,17176,unknown,tcp,*,[10]
135,*,*,149.171.126.0,17253,unknown,tcp,*,[10]
136,*,*,149.171.126.0,17403,unknown,tcp,*,[10]
137,*,*,149.171.126.0,17435,unknown,tcp,*,[10]
138,*,*,149.171.126.0,17609,unknown,tcp,*,[10]
139,*,*,149.171.126.0,17674,unknown,tcp,*,[10]
140,*,*,149.171.126.0,17756,unknown,tcp,*,[10]
141,*,*,149.171.126.0,17775,unknown,tcp,*,[10]
142,*,*,149.171.126.0,17776,unknown,udp,*,[10]
143,*,*,149.171.126.0,17924,unknown,tcp,*,[10]
144,*,*,149.171.126.0,18106,unknown,tcp,*,[10]
145,*,*,149.171.126.0,18220,unknown,tcp,*,[10]
146,*,*,149.171.126.0,1825,unknown,udp,*,[10]
147,*,*,149.171.126.0,18264,unknown,tcp,*,[10]
148,*,*,149.171.126.0,18337,unknown,tcp,*,[10]
149,*,*,149.171.126.0,1837,unknown,udp,*,[10]
150,*,*,149.171.126.0,18478,unknown,tcp,*,[10]
151,*,*,149.171.126.0,18519,unknown,tcp,*,[10]
152,*,*,149.171.126.0,18588,unknown,tcp,*,[10]
153,*,*,149.171.126.0,18775,unknown,udp,*,[10]
154,*,*,149.171.126.0,18823,unknown,tcp,*,[10]
155,*,*,149.171.126.0,18867,unknown,tcp,*,[10]
156,*,*,149.171.126.0,18890,unknown,udp,*,[10]
157,*,*,149.171.126.0,18940,unknown,tcp,*,[10]
158,*,*,149.171.126.0,19058,unknown,tcp,*,[10]
159,*,*,149.171.126.0,1922,unknown,tcp,*,[10]
160,*,*,149.171.126.0,19242,unknown,tcp,*,[10]
161,*,*,149.171.126.0,19246,unknown,tcp,*,[10]
162,*,*,149.171.126.0,19247,unknown,tcp,*,[10]
163,*,*,149.171.126.0,19261,unknown,tcp,*,[10]
164,*,*,149.171.126.0,19279,unknown,tcp,*,[10]
165,*,*,149.171.126.0,19430,unknown,tcp,*,[10]
166,*,*,149.171.126.0,19554,unknown,tcp,*,[10]
167,*,*,149.171.126.0,19742,unknown,tcp,*,[10]
168,*,*,149.171.126.0,19867,unknown,tcp,*,[10]
169,*,*,149.171.126.0,20000,unknown,tcp,*,[10]
170,*,*,149.171.126.0,20040,unknown,tcp,*,[10]
171,*,*,149.171.126.0,20061,unknown,udp,*,[10]
172,*,*,149.171.126.0,20112,unknown,tcp,*,[10]
173,*,*,149.171.126.0,20118,unknown,tcp,*,[10]
174,*,*,149.171.126.0,20144,unknown,tcp,*,[10]
175,*,*,149.171.126.0,20151,unknown,tcp,*,[10]
176,*,*,149.171.126.0,20273,unknown,tcp,*,[10]
177,*,*,149.171.126.0,20310,unknown,tcp,*,[10]
178,*,*,149.171.126.0,20331,unknown,tcp,*,[10]
179,*,*,149.171.126.0,20577,unknown,udp,*,[10]
180,*,*,149.171.126.0,20655,unknown,udp,*,[10]
181,*,*,149.171.126.0,20754,unknown,tcp,*,[10]
182,*,*,149.171.126.0,20787,unknown,tcp,*,[10]
183,*,*,149.171.126.0,20819,unknown,udp,*,[10]
184,*,*,149.171.126.0,20894,unknown,tcp,*,[10]
185,*,*,149.171.126.0,21,ftp,tcp,*,[3.8231283212086677]
186,*,*,149.171.126.0,21,unknown,tcp,*,[10]
187,*,*,149.171.126.0,21039,unknown,tcp,*,[10]
188,*,*,149.171.126.0,2105,unknown,tcp,*,[10]
189,*,*,149.171.126.0,2109,unknown,udp,*,[10]
190,*,*,149.171.126.0,21106,unknown,tcp,*,[10]
191,*,*,149.171.126.0,21166,unknown,tcp,*,[10]
192,*,*,149.171.126.0,21229,unknown,tcp,*,[10]
193,*,*,149.171.126.0,21245,unknown,tcp,*,[10]
194,*,*,149.171.126.0,21257,unknown,tcp,*,[10]
195,*,*,149.171.126.0,2132,unknown,tcp,*,[10]
196,*,*,149.171.126.0,21337,unknown,tcp,*,[10]
197,*,*,149.171.126.0,21346,unknown,tcp,*,[10]
