cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,*,*,arp,CON,[1.9185695916297518]
1,*,0,*,*,*,arp,INT,[3.4313556536424437]
2,*,0,*,*,*,icmp,ECR,[3.4641016151377544]
3,*,0,*,*,*,ospf,INT,[10]
4,*,0,*,*,*,ospf,REQ,[3.203121287835202]
5,*,0,*,*,*,sctp,CON,[10]
6,*,0,*,*,*,sctp,INT,[10]
7,*,0,*,*,*,udp,INT,[10]
8,*,10001,*,*,*,tcp,FIN,[0.6495190528383289]
9,*,10002,*,*,*,tcp,FIN,[1.5877132402714706]
10,*,10007,*,*,*,udp,CON,[1.5877132402714706]
11,*,10007,*,*,*,udp,INT,[10]
12,*,10016,*,*,*,udp,CON,[1.5877132402714706]
13,*,10018,*,*,*,tcp,FIN,[10]
14,*,10020,*,*,*,tcp,FIN,[10]
15,*,10023,*,*,*,udp,CON,[10]
16,*,10025,*,*,*,tcp,FIN,[1.5877132402714706]
17,*,10027,*,*,*,udp,CON,[10]
18,*,10032,*,*,*,udp,INT,[10]
19,*,10034,*,*,*,tcp,FIN,[10]
20,*,10036,*,*,*,udp,CON,[10]
21,*,10040,*,*,*,udp,CON,[1.5877132402714706]
22,*,10050,*,*,*,tcp,FIN,[10]
23,*,10053,*,*,*,tcp,FIN,[1.5877132402714706]
24,*,10055,*,*,*,tcp,FIN,[10]
25,*,10056,*,*,*,tcp,CON,[10]
26,*,10056,*,*,*,tcp,FIN,[3.4641016151377544]
27,*,10058,*,*,*,udp,CON,[10]
28,*,10059,*,*,*,tcp,FIN,[10]
29,*,10061,*,*,*,tcp,FIN,[1.5877132402714706]
30,*,10063,*,*,*,tcp,FIN,[10]
31,*,10063,*,*,*,udp,CON,[10]
32,*,10064,*,*,*,tcp,FIN,[1.5877132402714706]
33,*,10065,*,*,*,udp,CON,[10]
34,*,10069,*,*,*,tcp,FIN,[10]
35,*,10078,*,*,*,tcp,FIN,[0.9622504486493761]
36,*,10081,*,*,*,udp,CON,[10]
37,*,10083,*,*,*,udp,CON,[10]
38,*,10089,*,*,*,udp,CON,[10]
39,*,10092,*,*,*,tcp,FIN,[1.5877132402714706]
40,*,10093,*,*,*,tcp,FIN,[10]
41,*,10096,*,*,*,tcp,FIN,[10]
42,*,10098,*,*,*,tcp,FIN,[10]
43,*,10099,*,*,*,tcp,FIN,[10]
44,*,10103,*,*,*,tcp,FIN,[0.9622504486493761]
45,*,10106,*,*,*,tcp,FIN,[10]
46,*,10108,*,*,*,tcp,FIN,[10]
47,*,10108,*,*,*,udp,CON,[10]
48,*,10109,*,*,*,tcp,FIN,[10]
49,*,10113,*,*,*,udp,CON,[10]
50,*,10116,*,*,*,udp,CON,[10]
51,*,10117,*,*,*,tcp,FIN,[10]
52,*,10121,*,*,*,tcp,FIN,[10]
53,*,10127,*,*,*,tcp,FIN,[10]
54,*,10127,*,*,*,udp,CON,[10]
55,*,10130,*,*,*,tcp,FIN,[10]
56,*,10131,*,*,*,tcp,FIN,[10]
57,*,10133,*,*,*,udp,CON,[10]
58,*,10136,*,*,*,tcp,FIN,[10]
59,*,10138,*,*,*,tcp,FIN,[0.9622504486493761]
60,*,10141,*,*,*,udp,CON,[1.5877132402714706]
61,*,10143,*,*,*,tcp,FIN,[0.6390096504226938]
62,*,10147,*,*,*,tcp,FIN,[10]
63,*,10150,*,*,*,tcp,FIN,[10]
64,*,10153,*,*,*,tcp,FIN,[3.4641016151377544]
65,*,10153,*,*,*,udp,CON,[10]
66,*,10157,*,*,*,tcp,FIN,[1.5877132402714706]
67,*,10157,*,*,*,udp,CON,[10]
68,*,10158,*,*,*,tcp,FIN,[1.5877132402714706]
69,*,10159,*,*,*,tcp,FIN,[10]
70,*,10164,*,*,*,tcp,FIN,[10]
71,*,10165,*,*,*,tcp,FIN,[1.5877132402714706]
72,*,10171,*,*,*,tcp,FIN,[10]
73,*,10173,*,*,*,tcp,FIN,[10]
74,*,10176,*,*,*,tcp,FIN,[10]
75,*,10183,*,*,*,tcp,FIN,[10]
76,*,10186,*,*,*,tcp,FIN,[0.457495710997814]
77,*,10187,*,*,*,tcp,FIN,[10]
78,*,10188,*,*,*,tcp,FIN,[1.5877132402714706]
79,*,10193,*,*,*,tcp,FIN,[10]
80,*,10193,*,*,*,udp,CON,[10]
81,*,10194,*,*,*,tcp,FIN,[10]
82,*,10198,*,*,*,udp,CON,[10]
83,*,10204,*,*,*,tcp,FIN,[3.4641016151377544]
84,*,10205,*,*,*,tcp,FIN,[1.5877132402714706]
85,*,10207,*,*,*,tcp,FIN,[10]
86,*,10208,*,*,*,tcp,FIN,[10]
87,*,10208,*,*,*,udp,CON,[10]
88,*,10209,*,*,*,tcp,FIN,[10]
89,*,10210,*,*,*,tcp,FIN,[1.5877132402714706]
90,*,10216,*,*,*,tcp,FIN,[1.5877132402714706]
91,*,10217,*,*,*,tcp,FIN,[1.5877132402714706]
92,*,10223,*,*,*,udp,CON,[10]
93,*,10224,*,*,*,tcp,FIN,[10]
94,*,10226,*,*,*,tcp,FIN,[1.5877132402714706]
95,*,10228,*,*,*,tcp,FIN,[3.4641016151377544]
96,*,10233,*,*,*,tcp,FIN,[1.5877132402714706]
97,*,10235,*,*,*,tcp,FIN,[3.4641016151377544]
98,*,10235,*,*,*,udp,CON,[10]
99,*,10239,*,*,*,udp,INT,[10]
100,*,1024,*,*,*,tcp,FIN,[1.5877132402714706]
101,*,1024,*,*,*,udp,CON,[10]
102,*,10242,*,*,*,udp,CON,[1.5877132402714706]
103,*,10244,*,*,*,tcp,FIN,[10]
104,*,1025,*,*,*,tcp,FIN,[0.24935682939490295]
105,*,10251,*,*,*,tcp,FIN,[10]
106,*,10255,*,*,*,tcp,FIN,[10]
107,*,10257,*,*,*,tcp,FIN,[10]
108,*,10261,*,*,*,tcp,FIN,[1.5877132402714706]
109,*,10264,*,*,*,udp,CON,[10]
110,*,10266,*,*,*,tcp,FIN,[1.5877132402714706]
111,*,1027,*,*,*,tcp,FIN,[0.6666666666666669]
112,*,1027,*,*,*,udp,CON,[0.6666666666666667]
113,*,10272,*,*,*,tcp,FIN,[1.5877132402714706]
114,*,10274,*,*,*,tcp,FIN,[10]
115,*,10275,*,*,*,tcp,FIN,[10]
116,*,10277,*,*,*,udp,CON,[10]
117,*,10278,*,*,*,tcp,FIN,[0.3367876570272817]
118,*,10279,*,*,*,tcp,FIN,[10]
119,*,1028,*,*,*,tcp,FIN,[0.6390096504226938]
120,*,10280,*,*,*,tcp,CON,[10]
121,*,10280,*,*,*,tcp,FIN,[10]
122,*,10283,*,*,*,tcp,FIN,[1.5877132402714706]
123,*,10284,*,*,*,udp,CON,[10]
124,*,10286,*,*,*,tcp,FIN,[10]
125,*,10287,*,*,*,tcp,FIN,[1.5877132402714706]
126,*,10290,*,*,*,tcp,FIN,[10]
127,*,10295,*,*,*,tcp,FIN,[0.9594032236002469]
128,*,10295,*,*,*,udp,INT,[10]
129,*,10297,*,*,*,tcp,FIN,[10]
130,*,1030,*,*,*,tcp,FIN,[3.731012536223183]
131,*,1030,*,*,*,udp,CON,[10]
132,*,10303,*,*,*,tcp,FIN,[10]
133,*,10307,*,*,*,udp,CON,[10]
134,*,10309,*,*,*,udp,CON,[10]
135,*,1031,*,*,*,tcp,FIN,[2.2131760318935654]
136,*,10313,*,*,*,udp,CON,[10]
137,*,10315,*,*,*,tcp,FIN,[10]
138,*,10316,*,*,*,tcp,FIN,[10]
139,*,10318,*,*,*,tcp,FIN,[10]
140,*,10318,*,*,*,udp,CON,[10]
141,*,10319,*,*,*,udp,CON,[10]
142,*,1032,*,*,*,udp,CON,[1.5877132402714706]
143,*,10324,*,*,*,tcp,FIN,[1.5877132402714706]
144,*,10325,*,*,*,tcp,FIN,[1.5877132402714706]
145,*,10328,*,*,*,tcp,FIN,[10]
146,*,10329,*,*,*,tcp,FIN,[1.5877132402714706]
147,*,10330,*,*,*,tcp,FIN,[10]
148,*,10338,*,*,*,tcp,FIN,[10]
149,*,1034,*,*,*,udp,CON,[10]
150,*,1034,*,*,*,udp,INT,[10]
151,*,10343,*,*,*,tcp,FIN,[10]
152,*,10346,*,*,*,tcp,FIN,[0.959403223600247]
153,*,10352,*,*,*,udp,CON,[10]
154,*,10354,*,*,*,tcp,FIN,[2.2131760318935654]
155,*,10357,*,*,*,tcp,FIN,[1.5877132402714706]
156,*,10358,*,*,*,tcp,FIN,[1.5877132402714706]
157,*,10359,*,*,*,tcp,FIN,[10]
158,*,1036,*,*,*,udp,CON,[0.6666666666666666]
159,*,10364,*,*,*,tcp,FIN,[10]
160,*,10369,*,*,*,tcp,FIN,[1.5877132402714706]
161,*,1037,*,*,*,tcp,FIN,[0.6666666666666669]
162,*,10370,*,*,*,tcp,FIN,[1.5877132402714706]
163,*,10371,*,*,*,tcp,FIN,[10]
164,*,10374,*,*,*,tcp,FIN,[10]
165,*,10386,*,*,*,tcp,FIN,[0.959403223600247]
166,*,10389,*,*,*,tcp,CON,[10]
167,*,10394,*,*,*,tcp,FIN,[1.5877132402714706]
168,*,10395,*,*,*,tcp,FIN,[0.959403223600247]
169,*,10396,*,*,*,tcp,FIN,[10]
170,*,10397,*,*,*,tcp,FIN,[10]
171,*,10399,*,*,*,udp,CON,[10]
172,*,10402,*,*,*,tcp,FIN,[10]
173,*,10403,*,*,*,udp,CON,[10]
174,*,10404,*,*,*,tcp,FIN,[10]
175,*,10407,*,*,*,udp,CON,[10]
176,*,1041,*,*,*,udp,CON,[10]
177,*,10410,*,*,*,tcp,FIN,[10]
178,*,10411,*,*,*,tcp,FIN,[1.5877132402714706]
179,*,10415,*,*,*,tcp,FIN,[10]
180,*,10418,*,*,*,tcp,FIN,[10]
181,*,10420,*,*,*,udp,CON,[10]
182,*,10424,*,*,*,udp,CON,[10]
183,*,10425,*,*,*,tcp,FIN,[10]
184,*,10426,*,*,*,tcp,FIN,[0.9594032236002469]
185,*,1043,*,*,*,udp,INT,[0.2147687984351264]
186,*,10430,*,*,*,udp,CON,[10]
187,*,10432,*,*,*,udp,CON,[10]
188,*,10448,*,*,*,udp,CON,[10]
