cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,*,*,arp,*,[2.515611897565028]
1,*,0,*,*,*,icmp,*,[3.4641016151377544]
2,*,0,*,*,*,ospf,*,[5.227990139672067]
3,*,0,*,*,*,sctp,*,[10]
4,*,0,*,*,*,udp,*,[10]
5,*,10001,*,*,*,tcp,*,[0.6495190528383289]
6,*,10002,*,*,*,tcp,*,[1.5877132402714706]
7,*,10007,*,*,*,udp,*,[3.4641016151377544]
8,*,10016,*,*,*,udp,*,[1.5877132402714706]
9,*,10018,*,*,*,tcp,*,[10]
10,*,10020,*,*,*,tcp,*,[10]
11,*,10023,*,*,*,udp,*,[10]
12,*,10025,*,*,*,tcp,*,[1.5877132402714706]
13,*,10027,*,*,*,udp,*,[10]
14,*,10032,*,*,*,udp,*,[10]
15,*,10034,*,*,*,tcp,*,[10]
16,*,10036,*,*,*,udp,*,[10]
17,*,10040,*,*,*,udp,*,[1.5877132402714706]
18,*,10050,*,*,*,tcp,*,[10]
19,*,10053,*,*,*,tcp,*,[1.5877132402714706]
20,*,10055,*,*,*,tcp,*,[10]
21,*,10056,*,*,*,tcp,*,[5.340489990004038]
22,*,10058,*,*,*,udp,*,[10]
23,*,10059,*,*,*,tcp,*,[10]
24,*,10061,*,*,*,tcp,*,[1.5877132402714706]
25,*,10063,*,*,*,tcp,*,[10]
26,*,10063,*,*,*,udp,*,[10]
27,*,10064,*,*,*,tcp,*,[0.6666666666666666]
28,*,10065,*,*,*,udp,*,[10]
29,*,10069,*,*,*,tcp,*,[10]
30,*,10078,*,*,*,tcp,*,[0.9622504486493761]
31,*,10081,*,*,*,udp,*,[10]
32,*,10083,*,*,*,udp,*,[10]
33,*,10089,*,*,*,udp,*,[10]
34,*,10092,*,*,*,tcp,*,[1.5877132402714706]
35,*,10093,*,*,*,tcp,*,[10]
36,*,10096,*,*,*,tcp,*,[10]
37,*,10098,*,*,*,tcp,*,[10]
38,*,10099,*,*,*,tcp,*,[10]
39,*,10103,*,*,*,tcp,*,[0.9622504486493761]
40,*,10106,*,*,*,tcp,*,[10]
41,*,10108,*,*,*,tcp,*,[10]
42,*,10108,*,*,*,udp,*,[10]
43,*,10109,*,*,*,tcp,*,[10]
44,*,10113,*,*,*,udp,*,[10]
45,*,10116,*,*,*,udp,*,[10]
46,*,10117,*,*,*,tcp,*,[10]
47,*,10121,*,*,*,tcp,*,[10]
48,*,10127,*,*,*,tcp,*,[10]
49,*,10127,*,*,*,udp,*,[10]
50,*,10130,*,*,*,tcp,*,[10]
51,*,10131,*,*,*,tcp,*,[10]
52,*,10133,*,*,*,udp,*,[10]
53,*,10136,*,*,*,tcp,*,[10]
54,*,10138,*,*,*,tcp,*,[0.9622504486493761]
55,*,10141,*,*,*,udp,*,[1.5877132402714706]
56,*,10143,*,*,*,tcp,*,[0.6390096504226938]
57,*,10147,*,*,*,tcp,*,[10]
58,*,10150,*,*,*,tcp,*,[10]
59,*,10153,*,*,*,tcp,*,[3.4641016151377544]
60,*,10153,*,*,*,udp,*,[10]
61,*,10157,*,*,*,tcp,*,[1.5877132402714706]
62,*,10157,*,*,*,udp,*,[10]
63,*,10158,*,*,*,tcp,*,[1.5877132402714706]
64,*,10159,*,*,*,tcp,*,[10]
65,*,10164,*,*,*,tcp,*,[10]
66,*,10165,*,*,*,tcp,*,[1.5877132402714706]
67,*,10171,*,*,*,tcp,*,[10]
68,*,10173,*,*,*,tcp,*,[10]
69,*,10176,*,*,*,tcp,*,[10]
70,*,10183,*,*,*,tcp,*,[10]
71,*,10186,*,*,*,tcp,*,[0.457495710997814]
72,*,10187,*,*,*,tcp,*,[10]
73,*,10188,*,*,*,tcp,*,[1.5877132402714706]
74,*,10193,*,*,*,tcp,*,[10]
75,*,10193,*,*,*,udp,*,[10]
76,*,10194,*,*,*,tcp,*,[10]
77,*,10198,*,*,*,udp,*,[10]
78,*,10204,*,*,*,tcp,*,[3.4641016151377544]
79,*,10205,*,*,*,tcp,*,[1.5877132402714706]
80,*,10207,*,*,*,tcp,*,[10]
81,*,10208,*,*,*,tcp,*,[10]
82,*,10208,*,*,*,udp,*,[10]
83,*,10209,*,*,*,tcp,*,[10]
84,*,10210,*,*,*,tcp,*,[1.5877132402714706]
85,*,10216,*,*,*,tcp,*,[1.5877132402714706]
86,*,10217,*,*,*,tcp,*,[1.5877132402714706]
87,*,10223,*,*,*,udp,*,[10]
88,*,10224,*,*,*,tcp,*,[10]
89,*,10226,*,*,*,tcp,*,[1.5877132402714706]
90,*,10228,*,*,*,tcp,*,[3.4641016151377544]
91,*,10233,*,*,*,tcp,*,[1.5877132402714706]
92,*,10235,*,*,*,tcp,*,[3.4641016151377544]
93,*,10235,*,*,*,udp,*,[10]
94,*,10239,*,*,*,udp,*,[10]
95,*,1024,*,*,*,tcp,*,[1.5877132402714706]
96,*,1024,*,*,*,udp,*,[10]
97,*,10242,*,*,*,udp,*,[1.5877132402714706]
98,*,10244,*,*,*,tcp,*,[10]
99,*,1025,*,*,*,tcp,*,[0.24935682939490295]
100,*,10251,*,*,*,tcp,*,[10]
101,*,10255,*,*,*,tcp,*,[10]
102,*,10257,*,*,*,tcp,*,[10]
103,*,10261,*,*,*,tcp,*,[1.5877132402714706]
104,*,10264,*,*,*,udp,*,[10]
105,*,10266,*,*,*,tcp,*,[1.5877132402714706]
106,*,1027,*,*,*,tcp,*,[0.6666666666666669]
107,*,1027,*,*,*,udp,*,[0.6666666666666667]
108,*,10272,*,*,*,tcp,*,[1.5877132402714706]
109,*,10274,*,*,*,tcp,*,[10]
110,*,10275,*,*,*,tcp,*,[10]
111,*,10277,*,*,*,udp,*,[10]
112,*,10278,*,*,*,tcp,*,[0.17817416127494964]
113,*,10279,*,*,*,tcp,*,[10]
114,*,1028,*,*,*,tcp,*,[0.6390096504226938]
115,*,10280,*,*,*,tcp,*,[10]
116,*,10283,*,*,*,tcp,*,[1.5877132402714706]
117,*,10284,*,*,*,udp,*,[10]
118,*,10286,*,*,*,tcp,*,[10]
119,*,10287,*,*,*,tcp,*,[1.5877132402714706]
120,*,10290,*,*,*,tcp,*,[10]
121,*,10295,*,*,*,tcp,*,[0.9594032236002469]
122,*,10295,*,*,*,udp,*,[10]
123,*,10297,*,*,*,tcp,*,[10]
124,*,1030,*,*,*,tcp,*,[3.731012536223183]
125,*,1030,*,*,*,udp,*,[10]
126,*,10303,*,*,*,tcp,*,[10]
127,*,10307,*,*,*,udp,*,[10]
128,*,10309,*,*,*,udp,*,[10]
129,*,1031,*,*,*,tcp,*,[2.2131760318935654]
130,*,10313,*,*,*,udp,*,[10]
131,*,10315,*,*,*,tcp,*,[10]
132,*,10316,*,*,*,tcp,*,[10]
133,*,10318,*,*,*,tcp,*,[10]
134,*,10318,*,*,*,udp,*,[10]
135,*,10319,*,*,*,udp,*,[10]
136,*,1032,*,*,*,udp,*,[1.5877132402714706]
137,*,10324,*,*,*,tcp,*,[1.5877132402714706]
138,*,10325,*,*,*,tcp,*,[1.5877132402714706]
139,*,10328,*,*,*,tcp,*,[10]
140,*,10329,*,*,*,tcp,*,[1.5877132402714706]
141,*,10330,*,*,*,tcp,*,[10]
142,*,10338,*,*,*,tcp,*,[10]
143,*,1034,*,*,*,udp,*,[3.4641016151377544]
144,*,10343,*,*,*,tcp,*,[10]
145,*,10346,*,*,*,tcp,*,[0.959403223600247]
146,*,10352,*,*,*,udp,*,[10]
147,*,10354,*,*,*,tcp,*,[2.2131760318935654]
148,*,10357,*,*,*,tcp,*,[1.5877132402714706]
149,*,10358,*,*,*,tcp,*,[1.5877132402714706]
150,*,10359,*,*,*,tcp,*,[10]
151,*,1036,*,*,*,udp,*,[0.6666666666666666]
152,*,10364,*,*,*,tcp,*,[10]
153,*,10369,*,*,*,tcp,*,[1.5877132402714706]
154,*,1037,*,*,*,tcp,*,[0.6666666666666669]
155,*,10370,*,*,*,tcp,*,[1.5877132402714706]
156,*,10371,*,*,*,tcp,*,[10]
157,*,10374,*,*,*,tcp,*,[10]
158,*,10386,*,*,*,tcp,*,[0.959403223600247]
159,*,10389,*,*,*,tcp,*,[10]
160,*,10394,*,*,*,tcp,*,[1.5877132402714706]
161,*,10395,*,*,*,tcp,*,[0.959403223600247]
