cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,*,unknown,*,CON,[2.744053434836879]
1,*,0,*,*,unknown,*,ECR,[3.4641016151377544]
2,*,0,*,*,unknown,*,INT,[6.740158695986798]
3,*,0,*,*,unknown,*,REQ,[3.203121287835202]
4,*,10001,*,*,unknown,*,FIN,[0.6495190528383289]
5,*,10002,*,*,unknown,*,FIN,[1.5877132402714706]
6,*,10007,*,*,unknown,*,CON,[10]
7,*,10007,*,*,unknown,*,INT,[10]
8,*,10016,*,*,dns,*,CON,[10]
9,*,10018,*,*,unknown,*,FIN,[10]
10,*,10020,*,*,unknown,*,FIN,[10]
11,*,10023,*,*,unknown,*,CON,[10]
12,*,10025,*,*,unknown,*,FIN,[10]
13,*,10027,*,*,dns,*,CON,[10]
14,*,10032,*,*,unknown,*,INT,[10]
15,*,10034,*,*,smtp,*,FIN,[10]
16,*,10036,*,*,unknown,*,CON,[10]
17,*,10040,*,*,unknown,*,CON,[10]
18,*,10050,*,*,unknown,*,FIN,[10]
19,*,10053,*,*,unknown,*,FIN,[1.5877132402714706]
20,*,10055,*,*,http,*,FIN,[10]
21,*,10056,*,*,unknown,*,CON,[10]
22,*,10056,*,*,unknown,*,FIN,[10]
23,*,10058,*,*,dns,*,CON,[10]
24,*,10059,*,*,unknown,*,FIN,[10]
25,*,10061,*,*,unknown,*,FIN,[1.5877132402714706]
26,*,10063,*,*,unknown,*,CON,[10]
27,*,10063,*,*,unknown,*,FIN,[10]
28,*,10064,*,*,unknown,*,FIN,[1.5877132402714706]
29,*,10065,*,*,unknown,*,CON,[10]
30,*,10069,*,*,unknown,*,FIN,[10]
31,*,10078,*,*,unknown,*,FIN,[1.5877132402714706]
32,*,10081,*,*,unknown,*,CON,[10]
33,*,10083,*,*,dns,*,CON,[10]
34,*,10089,*,*,unknown,*,CON,[10]
35,*,10092,*,*,unknown,*,FIN,[10]
36,*,10093,*,*,unknown,*,FIN,[10]
37,*,10096,*,*,unknown,*,FIN,[10]
38,*,10098,*,*,unknown,*,FIN,[10]
39,*,10099,*,*,http,*,FIN,[10]
40,*,10099,*,*,unknown,*,FIN,[10]
41,*,10103,*,*,unknown,*,FIN,[10]
42,*,10106,*,*,unknown,*,FIN,[10]
43,*,10108,*,*,unknown,*,CON,[10]
44,*,10108,*,*,unknown,*,FIN,[10]
45,*,10109,*,*,unknown,*,FIN,[10]
46,*,10113,*,*,dns,*,CON,[10]
47,*,10116,*,*,dns,*,CON,[10]
48,*,10117,*,*,unknown,*,FIN,[10]
49,*,10121,*,*,unknown,*,FIN,[10]
50,*,10127,*,*,dns,*,CON,[10]
51,*,10127,*,*,http,*,FIN,[10]
52,*,10127,*,*,unknown,*,FIN,[10]
53,*,10130,*,*,http,*,FIN,[10]
54,*,10131,*,*,unknown,*,FIN,[10]
55,*,10133,*,*,unknown,*,CON,[10]
56,*,10136,*,*,unknown,*,FIN,[10]
57,*,10138,*,*,unknown,*,FIN,[0.9622504486493761]
58,*,10141,*,*,unknown,*,CON,[10]
