cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,*,unknown,*,*,[4.068336431490201]
1,*,10001,*,*,unknown,*,*,[0.6495190528383289]
2,*,10002,*,*,unknown,*,*,[1.5877132402714706]
3,*,10007,*,*,unknown,*,*,[10]
4,*,10016,*,*,dns,*,*,[10]
5,*,10018,*,*,unknown,*,*,[10]
6,*,10020,*,*,unknown,*,*,[10]
7,*,10023,*,*,unknown,*,*,[10]
8,*,10025,*,*,unknown,*,*,[10]
9,*,10027,*,*,dns,*,*,[10]
10,*,10032,*,*,unknown,*,*,[1.5877132402714706]
11,*,10034,*,*,smtp,*,*,[10]
12,*,10036,*,*,unknown,*,*,[10]
13,*,10040,*,*,unknown,*,*,[10]
14,*,10050,*,*,unknown,*,*,[10]
15,*,10053,*,*,unknown,*,*,[1.5877132402714706]
16,*,10055,*,*,http,*,*,[10]
17,*,10056,*,*,unknown,*,*,[10]
18,*,10058,*,*,dns,*,*,[10]
19,*,10059,*,*,unknown,*,*,[10]
20,*,10061,*,*,unknown,*,*,[1.5877132402714706]
21,*,10063,*,*,unknown,*,*,[10]
22,*,10064,*,*,unknown,*,*,[0.6666666666666666]
23,*,10065,*,*,unknown,*,*,[0.959403223600247]
24,*,10069,*,*,unknown,*,*,[10]
25,*,10078,*,*,unknown,*,*,[1.5877132402714706]
26,*,10081,*,*,unknown,*,*,[10]
27,*,10083,*,*,dns,*,*,[10]
28,*,10089,*,*,unknown,*,*,[10]
29,*,10092,*,*,unknown,*,*,[10]
30,*,10093,*,*,unknown,*,*,[10]
31,*,10096,*,*,unknown,*,*,[10]
32,*,10098,*,*,unknown,*,*,[10]
33,*,10099,*,*,http,*,*,[10]
34,*,10099,*,*,unknown,*,*,[10]
35,*,10103,*,*,unknown,*,*,[10]
36,*,10106,*,*,unknown,*,*,[10]
37,*,10108,*,*,unknown,*,*,[10]
38,*,10109,*,*,unknown,*,*,[10]
39,*,10113,*,*,dns,*,*,[10]
40,*,10116,*,*,dns,*,*,[10]
41,*,10117,*,*,unknown,*,*,[10]
42,*,10121,*,*,unknown,*,*,[10]
43,*,10127,*,*,dns,*,*,[10]
