cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,*,unknown,arp,CON,[1.9185695916297518]
1,*,0,*,*,unknown,arp,INT,[3.4313556536424437]
2,*,0,*,*,unknown,icmp,ECR,[3.4641016151377544]
3,*,0,*,*,unknown,ospf,INT,[10]
4,*,0,*,*,unknown,ospf,REQ,[3.203121287835202]
5,*,0,*,*,unknown,sctp,CON,[10]
6,*,0,*,*,unknown,sctp,INT,[10]
7,*,0,*,*,unknown,udp,INT,[10]
8,*,10001,*,*,unknown,tcp,FIN,[0.6495190528383289]
9,*,10002,*,*,unknown,tcp,FIN,[1.5877132402714706]
10,*,10007,*,*,unknown,udp,CON,[10]
11,*,10007,*,*,unknown,udp,INT,[10]
12,*,10016,*,*,dns,udp,CON,[10]
13,*,10018,*,*,unknown,tcp,FIN,[10]
14,*,10020,*,*,unknown,tcp,FIN,[10]
15,*,10023,*,*,unknown,udp,CON,[10]
16,*,10025,*,*,unknown,tcp,FIN,[10]
17,*,10027,*,*,dns,udp,CON,[10]
18,*,10032,*,*,unknown,udp,INT,[10]
19,*,10034,*,*,smtp,tcp,FIN,[10]
20,*,10036,*,*,unknown,udp,CON,[10]
21,*,10040,*,*,unknown,udp,CON,[10]
22,*,10050,*,*,unknown,tcp,FIN,[10]
23,*,10053,*,*,unknown,tcp,FIN,[1.5877132402714706]
24,*,10055,*,*,http,tcp,FIN,[10]
25,*,10056,*,*,unknown,tcp,CON,[10]
26,*,10056,*,*,unknown,tcp,FIN,[10]
27,*,10058,*,*,dns,udp,CON,[10]
28,*,10059,*,*,unknown,tcp,FIN,[10]
29,*,10061,*,*,unknown,tcp,FIN,[1.5877132402714706]
30,*,10063,*,*,unknown,tcp,FIN,[10]
31,*,10063,*,*,unknown,udp,CON,[10]
32,*,10064,*,*,unknown,tcp,FIN,[1.5877132402714706]
33,*,10065,*,*,unknown,udp,CON,[10]
34,*,10069,*,*,unknown,tcp,FIN,[10]
35,*,10078,*,*,unknown,tcp,FIN,[1.5877132402714706]
36,*,10081,*,*,unknown,udp,CON,[10]
37,*,10083,*,*,dns,udp,CON,[10]
38,*,10089,*,*,unknown,udp,CON,[10]
39,*,10092,*,*,unknown,tcp,FIN,[10]
40,*,10093,*,*,unknown,tcp,FIN,[10]
41,*,10096,*,*,unknown,tcp,FIN,[10]
42,*,10098,*,*,unknown,tcp,FIN,[10]
43,*,10099,*,*,http,tcp,FIN,[10]
44,*,10099,*,*,unknown,tcp,FIN,[10]
45,*,10103,*,*,unknown,tcp,FIN,[10]
46,*,10106,*,*,unknown,tcp,FIN,[10]
47,*,10108,*,*,unknown,tcp,FIN,[10]
48,*,10108,*,*,unknown,udp,CON,[10]
49,*,10109,*,*,unknown,tcp,FIN,[10]
50,*,10113,*,*,dns,udp,CON,[10]
51,*,10116,*,*,dns,udp,CON,[10]
52,*,10117,*,*,unknown,tcp,FIN,[10]
53,*,10121,*,*,unknown,tcp,FIN,[10]
54,*,10127,*,*,dns,udp,CON,[10]
55,*,10127,*,*,http,tcp,FIN,[10]
56,*,10127,*,*,unknown,tcp,FIN,[10]
57,*,10130,*,*,http,tcp,FIN,[10]
58,*,10131,*,*,unknown,tcp,FIN,[10]
59,*,10133,*,*,unknown,udp,CON,[10]
60,*,10136,*,*,unknown,tcp,FIN,[10]
61,*,10138,*,*,unknown,tcp,FIN,[0.9622504486493761]
62,*,10141,*,*,unknown,udp,CON,[10]
63,*,10143,*,*,unknown,tcp,FIN,[1.5877132402714706]
64,*,10147,*,*,unknown,tcp,FIN,[10]
65,*,10150,*,*,ftp,tcp,FIN,[10]
66,*,10150,*,*,unknown,tcp,FIN,[10]
67,*,10153,*,*,unknown,tcp,FIN,[10]
68,*,10153,*,*,unknown,udp,CON,[10]
69,*,10157,*,*,unknown,tcp,FIN,[10]
70,*,10157,*,*,unknown,udp,CON,[10]
71,*,10158,*,*,unknown,tcp,FIN,[1.5877132402714706]
72,*,10159,*,*,unknown,tcp,FIN,[10]
73,*,10164,*,*,http,tcp,FIN,[10]
74,*,10165,*,*,http,tcp,FIN,[10]
75,*,10171,*,*,unknown,tcp,FIN,[10]
76,*,10173,*,*,unknown,tcp,FIN,[10]
77,*,10176,*,*,unknown,tcp,FIN,[10]
78,*,10183,*,*,unknown,tcp,FIN,[10]
79,*,10186,*,*,smtp,tcp,FIN,[10]
80,*,10187,*,*,unknown,tcp,FIN,[10]
81,*,10188,*,*,unknown,tcp,FIN,[1.5877132402714706]
82,*,10193,*,*,unknown,tcp,FIN,[10]
83,*,10193,*,*,unknown,udp,CON,[10]
84,*,10194,*,*,unknown,tcp,FIN,[10]
85,*,10198,*,*,dns,udp,CON,[10]
86,*,10204,*,*,unknown,tcp,FIN,[3.4641016151377544]
87,*,10205,*,*,unknown,tcp,FIN,[10]
88,*,10207,*,*,unknown,tcp,FIN,[10]
89,*,10208,*,*,unknown,tcp,FIN,[10]
90,*,10208,*,*,unknown,udp,CON,[10]
91,*,10209,*,*,unknown,tcp,FIN,[10]
92,*,10210,*,*,unknown,tcp,FIN,[1.5877132402714706]
93,*,10216,*,*,http,tcp,FIN,[10]
