cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,*,unknown,arp,*,[2.515611897565028]
1,*,0,*,*,unknown,icmp,*,[3.4641016151377544]
2,*,0,*,*,unknown,ospf,*,[5.227990139672067]
3,*,0,*,*,unknown,sctp,*,[10]
4,*,0,*,*,unknown,udp,*,[10]
5,*,10001,*,*,unknown,tcp,*,[0.6495190528383289]
6,*,10002,*,*,unknown,tcp,*,[1.5877132402714706]
7,*,10007,*,*,unknown,udp,*,[10]
8,*,10016,*,*,dns,udp,*,[10]
9,*,10018,*,*,unknown,tcp,*,[10]
10,*,10020,*,*,unknown,tcp,*,[10]
11,*,10023,*,*,unknown,udp,*,[10]
12,*,10025,*,*,unknown,tcp,*,[10]
13,*,10027,*,*,dns,udp,*,[10]
14,*,10032,*,*,unknown,udp,*,[10]
15,*,10034,*,*,smtp,tcp,*,[10]
16,*,10036,*,*,unknown,udp,*,[10]
17,*,10040,*,*,unknown,udp,*,[10]
18,*,10050,*,*,unknown,tcp,*,[10]
19,*,10053,*,*,unknown,tcp,*,[1.5877132402714706]
20,*,10055,*,*,http,tcp,*,[10]
21,*,10056,*,*,unknown,tcp,*,[10]
22,*,10058,*,*,dns,udp,*,[10]
23,*,10059,*,*,unknown,tcp,*,[10]
24,*,10061,*,*,unknown,tcp,*,[1.5877132402714706]
25,*,10063,*,*,unknown,tcp,*,[10]
26,*,10063,*,*,unknown,udp,*,[10]
27,*,10064,*,*,unknown,tcp,*,[0.6666666666666666]
28,*,10065,*,*,unknown,udp,*,[10]
29,*,10069,*,*,unknown,tcp,*,[10]
30,*,10078,*,*,unknown,tcp,*,[1.5877132402714706]
31,*,10081,*,*,unknown,udp,*,[10]
32,*,10083,*,*,dns,udp,*,[10]
33,*,10089,*,*,unknown,udp,*,[10]
34,*,10092,*,*,unknown,tcp,*,[10]
35,*,10093,*,*,unknown,tcp,*,[10]
36,*,10096,*,*,unknown,tcp,*,[10]
37,*,10098,*,*,unknown,tcp,*,[10]
38,*,10099,*,*,http,tcp,*,[10]
39,*,10099,*,*,unknown,tcp,*,[10]
40,*,10103,*,*,unknown,tcp,*,[10]
41,*,10106,*,*,unknown,tcp,*,[10]
42,*,10108,*,*,unknown,tcp,*,[10]
43,*,10108,*,*,unknown,udp,*,[10]
44,*,10109,*,*,unknown,tcp,*,[10]
