cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,*,*,CON,[2.744053434836879]
1,*,0,*,0,*,*,INT,[6.740158695986798]
2,*,0,*,0,*,*,REQ,[3.203121287835202]
3,*,0,*,48879,*,*,ECR,[3.4641016151377544]
4,*,10001,*,5840,*,*,FIN,[10]
5,*,10002,*,32833,*,*,FIN,[10]
6,*,10007,*,53,*,*,CON,[10]
7,*,10007,*,53,*,*,INT,[10]
8,*,10016,*,53,*,*,CON,[10]
9,*,10018,*,6881,*,*,FIN,[10]
10,*,10020,*,1723,*,*,FIN,[10]
11,*,10023,*,53,*,*,CON,[10]
12,*,10025,*,44725,*,*,FIN,[10]
13,*,10027,*,53,*,*,CON,[10]
14,*,10032,*,514,*,*,INT,[10]
15,*,10034,*,25,*,*,FIN,[10]
16,*,10036,*,53,*,*,CON,[10]
17,*,10040,*,53,*,*,CON,[1.5877132402714706]
18,*,10050,*,11191,*,*,FIN,[10]
19,*,10050,*,8160,*,*,FIN,[10]
20,*,10053,*,6881,*,*,FIN,[1.5877132402714706]
21,*,10055,*,80,*,*,FIN,[10]
22,*,10056,*,43966,*,*,FIN,[10]
23,*,10056,*,6881,*,*,CON,[10]
24,*,10056,*,6881,*,*,FIN,[10]
25,*,10058,*,53,*,*,CON,[10]
26,*,10059,*,16241,*,*,FIN,[10]
27,*,10059,*,25,*,*,FIN,[10]
28,*,10061,*,45955,*,*,FIN,[10]
29,*,10063,*,45950,*,*,FIN,[10]
30,*,10063,*,53,*,*,CON,[10]
31,*,10064,*,5190,*,*,FIN,[10]
32,*,10065,*,111,*,*,CON,[10]
33,*,10069,*,5190,*,*,FIN,[10]
34,*,10078,*,39340,*,*,FIN,[10]
35,*,10081,*,111,*,*,CON,[10]
36,*,10083,*,53,*,*,CON,[10]
37,*,10089,*,53,*,*,CON,[10]
38,*,10092,*,7480,*,*,FIN,[10]
39,*,10093,*,6881,*,*,FIN,[10]
40,*,10093,*,8812,*,*,FIN,[10]
41,*,10096,*,44956,*,*,FIN,[10]
42,*,10098,*,80,*,*,FIN,[10]
43,*,10099,*,22,*,*,FIN,[10]
44,*,10099,*,5190,*,*,FIN,[10]
45,*,10099,*,80,*,*,FIN,[10]
46,*,10103,*,52785,*,*,FIN,[10]
47,*,10106,*,80,*,*,FIN,[10]
48,*,10108,*,111,*,*,CON,[10]
49,*,10108,*,45953,*,*,FIN,[10]
50,*,10109,*,5190,*,*,FIN,[10]
51,*,10113,*,53,*,*,CON,[10]
52,*,10116,*,53,*,*,CON,[10]
53,*,10117,*,42833,*,*,FIN,[10]
54,*,10121,*,41612,*,*,FIN,[10]
55,*,10127,*,39340,*,*,FIN,[10]
56,*,10127,*,53,*,*,CON,[10]
57,*,10127,*,80,*,*,FIN,[10]
58,*,10130,*,80,*,*,FIN,[10]
59,*,10131,*,5190,*,*,FIN,[10]
60,*,10133,*,53,*,*,CON,[10]
61,*,10136,*,44058,*,*,FIN,[10]
62,*,10138,*,80,*,*,FIN,[10]
63,*,10141,*,53,*,*,CON,[1.5877132402714706]
64,*,10143,*,5190,*,*,FIN,[10]
65,*,10147,*,25,*,*,FIN,[10]
66,*,10150,*,179,*,*,FIN,[10]
67,*,10150,*,21,*,*,FIN,[10]
68,*,10153,*,22,*,*,FIN,[10]
69,*,10153,*,45917,*,*,FIN,[10]
70,*,10153,*,53,*,*,CON,[10]
71,*,10157,*,111,*,*,CON,[10]
72,*,10157,*,41270,*,*,FIN,[10]
73,*,10158,*,80,*,*,FIN,[10]
74,*,10159,*,16241,*,*,FIN,[10]
75,*,10164,*,80,*,*,FIN,[10]
76,*,10165,*,80,*,*,FIN,[10]
77,*,10171,*,17403,*,*,FIN,[10]
78,*,10171,*,39707,*,*,FIN,[10]
79,*,10173,*,3251,*,*,FIN,[10]
80,*,10176,*,5190,*,*,FIN,[10]
81,*,10183,*,39810,*,*,FIN,[10]
82,*,10186,*,25,*,*,FIN,[10]
83,*,10187,*,44070,*,*,FIN,[10]
84,*,10188,*,5190,*,*,FIN,[10]
85,*,10193,*,5190,*,*,FIN,[10]
86,*,10193,*,53,*,*,CON,[10]
87,*,10194,*,44762,*,*,FIN,[10]
88,*,10198,*,53,*,*,CON,[10]
89,*,10204,*,16241,*,*,FIN,[10]
90,*,10204,*,22,*,*,FIN,[10]
91,*,10205,*,10331,*,*,FIN,[10]
92,*,10207,*,44582,*,*,FIN,[10]
93,*,10207,*,8881,*,*,FIN,[10]
94,*,10208,*,111,*,*,CON,[10]
