cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,*,*,*,[4.071400179902928]
1,*,0,*,48879,*,*,*,[3.4641016151377544]
2,*,10001,*,5840,*,*,*,[10]
3,*,10002,*,32833,*,*,*,[10]
4,*,10007,*,53,*,*,*,[10]
5,*,10016,*,53,*,*,*,[10]
6,*,10018,*,6881,*,*,*,[10]
7,*,10020,*,1723,*,*,*,[10]
8,*,10023,*,53,*,*,*,[10]
9,*,10025,*,44725,*,*,*,[10]
10,*,10027,*,53,*,*,*,[10]
11,*,10032,*,514,*,*,*,[10]
12,*,10034,*,25,*,*,*,[10]
13,*,10036,*,53,*,*,*,[10]
14,*,10040,*,53,*,*,*,[1.5877132402714706]
15,*,10050,*,11191,*,*,*,[10]
16,*,10050,*,8160,*,*,*,[10]
17,*,10053,*,6881,*,*,*,[1.5877132402714706]
18,*,10055,*,80,*,*,*,[10]
19,*,10056,*,43966,*,*,*,[10]
20,*,10056,*,6881,*,*,*,[10]
21,*,10058,*,53,*,*,*,[10]
22,*,10059,*,16241,*,*,*,[10]
23,*,10059,*,25,*,*,*,[10]
24,*,10061,*,45955,*,*,*,[10]
25,*,10063,*,45950,*,*,*,[10]
26,*,10063,*,53,*,*,*,[10]
27,*,10064,*,5190,*,*,*,[10]
28,*,10065,*,111,*,*,*,[10]
29,*,10069,*,5190,*,*,*,[10]
30,*,10078,*,39340,*,*,*,[10]
31,*,10081,*,111,*,*,*,[10]
32,*,10083,*,53,*,*,*,[10]
33,*,10089,*,53,*,*,*,[10]
34,*,10092,*,7480,*,*,*,[10]
35,*,10093,*,6881,*,*,*,[10]
36,*,10093,*,8812,*,*,*,[10]
37,*,10096,*,44956,*,*,*,[10]
38,*,10098,*,80,*,*,*,[10]
39,*,10099,*,22,*,*,*,[10]
40,*,10099,*,5190,*,*,*,[10]
41,*,10099,*,80,*,*,*,[10]
42,*,10103,*,52785,*,*,*,[10]
43,*,10106,*,80,*,*,*,[10]
44,*,10108,*,111,*,*,*,[10]
45,*,10108,*,45953,*,*,*,[10]
46,*,10109,*,5190,*,*,*,[10]
47,*,10113,*,53,*,*,*,[10]
48,*,10116,*,53,*,*,*,[10]
49,*,10117,*,42833,*,*,*,[10]
50,*,10121,*,41612,*,*,*,[10]
51,*,10127,*,39340,*,*,*,[10]
52,*,10127,*,53,*,*,*,[10]
53,*,10127,*,80,*,*,*,[10]
54,*,10130,*,80,*,*,*,[10]
55,*,10131,*,5190,*,*,*,[10]
56,*,10133,*,53,*,*,*,[10]
57,*,10136,*,44058,*,*,*,[10]
58,*,10138,*,80,*,*,*,[10]
59,*,10141,*,53,*,*,*,[1.5877132402714706]
60,*,10143,*,5190,*,*,*,[10]
61,*,10147,*,25,*,*,*,[10]
62,*,10150,*,179,*,*,*,[10]
63,*,10150,*,21,*,*,*,[10]
64,*,10153,*,22,*,*,*,[10]
65,*,10153,*,45917,*,*,*,[10]
66,*,10153,*,53,*,*,*,[10]
67,*,10157,*,111,*,*,*,[10]
68,*,10157,*,41270,*,*,*,[10]
69,*,10158,*,80,*,*,*,[10]
70,*,10159,*,16241,*,*,*,[10]
71,*,10164,*,80,*,*,*,[10]
72,*,10165,*,80,*,*,*,[10]
73,*,10171,*,17403,*,*,*,[10]
74,*,10171,*,39707,*,*,*,[10]
75,*,10173,*,3251,*,*,*,[10]
76,*,10176,*,5190,*,*,*,[10]
77,*,10183,*,39810,*,*,*,[10]
