cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,*,arp,CON,[1.9185695916297518]
1,*,0,*,0,*,arp,INT,[3.4313556536424437]
2,*,0,*,0,*,ospf,INT,[10]
3,*,0,*,0,*,ospf,REQ,[3.203121287835202]
4,*,0,*,0,*,sctp,CON,[10]
5,*,0,*,0,*,sctp,INT,[10]
6,*,0,*,0,*,udp,INT,[10]
7,*,0,*,48879,*,icmp,ECR,[3.4641016151377544]
8,*,10001,*,5840,*,tcp,FIN,[10]
9,*,10002,*,32833,*,tcp,FIN,[10]
10,*,10007,*,53,*,udp,CON,[10]
11,*,10007,*,53,*,udp,INT,[10]
12,*,10016,*,53,*,udp,CON,[10]
13,*,10018,*,6881,*,tcp,FIN,[10]
14,*,10020,*,1723,*,tcp,FIN,[10]
15,*,10023,*,53,*,udp,CON,[10]
16,*,10025,*,44725,*,tcp,FIN,[10]
17,*,10027,*,53,*,udp,CON,[10]
18,*,10032,*,514,*,udp,INT,[10]
19,*,10034,*,25,*,tcp,FIN,[10]
20,*,10036,*,53,*,udp,CON,[10]
21,*,10040,*,53,*,udp,CON,[1.5877132402714706]
22,*,10050,*,11191,*,tcp,FIN,[10]
23,*,10050,*,8160,*,tcp,FIN,[10]
24,*,10053,*,6881,*,tcp,FIN,[1.5877132402714706]
25,*,10055,*,80,*,tcp,FIN,[10]
26,*,10056,*,43966,*,tcp,FIN,[10]
27,*,10056,*,6881,*,tcp,CON,[10]
28,*,10056,*,6881,*,tcp,FIN,[10]
29,*,10058,*,53,*,udp,CON,[10]
30,*,10059,*,16241,*,tcp,FIN,[10]
31,*,10059,*,25,*,tcp,FIN,[10]
32,*,10061,*,45955,*,tcp,FIN,[10]
33,*,10063,*,45950,*,tcp,FIN,[10]
34,*,10063,*,53,*,udp,CON,[10]
35,*,10064,*,5190,*,tcp,FIN,[10]
36,*,10065,*,111,*,udp,CON,[10]
37,*,10069,*,5190,*,tcp,FIN,[10]
38,*,10078,*,39340,*,tcp,FIN,[10]
39,*,10081,*,111,*,udp,CON,[10]
40,*,10083,*,53,*,udp,CON,[10]
41,*,10089,*,53,*,udp,CON,[10]
42,*,10092,*,7480,*,tcp,FIN,[10]
43,*,10093,*,6881,*,tcp,FIN,[10]
44,*,10093,*,8812,*,tcp,FIN,[10]
45,*,10096,*,44956,*,tcp,FIN,[10]
46,*,10098,*,80,*,tcp,FIN,[10]
47,*,10099,*,22,*,tcp,FIN,[10]
48,*,10099,*,5190,*,tcp,FIN,[10]
49,*,10099,*,80,*,tcp,FIN,[10]
50,*,10103,*,52785,*,tcp,FIN,[10]
51,*,10106,*,80,*,tcp,FIN,[10]
52,*,10108,*,111,*,udp,CON,[10]
53,*,10108,*,45953,*,tcp,FIN,[10]
54,*,10109,*,5190,*,tcp,FIN,[10]
55,*,10113,*,53,*,udp,CON,[10]
56,*,10116,*,53,*,udp,CON,[10]
57,*,10117,*,42833,*,tcp,FIN,[10]
58,*,10121,*,41612,*,tcp,FIN,[10]
59,*,10127,*,39340,*,tcp,FIN,[10]
60,*,10127,*,53,*,udp,CON,[10]
61,*,10127,*,80,*,tcp,FIN,[10]
62,*,10130,*,80,*,tcp,FIN,[10]
63,*,10131,*,5190,*,tcp,FIN,[10]
64,*,10133,*,53,*,udp,CON,[10]
65,*,10136,*,44058,*,tcp,FIN,[10]
66,*,10138,*,80,*,tcp,FIN,[10]
67,*,10141,*,53,*,udp,CON,[1.5877132402714706]
68,*,10143,*,5190,*,tcp,FIN,[10]
69,*,10147,*,25,*,tcp,FIN,[10]
70,*,10150,*,179,*,tcp,FIN,[10]
71,*,10150,*,21,*,tcp,FIN,[10]
72,*,10153,*,22,*,tcp,FIN,[10]
73,*,10153,*,45917,*,tcp,FIN,[10]
74,*,10153,*,53,*,udp,CON,[10]
75,*,10157,*,111,*,udp,CON,[10]
76,*,10157,*,41270,*,tcp,FIN,[10]
77,*,10158,*,80,*,tcp,FIN,[10]
78,*,10159,*,16241,*,tcp,FIN,[10]
79,*,10164,*,80,*,tcp,FIN,[10]
80,*,10165,*,80,*,tcp,FIN,[10]
81,*,10171,*,17403,*,tcp,FIN,[10]
82,*,10171,*,39707,*,tcp,FIN,[10]
83,*,10173,*,3251,*,tcp,FIN,[10]
84,*,10176,*,5190,*,tcp,FIN,[10]
85,*,10183,*,39810,*,tcp,FIN,[10]
86,*,10186,*,25,*,tcp,FIN,[10]
87,*,10187,*,44070,*,tcp,FIN,[10]
88,*,10188,*,5190,*,tcp,FIN,[10]
89,*,10193,*,5190,*,tcp,FIN,[10]
90,*,10193,*,53,*,udp,CON,[10]
91,*,10194,*,44762,*,tcp,FIN,[10]
92,*,10198,*,53,*,udp,CON,[10]
93,*,10204,*,16241,*,tcp,FIN,[10]
94,*,10204,*,22,*,tcp,FIN,[10]
95,*,10205,*,10331,*,tcp,FIN,[10]
96,*,10207,*,44582,*,tcp,FIN,[10]
97,*,10207,*,8881,*,tcp,FIN,[10]
98,*,10208,*,111,*,udp,CON,[10]
99,*,10208,*,8705,*,tcp,FIN,[10]
100,*,10209,*,8492,*,tcp,FIN,[10]
101,*,10210,*,22,*,tcp,FIN,[10]
102,*,10216,*,80,*,tcp,FIN,[10]
103,*,10217,*,42750,*,tcp,FIN,[10]
104,*,10223,*,53,*,udp,CON,[10]
105,*,10224,*,46030,*,tcp,FIN,[10]
106,*,10226,*,5190,*,tcp,FIN,[10]
107,*,10228,*,143,*,tcp,FIN,[10]
108,*,10228,*,25,*,tcp,FIN,[10]
109,*,10233,*,80,*,tcp,FIN,[10]
110,*,10235,*,43993,*,udp,CON,[10]
111,*,10235,*,80,*,tcp,FIN,[10]
112,*,10239,*,111,*,udp,INT,[10]
113,*,1024,*,111,*,udp,CON,[10]
114,*,1024,*,36772,*,tcp,FIN,[10]
115,*,1024,*,53,*,udp,CON,[10]
116,*,10242,*,53,*,udp,CON,[10]
117,*,10244,*,43860,*,tcp,FIN,[10]
118,*,1025,*,25,*,tcp,FIN,[10]
119,*,10251,*,25,*,tcp,FIN,[10]
120,*,10255,*,8102,*,tcp,FIN,[10]
121,*,10257,*,25,*,tcp,FIN,[10]
122,*,10261,*,80,*,tcp,FIN,[10]
123,*,10264,*,53,*,udp,CON,[10]
124,*,10266,*,8307,*,tcp,FIN,[10]
125,*,1027,*,5190,*,tcp,FIN,[10]
126,*,1027,*,53,*,udp,CON,[0.6666666666666667]
127,*,10272,*,30671,*,tcp,FIN,[10]
128,*,10274,*,5190,*,tcp,FIN,[10]
129,*,10275,*,40675,*,tcp,FIN,[10]
130,*,10277,*,53,*,udp,CON,[10]
131,*,10278,*,17403,*,tcp,FIN,[10]
132,*,10279,*,11517,*,tcp,FIN,[10]
133,*,1028,*,24099,*,tcp,FIN,[10]
134,*,10280,*,179,*,tcp,CON,[10]
135,*,10280,*,25,*,tcp,FIN,[10]
136,*,10280,*,38860,*,tcp,FIN,[10]
137,*,10283,*,33508,*,tcp,FIN,[10]
138,*,10284,*,53,*,udp,CON,[10]
139,*,10286,*,25,*,tcp,FIN,[10]
140,*,10287,*,143,*,tcp,FIN,[10]
141,*,10290,*,5190,*,tcp,FIN,[10]
142,*,10295,*,514,*,udp,INT,[10]
143,*,10295,*,80,*,tcp,FIN,[10]
144,*,10297,*,80,*,tcp,FIN,[10]
145,*,1030,*,111,*,udp,CON,[10]
146,*,1030,*,32545,*,tcp,FIN,[10]
147,*,1030,*,80,*,tcp,FIN,[3.4641016151377544]
148,*,10303,*,25,*,tcp,FIN,[10]
149,*,10307,*,53,*,udp,CON,[10]
150,*,10309,*,53,*,udp,CON,[10]
151,*,1031,*,31941,*,tcp,FIN,[10]
152,*,1031,*,48577,*,tcp,FIN,[10]
153,*,10313,*,49623,*,udp,CON,[10]
154,*,10315,*,45941,*,tcp,FIN,[10]
155,*,10316,*,25,*,tcp,FIN,[10]
156,*,10318,*,21,*,tcp,FIN,[10]
157,*,10318,*,53,*,udp,CON,[10]
158,*,10318,*,80,*,tcp,FIN,[10]
159,*,10319,*,111,*,udp,CON,[10]
160,*,1032,*,53,*,udp,CON,[10]
161,*,10324,*,9069,*,tcp,FIN,[10]
162,*,10325,*,30671,*,tcp,FIN,[10]
163,*,10328,*,8250,*,tcp,FIN,[10]
