cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,*,arp,*,[2.515611897565028]
1,*,0,*,0,*,ospf,*,[5.227990139672067]
2,*,0,*,0,*,sctp,*,[10]
3,*,0,*,0,*,udp,*,[10]
4,*,0,*,48879,*,icmp,*,[3.4641016151377544]
5,*,10001,*,5840,*,tcp,*,[10]
6,*,10002,*,32833,*,tcp,*,[10]
7,*,10007,*,53,*,udp,*,[10]
8,*,10016,*,53,*,udp,*,[10]
9,*,10018,*,6881,*,tcp,*,[10]
10,*,10020,*,1723,*,tcp,*,[10]
11,*,10023,*,53,*,udp,*,[10]
12,*,10025,*,44725,*,tcp,*,[10]
13,*,10027,*,53,*,udp,*,[10]
14,*,10032,*,514,*,udp,*,[10]
15,*,10034,*,25,*,tcp,*,[10]
16,*,10036,*,53,*,udp,*,[10]
17,*,10040,*,53,*,udp,*,[1.5877132402714706]
18,*,10050,*,11191,*,tcp,*,[10]
19,*,10050,*,8160,*,tcp,*,[10]
20,*,10053,*,6881,*,tcp,*,[1.5877132402714706]
21,*,10055,*,80,*,tcp,*,[10]
22,*,10056,*,43966,*,tcp,*,[10]
23,*,10056,*,6881,*,tcp,*,[10]
24,*,10058,*,53,*,udp,*,[10]
25,*,10059,*,16241,*,tcp,*,[10]
26,*,10059,*,25,*,tcp,*,[10]
27,*,10061,*,45955,*,tcp,*,[10]
28,*,10063,*,45950,*,tcp,*,[10]
29,*,10063,*,53,*,udp,*,[10]
30,*,10064,*,5190,*,tcp,*,[10]
31,*,10065,*,111,*,udp,*,[10]
32,*,10069,*,5190,*,tcp,*,[10]
33,*,10078,*,39340,*,tcp,*,[10]
34,*,10081,*,111,*,udp,*,[10]
35,*,10083,*,53,*,udp,*,[10]
36,*,10089,*,53,*,udp,*,[10]
37,*,10092,*,7480,*,tcp,*,[10]
38,*,10093,*,6881,*,tcp,*,[10]
39,*,10093,*,8812,*,tcp,*,[10]
40,*,10096,*,44956,*,tcp,*,[10]
41,*,10098,*,80,*,tcp,*,[10]
42,*,10099,*,22,*,tcp,*,[10]
43,*,10099,*,5190,*,tcp,*,[10]
44,*,10099,*,80,*,tcp,*,[10]
45,*,10103,*,52785,*,tcp,*,[10]
46,*,10106,*,80,*,tcp,*,[10]
47,*,10108,*,111,*,udp,*,[10]
48,*,10108,*,45953,*,tcp,*,[10]
49,*,10109,*,5190,*,tcp,*,[10]
50,*,10113,*,53,*,udp,*,[10]
51,*,10116,*,53,*,udp,*,[10]
52,*,10117,*,42833,*,tcp,*,[10]
53,*,10121,*,41612,*,tcp,*,[10]
54,*,10127,*,39340,*,tcp,*,[10]
55,*,10127,*,53,*,udp,*,[10]
56,*,10127,*,80,*,tcp,*,[10]
57,*,10130,*,80,*,tcp,*,[10]
58,*,10131,*,5190,*,tcp,*,[10]
59,*,10133,*,53,*,udp,*,[10]
60,*,10136,*,44058,*,tcp,*,[10]
61,*,10138,*,80,*,tcp,*,[10]
62,*,10141,*,53,*,udp,*,[1.5877132402714706]
63,*,10143,*,5190,*,tcp,*,[10]
64,*,10147,*,25,*,tcp,*,[10]
65,*,10150,*,179,*,tcp,*,[10]
66,*,10150,*,21,*,tcp,*,[10]
67,*,10153,*,22,*,tcp,*,[10]
68,*,10153,*,45917,*,tcp,*,[10]
69,*,10153,*,53,*,udp,*,[10]
70,*,10157,*,111,*,udp,*,[10]
71,*,10157,*,41270,*,tcp,*,[10]
72,*,10158,*,80,*,tcp,*,[10]
73,*,10159,*,16241,*,tcp,*,[10]
74,*,10164,*,80,*,tcp,*,[10]
75,*,10165,*,80,*,tcp,*,[10]
76,*,10171,*,17403,*,tcp,*,[10]
77,*,10171,*,39707,*,tcp,*,[10]
78,*,10173,*,3251,*,tcp,*,[10]
79,*,10176,*,5190,*,tcp,*,[10]
80,*,10183,*,39810,*,tcp,*,[10]
81,*,10186,*,25,*,tcp,*,[10]
82,*,10187,*,44070,*,tcp,*,[10]
83,*,10188,*,5190,*,tcp,*,[10]
84,*,10193,*,5190,*,tcp,*,[10]
85,*,10193,*,53,*,udp,*,[10]
86,*,10194,*,44762,*,tcp,*,[10]
87,*,10198,*,53,*,udp,*,[10]
88,*,10204,*,16241,*,tcp,*,[10]
89,*,10204,*,22,*,tcp,*,[10]
90,*,10205,*,10331,*,tcp,*,[10]
91,*,10207,*,44582,*,tcp,*,[10]
92,*,10207,*,8881,*,tcp,*,[10]
93,*,10208,*,111,*,udp,*,[10]
94,*,10208,*,8705,*,tcp,*,[10]
95,*,10209,*,8492,*,tcp,*,[10]
96,*,10210,*,22,*,tcp,*,[10]
97,*,10216,*,80,*,tcp,*,[10]
98,*,10217,*,42750,*,tcp,*,[10]
99,*,10223,*,53,*,udp,*,[10]
100,*,10224,*,46030,*,tcp,*,[10]
101,*,10226,*,5190,*,tcp,*,[10]
102,*,10228,*,143,*,tcp,*,[10]
103,*,10228,*,25,*,tcp,*,[10]
104,*,10233,*,80,*,tcp,*,[10]
105,*,10235,*,43993,*,udp,*,[10]
106,*,10235,*,80,*,tcp,*,[10]
