cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,unknown,*,CON,[2.744053434836879]
1,*,0,*,0,unknown,*,INT,[6.740158695986798]
2,*,0,*,0,unknown,*,REQ,[3.203121287835202]
3,*,0,*,48879,unknown,*,ECR,[3.4641016151377544]
4,*,10001,*,5840,unknown,*,FIN,[10]
5,*,10002,*,32833,unknown,*,FIN,[10]
6,*,10007,*,53,unknown,*,CON,[10]
7,*,10007,*,53,unknown,*,INT,[10]
8,*,10016,*,53,dns,*,CON,[10]
9,*,10018,*,6881,unknown,*,FIN,[10]
10,*,10020,*,1723,unknown,*,FIN,[10]
11,*,10023,*,53,unknown,*,CON,[10]
12,*,10025,*,44725,unknown,*,FIN,[10]
13,*,10027,*,53,dns,*,CON,[10]
14,*,10032,*,514,unknown,*,INT,[10]
15,*,10034,*,25,smtp,*,FIN,[10]
16,*,10036,*,53,unknown,*,CON,[10]
17,*,10040,*,53,unknown,*,CON,[10]
18,*,10050,*,11191,unknown,*,FIN,[10]
19,*,10050,*,8160,unknown,*,FIN,[10]
20,*,10053,*,6881,unknown,*,FIN,[1.5877132402714706]
21,*,10055,*,80,http,*,FIN,[10]
22,*,10056,*,43966,unknown,*,FIN,[10]
23,*,10056,*,6881,unknown,*,CON,[10]
24,*,10056,*,6881,unknown,*,FIN,[10]
25,*,10058,*,53,dns,*,CON,[10]
26,*,10059,*,16241,unknown,*,FIN,[10]
27,*,10059,*,25,unknown,*,FIN,[10]
28,*,10061,*,45955,unknown,*,FIN,[10]
29,*,10063,*,45950,unknown,*,FIN,[10]
30,*,10063,*,53,unknown,*,CON,[10]
31,*,10064,*,5190,unknown,*,FIN,[10]
32,*,10065,*,111,unknown,*,CON,[10]
33,*,10069,*,5190,unknown,*,FIN,[10]
34,*,10078,*,39340,unknown,*,FIN,[10]
35,*,10081,*,111,unknown,*,CON,[10]
36,*,10083,*,53,dns,*,CON,[10]
37,*,10089,*,53,unknown,*,CON,[10]
38,*,10092,*,7480,unknown,*,FIN,[10]
39,*,10093,*,6881,unknown,*,FIN,[10]
40,*,10093,*,8812,unknown,*,FIN,[10]
41,*,10096,*,44956,unknown,*,FIN,[10]
42,*,10098,*,80,unknown,*,FIN,[10]
43,*,10099,*,22,unknown,*,FIN,[10]
44,*,10099,*,5190,unknown,*,FIN,[10]
45,*,10099,*,80,http,*,FIN,[10]
46,*,10103,*,52785,unknown,*,FIN,[10]
47,*,10106,*,80,unknown,*,FIN,[10]
48,*,10108,*,111,unknown,*,CON,[10]
49,*,10108,*,45953,unknown,*,FIN,[10]
50,*,10109,*,5190,unknown,*,FIN,[10]
51,*,10113,*,53,dns,*,CON,[10]
52,*,10116,*,53,dns,*,CON,[10]
53,*,10117,*,42833,unknown,*,FIN,[10]
54,*,10121,*,41612,unknown,*,FIN,[10]
55,*,10127,*,39340,unknown,*,FIN,[10]
56,*,10127,*,53,dns,*,CON,[10]
57,*,10127,*,80,http,*,FIN,[10]
58,*,10130,*,80,http,*,FIN,[10]
59,*,10131,*,5190,unknown,*,FIN,[10]
60,*,10133,*,53,unknown,*,CON,[10]
61,*,10136,*,44058,unknown,*,FIN,[10]
62,*,10138,*,80,unknown,*,FIN,[10]
63,*,10141,*,53,unknown,*,CON,[10]
64,*,10143,*,5190,unknown,*,FIN,[10]
65,*,10147,*,25,unknown,*,FIN,[10]
66,*,10150,*,179,unknown,*,FIN,[10]
67,*,10150,*,21,ftp,*,FIN,[10]
68,*,10153,*,22,unknown,*,FIN,[10]
69,*,10153,*,45917,unknown,*,FIN,[10]
70,*,10153,*,53,unknown,*,CON,[10]
71,*,10157,*,111,unknown,*,CON,[10]
72,*,10157,*,41270,unknown,*,FIN,[10]
73,*,10158,*,80,unknown,*,FIN,[10]
74,*,10159,*,16241,unknown,*,FIN,[10]
75,*,10164,*,80,http,*,FIN,[10]
76,*,10165,*,80,http,*,FIN,[10]
77,*,10171,*,17403,unknown,*,FIN,[10]
78,*,10171,*,39707,unknown,*,FIN,[10]
79,*,10173,*,3251,unknown,*,FIN,[10]
80,*,10176,*,5190,unknown,*,FIN,[10]
81,*,10183,*,39810,unknown,*,FIN,[10]
82,*,10186,*,25,smtp,*,FIN,[10]
83,*,10187,*,44070,unknown,*,FIN,[10]
84,*,10188,*,5190,unknown,*,FIN,[10]
85,*,10193,*,5190,unknown,*,FIN,[10]
86,*,10193,*,53,unknown,*,CON,[10]
87,*,10194,*,44762,unknown,*,FIN,[10]
88,*,10198,*,53,dns,*,CON,[10]
89,*,10204,*,16241,unknown,*,FIN,[10]
90,*,10204,*,22,unknown,*,FIN,[10]
91,*,10205,*,10331,unknown,*,FIN,[10]
92,*,10207,*,44582,unknown,*,FIN,[10]
93,*,10207,*,8881,unknown,*,FIN,[10]
94,*,10208,*,111,unknown,*,CON,[10]
95,*,10208,*,8705,unknown,*,FIN,[10]
96,*,10209,*,8492,unknown,*,FIN,[10]
97,*,10210,*,22,unknown,*,FIN,[10]
98,*,10216,*,80,http,*,FIN,[10]
99,*,10217,*,42750,unknown,*,FIN,[10]
100,*,10223,*,53,unknown,*,CON,[10]
101,*,10224,*,46030,unknown,*,FIN,[10]
102,*,10226,*,5190,unknown,*,FIN,[10]
103,*,10228,*,143,unknown,*,FIN,[10]
104,*,10228,*,25,smtp,*,FIN,[10]
105,*,10233,*,80,unknown,*,FIN,[10]
106,*,10235,*,43993,unknown,*,CON,[10]
107,*,10235,*,80,http,*,FIN,[10]
108,*,10235,*,80,unknown,*,FIN,[10]
109,*,10239,*,111,unknown,*,INT,[10]
110,*,1024,*,111,unknown,*,CON,[10]
111,*,1024,*,36772,unknown,*,FIN,[10]
112,*,1024,*,53,dns,*,CON,[10]
113,*,10242,*,53,unknown,*,CON,[10]
114,*,10244,*,43860,unknown,*,FIN,[10]
115,*,1025,*,25,smtp,*,FIN,[10]
116,*,10251,*,25,unknown,*,FIN,[10]
117,*,10255,*,8102,unknown,*,FIN,[10]
118,*,10257,*,25,smtp,*,FIN,[10]
119,*,10261,*,80,unknown,*,FIN,[10]
120,*,10264,*,53,unknown,*,CON,[10]
121,*,10266,*,8307,unknown,*,FIN,[10]
122,*,1027,*,5190,unknown,*,FIN,[10]
123,*,1027,*,53,unknown,*,CON,[10]
124,*,10272,*,30671,unknown,*,FIN,[10]
125,*,10274,*,5190,unknown,*,FIN,[10]
126,*,10275,*,40675,unknown,*,FIN,[10]
127,*,10277,*,53,dns,*,CON,[10]
128,*,10278,*,17403,unknown,*,FIN,[10]
129,*,10279,*,11517,unknown,*,FIN,[10]
130,*,1028,*,24099,unknown,*,FIN,[10]
131,*,10280,*,179,unknown,*,CON,[10]
132,*,10280,*,25,unknown,*,FIN,[10]
133,*,10280,*,38860,unknown,*,FIN,[10]
134,*,10283,*,33508,unknown,*,FIN,[10]
135,*,10284,*,53,dns,*,CON,[10]
136,*,10286,*,25,smtp,*,FIN,[10]
137,*,10287,*,143,unknown,*,FIN,[10]
138,*,10290,*,5190,unknown,*,FIN,[10]
139,*,10295,*,514,unknown,*,INT,[10]
140,*,10295,*,80,unknown,*,FIN,[10]
141,*,10297,*,80,http,*,FIN,[10]
142,*,1030,*,111,unknown,*,CON,[10]
143,*,1030,*,32545,unknown,*,FIN,[10]
144,*,1030,*,80,http,*,FIN,[1.5877132402714706]
145,*,1030,*,80,unknown,*,FIN,[10]
146,*,10303,*,25,smtp,*,FIN,[10]
147,*,10307,*,53,dns,*,CON,[10]
148,*,10309,*,53,dns,*,CON,[10]
149,*,1031,*,31941,unknown,*,FIN,[10]
150,*,1031,*,48577,unknown,*,FIN,[10]
151,*,10313,*,49623,unknown,*,CON,[10]
152,*,10315,*,45941,unknown,*,FIN,[10]
153,*,10316,*,25,smtp,*,FIN,[10]
154,*,10318,*,21,unknown,*,FIN,[10]
155,*,10318,*,53,unknown,*,CON,[10]
156,*,10318,*,80,unknown,*,FIN,[10]
157,*,10319,*,111,unknown,*,CON,[10]
158,*,1032,*,53,dns,*,CON,[10]
159,*,10324,*,9069,unknown,*,FIN,[10]
160,*,10325,*,30671,unknown,*,FIN,[10]
161,*,10328,*,8250,unknown,*,FIN,[10]
162,*,10329,*,39725,unknown,*,FIN,[10]
163,*,10330,*,25,smtp,*,FIN,[10]
164,*,10338,*,45959,unknown,*,FIN,[10]
165,*,1034,*,520,unknown,*,INT,[10]
166,*,1034,*,53101,unknown,*,CON,[10]
167,*,10343,*,6881,unknown,*,FIN,[10]
168,*,10346,*,8103,unknown,*,FIN,[10]
169,*,10352,*,53,dns,*,CON,[10]
170,*,10354,*,5190,unknown,*,FIN,[10]
171,*,10354,*,80,unknown,*,FIN,[10]
172,*,10357,*,42877,unknown,*,FIN,[10]
173,*,10358,*,45299,unknown,*,FIN,[10]
174,*,10359,*,8209,unknown,*,FIN,[10]
175,*,1036,*,32702,unknown,*,CON,[10]
176,*,10364,*,80,http,*,FIN,[10]
177,*,10369,*,24099,unknown,*,FIN,[10]
178,*,1037,*,25,smtp,*,FIN,[10]
179,*,10370,*,23526,unknown,*,FIN,[10]
180,*,10371,*,8244,unknown,*,FIN,[10]
