cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,unknown,*,*,[4.071400179902928]
1,*,0,*,48879,unknown,*,*,[3.4641016151377544]
2,*,10001,*,5840,unknown,*,*,[10]
3,*,10002,*,32833,unknown,*,*,[10]
4,*,10007,*,53,unknown,*,*,[10]
5,*,10016,*,53,dns,*,*,[10]
6,*,10018,*,6881,unknown,*,*,[10]
7,*,10020,*,1723,unknown,*,*,[10]
8,*,10023,*,53,unknown,*,*,[10]
9,*,10025,*,44725,unknown,*,*,[10]
10,*,10027,*,53,dns,*,*,[10]
11,*,10032,*,514,unknown,*,*,[10]
12,*,10034,*,25,smtp,*,*,[10]
13,*,10036,*,53,unknown,*,*,[10]
14,*,10040,*,53,unknown,*,*,[10]
15,*,10050,*,11191,unknown,*,*,[10]
16,*,10050,*,8160,unknown,*,*,[10]
17,*,10053,*,6881,unknown,*,*,[1.5877132402714706]
18,*,10055,*,80,http,*,*,[10]
19,*,10056,*,43966,unknown,*,*,[10]
20,*,10056,*,6881,unknown,*,*,[10]
21,*,10058,*,53,dns,*,*,[10]
22,*,10059,*,16241,unknown,*,*,[10]
23,*,10059,*,25,unknown,*,*,[10]
24,*,10061,*,45955,unknown,*,*,[10]
25,*,10063,*,45950,unknown,*,*,[10]
26,*,10063,*,53,unknown,*,*,[10]
27,*,10064,*,5190,unknown,*,*,[10]
28,*,10065,*,111,unknown,*,*,[10]
29,*,10069,*,5190,unknown,*,*,[10]
30,*,10078,*,39340,unknown,*,*,[10]
31,*,10081,*,111,unknown,*,*,[10]
32,*,10083,*,53,dns,*,*,[10]
33,*,10089,*,53,unknown,*,*,[10]
34,*,10092,*,7480,unknown,*,*,[10]
35,*,10093,*,6881,unknown,*,*,[10]
36,*,10093,*,8812,unknown,*,*,[10]
37,*,10096,*,44956,unknown,*,*,[10]
38,*,10098,*,80,unknown,*,*,[10]
39,*,10099,*,22,unknown,*,*,[10]
40,*,10099,*,5190,unknown,*,*,[10]
41,*,10099,*,80,http,*,*,[10]
42,*,10103,*,52785,unknown,*,*,[10]
43,*,10106,*,80,unknown,*,*,[10]
44,*,10108,*,111,unknown,*,*,[10]
45,*,10108,*,45953,unknown,*,*,[10]
46,*,10109,*,5190,unknown,*,*,[10]
47,*,10113,*,53,dns,*,*,[10]
48,*,10116,*,53,dns,*,*,[10]
49,*,10117,*,42833,unknown,*,*,[10]
50,*,10121,*,41612,unknown,*,*,[10]
51,*,10127,*,39340,unknown,*,*,[10]
52,*,10127,*,53,dns,*,*,[10]
53,*,10127,*,80,http,*,*,[10]
54,*,10130,*,80,http,*,*,[10]
55,*,10131,*,5190,unknown,*,*,[10]
56,*,10133,*,53,unknown,*,*,[10]
57,*,10136,*,44058,unknown,*,*,[10]
58,*,10138,*,80,unknown,*,*,[10]
59,*,10141,*,53,unknown,*,*,[10]
60,*,10143,*,5190,unknown,*,*,[10]
61,*,10147,*,25,unknown,*,*,[10]
62,*,10150,*,179,unknown,*,*,[10]
63,*,10150,*,21,ftp,*,*,[10]
64,*,10153,*,22,unknown,*,*,[10]
65,*,10153,*,45917,unknown,*,*,[10]
66,*,10153,*,53,unknown,*,*,[10]
67,*,10157,*,111,unknown,*,*,[10]
68,*,10157,*,41270,unknown,*,*,[10]
69,*,10158,*,80,unknown,*,*,[10]
70,*,10159,*,16241,unknown,*,*,[10]
71,*,10164,*,80,http,*,*,[10]
72,*,10165,*,80,http,*,*,[10]
73,*,10171,*,17403,unknown,*,*,[10]
74,*,10171,*,39707,unknown,*,*,[10]
75,*,10173,*,3251,unknown,*,*,[10]
76,*,10176,*,5190,unknown,*,*,[10]
77,*,10183,*,39810,unknown,*,*,[10]
78,*,10186,*,25,smtp,*,*,[10]
79,*,10187,*,44070,unknown,*,*,[10]
80,*,10188,*,5190,unknown,*,*,[10]
81,*,10193,*,5190,unknown,*,*,[10]
82,*,10193,*,53,unknown,*,*,[10]
83,*,10194,*,44762,unknown,*,*,[10]
84,*,10198,*,53,dns,*,*,[10]
85,*,10204,*,16241,unknown,*,*,[10]
86,*,10204,*,22,unknown,*,*,[10]
87,*,10205,*,10331,unknown,*,*,[10]
88,*,10207,*,44582,unknown,*,*,[10]
89,*,10207,*,8881,unknown,*,*,[10]
90,*,10208,*,111,unknown,*,*,[10]
91,*,10208,*,8705,unknown,*,*,[10]
92,*,10209,*,8492,unknown,*,*,[10]
