cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,unknown,arp,CON,[1.9185695916297518]
1,*,0,*,0,unknown,arp,INT,[3.4313556536424437]
2,*,0,*,0,unknown,ospf,INT,[10]
3,*,0,*,0,unknown,ospf,REQ,[3.203121287835202]
4,*,0,*,0,unknown,sctp,CON,[10]
5,*,0,*,0,unknown,sctp,INT,[10]
6,*,0,*,0,unknown,udp,INT,[10]
7,*,0,*,48879,unknown,icmp,ECR,[3.4641016151377544]
8,*,10001,*,5840,unknown,tcp,FIN,[10]
9,*,10002,*,32833,unknown,tcp,FIN,[10]
10,*,10007,*,53,unknown,udp,CON,[10]
11,*,10007,*,53,unknown,udp,INT,[10]
12,*,10016,*,53,dns,udp,CON,[10]
13,*,10018,*,6881,unknown,tcp,FIN,[10]
14,*,10020,*,1723,unknown,tcp,FIN,[10]
15,*,10023,*,53,unknown,udp,CON,[10]
16,*,10025,*,44725,unknown,tcp,FIN,[10]
17,*,10027,*,53,dns,udp,CON,[10]
18,*,10032,*,514,unknown,udp,INT,[10]
19,*,10034,*,25,smtp,tcp,FIN,[10]
20,*,10036,*,53,unknown,udp,CON,[10]
21,*,10040,*,53,unknown,udp,CON,[10]
22,*,10050,*,11191,unknown,tcp,FIN,[10]
23,*,10050,*,8160,unknown,tcp,FIN,[10]
24,*,10053,*,6881,unknown,tcp,FIN,[1.5877132402714706]
25,*,10055,*,80,http,tcp,FIN,[10]
26,*,10056,*,43966,unknown,tcp,FIN,[10]
27,*,10056,*,6881,unknown,tcp,CON,[10]
28,*,10056,*,6881,unknown,tcp,FIN,[10]
29,*,10058,*,53,dns,udp,CON,[10]
30,*,10059,*,16241,unknown,tcp,FIN,[10]
31,*,10059,*,25,unknown,tcp,FIN,[10]
32,*,10061,*,45955,unknown,tcp,FIN,[10]
33,*,10063,*,45950,unknown,tcp,FIN,[10]
34,*,10063,*,53,unknown,udp,CON,[10]
35,*,10064,*,5190,unknown,tcp,FIN,[10]
36,*,10065,*,111,unknown,udp,CON,[10]
37,*,10069,*,5190,unknown,tcp,FIN,[10]
38,*,10078,*,39340,unknown,tcp,FIN,[10]
39,*,10081,*,111,unknown,udp,CON,[10]
40,*,10083,*,53,dns,udp,CON,[10]
41,*,10089,*,53,unknown,udp,CON,[10]
42,*,10092,*,7480,unknown,tcp,FIN,[10]
43,*,10093,*,6881,unknown,tcp,FIN,[10]
44,*,10093,*,8812,unknown,tcp,FIN,[10]
45,*,10096,*,44956,unknown,tcp,FIN,[10]
46,*,10098,*,80,unknown,tcp,FIN,[10]
47,*,10099,*,22,unknown,tcp,FIN,[10]
48,*,10099,*,5190,unknown,tcp,FIN,[10]
49,*,10099,*,80,http,tcp,FIN,[10]
50,*,10103,*,52785,unknown,tcp,FIN,[10]
51,*,10106,*,80,unknown,tcp,FIN,[10]
52,*,10108,*,111,unknown,udp,CON,[10]
53,*,10108,*,45953,unknown,tcp,FIN,[10]
54,*,10109,*,5190,unknown,tcp,FIN,[10]
55,*,10113,*,53,dns,udp,CON,[10]
56,*,10116,*,53,dns,udp,CON,[10]
57,*,10117,*,42833,unknown,tcp,FIN,[10]
58,*,10121,*,41612,unknown,tcp,FIN,[10]
59,*,10127,*,39340,unknown,tcp,FIN,[10]
60,*,10127,*,53,dns,udp,CON,[10]
61,*,10127,*,80,http,tcp,FIN,[10]
62,*,10130,*,80,http,tcp,FIN,[10]
63,*,10131,*,5190,unknown,tcp,FIN,[10]
64,*,10133,*,53,unknown,udp,CON,[10]
65,*,10136,*,44058,unknown,tcp,FIN,[10]
66,*,10138,*,80,unknown,tcp,FIN,[10]
67,*,10141,*,53,unknown,udp,CON,[10]
68,*,10143,*,5190,unknown,tcp,FIN,[10]
69,*,10147,*,25,unknown,tcp,FIN,[10]
70,*,10150,*,179,unknown,tcp,FIN,[10]
71,*,10150,*,21,ftp,tcp,FIN,[10]
72,*,10153,*,22,unknown,tcp,FIN,[10]
73,*,10153,*,45917,unknown,tcp,FIN,[10]
74,*,10153,*,53,unknown,udp,CON,[10]
75,*,10157,*,111,unknown,udp,CON,[10]
76,*,10157,*,41270,unknown,tcp,FIN,[10]
77,*,10158,*,80,unknown,tcp,FIN,[10]
78,*,10159,*,16241,unknown,tcp,FIN,[10]
79,*,10164,*,80,http,tcp,FIN,[10]
80,*,10165,*,80,http,tcp,FIN,[10]
81,*,10171,*,17403,unknown,tcp,FIN,[10]
82,*,10171,*,39707,unknown,tcp,FIN,[10]
83,*,10173,*,3251,unknown,tcp,FIN,[10]
84,*,10176,*,5190,unknown,tcp,FIN,[10]
85,*,10183,*,39810,unknown,tcp,FIN,[10]
86,*,10186,*,25,smtp,tcp,FIN,[10]
87,*,10187,*,44070,unknown,tcp,FIN,[10]
88,*,10188,*,5190,unknown,tcp,FIN,[10]
89,*,10193,*,5190,unknown,tcp,FIN,[10]
90,*,10193,*,53,unknown,udp,CON,[10]
91,*,10194,*,44762,unknown,tcp,FIN,[10]
92,*,10198,*,53,dns,udp,CON,[10]
93,*,10204,*,16241,unknown,tcp,FIN,[10]
94,*,10204,*,22,unknown,tcp,FIN,[10]
95,*,10205,*,10331,unknown,tcp,FIN,[10]
96,*,10207,*,44582,unknown,tcp,FIN,[10]
97,*,10207,*,8881,unknown,tcp,FIN,[10]
98,*,10208,*,111,unknown,udp,CON,[10]
99,*,10208,*,8705,unknown,tcp,FIN,[10]
100,*,10209,*,8492,unknown,tcp,FIN,[10]
101,*,10210,*,22,unknown,tcp,FIN,[10]
102,*,10216,*,80,http,tcp,FIN,[10]
