cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,*,0,unknown,arp,*,[2.515611897565028]
1,*,0,*,0,unknown,ospf,*,[5.227990139672067]
2,*,0,*,0,unknown,sctp,*,[10]
3,*,0,*,0,unknown,udp,*,[10]
4,*,0,*,48879,unknown,icmp,*,[3.4641016151377544]
5,*,10001,*,5840,unknown,tcp,*,[10]
6,*,10002,*,32833,unknown,tcp,*,[10]
7,*,10007,*,53,unknown,udp,*,[10]
8,*,10016,*,53,dns,udp,*,[10]
9,*,10018,*,6881,unknown,tcp,*,[10]
10,*,10020,*,1723,unknown,tcp,*,[10]
11,*,10023,*,53,unknown,udp,*,[10]
12,*,10025,*,44725,unknown,tcp,*,[10]
13,*,10027,*,53,dns,udp,*,[10]
14,*,10032,*,514,unknown,udp,*,[10]
15,*,10034,*,25,smtp,tcp,*,[10]
16,*,10036,*,53,unknown,udp,*,[10]
17,*,10040,*,53,unknown,udp,*,[10]
18,*,10050,*,11191,unknown,tcp,*,[10]
19,*,10050,*,8160,unknown,tcp,*,[10]
20,*,10053,*,6881,unknown,tcp,*,[1.5877132402714706]
21,*,10055,*,80,http,tcp,*,[10]
22,*,10056,*,43966,unknown,tcp,*,[10]
23,*,10056,*,6881,unknown,tcp,*,[10]
24,*,10058,*,53,dns,udp,*,[10]
25,*,10059,*,16241,unknown,tcp,*,[10]
26,*,10059,*,25,unknown,tcp,*,[10]
27,*,10061,*,45955,unknown,tcp,*,[10]
28,*,10063,*,45950,unknown,tcp,*,[10]
29,*,10063,*,53,unknown,udp,*,[10]
30,*,10064,*,5190,unknown,tcp,*,[10]
31,*,10065,*,111,unknown,udp,*,[10]
32,*,10069,*,5190,unknown,tcp,*,[10]
33,*,10078,*,39340,unknown,tcp,*,[10]
34,*,10081,*,111,unknown,udp,*,[10]
35,*,10083,*,53,dns,udp,*,[10]
36,*,10089,*,53,unknown,udp,*,[10]
37,*,10092,*,7480,unknown,tcp,*,[10]
38,*,10093,*,6881,unknown,tcp,*,[10]
39,*,10093,*,8812,unknown,tcp,*,[10]
40,*,10096,*,44956,unknown,tcp,*,[10]
41,*,10098,*,80,unknown,tcp,*,[10]
42,*,10099,*,22,unknown,tcp,*,[10]
43,*,10099,*,5190,unknown,tcp,*,[10]
44,*,10099,*,80,http,tcp,*,[10]
45,*,10103,*,52785,unknown,tcp,*,[10]
46,*,10106,*,80,unknown,tcp,*,[10]
47,*,10108,*,111,unknown,udp,*,[10]
48,*,10108,*,45953,unknown,tcp,*,[10]
49,*,10109,*,5190,unknown,tcp,*,[10]
50,*,10113,*,53,dns,udp,*,[10]
51,*,10116,*,53,dns,udp,*,[10]
52,*,10117,*,42833,unknown,tcp,*,[10]
53,*,10121,*,41612,unknown,tcp,*,[10]
54,*,10127,*,39340,unknown,tcp,*,[10]
55,*,10127,*,53,dns,udp,*,[10]
56,*,10127,*,80,http,tcp,*,[10]
57,*,10130,*,80,http,tcp,*,[10]
58,*,10131,*,5190,unknown,tcp,*,[10]
59,*,10133,*,53,unknown,udp,*,[10]
60,*,10136,*,44058,unknown,tcp,*,[10]
61,*,10138,*,80,unknown,tcp,*,[10]
62,*,10141,*,53,unknown,udp,*,[10]
63,*,10143,*,5190,unknown,tcp,*,[10]
64,*,10147,*,25,unknown,tcp,*,[10]
65,*,10150,*,179,unknown,tcp,*,[10]
66,*,10150,*,21,ftp,tcp,*,[10]
67,*,10153,*,22,unknown,tcp,*,[10]
68,*,10153,*,45917,unknown,tcp,*,[10]
69,*,10153,*,53,unknown,udp,*,[10]
70,*,10157,*,111,unknown,udp,*,[10]
71,*,10157,*,41270,unknown,tcp,*,[10]
72,*,10158,*,80,unknown,tcp,*,[10]
73,*,10159,*,16241,unknown,tcp,*,[10]
74,*,10164,*,80,http,tcp,*,[10]
75,*,10165,*,80,http,tcp,*,[10]
76,*,10171,*,17403,unknown,tcp,*,[10]
77,*,10171,*,39707,unknown,tcp,*,[10]
78,*,10173,*,3251,unknown,tcp,*,[10]
79,*,10176,*,5190,unknown,tcp,*,[10]
80,*,10183,*,39810,unknown,tcp,*,[10]
81,*,10186,*,25,smtp,tcp,*,[10]
82,*,10187,*,44070,unknown,tcp,*,[10]
83,*,10188,*,5190,unknown,tcp,*,[10]
84,*,10193,*,5190,unknown,tcp,*,[10]
85,*,10193,*,53,unknown,udp,*,[10]
86,*,10194,*,44762,unknown,tcp,*,[10]
87,*,10198,*,53,dns,udp,*,[10]
88,*,10204,*,16241,unknown,tcp,*,[10]
89,*,10204,*,22,unknown,tcp,*,[10]
90,*,10205,*,10331,unknown,tcp,*,[10]
91,*,10207,*,44582,unknown,tcp,*,[10]
92,*,10207,*,8881,unknown,tcp,*,[10]
93,*,10208,*,111,unknown,udp,*,[10]
94,*,10208,*,8705,unknown,tcp,*,[10]
95,*,10209,*,8492,unknown,tcp,*,[10]
96,*,10210,*,22,unknown,tcp,*,[10]
97,*,10216,*,80,http,tcp,*,[10]
98,*,10217,*,42750,unknown,tcp,*,[10]
99,*,10223,*,53,unknown,udp,*,[10]
100,*,10224,*,46030,unknown,tcp,*,[10]
101,*,10226,*,5190,unknown,tcp,*,[10]
102,*,10228,*,143,unknown,tcp,*,[10]
103,*,10228,*,25,smtp,tcp,*,[10]
104,*,10233,*,80,unknown,tcp,*,[10]
105,*,10235,*,43993,unknown,udp,*,[10]
106,*,10235,*,80,http,tcp,*,[10]
107,*,10235,*,80,unknown,tcp,*,[10]
108,*,10239,*,111,unknown,udp,*,[10]
109,*,1024,*,111,unknown,udp,*,[10]
110,*,1024,*,36772,unknown,tcp,*,[10]
111,*,1024,*,53,dns,udp,*,[10]
112,*,10242,*,53,unknown,udp,*,[10]
113,*,10244,*,43860,unknown,tcp,*,[10]
114,*,1025,*,25,smtp,tcp,*,[10]
115,*,10251,*,25,unknown,tcp,*,[10]
116,*,10255,*,8102,unknown,tcp,*,[10]
117,*,10257,*,25,smtp,tcp,*,[10]
118,*,10261,*,80,unknown,tcp,*,[10]
119,*,10264,*,53,unknown,udp,*,[10]
120,*,10266,*,8307,unknown,tcp,*,[10]
121,*,1027,*,5190,unknown,tcp,*,[10]
122,*,1027,*,53,unknown,udp,*,[10]
123,*,10272,*,30671,unknown,tcp,*,[10]
124,*,10274,*,5190,unknown,tcp,*,[10]
125,*,10275,*,40675,unknown,tcp,*,[10]
126,*,10277,*,53,dns,udp,*,[10]
127,*,10278,*,17403,unknown,tcp,*,[10]
