cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,*,*,*,INT,[3.477838527698241]
1,*,0,10.40.182.3,*,*,*,CON,[2.292651303622075]
2,*,0,10.40.182.3,*,*,*,INT,[3.3348395128594532]
3,*,0,10.40.85.1,*,*,*,CON,[1.1392028369236462]
4,*,0,10.40.85.30,*,*,*,CON,[2.7937414508601557]
5,*,0,149.171.126.11,*,*,*,INT,[10]
6,*,0,149.171.126.12,*,*,*,INT,[10]
7,*,0,149.171.126.14,*,*,*,CON,[10]
8,*,0,149.171.126.17,*,*,*,INT,[10]
9,*,0,149.171.126.18,*,*,*,INT,[10]
10,*,0,175.45.176.1,*,*,*,ECR,[10]
11,*,0,224.0.0.5,*,*,*,INT,[2.138089935299395]
12,*,0,224.0.0.5,*,*,*,REQ,[3.203121287835202]
13,*,10001,149.171.126.7,*,*,*,FIN,[10]
14,*,10002,149.171.126.7,*,*,*,FIN,[10]
15,*,10007,149.171.126.1,*,*,*,INT,[10]
16,*,10007,149.171.126.4,*,*,*,CON,[10]
17,*,10016,149.171.126.3,*,*,*,CON,[10]
18,*,10018,149.171.126.0,*,*,*,FIN,[10]
19,*,10020,149.171.126.11,*,*,*,FIN,[10]
20,*,10023,149.171.126.6,*,*,*,CON,[10]
21,*,10025,149.171.126.2,*,*,*,FIN,[10]
22,*,10027,149.171.126.9,*,*,*,CON,[10]
23,*,10032,149.171.126.13,*,*,*,INT,[10]
24,*,10034,149.171.126.19,*,*,*,FIN,[10]
25,*,10036,149.171.126.3,*,*,*,CON,[10]
26,*,10040,149.171.126.0,*,*,*,CON,[10]
27,*,10050,149.171.126.0,*,*,*,FIN,[10]
28,*,10050,149.171.126.5,*,*,*,FIN,[10]
29,*,10053,149.171.126.8,*,*,*,FIN,[10]
30,*,10055,149.171.126.7,*,*,*,FIN,[10]
31,*,10056,149.171.126.3,*,*,*,CON,[10]
32,*,10056,149.171.126.3,*,*,*,FIN,[10]
33,*,10056,149.171.126.6,*,*,*,FIN,[10]
34,*,10058,149.171.126.7,*,*,*,CON,[10]
35,*,10059,149.171.126.9,*,*,*,FIN,[10]
36,*,10061,149.171.126.4,*,*,*,FIN,[10]
37,*,10063,149.171.126.0,*,*,*,CON,[10]
38,*,10063,149.171.126.5,*,*,*,FIN,[10]
39,*,10064,149.171.126.2,*,*,*,FIN,[10]
40,*,10065,149.171.126.2,*,*,*,CON,[10]
41,*,10069,149.171.126.2,*,*,*,FIN,[10]
42,*,10078,149.171.126.1,*,*,*,FIN,[10]
43,*,10081,149.171.126.0,*,*,*,CON,[10]
44,*,10083,149.171.126.2,*,*,*,CON,[10]
45,*,10089,149.171.126.7,*,*,*,CON,[10]
46,*,10092,149.171.126.9,*,*,*,FIN,[10]
47,*,10093,149.171.126.5,*,*,*,FIN,[10]
48,*,10093,149.171.126.9,*,*,*,FIN,[10]
49,*,10096,149.171.126.1,*,*,*,FIN,[10]
50,*,10098,149.171.126.2,*,*,*,FIN,[10]
51,*,10099,149.171.126.1,*,*,*,FIN,[10]
52,*,10099,149.171.126.2,*,*,*,FIN,[10]
53,*,10099,149.171.126.9,*,*,*,FIN,[10]
54,*,10103,149.171.126.8,*,*,*,FIN,[10]
55,*,10106,149.171.126.7,*,*,*,FIN,[10]
56,*,10108,149.171.126.0,*,*,*,CON,[10]
57,*,10108,149.171.126.8,*,*,*,FIN,[10]
58,*,10109,149.171.126.6,*,*,*,FIN,[10]
59,*,10113,149.171.126.7,*,*,*,CON,[10]
60,*,10116,149.171.126.1,*,*,*,CON,[10]
61,*,10117,149.171.126.3,*,*,*,FIN,[10]
62,*,10121,149.171.126.4,*,*,*,FIN,[10]
63,*,10127,149.171.126.1,*,*,*,FIN,[10]
64,*,10127,149.171.126.5,*,*,*,CON,[10]
65,*,10127,149.171.126.8,*,*,*,FIN,[10]
66,*,10130,149.171.126.0,*,*,*,FIN,[10]
67,*,10131,149.171.126.3,*,*,*,FIN,[10]
68,*,10133,149.171.126.8,*,*,*,CON,[10]
69,*,10136,149.171.126.5,*,*,*,FIN,[10]
70,*,10138,149.171.126.7,*,*,*,FIN,[10]
71,*,10141,149.171.126.1,*,*,*,CON,[10]
72,*,10143,149.171.126.5,*,*,*,FIN,[10]
73,*,10147,149.171.126.8,*,*,*,FIN,[10]
74,*,10150,149.171.126.10,*,*,*,FIN,[10]
75,*,10150,149.171.126.7,*,*,*,FIN,[10]
76,*,10153,149.171.126.3,*,*,*,CON,[10]
77,*,10153,149.171.126.8,*,*,*,FIN,[10]
78,*,10157,149.171.126.5,*,*,*,CON,[10]
79,*,10157,149.171.126.8,*,*,*,FIN,[10]
80,*,10158,149.171.126.3,*,*,*,FIN,[10]
81,*,10159,149.171.126.4,*,*,*,FIN,[10]
82,*,10164,149.171.126.2,*,*,*,FIN,[10]
83,*,10165,149.171.126.9,*,*,*,FIN,[10]
84,*,10171,149.171.126.6,*,*,*,FIN,[10]
85,*,10171,149.171.126.8,*,*,*,FIN,[10]
86,*,10173,149.171.126.4,*,*,*,FIN,[10]
87,*,10176,149.171.126.2,*,*,*,FIN,[10]
88,*,10183,149.171.126.2,*,*,*,FIN,[10]
89,*,10186,149.171.126.4,*,*,*,FIN,[10]
90,*,10187,149.171.126.5,*,*,*,FIN,[10]
91,*,10188,149.171.126.4,*,*,*,FIN,[10]
92,*,10193,149.171.126.2,*,*,*,CON,[10]
93,*,10193,149.171.126.9,*,*,*,FIN,[10]
94,*,10194,149.171.126.7,*,*,*,FIN,[10]
95,*,10198,149.171.126.0,*,*,*,CON,[10]
96,*,10204,149.171.126.6,*,*,*,FIN,[10]
97,*,10204,149.171.126.8,*,*,*,FIN,[10]
98,*,10205,149.171.126.9,*,*,*,FIN,[10]
99,*,10207,149.171.126.1,*,*,*,FIN,[10]
100,*,10207,149.171.126.3,*,*,*,FIN,[10]
101,*,10208,149.171.126.1,*,*,*,CON,[10]
102,*,10208,149.171.126.3,*,*,*,FIN,[10]
103,*,10209,149.171.126.6,*,*,*,FIN,[10]
104,*,10210,149.171.126.8,*,*,*,FIN,[10]
105,*,10216,149.171.126.4,*,*,*,FIN,[10]
106,*,10217,149.171.126.2,*,*,*,FIN,[10]
107,*,10223,149.171.126.3,*,*,*,CON,[10]
108,*,10224,149.171.126.6,*,*,*,FIN,[10]
109,*,10226,149.171.126.18,*,*,*,FIN,[10]
110,*,10228,149.171.126.3,*,*,*,FIN,[10]
111,*,10228,149.171.126.9,*,*,*,FIN,[10]
112,*,10233,149.171.126.5,*,*,*,FIN,[10]
113,*,10235,149.171.126.0,*,*,*,CON,[10]
114,*,10235,149.171.126.2,*,*,*,FIN,[10]
115,*,10235,149.171.126.7,*,*,*,FIN,[10]
116,*,10239,149.171.126.6,*,*,*,INT,[10]
117,*,1024,149.171.126.10,*,*,*,CON,[10]
118,*,1024,149.171.126.5,*,*,*,FIN,[10]
119,*,1024,149.171.126.8,*,*,*,CON,[10]
120,*,10242,149.171.126.2,*,*,*,CON,[10]
121,*,10244,149.171.126.0,*,*,*,FIN,[10]
122,*,1025,149.171.126.6,*,*,*,FIN,[10]
123,*,10251,149.171.126.3,*,*,*,FIN,[10]
124,*,10255,149.171.126.9,*,*,*,FIN,[10]
125,*,10257,149.171.126.14,*,*,*,FIN,[10]
126,*,10261,149.171.126.0,*,*,*,FIN,[10]
127,*,10264,149.171.126.3,*,*,*,CON,[10]
128,*,10266,149.171.126.3,*,*,*,FIN,[10]
129,*,1027,149.171.126.6,*,*,*,CON,[10]
130,*,1027,149.171.126.6,*,*,*,FIN,[10]
131,*,10272,149.171.126.2,*,*,*,FIN,[10]
132,*,10274,149.171.126.6,*,*,*,FIN,[10]
133,*,10275,149.171.126.1,*,*,*,FIN,[10]
134,*,10277,149.171.126.3,*,*,*,CON,[10]
135,*,10278,149.171.126.5,*,*,*,FIN,[1.5877132402714706]
136,*,10279,149.171.126.5,*,*,*,FIN,[10]
137,*,1028,149.171.126.0,*,*,*,FIN,[10]
138,*,10280,149.171.126.10,*,*,*,CON,[10]
139,*,10280,149.171.126.10,*,*,*,FIN,[10]
140,*,10280,149.171.126.8,*,*,*,FIN,[10]
141,*,10283,149.171.126.1,*,*,*,FIN,[10]
142,*,10284,149.171.126.6,*,*,*,CON,[10]
143,*,10286,149.171.126.4,*,*,*,FIN,[10]
144,*,10287,149.171.126.1,*,*,*,FIN,[10]
145,*,10290,149.171.126.4,*,*,*,FIN,[10]
146,*,10295,149.171.126.14,*,*,*,INT,[10]
147,*,10295,149.171.126.2,*,*,*,FIN,[10]
148,*,10297,149.171.126.6,*,*,*,FIN,[10]
149,*,1030,149.171.126.1,*,*,*,CON,[10]
150,*,1030,149.171.126.3,*,*,*,FIN,[10]
151,*,1030,149.171.126.4,*,*,*,FIN,[1.5877132402714706]
152,*,1030,149.171.126.5,*,*,*,FIN,[10]
153,*,10303,149.171.126.5,*,*,*,FIN,[10]
154,*,10307,149.171.126.6,*,*,*,CON,[10]
155,*,10309,149.171.126.0,*,*,*,CON,[10]
156,*,1031,149.171.126.9,*,*,*,FIN,[10]
157,*,10313,149.171.126.0,*,*,*,CON,[10]
158,*,10315,149.171.126.3,*,*,*,FIN,[10]
159,*,10316,149.171.126.1,*,*,*,FIN,[10]
160,*,10318,149.171.126.0,*,*,*,FIN,[10]
161,*,10318,149.171.126.2,*,*,*,FIN,[10]
162,*,10318,149.171.126.9,*,*,*,CON,[10]
163,*,10319,149.171.126.2,*,*,*,CON,[10]
164,*,1032,149.171.126.7,*,*,*,CON,[10]
165,*,10324,149.171.126.3,*,*,*,FIN,[10]
166,*,10325,149.171.126.7,*,*,*,FIN,[10]
167,*,10328,149.171.126.7,*,*,*,FIN,[10]
168,*,10329,149.171.126.5,*,*,*,FIN,[10]
169,*,10330,149.171.126.17,*,*,*,FIN,[10]
170,*,10338,149.171.126.9,*,*,*,FIN,[10]
171,*,1034,149.171.126.11,*,*,*,INT,[10]
172,*,1034,149.171.126.9,*,*,*,CON,[10]
173,*,10343,149.171.126.9,*,*,*,FIN,[10]
174,*,10346,149.171.126.3,*,*,*,FIN,[10]
175,*,10352,149.171.126.1,*,*,*,CON,[10]
176,*,10354,149.171.126.1,*,*,*,FIN,[10]
177,*,10354,149.171.126.9,*,*,*,FIN,[10]
178,*,10357,149.171.126.6,*,*,*,FIN,[10]
179,*,10358,149.171.126.2,*,*,*,FIN,[10]
180,*,10359,149.171.126.6,*,*,*,FIN,[10]
181,*,1036,149.171.126.1,*,*,*,CON,[10]
182,*,10364,149.171.126.15,*,*,*,FIN,[10]
183,*,10369,149.171.126.0,*,*,*,FIN,[10]
184,*,1037,149.171.126.5,*,*,*,FIN,[10]
185,*,10370,149.171.126.4,*,*,*,FIN,[10]
186,*,10371,149.171.126.1,*,*,*,FIN,[10]
187,*,10374,149.171.126.7,*,*,*,FIN,[10]
188,*,10386,149.171.126.0,*,*,*,FIN,[10]
189,*,10389,149.171.126.8,*,*,*,CON,[10]
190,*,10394,149.171.126.1,*,*,*,FIN,[10]
191,*,10395,149.171.126.9,*,*,*,FIN,[10]
192,*,10396,149.171.126.0,*,*,*,FIN,[10]
193,*,10397,149.171.126.15,*,*,*,FIN,[10]
194,*,10399,149.171.126.6,*,*,*,CON,[10]
195,*,10402,149.171.126.5,*,*,*,FIN,[10]
196,*,10403,149.171.126.2,*,*,*,CON,[10]
197,*,10404,149.171.126.9,*,*,*,FIN,[10]
198,*,10407,149.171.126.6,*,*,*,CON,[10]
199,*,1041,149.171.126.8,*,*,*,CON,[10]
200,*,10410,149.171.126.2,*,*,*,FIN,[10]
201,*,10411,149.171.126.4,*,*,*,FIN,[10]
202,*,10415,149.171.126.2,*,*,*,FIN,[10]
203,*,10415,149.171.126.3,*,*,*,FIN,[10]
204,*,10418,149.171.126.2,*,*,*,FIN,[10]
205,*,10420,149.171.126.7,*,*,*,CON,[10]
206,*,10424,149.171.126.6,*,*,*,CON,[10]
207,*,10425,149.171.126.9,*,*,*,FIN,[10]
208,*,10426,149.171.126.9,*,*,*,FIN,[10]
209,*,1043,149.171.126.18,*,*,*,INT,[10]
210,*,1043,175.45.176.1,*,*,*,INT,[0.09173436568171149]
211,*,10430,149.171.126.7,*,*,*,CON,[10]
212,*,10432,149.171.126.4,*,*,*,CON,[10]
213,*,10448,149.171.126.1,*,*,*,CON,[10]
214,*,10449,149.171.126.0,*,*,*,FIN,[10]
215,*,10452,149.171.126.13,*,*,*,FIN,[10]
216,*,10454,149.171.126.2,*,*,*,FIN,[10]
217,*,10455,149.171.126.0,*,*,*,FIN,[10]
218,*,10457,149.171.126.11,*,*,*,INT,[10]
219,*,10458,149.171.126.0,*,*,*,CON,[10]
220,*,10458,149.171.126.2,*,*,*,CON,[10]
221,*,10458,59.166.0.5,*,*,*,CON,[10]
222,*,1046,149.171.126.2,*,*,*,FIN,[10]
223,*,10462,149.171.126.1,*,*,*,FIN,[10]
224,*,10464,149.171.126.1,*,*,*,CON,[10]
225,*,10470,149.171.126.6,*,*,*,FIN,[10]
226,*,10471,149.171.126.0,*,*,*,FIN,[10]
227,*,10475,149.171.126.1,*,*,*,FIN,[10]
228,*,10475,149.171.126.9,*,*,*,FIN,[10]
229,*,10476,149.171.126.0,*,*,*,FIN,[10]
230,*,10477,149.171.126.3,*,*,*,CON,[10]
231,*,10477,149.171.126.3,*,*,*,FIN,[10]
232,*,10479,149.171.126.6,*,*,*,FIN,[10]
233,*,10482,149.171.126.4,*,*,*,CON,[10]
234,*,10487,149.171.126.4,*,*,*,FIN,[10]
235,*,10487,149.171.126.5,*,*,*,FIN,[10]
236,*,10489,149.171.126.0,*,*,*,FIN,[10]
237,*,10489,149.171.126.9,*,*,*,FIN,[10]
238,*,1049,149.171.126.3,*,*,*,FIN,[10]
239,*,1049,149.171.126.8,*,*,*,CON,[10]
240,*,10491,149.171.126.1,*,*,*,FIN,[10]
241,*,10497,149.171.126.2,*,*,*,FIN,[10]
242,*,1050,149.171.126.1,*,*,*,FIN,[10]
243,*,10500,149.171.126.1,*,*,*,FIN,[10]
244,*,10500,149.171.126.9,*,*,*,FIN,[10]
245,*,10504,149.171.126.9,*,*,*,FIN,[10]
246,*,1051,149.171.126.3,*,*,*,FIN,[10]
247,*,10511,149.171.126.3,*,*,*,FIN,[10]
248,*,10511,149.171.126.8,*,*,*,FIN,[10]
249,*,10513,149.171.126.1,*,*,*,CON,[10]
250,*,10514,149.171.126.8,*,*,*,FIN,[10]
251,*,10515,149.171.126.5,*,*,*,FIN,[10]
252,*,10519,149.171.126.4,*,*,*,FIN,[10]
253,*,10524,149.171.126.2,*,*,*,FIN,[10]
254,*,10528,149.171.126.1,*,*,*,FIN,[10]
255,*,10529,149.171.126.9,*,*,*,FIN,[10]
256,*,1053,149.171.126.2,*,*,*,FIN,[10]
257,*,10530,149.171.126.3,*,*,*,CON,[10]
258,*,10537,149.171.126.6,*,*,*,FIN,[10]
259,*,1054,149.171.126.3,*,*,*,FIN,[10]
260,*,1054,149.171.126.4,*,*,*,FIN,[10]
261,*,1054,149.171.126.5,*,*,*,CON,[10]
262,*,1054,149.171.126.6,*,*,*,FIN,[10]
263,*,10546,149.171.126.0,*,*,*,FIN,[10]
264,*,10547,149.171.126.3,*,*,*,FIN,[10]
265,*,10548,149.171.126.1,*,*,*,CON,[10]
266,*,10548,149.171.126.5,*,*,*,FIN,[10]
267,*,1055,149.171.126.9,*,*,*,FIN,[10]
268,*,10550,149.171.126.2,*,*,*,FIN,[10]
269,*,10554,149.171.126.4,*,*,*,CON,[10]
270,*,1056,149.171.126.8,*,*,*,FIN,[10]
271,*,1056,149.171.126.9,*,*,*,FIN,[10]
272,*,10560,149.171.126.0,*,*,*,FIN,[10]
273,*,10563,149.171.126.4,*,*,*,CON,[10]
274,*,10567,149.171.126.7,*,*,*,FIN,[10]
275,*,10569,149.171.126.9,*,*,*,FIN,[10]
276,*,10570,149.171.126.5,*,*,*,FIN,[10]
277,*,10571,149.171.126.4,*,*,*,CON,[10]
278,*,10572,149.171.126.1,*,*,*,FIN,[10]
279,*,10579,149.171.126.1,*,*,*,FIN,[10]
280,*,10579,149.171.126.2,*,*,*,CON,[10]
281,*,10582,149.171.126.1,*,*,*,CON,[10]
282,*,10587,149.171.126.6,*,*,*,FIN,[10]
283,*,10590,149.171.126.1,*,*,*,FIN,[10]
284,*,10592,149.171.126.8,*,*,*,CON,[10]
285,*,10592,149.171.126.8,*,*,*,FIN,[10]
286,*,10597,149.171.126.1,*,*,*,FIN,[10]
287,*,10597,149.171.126.8,*,*,*,FIN,[10]
288,*,1060,149.171.126.6,*,*,*,FIN,[10]
289,*,10601,149.171.126.1,*,*,*,FIN,[10]
290,*,10606,149.171.126.4,*,*,*,CON,[10]
291,*,10607,149.171.126.7,*,*,*,CON,[10]
292,*,10609,149.171.126.8,*,*,*,FIN,[10]
293,*,1061,149.171.126.1,*,*,*,FIN,[10]
294,*,1061,149.171.126.2,*,*,*,FIN,[10]
295,*,1061,149.171.126.3,*,*,*,CON,[10]
296,*,10611,149.171.126.0,*,*,*,CON,[10]
297,*,10611,149.171.126.9,*,*,*,FIN,[10]
298,*,10615,149.171.126.9,*,*,*,FIN,[10]
299,*,10625,149.171.126.5,*,*,*,CON,[10]
300,*,10628,149.171.126.6,*,*,*,FIN,[10]
301,*,10631,149.171.126.1,*,*,*,CON,[10]
302,*,10631,149.171.126.3,*,*,*,CON,[10]
303,*,10631,149.171.126.7,*,*,*,FIN,[10]
304,*,10633,149.171.126.4,*,*,*,CON,[10]
305,*,10636,149.171.126.7,*,*,*,CON,[10]
306,*,10638,149.171.126.17,*,*,*,INT,[10]
307,*,1064,149.171.126.3,*,*,*,FIN,[10]
308,*,10642,149.171.126.4,*,*,*,CON,[10]
309,*,10647,149.171.126.8,*,*,*,CON,[10]
310,*,10651,149.171.126.0,*,*,*,FIN,[10]
311,*,10654,149.171.126.6,*,*,*,FIN,[10]
312,*,10654,149.171.126.9,*,*,*,FIN,[10]
313,*,10656,149.171.126.0,*,*,*,CON,[10]
314,*,10656,149.171.126.7,*,*,*,FIN,[10]
315,*,10657,149.171.126.3,*,*,*,CON,[10]
316,*,10657,149.171.126.3,*,*,*,FIN,[10]
317,*,10659,149.171.126.7,*,*,*,FIN,[10]
318,*,1066,149.171.126.8,*,*,*,FIN,[10]
319,*,10661,149.171.126.4,*,*,*,CON,[10]
320,*,10663,149.171.126.2,*,*,*,CON,[10]
321,*,10663,149.171.126.9,*,*,*,FIN,[10]
322,*,10665,149.171.126.1,*,*,*,CON,[10]
323,*,10665,149.171.126.3,*,*,*,FIN,[10]
324,*,10669,149.171.126.5,*,*,*,CON,[10]
325,*,10671,149.171.126.5,*,*,*,FIN,[10]
326,*,10673,149.171.126.0,*,*,*,FIN,[10]
327,*,10674,149.171.126.7,*,*,*,CON,[10]
328,*,10675,149.171.126.2,*,*,*,CON,[10]
329,*,10678,149.171.126.0,*,*,*,FIN,[10]
330,*,1068,149.171.126.4,*,*,*,FIN,[10]
331,*,10684,149.171.126.8,*,*,*,FIN,[10]
332,*,10687,149.171.126.4,*,*,*,FIN,[10]
333,*,1069,149.171.126.4,*,*,*,CON,[10]
334,*,1069,149.171.126.5,*,*,*,FIN,[10]
335,*,10693,149.171.126.6,*,*,*,FIN,[10]
336,*,10695,149.171.126.2,*,*,*,CON,[10]
337,*,10695,149.171.126.4,*,*,*,FIN,[10]
338,*,10698,149.171.126.9,*,*,*,CON,[10]
339,*,10700,149.171.126.6,*,*,*,FIN,[10]
340,*,10706,149.171.126.6,*,*,*,FIN,[10]
341,*,10708,149.171.126.5,*,*,*,CON,[10]
342,*,10710,149.171.126.1,*,*,*,CON,[10]
343,*,10712,149.171.126.8,*,*,*,FIN,[10]
344,*,10716,149.171.126.8,*,*,*,CON,[10]
345,*,10719,149.171.126.0,*,*,*,FIN,[10]
346,*,10719,149.171.126.3,*,*,*,FIN,[10]
347,*,10719,149.171.126.4,*,*,*,FIN,[10]
348,*,10719,149.171.126.7,*,*,*,FIN,[10]
349,*,1072,149.171.126.2,*,*,*,FIN,[10]
350,*,1072,149.171.126.6,*,*,*,FIN,[10]
351,*,10720,149.171.126.3,*,*,*,CON,[10]
352,*,10720,149.171.126.7,*,*,*,FIN,[10]
353,*,10721,149.171.126.4,*,*,*,FIN,[10]
354,*,10722,149.171.126.3,*,*,*,CON,[10]
