cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,*,*,*,*,[3.477838527698241]
1,*,0,10.40.182.3,*,*,*,*,[2.856108005866807]
2,*,0,10.40.85.1,*,*,*,*,[1.1392028369236462]
3,*,0,10.40.85.30,*,*,*,*,[2.7937414508601557]
4,*,0,149.171.126.11,*,*,*,*,[10]
5,*,0,149.171.126.12,*,*,*,*,[10]
6,*,0,149.171.126.14,*,*,*,*,[10]
7,*,0,149.171.126.17,*,*,*,*,[10]
8,*,0,149.171.126.18,*,*,*,*,[10]
9,*,0,175.45.176.1,*,*,*,*,[10]
10,*,0,224.0.0.5,*,*,*,*,[3.4763439588541063]
11,*,10001,149.171.126.7,*,*,*,*,[10]
12,*,10002,149.171.126.7,*,*,*,*,[10]
13,*,10007,149.171.126.1,*,*,*,*,[10]
14,*,10007,149.171.126.4,*,*,*,*,[10]
15,*,10016,149.171.126.3,*,*,*,*,[10]
16,*,10018,149.171.126.0,*,*,*,*,[10]
17,*,10020,149.171.126.11,*,*,*,*,[10]
18,*,10023,149.171.126.6,*,*,*,*,[10]
19,*,10025,149.171.126.2,*,*,*,*,[10]
20,*,10027,149.171.126.9,*,*,*,*,[10]
21,*,10032,149.171.126.13,*,*,*,*,[10]
22,*,10034,149.171.126.19,*,*,*,*,[10]
23,*,10036,149.171.126.3,*,*,*,*,[10]
24,*,10040,149.171.126.0,*,*,*,*,[10]
25,*,10050,149.171.126.0,*,*,*,*,[10]
26,*,10050,149.171.126.5,*,*,*,*,[10]
27,*,10053,149.171.126.8,*,*,*,*,[10]
28,*,10055,149.171.126.7,*,*,*,*,[10]
29,*,10056,149.171.126.3,*,*,*,*,[10]
30,*,10056,149.171.126.6,*,*,*,*,[10]
31,*,10058,149.171.126.7,*,*,*,*,[10]
32,*,10059,149.171.126.9,*,*,*,*,[10]
33,*,10061,149.171.126.4,*,*,*,*,[10]
34,*,10063,149.171.126.0,*,*,*,*,[10]
35,*,10063,149.171.126.5,*,*,*,*,[10]
36,*,10064,149.171.126.2,*,*,*,*,[10]
37,*,10065,149.171.126.2,*,*,*,*,[10]
38,*,10069,149.171.126.2,*,*,*,*,[10]
39,*,10078,149.171.126.1,*,*,*,*,[10]
40,*,10081,149.171.126.0,*,*,*,*,[10]
41,*,10083,149.171.126.2,*,*,*,*,[10]
42,*,10089,149.171.126.7,*,*,*,*,[10]
43,*,10092,149.171.126.9,*,*,*,*,[10]
44,*,10093,149.171.126.5,*,*,*,*,[10]
45,*,10093,149.171.126.9,*,*,*,*,[10]
46,*,10096,149.171.126.1,*,*,*,*,[10]
47,*,10098,149.171.126.2,*,*,*,*,[10]
48,*,10099,149.171.126.1,*,*,*,*,[10]
49,*,10099,149.171.126.2,*,*,*,*,[10]
50,*,10099,149.171.126.9,*,*,*,*,[10]
51,*,10103,149.171.126.8,*,*,*,*,[10]
52,*,10106,149.171.126.7,*,*,*,*,[10]
53,*,10108,149.171.126.0,*,*,*,*,[10]
54,*,10108,149.171.126.8,*,*,*,*,[10]
55,*,10109,149.171.126.6,*,*,*,*,[10]
56,*,10113,149.171.126.7,*,*,*,*,[10]
57,*,10116,149.171.126.1,*,*,*,*,[10]
58,*,10117,149.171.126.3,*,*,*,*,[10]
59,*,10121,149.171.126.4,*,*,*,*,[10]
60,*,10127,149.171.126.1,*,*,*,*,[10]
61,*,10127,149.171.126.5,*,*,*,*,[10]
62,*,10127,149.171.126.8,*,*,*,*,[10]
63,*,10130,149.171.126.0,*,*,*,*,[10]
64,*,10131,149.171.126.3,*,*,*,*,[10]
65,*,10133,149.171.126.8,*,*,*,*,[10]
66,*,10136,149.171.126.5,*,*,*,*,[10]
67,*,10138,149.171.126.7,*,*,*,*,[10]
68,*,10141,149.171.126.1,*,*,*,*,[10]
69,*,10143,149.171.126.5,*,*,*,*,[10]
70,*,10147,149.171.126.8,*,*,*,*,[10]
71,*,10150,149.171.126.10,*,*,*,*,[10]
72,*,10150,149.171.126.7,*,*,*,*,[10]
73,*,10153,149.171.126.3,*,*,*,*,[10]
74,*,10153,149.171.126.8,*,*,*,*,[10]
75,*,10157,149.171.126.5,*,*,*,*,[10]
76,*,10157,149.171.126.8,*,*,*,*,[10]
77,*,10158,149.171.126.3,*,*,*,*,[10]
78,*,10159,149.171.126.4,*,*,*,*,[10]
79,*,10164,149.171.126.2,*,*,*,*,[10]
80,*,10165,149.171.126.9,*,*,*,*,[10]
81,*,10171,149.171.126.6,*,*,*,*,[10]
82,*,10171,149.171.126.8,*,*,*,*,[10]
83,*,10173,149.171.126.4,*,*,*,*,[10]
84,*,10176,149.171.126.2,*,*,*,*,[10]
85,*,10183,149.171.126.2,*,*,*,*,[10]
86,*,10186,149.171.126.4,*,*,*,*,[10]
87,*,10187,149.171.126.5,*,*,*,*,[10]
88,*,10188,149.171.126.4,*,*,*,*,[10]
89,*,10193,149.171.126.2,*,*,*,*,[10]
90,*,10193,149.171.126.9,*,*,*,*,[10]
91,*,10194,149.171.126.7,*,*,*,*,[10]
92,*,10198,149.171.126.0,*,*,*,*,[10]
93,*,10204,149.171.126.6,*,*,*,*,[10]
94,*,10204,149.171.126.8,*,*,*,*,[10]
95,*,10205,149.171.126.9,*,*,*,*,[10]
96,*,10207,149.171.126.1,*,*,*,*,[10]
