cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,*,*,arp,*,[3.477838527698241]
1,*,0,10.40.182.3,*,*,arp,*,[2.856108005866807]
2,*,0,10.40.85.1,*,*,arp,*,[1.1392028369236462]
3,*,0,10.40.85.30,*,*,arp,*,[2.7937414508601557]
4,*,0,149.171.126.11,*,*,sctp,*,[10]
5,*,0,149.171.126.11,*,*,udp,*,[10]
6,*,0,149.171.126.12,*,*,ospf,*,[10]
7,*,0,149.171.126.14,*,*,sctp,*,[10]
8,*,0,149.171.126.17,*,*,udp,*,[10]
9,*,0,149.171.126.18,*,*,ospf,*,[10]
10,*,0,175.45.176.1,*,*,icmp,*,[10]
11,*,0,224.0.0.5,*,*,ospf,*,[3.4763439588541063]
12,*,10001,149.171.126.7,*,*,tcp,*,[10]
13,*,10002,149.171.126.7,*,*,tcp,*,[10]
14,*,10007,149.171.126.1,*,*,udp,*,[10]
15,*,10007,149.171.126.4,*,*,udp,*,[10]
16,*,10016,149.171.126.3,*,*,udp,*,[10]
17,*,10018,149.171.126.0,*,*,tcp,*,[10]
18,*,10020,149.171.126.11,*,*,tcp,*,[10]
19,*,10023,149.171.126.6,*,*,udp,*,[10]
20,*,10025,149.171.126.2,*,*,tcp,*,[10]
21,*,10027,149.171.126.9,*,*,udp,*,[10]
22,*,10032,149.171.126.13,*,*,udp,*,[10]
23,*,10034,149.171.126.19,*,*,tcp,*,[10]
24,*,10036,149.171.126.3,*,*,udp,*,[10]
25,*,10040,149.171.126.0,*,*,udp,*,[10]
26,*,10050,149.171.126.0,*,*,tcp,*,[10]
27,*,10050,149.171.126.5,*,*,tcp,*,[10]
28,*,10053,149.171.126.8,*,*,tcp,*,[10]
29,*,10055,149.171.126.7,*,*,tcp,*,[10]
30,*,10056,149.171.126.3,*,*,tcp,*,[10]
31,*,10056,149.171.126.6,*,*,tcp,*,[10]
32,*,10058,149.171.126.7,*,*,udp,*,[10]
33,*,10059,149.171.126.9,*,*,tcp,*,[10]
34,*,10061,149.171.126.4,*,*,tcp,*,[10]
35,*,10063,149.171.126.0,*,*,udp,*,[10]
36,*,10063,149.171.126.5,*,*,tcp,*,[10]
37,*,10064,149.171.126.2,*,*,tcp,*,[10]
38,*,10065,149.171.126.2,*,*,udp,*,[10]
39,*,10069,149.171.126.2,*,*,tcp,*,[10]
40,*,10078,149.171.126.1,*,*,tcp,*,[10]
41,*,10081,149.171.126.0,*,*,udp,*,[10]
42,*,10083,149.171.126.2,*,*,udp,*,[10]
43,*,10089,149.171.126.7,*,*,udp,*,[10]
44,*,10092,149.171.126.9,*,*,tcp,*,[10]
45,*,10093,149.171.126.5,*,*,tcp,*,[10]
46,*,10093,149.171.126.9,*,*,tcp,*,[10]
47,*,10096,149.171.126.1,*,*,tcp,*,[10]
48,*,10098,149.171.126.2,*,*,tcp,*,[10]
49,*,10099,149.171.126.1,*,*,tcp,*,[10]
50,*,10099,149.171.126.2,*,*,tcp,*,[10]
51,*,10099,149.171.126.9,*,*,tcp,*,[10]
52,*,10103,149.171.126.8,*,*,tcp,*,[10]
53,*,10106,149.171.126.7,*,*,tcp,*,[10]
54,*,10108,149.171.126.0,*,*,udp,*,[10]
55,*,10108,149.171.126.8,*,*,tcp,*,[10]
56,*,10109,149.171.126.6,*,*,tcp,*,[10]
57,*,10113,149.171.126.7,*,*,udp,*,[10]
58,*,10116,149.171.126.1,*,*,udp,*,[10]
59,*,10117,149.171.126.3,*,*,tcp,*,[10]
60,*,10121,149.171.126.4,*,*,tcp,*,[10]
61,*,10127,149.171.126.1,*,*,tcp,*,[10]
62,*,10127,149.171.126.5,*,*,udp,*,[10]
63,*,10127,149.171.126.8,*,*,tcp,*,[10]
64,*,10130,149.171.126.0,*,*,tcp,*,[10]
65,*,10131,149.171.126.3,*,*,tcp,*,[10]
66,*,10133,149.171.126.8,*,*,udp,*,[10]
67,*,10136,149.171.126.5,*,*,tcp,*,[10]
68,*,10138,149.171.126.7,*,*,tcp,*,[10]
69,*,10141,149.171.126.1,*,*,udp,*,[10]
70,*,10143,149.171.126.5,*,*,tcp,*,[10]
71,*,10147,149.171.126.8,*,*,tcp,*,[10]
72,*,10150,149.171.126.10,*,*,tcp,*,[10]
73,*,10150,149.171.126.7,*,*,tcp,*,[10]
74,*,10153,149.171.126.3,*,*,udp,*,[10]
75,*,10153,149.171.126.8,*,*,tcp,*,[10]
76,*,10157,149.171.126.5,*,*,udp,*,[10]
77,*,10157,149.171.126.8,*,*,tcp,*,[10]
78,*,10158,149.171.126.3,*,*,tcp,*,[10]
79,*,10159,149.171.126.4,*,*,tcp,*,[10]
80,*,10164,149.171.126.2,*,*,tcp,*,[10]
81,*,10165,149.171.126.9,*,*,tcp,*,[10]
82,*,10171,149.171.126.6,*,*,tcp,*,[10]
83,*,10171,149.171.126.8,*,*,tcp,*,[10]
84,*,10173,149.171.126.4,*,*,tcp,*,[10]
85,*,10176,149.171.126.2,*,*,tcp,*,[10]
86,*,10183,149.171.126.2,*,*,tcp,*,[10]
87,*,10186,149.171.126.4,*,*,tcp,*,[10]
88,*,10187,149.171.126.5,*,*,tcp,*,[10]
89,*,10188,149.171.126.4,*,*,tcp,*,[10]
90,*,10193,149.171.126.2,*,*,udp,*,[10]
91,*,10193,149.171.126.9,*,*,tcp,*,[10]
92,*,10194,149.171.126.7,*,*,tcp,*,[10]
93,*,10198,149.171.126.0,*,*,udp,*,[10]
94,*,10204,149.171.126.6,*,*,tcp,*,[10]
95,*,10204,149.171.126.8,*,*,tcp,*,[10]
96,*,10205,149.171.126.9,*,*,tcp,*,[10]
97,*,10207,149.171.126.1,*,*,tcp,*,[10]
98,*,10207,149.171.126.3,*,*,tcp,*,[10]
99,*,10208,149.171.126.1,*,*,udp,*,[10]
100,*,10208,149.171.126.3,*,*,tcp,*,[10]
101,*,10209,149.171.126.6,*,*,tcp,*,[10]
102,*,10210,149.171.126.8,*,*,tcp,*,[10]
103,*,10216,149.171.126.4,*,*,tcp,*,[10]
104,*,10217,149.171.126.2,*,*,tcp,*,[10]
105,*,10223,149.171.126.3,*,*,udp,*,[10]
106,*,10224,149.171.126.6,*,*,tcp,*,[10]
107,*,10226,149.171.126.18,*,*,tcp,*,[10]
108,*,10228,149.171.126.3,*,*,tcp,*,[10]
109,*,10228,149.171.126.9,*,*,tcp,*,[10]
110,*,10233,149.171.126.5,*,*,tcp,*,[10]
111,*,10235,149.171.126.0,*,*,udp,*,[10]
112,*,10235,149.171.126.2,*,*,tcp,*,[10]
113,*,10235,149.171.126.7,*,*,tcp,*,[10]
114,*,10239,149.171.126.6,*,*,udp,*,[10]
115,*,1024,149.171.126.10,*,*,udp,*,[10]
116,*,1024,149.171.126.5,*,*,tcp,*,[10]
117,*,1024,149.171.126.8,*,*,udp,*,[10]
118,*,10242,149.171.126.2,*,*,udp,*,[10]
119,*,10244,149.171.126.0,*,*,tcp,*,[10]
120,*,1025,149.171.126.6,*,*,tcp,*,[10]
121,*,10251,149.171.126.3,*,*,tcp,*,[10]
