cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,*,unknown,*,INT,[3.477838527698241]
1,*,0,10.40.182.3,*,unknown,*,CON,[2.292651303622075]
2,*,0,10.40.182.3,*,unknown,*,INT,[3.3348395128594532]
3,*,0,10.40.85.1,*,unknown,*,CON,[1.1392028369236462]
4,*,0,10.40.85.30,*,unknown,*,CON,[2.7937414508601557]
5,*,0,149.171.126.11,*,unknown,*,INT,[10]
6,*,0,149.171.126.12,*,unknown,*,INT,[10]
7,*,0,149.171.126.14,*,unknown,*,CON,[10]
8,*,0,149.171.126.17,*,unknown,*,INT,[10]
9,*,0,149.171.126.18,*,unknown,*,INT,[10]
10,*,0,175.45.176.1,*,unknown,*,ECR,[10]
11,*,0,224.0.0.5,*,unknown,*,INT,[2.138089935299395]
12,*,0,224.0.0.5,*,unknown,*,REQ,[3.203121287835202]
13,*,10001,149.171.126.7,*,unknown,*,FIN,[10]
14,*,10002,149.171.126.7,*,unknown,*,FIN,[10]
15,*,10007,149.171.126.1,*,unknown,*,INT,[10]
16,*,10007,149.171.126.4,*,unknown,*,CON,[10]
17,*,10016,149.171.126.3,*,dns,*,CON,[10]
18,*,10018,149.171.126.0,*,unknown,*,FIN,[10]
19,*,10020,149.171.126.11,*,unknown,*,FIN,[10]
20,*,10023,149.171.126.6,*,unknown,*,CON,[10]
21,*,10025,149.171.126.2,*,unknown,*,FIN,[10]
22,*,10027,149.171.126.9,*,dns,*,CON,[10]
23,*,10032,149.171.126.13,*,unknown,*,INT,[10]
24,*,10034,149.171.126.19,*,smtp,*,FIN,[10]
25,*,10036,149.171.126.3,*,unknown,*,CON,[10]
26,*,10040,149.171.126.0,*,unknown,*,CON,[10]
27,*,10050,149.171.126.0,*,unknown,*,FIN,[10]
28,*,10050,149.171.126.5,*,unknown,*,FIN,[10]
29,*,10053,149.171.126.8,*,unknown,*,FIN,[10]
30,*,10055,149.171.126.7,*,http,*,FIN,[10]
31,*,10056,149.171.126.3,*,unknown,*,CON,[10]
32,*,10056,149.171.126.3,*,unknown,*,FIN,[10]
33,*,10056,149.171.126.6,*,unknown,*,FIN,[10]
34,*,10058,149.171.126.7,*,dns,*,CON,[10]
35,*,10059,149.171.126.9,*,unknown,*,FIN,[10]
36,*,10061,149.171.126.4,*,unknown,*,FIN,[10]
37,*,10063,149.171.126.0,*,unknown,*,CON,[10]
38,*,10063,149.171.126.5,*,unknown,*,FIN,[10]
39,*,10064,149.171.126.2,*,unknown,*,FIN,[10]
40,*,10065,149.171.126.2,*,unknown,*,CON,[10]
41,*,10069,149.171.126.2,*,unknown,*,FIN,[10]
42,*,10078,149.171.126.1,*,unknown,*,FIN,[10]
43,*,10081,149.171.126.0,*,unknown,*,CON,[10]
44,*,10083,149.171.126.2,*,dns,*,CON,[10]
45,*,10089,149.171.126.7,*,unknown,*,CON,[10]
46,*,10092,149.171.126.9,*,unknown,*,FIN,[10]
47,*,10093,149.171.126.5,*,unknown,*,FIN,[10]
48,*,10093,149.171.126.9,*,unknown,*,FIN,[10]
49,*,10096,149.171.126.1,*,unknown,*,FIN,[10]
50,*,10098,149.171.126.2,*,unknown,*,FIN,[10]
51,*,10099,149.171.126.1,*,unknown,*,FIN,[10]
52,*,10099,149.171.126.2,*,unknown,*,FIN,[10]
53,*,10099,149.171.126.9,*,http,*,FIN,[10]
54,*,10103,149.171.126.8,*,unknown,*,FIN,[10]
55,*,10106,149.171.126.7,*,unknown,*,FIN,[10]
56,*,10108,149.171.126.0,*,unknown,*,CON,[10]
57,*,10108,149.171.126.8,*,unknown,*,FIN,[10]
58,*,10109,149.171.126.6,*,unknown,*,FIN,[10]
59,*,10113,149.171.126.7,*,dns,*,CON,[10]
60,*,10116,149.171.126.1,*,dns,*,CON,[10]
61,*,10117,149.171.126.3,*,unknown,*,FIN,[10]
62,*,10121,149.171.126.4,*,unknown,*,FIN,[10]
63,*,10127,149.171.126.1,*,http,*,FIN,[10]
64,*,10127,149.171.126.5,*,dns,*,CON,[10]
65,*,10127,149.171.126.8,*,unknown,*,FIN,[10]
66,*,10130,149.171.126.0,*,http,*,FIN,[10]
67,*,10131,149.171.126.3,*,unknown,*,FIN,[10]
68,*,10133,149.171.126.8,*,unknown,*,CON,[10]
69,*,10136,149.171.126.5,*,unknown,*,FIN,[10]
70,*,10138,149.171.126.7,*,unknown,*,FIN,[10]
71,*,10141,149.171.126.1,*,unknown,*,CON,[10]
72,*,10143,149.171.126.5,*,unknown,*,FIN,[10]
73,*,10147,149.171.126.8,*,unknown,*,FIN,[10]
74,*,10150,149.171.126.10,*,unknown,*,FIN,[10]
75,*,10150,149.171.126.7,*,ftp,*,FIN,[10]
