cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,*,unknown,arp,INT,[3.477838527698241]
1,*,0,10.40.182.3,*,unknown,arp,CON,[2.292651303622075]
2,*,0,10.40.182.3,*,unknown,arp,INT,[3.3348395128594532]
3,*,0,10.40.85.1,*,unknown,arp,CON,[1.1392028369236462]
4,*,0,10.40.85.30,*,unknown,arp,CON,[2.7937414508601557]
5,*,0,149.171.126.11,*,unknown,sctp,INT,[10]
6,*,0,149.171.126.11,*,unknown,udp,INT,[10]
7,*,0,149.171.126.12,*,unknown,ospf,INT,[10]
8,*,0,149.171.126.14,*,unknown,sctp,CON,[10]
9,*,0,149.171.126.17,*,unknown,udp,INT,[10]
10,*,0,149.171.126.18,*,unknown,ospf,INT,[10]
11,*,0,175.45.176.1,*,unknown,icmp,ECR,[10]
12,*,0,224.0.0.5,*,unknown,ospf,INT,[2.138089935299395]
13,*,0,224.0.0.5,*,unknown,ospf,REQ,[3.203121287835202]
14,*,10001,149.171.126.7,*,unknown,tcp,FIN,[10]
15,*,10002,149.171.126.7,*,unknown,tcp,FIN,[10]
16,*,10007,149.171.126.1,*,unknown,udp,INT,[10]
17,*,10007,149.171.126.4,*,unknown,udp,CON,[10]
18,*,10016,149.171.126.3,*,dns,udp,CON,[10]
19,*,10018,149.171.126.0,*,unknown,tcp,FIN,[10]
20,*,10020,149.171.126.11,*,unknown,tcp,FIN,[10]
21,*,10023,149.171.126.6,*,unknown,udp,CON,[10]
22,*,10025,149.171.126.2,*,unknown,tcp,FIN,[10]
23,*,10027,149.171.126.9,*,dns,udp,CON,[10]
24,*,10032,149.171.126.13,*,unknown,udp,INT,[10]
25,*,10034,149.171.126.19,*,smtp,tcp,FIN,[10]
26,*,10036,149.171.126.3,*,unknown,udp,CON,[10]
27,*,10040,149.171.126.0,*,unknown,udp,CON,[10]
28,*,10050,149.171.126.0,*,unknown,tcp,FIN,[10]
29,*,10050,149.171.126.5,*,unknown,tcp,FIN,[10]
30,*,10053,149.171.126.8,*,unknown,tcp,FIN,[10]
31,*,10055,149.171.126.7,*,http,tcp,FIN,[10]
32,*,10056,149.171.126.3,*,unknown,tcp,CON,[10]
33,*,10056,149.171.126.3,*,unknown,tcp,FIN,[10]
34,*,10056,149.171.126.6,*,unknown,tcp,FIN,[10]
35,*,10058,149.171.126.7,*,dns,udp,CON,[10]
36,*,10059,149.171.126.9,*,unknown,tcp,FIN,[10]
37,*,10061,149.171.126.4,*,unknown,tcp,FIN,[10]
38,*,10063,149.171.126.0,*,unknown,udp,CON,[10]
39,*,10063,149.171.126.5,*,unknown,tcp,FIN,[10]
40,*,10064,149.171.126.2,*,unknown,tcp,FIN,[10]
41,*,10065,149.171.126.2,*,unknown,udp,CON,[10]
42,*,10069,149.171.126.2,*,unknown,tcp,FIN,[10]
43,*,10078,149.171.126.1,*,unknown,tcp,FIN,[10]
44,*,10081,149.171.126.0,*,unknown,udp,CON,[10]
45,*,10083,149.171.126.2,*,dns,udp,CON,[10]
46,*,10089,149.171.126.7,*,unknown,udp,CON,[10]
47,*,10092,149.171.126.9,*,unknown,tcp,FIN,[10]
48,*,10093,149.171.126.5,*,unknown,tcp,FIN,[10]
49,*,10093,149.171.126.9,*,unknown,tcp,FIN,[10]
50,*,10096,149.171.126.1,*,unknown,tcp,FIN,[10]
51,*,10098,149.171.126.2,*,unknown,tcp,FIN,[10]
52,*,10099,149.171.126.1,*,unknown,tcp,FIN,[10]
53,*,10099,149.171.126.2,*,unknown,tcp,FIN,[10]
54,*,10099,149.171.126.9,*,http,tcp,FIN,[10]
55,*,10103,149.171.126.8,*,unknown,tcp,FIN,[10]
56,*,10106,149.171.126.7,*,unknown,tcp,FIN,[10]
57,*,10108,149.171.126.0,*,unknown,udp,CON,[10]
58,*,10108,149.171.126.8,*,unknown,tcp,FIN,[10]
59,*,10109,149.171.126.6,*,unknown,tcp,FIN,[10]
60,*,10113,149.171.126.7,*,dns,udp,CON,[10]
61,*,10116,149.171.126.1,*,dns,udp,CON,[10]
62,*,10117,149.171.126.3,*,unknown,tcp,FIN,[10]
63,*,10121,149.171.126.4,*,unknown,tcp,FIN,[10]
64,*,10127,149.171.126.1,*,http,tcp,FIN,[10]
65,*,10127,149.171.126.5,*,dns,udp,CON,[10]
66,*,10127,149.171.126.8,*,unknown,tcp,FIN,[10]
67,*,10130,149.171.126.0,*,http,tcp,FIN,[10]
68,*,10131,149.171.126.3,*,unknown,tcp,FIN,[10]
69,*,10133,149.171.126.8,*,unknown,udp,CON,[10]
70,*,10136,149.171.126.5,*,unknown,tcp,FIN,[10]
71,*,10138,149.171.126.7,*,unknown,tcp,FIN,[10]
72,*,10141,149.171.126.1,*,unknown,udp,CON,[10]
73,*,10143,149.171.126.5,*,unknown,tcp,FIN,[10]
74,*,10147,149.171.126.8,*,unknown,tcp,FIN,[10]
75,*,10150,149.171.126.10,*,unknown,tcp,FIN,[10]
76,*,10150,149.171.126.7,*,ftp,tcp,FIN,[10]
77,*,10153,149.171.126.3,*,unknown,udp,CON,[10]
78,*,10153,149.171.126.8,*,unknown,tcp,FIN,[10]
79,*,10157,149.171.126.5,*,unknown,udp,CON,[10]
80,*,10157,149.171.126.8,*,unknown,tcp,FIN,[10]
81,*,10158,149.171.126.3,*,unknown,tcp,FIN,[10]
82,*,10159,149.171.126.4,*,unknown,tcp,FIN,[10]
83,*,10164,149.171.126.2,*,http,tcp,FIN,[10]
84,*,10165,149.171.126.9,*,http,tcp,FIN,[10]
85,*,10171,149.171.126.6,*,unknown,tcp,FIN,[10]
86,*,10171,149.171.126.8,*,unknown,tcp,FIN,[10]
87,*,10173,149.171.126.4,*,unknown,tcp,FIN,[10]
88,*,10176,149.171.126.2,*,unknown,tcp,FIN,[10]
89,*,10183,149.171.126.2,*,unknown,tcp,FIN,[10]
90,*,10186,149.171.126.4,*,smtp,tcp,FIN,[10]
91,*,10187,149.171.126.5,*,unknown,tcp,FIN,[10]
92,*,10188,149.171.126.4,*,unknown,tcp,FIN,[10]
93,*,10193,149.171.126.2,*,unknown,udp,CON,[10]
94,*,10193,149.171.126.9,*,unknown,tcp,FIN,[10]
95,*,10194,149.171.126.7,*,unknown,tcp,FIN,[10]
96,*,10198,149.171.126.0,*,dns,udp,CON,[10]
97,*,10204,149.171.126.6,*,unknown,tcp,FIN,[10]
98,*,10204,149.171.126.8,*,unknown,tcp,FIN,[10]
99,*,10205,149.171.126.9,*,unknown,tcp,FIN,[10]
100,*,10207,149.171.126.1,*,unknown,tcp,FIN,[10]
101,*,10207,149.171.126.3,*,unknown,tcp,FIN,[10]
102,*,10208,149.171.126.1,*,unknown,udp,CON,[10]
103,*,10208,149.171.126.3,*,unknown,tcp,FIN,[10]
104,*,10209,149.171.126.6,*,unknown,tcp,FIN,[10]
105,*,10210,149.171.126.8,*,unknown,tcp,FIN,[10]
106,*,10216,149.171.126.4,*,http,tcp,FIN,[10]
107,*,10217,149.171.126.2,*,unknown,tcp,FIN,[10]
108,*,10223,149.171.126.3,*,unknown,udp,CON,[10]
109,*,10224,149.171.126.6,*,unknown,tcp,FIN,[10]
110,*,10226,149.171.126.18,*,unknown,tcp,FIN,[10]
111,*,10228,149.171.126.3,*,smtp,tcp,FIN,[10]
112,*,10228,149.171.126.9,*,unknown,tcp,FIN,[10]
113,*,10233,149.171.126.5,*,unknown,tcp,FIN,[10]
114,*,10235,149.171.126.0,*,unknown,udp,CON,[10]
115,*,10235,149.171.126.2,*,unknown,tcp,FIN,[10]
116,*,10235,149.171.126.7,*,http,tcp,FIN,[10]
117,*,10239,149.171.126.6,*,unknown,udp,INT,[10]
118,*,1024,149.171.126.10,*,dns,udp,CON,[10]
119,*,1024,149.171.126.5,*,unknown,tcp,FIN,[10]
120,*,1024,149.171.126.8,*,unknown,udp,CON,[10]
121,*,10242,149.171.126.2,*,unknown,udp,CON,[10]
122,*,10244,149.171.126.0,*,unknown,tcp,FIN,[10]
123,*,1025,149.171.126.6,*,smtp,tcp,FIN,[10]
124,*,10251,149.171.126.3,*,unknown,tcp,FIN,[10]
125,*,10255,149.171.126.9,*,unknown,tcp,FIN,[10]
126,*,10257,149.171.126.14,*,smtp,tcp,FIN,[10]
127,*,10261,149.171.126.0,*,unknown,tcp,FIN,[10]
128,*,10264,149.171.126.3,*,unknown,udp,CON,[10]
129,*,10266,149.171.126.3,*,unknown,tcp,FIN,[10]
130,*,1027,149.171.126.6,*,unknown,tcp,FIN,[10]
131,*,1027,149.171.126.6,*,unknown,udp,CON,[10]
132,*,10272,149.171.126.2,*,unknown,tcp,FIN,[10]
133,*,10274,149.171.126.6,*,unknown,tcp,FIN,[10]
134,*,10275,149.171.126.1,*,unknown,tcp,FIN,[10]
135,*,10277,149.171.126.3,*,dns,udp,CON,[10]
136,*,10278,149.171.126.5,*,unknown,tcp,FIN,[10]
137,*,10279,149.171.126.5,*,unknown,tcp,FIN,[10]
138,*,1028,149.171.126.0,*,unknown,tcp,FIN,[10]
139,*,10280,149.171.126.10,*,unknown,tcp,CON,[10]
140,*,10280,149.171.126.10,*,unknown,tcp,FIN,[10]
141,*,10280,149.171.126.8,*,unknown,tcp,FIN,[10]
142,*,10283,149.171.126.1,*,unknown,tcp,FIN,[10]
143,*,10284,149.171.126.6,*,dns,udp,CON,[10]
144,*,10286,149.171.126.4,*,smtp,tcp,FIN,[10]
145,*,10287,149.171.126.1,*,unknown,tcp,FIN,[10]
146,*,10290,149.171.126.4,*,unknown,tcp,FIN,[10]
147,*,10295,149.171.126.14,*,unknown,udp,INT,[10]
148,*,10295,149.171.126.2,*,unknown,tcp,FIN,[10]
149,*,10297,149.171.126.6,*,http,tcp,FIN,[10]
150,*,1030,149.171.126.1,*,unknown,udp,CON,[10]
151,*,1030,149.171.126.3,*,http,tcp,FIN,[10]
152,*,1030,149.171.126.4,*,unknown,tcp,FIN,[10]
153,*,1030,149.171.126.5,*,unknown,tcp,FIN,[10]
154,*,10303,149.171.126.5,*,smtp,tcp,FIN,[10]
155,*,10307,149.171.126.6,*,dns,udp,CON,[10]
156,*,10309,149.171.126.0,*,dns,udp,CON,[10]
157,*,1031,149.171.126.9,*,unknown,tcp,FIN,[10]
158,*,10313,149.171.126.0,*,unknown,udp,CON,[10]
159,*,10315,149.171.126.3,*,unknown,tcp,FIN,[10]
160,*,10316,149.171.126.1,*,smtp,tcp,FIN,[10]
161,*,10318,149.171.126.0,*,unknown,tcp,FIN,[10]
162,*,10318,149.171.126.2,*,unknown,tcp,FIN,[10]
163,*,10318,149.171.126.9,*,unknown,udp,CON,[10]
164,*,10319,149.171.126.2,*,unknown,udp,CON,[10]
165,*,1032,149.171.126.7,*,dns,udp,CON,[10]
166,*,10324,149.171.126.3,*,unknown,tcp,FIN,[10]
167,*,10325,149.171.126.7,*,unknown,tcp,FIN,[10]
168,*,10328,149.171.126.7,*,unknown,tcp,FIN,[10]
169,*,10329,149.171.126.5,*,unknown,tcp,FIN,[10]
170,*,10330,149.171.126.17,*,smtp,tcp,FIN,[10]
