cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,*,unknown,arp,*,[3.477838527698241]
1,*,0,10.40.182.3,*,unknown,arp,*,[2.856108005866807]
2,*,0,10.40.85.1,*,unknown,arp,*,[1.1392028369236462]
3,*,0,10.40.85.30,*,unknown,arp,*,[2.7937414508601557]
4,*,0,149.171.126.11,*,unknown,sctp,*,[10]
5,*,0,149.171.126.11,*,unknown,udp,*,[10]
6,*,0,149.171.126.12,*,unknown,ospf,*,[10]
7,*,0,149.171.126.14,*,unknown,sctp,*,[10]
8,*,0,149.171.126.17,*,unknown,udp,*,[10]
9,*,0,149.171.126.18,*,unknown,ospf,*,[10]
10,*,0,175.45.176.1,*,unknown,icmp,*,[10]
11,*,0,224.0.0.5,*,unknown,ospf,*,[3.4763439588541063]
12,*,10001,149.171.126.7,*,unknown,tcp,*,[10]
13,*,10002,149.171.126.7,*,unknown,tcp,*,[10]
14,*,10007,149.171.126.1,*,unknown,udp,*,[10]
15,*,10007,149.171.126.4,*,unknown,udp,*,[10]
16,*,10016,149.171.126.3,*,dns,udp,*,[10]
17,*,10018,149.171.126.0,*,unknown,tcp,*,[10]
18,*,10020,149.171.126.11,*,unknown,tcp,*,[10]
19,*,10023,149.171.126.6,*,unknown,udp,*,[10]
20,*,10025,149.171.126.2,*,unknown,tcp,*,[10]
21,*,10027,149.171.126.9,*,dns,udp,*,[10]
22,*,10032,149.171.126.13,*,unknown,udp,*,[10]
23,*,10034,149.171.126.19,*,smtp,tcp,*,[10]
24,*,10036,149.171.126.3,*,unknown,udp,*,[10]
25,*,10040,149.171.126.0,*,unknown,udp,*,[10]
26,*,10050,149.171.126.0,*,unknown,tcp,*,[10]
27,*,10050,149.171.126.5,*,unknown,tcp,*,[10]
28,*,10053,149.171.126.8,*,unknown,tcp,*,[10]
29,*,10055,149.171.126.7,*,http,tcp,*,[10]
30,*,10056,149.171.126.3,*,unknown,tcp,*,[10]
31,*,10056,149.171.126.6,*,unknown,tcp,*,[10]
32,*,10058,149.171.126.7,*,dns,udp,*,[10]
33,*,10059,149.171.126.9,*,unknown,tcp,*,[10]
34,*,10061,149.171.126.4,*,unknown,tcp,*,[10]
35,*,10063,149.171.126.0,*,unknown,udp,*,[10]
36,*,10063,149.171.126.5,*,unknown,tcp,*,[10]
37,*,10064,149.171.126.2,*,unknown,tcp,*,[10]
38,*,10065,149.171.126.2,*,unknown,udp,*,[10]
39,*,10069,149.171.126.2,*,unknown,tcp,*,[10]
40,*,10078,149.171.126.1,*,unknown,tcp,*,[10]
41,*,10081,149.171.126.0,*,unknown,udp,*,[10]
42,*,10083,149.171.126.2,*,dns,udp,*,[10]
43,*,10089,149.171.126.7,*,unknown,udp,*,[10]
44,*,10092,149.171.126.9,*,unknown,tcp,*,[10]
45,*,10093,149.171.126.5,*,unknown,tcp,*,[10]
46,*,10093,149.171.126.9,*,unknown,tcp,*,[10]
47,*,10096,149.171.126.1,*,unknown,tcp,*,[10]
