cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,0,*,arp,INT,[3.477838527698241]
1,*,0,10.40.182.3,0,*,arp,CON,[2.292651303622075]
2,*,0,10.40.182.3,0,*,arp,INT,[3.3348395128594532]
3,*,0,10.40.85.1,0,*,arp,CON,[1.1392028369236462]
4,*,0,10.40.85.30,0,*,arp,CON,[2.7937414508601557]
5,*,0,149.171.126.11,0,*,sctp,INT,[10]
6,*,0,149.171.126.11,0,*,udp,INT,[10]
7,*,0,149.171.126.12,0,*,ospf,INT,[10]
8,*,0,149.171.126.14,0,*,sctp,CON,[10]
9,*,0,149.171.126.17,0,*,udp,INT,[10]
10,*,0,149.171.126.18,0,*,ospf,INT,[10]
11,*,0,175.45.176.1,48879,*,icmp,ECR,[10]
12,*,0,224.0.0.5,0,*,ospf,INT,[2.138089935299395]
13,*,0,224.0.0.5,0,*,ospf,REQ,[3.203121287835202]
14,*,10001,149.171.126.7,5840,*,tcp,FIN,[10]
15,*,10002,149.171.126.7,32833,*,tcp,FIN,[10]
16,*,10007,149.171.126.1,53,*,udp,INT,[10]
17,*,10007,149.171.126.4,53,*,udp,CON,[10]
18,*,10016,149.171.126.3,53,*,udp,CON,[10]
19,*,10018,149.171.126.0,6881,*,tcp,FIN,[10]
20,*,10020,149.171.126.11,1723,*,tcp,FIN,[10]
21,*,10023,149.171.126.6,53,*,udp,CON,[10]
22,*,10025,149.171.126.2,44725,*,tcp,FIN,[10]
23,*,10027,149.171.126.9,53,*,udp,CON,[10]
24,*,10032,149.171.126.13,514,*,udp,INT,[10]
25,*,10034,149.171.126.19,25,*,tcp,FIN,[10]
26,*,10036,149.171.126.3,53,*,udp,CON,[10]
27,*,10040,149.171.126.0,53,*,udp,CON,[10]
28,*,10050,149.171.126.0,11191,*,tcp,FIN,[10]
29,*,10050,149.171.126.5,8160,*,tcp,FIN,[10]
30,*,10053,149.171.126.8,6881,*,tcp,FIN,[10]
31,*,10055,149.171.126.7,80,*,tcp,FIN,[10]
32,*,10056,149.171.126.3,6881,*,tcp,CON,[10]
33,*,10056,149.171.126.3,6881,*,tcp,FIN,[10]
34,*,10056,149.171.126.6,43966,*,tcp,FIN,[10]
35,*,10058,149.171.126.7,53,*,udp,CON,[10]
36,*,10059,149.171.126.9,16241,*,tcp,FIN,[10]
37,*,10059,149.171.126.9,25,*,tcp,FIN,[10]
38,*,10061,149.171.126.4,45955,*,tcp,FIN,[10]
39,*,10063,149.171.126.0,53,*,udp,CON,[10]
40,*,10063,149.171.126.5,45950,*,tcp,FIN,[10]
41,*,10064,149.171.126.2,5190,*,tcp,FIN,[10]
42,*,10065,149.171.126.2,111,*,udp,CON,[10]
43,*,10069,149.171.126.2,5190,*,tcp,FIN,[10]
44,*,10078,149.171.126.1,39340,*,tcp,FIN,[10]
45,*,10081,149.171.126.0,111,*,udp,CON,[10]
46,*,10083,149.171.126.2,53,*,udp,CON,[10]
47,*,10089,149.171.126.7,53,*,udp,CON,[10]
48,*,10092,149.171.126.9,7480,*,tcp,FIN,[10]
49,*,10093,149.171.126.5,8812,*,tcp,FIN,[10]
