cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,0,unknown,*,INT,[3.477838527698241]
1,*,0,10.40.182.3,0,unknown,*,CON,[2.292651303622075]
2,*,0,10.40.182.3,0,unknown,*,INT,[3.3348395128594532]
3,*,0,10.40.85.1,0,unknown,*,CON,[1.1392028369236462]
4,*,0,10.40.85.30,0,unknown,*,CON,[2.7937414508601557]
5,*,0,149.171.126.11,0,unknown,*,INT,[10]
6,*,0,149.171.126.12,0,unknown,*,INT,[10]
7,*,0,149.171.126.14,0,unknown,*,CON,[10]
8,*,0,149.171.126.17,0,unknown,*,INT,[10]
9,*,0,149.171.126.18,0,unknown,*,INT,[10]
10,*,0,175.45.176.1,48879,unknown,*,ECR,[10]
11,*,0,224.0.0.5,0,unknown,*,INT,[2.138089935299395]
12,*,0,224.0.0.5,0,unknown,*,REQ,[3.203121287835202]
13,*,10001,149.171.126.7,5840,unknown,*,FIN,[10]
14,*,10002,149.171.126.7,32833,unknown,*,FIN,[10]
15,*,10007,149.171.126.1,53,unknown,*,INT,[10]
16,*,10007,149.171.126.4,53,unknown,*,CON,[10]
17,*,10016,149.171.126.3,53,dns,*,CON,[10]
18,*,10018,149.171.126.0,6881,unknown,*,FIN,[10]
19,*,10020,149.171.126.11,1723,unknown,*,FIN,[10]
20,*,10023,149.171.126.6,53,unknown,*,CON,[10]
21,*,10025,149.171.126.2,44725,unknown,*,FIN,[10]
22,*,10027,149.171.126.9,53,dns,*,CON,[10]
23,*,10032,149.171.126.13,514,unknown,*,INT,[10]
24,*,10034,149.171.126.19,25,smtp,*,FIN,[10]
25,*,10036,149.171.126.3,53,unknown,*,CON,[10]
26,*,10040,149.171.126.0,53,unknown,*,CON,[10]
27,*,10050,149.171.126.0,11191,unknown,*,FIN,[10]
28,*,10050,149.171.126.5,8160,unknown,*,FIN,[10]
29,*,10053,149.171.126.8,6881,unknown,*,FIN,[10]
30,*,10055,149.171.126.7,80,http,*,FIN,[10]
31,*,10056,149.171.126.3,6881,unknown,*,CON,[10]
32,*,10056,149.171.126.3,6881,unknown,*,FIN,[10]
33,*,10056,149.171.126.6,43966,unknown,*,FIN,[10]
34,*,10058,149.171.126.7,53,dns,*,CON,[10]
35,*,10059,149.171.126.9,16241,unknown,*,FIN,[10]
36,*,10059,149.171.126.9,25,unknown,*,FIN,[10]
37,*,10061,149.171.126.4,45955,unknown,*,FIN,[10]
38,*,10063,149.171.126.0,53,unknown,*,CON,[10]
39,*,10063,149.171.126.5,45950,unknown,*,FIN,[10]
40,*,10064,149.171.126.2,5190,unknown,*,FIN,[10]
41,*,10065,149.171.126.2,111,unknown,*,CON,[10]
42,*,10069,149.171.126.2,5190,unknown,*,FIN,[10]
43,*,10078,149.171.126.1,39340,unknown,*,FIN,[10]
44,*,10081,149.171.126.0,111,unknown,*,CON,[10]
45,*,10083,149.171.126.2,53,dns,*,CON,[10]
46,*,10089,149.171.126.7,53,unknown,*,CON,[10]
47,*,10092,149.171.126.9,7480,unknown,*,FIN,[10]
48,*,10093,149.171.126.5,8812,unknown,*,FIN,[10]
49,*,10093,149.171.126.9,6881,unknown,*,FIN,[10]
50,*,10096,149.171.126.1,44956,unknown,*,FIN,[10]
51,*,10098,149.171.126.2,80,unknown,*,FIN,[10]
52,*,10099,149.171.126.1,22,unknown,*,FIN,[10]
53,*,10099,149.171.126.2,5190,unknown,*,FIN,[10]
54,*,10099,149.171.126.9,80,http,*,FIN,[10]
55,*,10103,149.171.126.8,52785,unknown,*,FIN,[10]
56,*,10106,149.171.126.7,80,unknown,*,FIN,[10]
57,*,10108,149.171.126.0,111,unknown,*,CON,[10]
58,*,10108,149.171.126.8,45953,unknown,*,FIN,[10]
59,*,10109,149.171.126.6,5190,unknown,*,FIN,[10]
60,*,10113,149.171.126.7,53,dns,*,CON,[10]
61,*,10116,149.171.126.1,53,dns,*,CON,[10]
62,*,10117,149.171.126.3,42833,unknown,*,FIN,[10]
63,*,10121,149.171.126.4,41612,unknown,*,FIN,[10]
64,*,10127,149.171.126.1,80,http,*,FIN,[10]
65,*,10127,149.171.126.5,53,dns,*,CON,[10]
66,*,10127,149.171.126.8,39340,unknown,*,FIN,[10]
67,*,10130,149.171.126.0,80,http,*,FIN,[10]
68,*,10131,149.171.126.3,5190,unknown,*,FIN,[10]
69,*,10133,149.171.126.8,53,unknown,*,CON,[10]
70,*,10136,149.171.126.5,44058,unknown,*,FIN,[10]
71,*,10138,149.171.126.7,80,unknown,*,FIN,[10]
72,*,10141,149.171.126.1,53,unknown,*,CON,[10]
73,*,10143,149.171.126.5,5190,unknown,*,FIN,[10]
74,*,10147,149.171.126.8,25,unknown,*,FIN,[10]
75,*,10150,149.171.126.10,179,unknown,*,FIN,[10]
76,*,10150,149.171.126.7,21,ftp,*,FIN,[10]
77,*,10153,149.171.126.3,53,unknown,*,CON,[10]
78,*,10153,149.171.126.8,22,unknown,*,FIN,[10]
79,*,10153,149.171.126.8,45917,unknown,*,FIN,[10]
80,*,10157,149.171.126.5,111,unknown,*,CON,[10]
81,*,10157,149.171.126.8,41270,unknown,*,FIN,[10]
82,*,10158,149.171.126.3,80,unknown,*,FIN,[10]
83,*,10159,149.171.126.4,16241,unknown,*,FIN,[10]
84,*,10164,149.171.126.2,80,http,*,FIN,[10]
85,*,10165,149.171.126.9,80,http,*,FIN,[10]
86,*,10171,149.171.126.6,17403,unknown,*,FIN,[10]
87,*,10171,149.171.126.8,39707,unknown,*,FIN,[10]
88,*,10173,149.171.126.4,3251,unknown,*,FIN,[10]
89,*,10176,149.171.126.2,5190,unknown,*,FIN,[10]
90,*,10183,149.171.126.2,39810,unknown,*,FIN,[10]
91,*,10186,149.171.126.4,25,smtp,*,FIN,[10]
92,*,10187,149.171.126.5,44070,unknown,*,FIN,[10]
93,*,10188,149.171.126.4,5190,unknown,*,FIN,[10]
94,*,10193,149.171.126.2,53,unknown,*,CON,[10]
95,*,10193,149.171.126.9,5190,unknown,*,FIN,[10]
96,*,10194,149.171.126.7,44762,unknown,*,FIN,[10]
97,*,10198,149.171.126.0,53,dns,*,CON,[10]
98,*,10204,149.171.126.6,16241,unknown,*,FIN,[10]
99,*,10204,149.171.126.8,22,unknown,*,FIN,[10]
100,*,10205,149.171.126.9,10331,unknown,*,FIN,[10]
101,*,10207,149.171.126.1,44582,unknown,*,FIN,[10]
102,*,10207,149.171.126.3,8881,unknown,*,FIN,[10]
103,*,10208,149.171.126.1,111,unknown,*,CON,[10]
104,*,10208,149.171.126.3,8705,unknown,*,FIN,[10]
105,*,10209,149.171.126.6,8492,unknown,*,FIN,[10]
106,*,10210,149.171.126.8,22,unknown,*,FIN,[10]
107,*,10216,149.171.126.4,80,http,*,FIN,[10]
108,*,10217,149.171.126.2,42750,unknown,*,FIN,[10]
109,*,10223,149.171.126.3,53,unknown,*,CON,[10]
110,*,10224,149.171.126.6,46030,unknown,*,FIN,[10]
111,*,10226,149.171.126.18,5190,unknown,*,FIN,[10]
112,*,10228,149.171.126.3,25,smtp,*,FIN,[10]
113,*,10228,149.171.126.9,143,unknown,*,FIN,[10]
114,*,10233,149.171.126.5,80,unknown,*,FIN,[10]
115,*,10235,149.171.126.0,43993,unknown,*,CON,[10]
116,*,10235,149.171.126.2,80,unknown,*,FIN,[10]
117,*,10235,149.171.126.7,80,http,*,FIN,[10]
118,*,10239,149.171.126.6,111,unknown,*,INT,[10]
119,*,1024,149.171.126.10,53,dns,*,CON,[10]
120,*,1024,149.171.126.5,36772,unknown,*,FIN,[10]
121,*,1024,149.171.126.8,111,unknown,*,CON,[10]
122,*,10242,149.171.126.2,53,unknown,*,CON,[10]
123,*,10244,149.171.126.0,43860,unknown,*,FIN,[10]
124,*,1025,149.171.126.6,25,smtp,*,FIN,[10]
125,*,10251,149.171.126.3,25,unknown,*,FIN,[10]
126,*,10255,149.171.126.9,8102,unknown,*,FIN,[10]
127,*,10257,149.171.126.14,25,smtp,*,FIN,[10]
128,*,10261,149.171.126.0,80,unknown,*,FIN,[10]
129,*,10264,149.171.126.3,53,unknown,*,CON,[10]
130,*,10266,149.171.126.3,8307,unknown,*,FIN,[10]
131,*,1027,149.171.126.6,5190,unknown,*,FIN,[10]
132,*,1027,149.171.126.6,53,unknown,*,CON,[10]
133,*,10272,149.171.126.2,30671,unknown,*,FIN,[10]
134,*,10274,149.171.126.6,5190,unknown,*,FIN,[10]
135,*,10275,149.171.126.1,40675,unknown,*,FIN,[10]
136,*,10277,149.171.126.3,53,dns,*,CON,[10]
137,*,10278,149.171.126.5,17403,unknown,*,FIN,[10]
138,*,10279,149.171.126.5,11517,unknown,*,FIN,[10]
139,*,1028,149.171.126.0,24099,unknown,*,FIN,[10]
