cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,0,unknown,*,*,[3.477838527698241]
1,*,0,10.40.182.3,0,unknown,*,*,[2.856108005866807]
2,*,0,10.40.85.1,0,unknown,*,*,[1.1392028369236462]
3,*,0,10.40.85.30,0,unknown,*,*,[2.7937414508601557]
4,*,0,149.171.126.11,0,unknown,*,*,[10]
5,*,0,149.171.126.12,0,unknown,*,*,[10]
6,*,0,149.171.126.14,0,unknown,*,*,[10]
7,*,0,149.171.126.17,0,unknown,*,*,[10]
8,*,0,149.171.126.18,0,unknown,*,*,[10]
9,*,0,175.45.176.1,48879,unknown,*,*,[10]
10,*,0,224.0.0.5,0,unknown,*,*,[3.4763439588541063]
11,*,10001,149.171.126.7,5840,unknown,*,*,[10]
12,*,10002,149.171.126.7,32833,unknown,*,*,[10]
13,*,10007,149.171.126.1,53,unknown,*,*,[10]
14,*,10007,149.171.126.4,53,unknown,*,*,[10]
15,*,10016,149.171.126.3,53,dns,*,*,[10]
16,*,10018,149.171.126.0,6881,unknown,*,*,[10]
17,*,10020,149.171.126.11,1723,unknown,*,*,[10]
18,*,10023,149.171.126.6,53,unknown,*,*,[10]
19,*,10025,149.171.126.2,44725,unknown,*,*,[10]
20,*,10027,149.171.126.9,53,dns,*,*,[10]
21,*,10032,149.171.126.13,514,unknown,*,*,[10]
22,*,10034,149.171.126.19,25,smtp,*,*,[10]
23,*,10036,149.171.126.3,53,unknown,*,*,[10]
24,*,10040,149.171.126.0,53,unknown,*,*,[10]
25,*,10050,149.171.126.0,11191,unknown,*,*,[10]
26,*,10050,149.171.126.5,8160,unknown,*,*,[10]
27,*,10053,149.171.126.8,6881,unknown,*,*,[10]
28,*,10055,149.171.126.7,80,http,*,*,[10]
29,*,10056,149.171.126.3,6881,unknown,*,*,[10]
30,*,10056,149.171.126.6,43966,unknown,*,*,[10]
31,*,10058,149.171.126.7,53,dns,*,*,[10]
32,*,10059,149.171.126.9,16241,unknown,*,*,[10]
33,*,10059,149.171.126.9,25,unknown,*,*,[10]
34,*,10061,149.171.126.4,45955,unknown,*,*,[10]
35,*,10063,149.171.126.0,53,unknown,*,*,[10]
36,*,10063,149.171.126.5,45950,unknown,*,*,[10]
37,*,10064,149.171.126.2,5190,unknown,*,*,[10]
38,*,10065,149.171.126.2,111,unknown,*,*,[10]
