cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,0,10.40.170.2,0,unknown,arp,*,[3.477838527698241]
1,*,0,10.40.182.3,0,unknown,arp,*,[2.856108005866807]
2,*,0,10.40.85.1,0,unknown,arp,*,[1.1392028369236462]
3,*,0,10.40.85.30,0,unknown,arp,*,[2.7937414508601557]
4,*,0,149.171.126.11,0,unknown,sctp,*,[10]
5,*,0,149.171.126.11,0,unknown,udp,*,[10]
6,*,0,149.171.126.12,0,unknown,ospf,*,[10]
7,*,0,149.171.126.14,0,unknown,sctp,*,[10]
8,*,0,149.171.126.17,0,unknown,udp,*,[10]
9,*,0,149.171.126.18,0,unknown,ospf,*,[10]
10,*,0,175.45.176.1,48879,unknown,icmp,*,[10]
11,*,0,224.0.0.5,0,unknown,ospf,*,[3.4763439588541063]
12,*,10001,149.171.126.7,5840,unknown,tcp,*,[10]
13,*,10002,149.171.126.7,32833,unknown,tcp,*,[10]
14,*,10007,149.171.126.1,53,unknown,udp,*,[10]
15,*,10007,149.171.126.4,53,unknown,udp,*,[10]
16,*,10016,149.171.126.3,53,dns,udp,*,[10]
17,*,10018,149.171.126.0,6881,unknown,tcp,*,[10]
18,*,10020,149.171.126.11,1723,unknown,tcp,*,[10]
19,*,10023,149.171.126.6,53,unknown,udp,*,[10]
20,*,10025,149.171.126.2,44725,unknown,tcp,*,[10]
21,*,10027,149.171.126.9,53,dns,udp,*,[10]
22,*,10032,149.171.126.13,514,unknown,udp,*,[10]
23,*,10034,149.171.126.19,25,smtp,tcp,*,[10]
24,*,10036,149.171.126.3,53,unknown,udp,*,[10]
25,*,10040,149.171.126.0,53,unknown,udp,*,[10]
26,*,10050,149.171.126.0,11191,unknown,tcp,*,[10]
27,*,10050,149.171.126.5,8160,unknown,tcp,*,[10]
28,*,10053,149.171.126.8,6881,unknown,tcp,*,[10]
29,*,10055,149.171.126.7,80,http,tcp,*,[10]
30,*,10056,149.171.126.3,6881,unknown,tcp,*,[10]
31,*,10056,149.171.126.6,43966,unknown,tcp,*,[10]
32,*,10058,149.171.126.7,53,dns,udp,*,[10]
33,*,10059,149.171.126.9,16241,unknown,tcp,*,[10]
34,*,10059,149.171.126.9,25,unknown,tcp,*,[10]
35,*,10061,149.171.126.4,45955,unknown,tcp,*,[10]
36,*,10063,149.171.126.0,53,unknown,udp,*,[10]
37,*,10063,149.171.126.5,45950,unknown,tcp,*,[10]
38,*,10064,149.171.126.2,5190,unknown,tcp,*,[10]
39,*,10065,149.171.126.2,111,unknown,udp,*,[10]
40,*,10069,149.171.126.2,5190,unknown,tcp,*,[10]
41,*,10078,149.171.126.1,39340,unknown,tcp,*,[10]
42,*,10081,149.171.126.0,111,unknown,udp,*,[10]
43,*,10083,149.171.126.2,53,dns,udp,*,[10]
44,*,10089,149.171.126.7,53,unknown,udp,*,[10]
45,*,10092,149.171.126.9,7480,unknown,tcp,*,[10]
46,*,10093,149.171.126.5,8812,unknown,tcp,*,[10]
47,*,10093,149.171.126.9,6881,unknown,tcp,*,[10]
48,*,10096,149.171.126.1,44956,unknown,tcp,*,[10]
49,*,10098,149.171.126.2,80,unknown,tcp,*,[10]
50,*,10099,149.171.126.1,22,unknown,tcp,*,[10]
51,*,10099,149.171.126.2,5190,unknown,tcp,*,[10]
52,*,10099,149.171.126.9,80,http,tcp,*,[10]
53,*,10103,149.171.126.8,52785,unknown,tcp,*,[10]
54,*,10106,149.171.126.7,80,unknown,tcp,*,[10]
55,*,10108,149.171.126.0,111,unknown,udp,*,[10]
56,*,10108,149.171.126.8,45953,unknown,tcp,*,[10]
57,*,10109,149.171.126.6,5190,unknown,tcp,*,[10]
58,*,10113,149.171.126.7,53,dns,udp,*,[10]
59,*,10116,149.171.126.1,53,dns,udp,*,[10]
60,*,10117,149.171.126.3,42833,unknown,tcp,*,[10]
61,*,10121,149.171.126.4,41612,unknown,tcp,*,[10]
62,*,10127,149.171.126.1,80,http,tcp,*,[10]
63,*,10127,149.171.126.5,53,dns,udp,*,[10]
64,*,10127,149.171.126.8,39340,unknown,tcp,*,[10]
65,*,10130,149.171.126.0,80,http,tcp,*,[10]
66,*,10131,149.171.126.3,5190,unknown,tcp,*,[10]
67,*,10133,149.171.126.8,53,unknown,udp,*,[10]
68,*,10136,149.171.126.5,44058,unknown,tcp,*,[10]
69,*,10138,149.171.126.7,80,unknown,tcp,*,[10]
70,*,10141,149.171.126.1,53,unknown,udp,*,[10]
71,*,10143,149.171.126.5,5190,unknown,tcp,*,[10]
72,*,10147,149.171.126.8,25,unknown,tcp,*,[10]
73,*,10150,149.171.126.10,179,unknown,tcp,*,[10]
74,*,10150,149.171.126.7,21,ftp,tcp,*,[10]
75,*,10153,149.171.126.3,53,unknown,udp,*,[10]
76,*,10153,149.171.126.8,22,unknown,tcp,*,[10]
77,*,10153,149.171.126.8,45917,unknown,tcp,*,[10]
78,*,10157,149.171.126.5,111,unknown,udp,*,[10]
79,*,10157,149.171.126.8,41270,unknown,tcp,*,[10]
80,*,10158,149.171.126.3,80,unknown,tcp,*,[10]
81,*,10159,149.171.126.4,16241,unknown,tcp,*,[10]
82,*,10164,149.171.126.2,80,http,tcp,*,[10]
83,*,10165,149.171.126.9,80,http,tcp,*,[10]
84,*,10171,149.171.126.6,17403,unknown,tcp,*,[10]
85,*,10171,149.171.126.8,39707,unknown,tcp,*,[10]
86,*,10173,149.171.126.4,3251,unknown,tcp,*,[10]
87,*,10176,149.171.126.2,5190,unknown,tcp,*,[10]
88,*,10183,149.171.126.2,39810,unknown,tcp,*,[10]
89,*,10186,149.171.126.4,25,smtp,tcp,*,[10]
90,*,10187,149.171.126.5,44070,unknown,tcp,*,[10]
91,*,10188,149.171.126.4,5190,unknown,tcp,*,[10]
92,*,10193,149.171.126.2,53,unknown,udp,*,[10]
93,*,10193,149.171.126.9,5190,unknown,tcp,*,[10]
94,*,10194,149.171.126.7,44762,unknown,tcp,*,[10]
95,*,10198,149.171.126.0,53,dns,udp,*,[10]
96,*,10204,149.171.126.6,16241,unknown,tcp,*,[10]
97,*,10204,149.171.126.8,22,unknown,tcp,*,[10]
98,*,10205,149.171.126.9,10331,unknown,tcp,*,[10]
99,*,10207,149.171.126.1,44582,unknown,tcp,*,[10]
100,*,10207,149.171.126.3,8881,unknown,tcp,*,[10]
101,*,10208,149.171.126.1,111,unknown,udp,*,[10]
102,*,10208,149.171.126.3,8705,unknown,tcp,*,[10]
103,*,10209,149.171.126.6,8492,unknown,tcp,*,[10]
104,*,10210,149.171.126.8,22,unknown,tcp,*,[10]
105,*,10216,149.171.126.4,80,http,tcp,*,[10]
106,*,10217,149.171.126.2,42750,unknown,tcp,*,[10]
107,*,10223,149.171.126.3,53,unknown,udp,*,[10]
108,*,10224,149.171.126.6,46030,unknown,tcp,*,[10]
109,*,10226,149.171.126.18,5190,unknown,tcp,*,[10]
110,*,10228,149.171.126.3,25,smtp,tcp,*,[10]
111,*,10228,149.171.126.9,143,unknown,tcp,*,[10]
112,*,10233,149.171.126.5,80,unknown,tcp,*,[10]
113,*,10235,149.171.126.0,43993,unknown,udp,*,[10]
114,*,10235,149.171.126.2,80,unknown,tcp,*,[10]
115,*,10235,149.171.126.7,80,http,tcp,*,[10]
116,*,10239,149.171.126.6,111,unknown,udp,*,[10]
117,*,1024,149.171.126.10,53,dns,udp,*,[10]
118,*,1024,149.171.126.5,36772,unknown,tcp,*,[10]
119,*,1024,149.171.126.8,111,unknown,udp,*,[10]
120,*,10242,149.171.126.2,53,unknown,udp,*,[10]
121,*,10244,149.171.126.0,43860,unknown,tcp,*,[10]
122,*,1025,149.171.126.6,25,smtp,tcp,*,[10]
123,*,10251,149.171.126.3,25,unknown,tcp,*,[10]
124,*,10255,149.171.126.9,8102,unknown,tcp,*,[10]
125,*,10257,149.171.126.14,25,smtp,tcp,*,[10]
126,*,10261,149.171.126.0,80,unknown,tcp,*,[10]
127,*,10264,149.171.126.3,53,unknown,udp,*,[10]
128,*,10266,149.171.126.3,8307,unknown,tcp,*,[10]
129,*,1027,149.171.126.6,5190,unknown,tcp,*,[10]
130,*,1027,149.171.126.6,53,unknown,udp,*,[10]
131,*,10272,149.171.126.2,30671,unknown,tcp,*,[10]
132,*,10274,149.171.126.6,5190,unknown,tcp,*,[10]
133,*,10275,149.171.126.1,40675,unknown,tcp,*,[10]
134,*,10277,149.171.126.3,53,dns,udp,*,[10]
135,*,10278,149.171.126.5,17403,unknown,tcp,*,[10]
136,*,10279,149.171.126.5,11517,unknown,tcp,*,[10]
137,*,1028,149.171.126.0,24099,unknown,tcp,*,[10]
138,*,10280,149.171.126.10,179,unknown,tcp,*,[10]
139,*,10280,149.171.126.10,25,unknown,tcp,*,[10]
140,*,10280,149.171.126.8,38860,unknown,tcp,*,[10]
141,*,10283,149.171.126.1,33508,unknown,tcp,*,[10]
142,*,10284,149.171.126.6,53,dns,udp,*,[10]
143,*,10286,149.171.126.4,25,smtp,tcp,*,[10]
144,*,10287,149.171.126.1,143,unknown,tcp,*,[10]
145,*,10290,149.171.126.4,5190,unknown,tcp,*,[10]
146,*,10295,149.171.126.14,514,unknown,udp,*,[10]
147,*,10295,149.171.126.2,80,unknown,tcp,*,[10]
148,*,10297,149.171.126.6,80,http,tcp,*,[10]
149,*,1030,149.171.126.1,111,unknown,udp,*,[10]
150,*,1030,149.171.126.3,80,http,tcp,*,[10]
151,*,1030,149.171.126.4,80,unknown,tcp,*,[10]
152,*,1030,149.171.126.5,32545,unknown,tcp,*,[10]
153,*,10303,149.171.126.5,25,smtp,tcp,*,[10]
154,*,10307,149.171.126.6,53,dns,udp,*,[10]
