cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,*,INT,[3.477838527698241]
1,10.40.182.1,*,*,*,*,*,CON,[2.292651303622075]
2,10.40.182.1,*,*,*,*,*,INT,[3.4641016151377544]
3,10.40.182.1,*,*,*,*,*,REQ,[3.203121287835202]
4,10.40.182.3,*,*,*,*,*,INT,[3.5095970693922776]
5,10.40.85.1,*,*,*,*,*,CON,[2.7937414508601557]
6,10.40.85.1,*,*,*,*,*,INT,[3.4641016151377544]
7,10.40.85.1,*,*,*,*,*,PAR,[10]
8,10.40.85.1,*,*,*,*,*,REQ,[3.203121287835202]
9,10.40.85.30,*,*,*,*,*,CON,[2.901256033955994]
10,149.171.126.0,*,*,*,*,*,CON,[10]
11,149.171.126.0,*,*,*,*,*,FIN,[10]
12,149.171.126.1,*,*,*,*,*,CON,[10]
13,149.171.126.1,*,*,*,*,*,FIN,[10]
14,149.171.126.1,*,*,*,*,*,INT,[10]
15,149.171.126.11,*,*,*,*,*,INT,[10]
16,149.171.126.12,*,*,*,*,*,INT,[10]
17,149.171.126.15,*,*,*,*,*,CON,[10]
18,149.171.126.15,*,*,*,*,*,FIN,[10]
19,149.171.126.18,*,*,*,*,*,INT,[10]
20,149.171.126.18,*,*,*,*,*,REQ,[10]
21,149.171.126.19,*,*,*,*,*,ECR,[10]
22,149.171.126.2,*,*,*,*,*,CON,[10]
23,149.171.126.2,*,*,*,*,*,FIN,[10]
24,149.171.126.2,*,*,*,*,*,INT,[10]
25,149.171.126.3,*,*,*,*,*,CON,[10]
26,149.171.126.3,*,*,*,*,*,FIN,[10]
27,149.171.126.3,*,*,*,*,*,INT,[10]
28,149.171.126.4,*,*,*,*,*,FIN,[10]
29,149.171.126.4,*,*,*,*,*,INT,[10]
30,149.171.126.5,*,*,*,*,*,CON,[10]
31,149.171.126.5,*,*,*,*,*,FIN,[10]
32,149.171.126.5,*,*,*,*,*,INT,[10]
33,149.171.126.6,*,*,*,*,*,CON,[10]
34,149.171.126.6,*,*,*,*,*,FIN,[10]
35,149.171.126.6,*,*,*,*,*,INT,[10]
36,149.171.126.7,*,*,*,*,*,CON,[10]
37,149.171.126.7,*,*,*,*,*,FIN,[10]
38,149.171.126.8,*,*,*,*,*,CON,[10]
39,149.171.126.8,*,*,*,*,*,FIN,[10]
40,149.171.126.8,*,*,*,*,*,INT,[10]
41,149.171.126.9,*,*,*,*,*,CON,[10]
42,149.171.126.9,*,*,*,*,*,FIN,[10]
43,149.171.126.9,*,*,*,*,*,INT,[10]
44,175.45.176.0,*,*,*,*,*,CON,[0.010815045373536537]
45,175.45.176.0,*,*,*,*,*,ECO,[3.4641016151377544]
46,175.45.176.0,*,*,*,*,*,FIN,[7.384910586401026]
47,175.45.176.0,*,*,*,*,*,INT,[0.21165867527845847]
48,175.45.176.1,*,*,*,*,*,CON,[7.216878364870323]
49,175.45.176.1,*,*,*,*,*,ECO,[10]
50,175.45.176.1,*,*,*,*,*,FIN,[1.793628564886175]
51,175.45.176.1,*,*,*,*,*,INT,[10]
52,175.45.176.1,*,*,*,*,*,TST,[10]
53,175.45.176.2,*,*,*,*,*,CON,[0.2211428564362182]
54,175.45.176.2,*,*,*,*,*,ECO,[3.4641016151377544]
55,175.45.176.2,*,*,*,*,*,FIN,[0.44080766533508703]
56,175.45.176.2,*,*,*,*,*,INT,[0.8818966314916143]
57,175.45.176.2,*,*,*,*,*,REQ,[0.24832269642564553]
58,175.45.176.2,*,*,*,*,*,RST,[10]
59,175.45.176.3,*,*,*,*,*,ACC,[10]
60,175.45.176.3,*,*,*,*,*,CLO,[10]
61,175.45.176.3,*,*,*,*,*,CON,[3.497385666133165]
62,175.45.176.3,*,*,*,*,*,ECO,[0.9594032236002469]
63,175.45.176.3,*,*,*,*,*,FIN,[1.3611525037959498]
64,175.45.176.3,*,*,*,*,*,INT,[2.88683432735894]
65,175.45.176.3,*,*,*,*,*,REQ,[0.2778912933599492]
66,59.166.0.0,*,*,*,*,*,CON,[0.4375179731393846]
67,59.166.0.0,*,*,*,*,*,FIN,[0.62721756803976]
68,59.166.0.0,*,*,*,*,*,INT,[10]
69,59.166.0.1,*,*,*,*,*,CLO,[10]
70,59.166.0.1,*,*,*,*,*,CON,[0.08305869979702295]
71,59.166.0.1,*,*,*,*,*,FIN,[1.0870361999368297]
72,59.166.0.1,*,*,*,*,*,INT,[10]
73,59.166.0.2,*,*,*,*,*,CON,[0.16136644327506516]
74,59.166.0.2,*,*,*,*,*,FIN,[1.760058995339313]
75,59.166.0.2,*,*,*,*,*,INT,[10]
76,59.166.0.3,*,*,*,*,*,CLO,[10]
77,59.166.0.3,*,*,*,*,*,CON,[0.8220606952202524]
78,59.166.0.3,*,*,*,*,*,FIN,[2.029260772509706]
79,59.166.0.4,*,*,*,*,*,CON,[0.30038131673977303]
80,59.166.0.4,*,*,*,*,*,FIN,[0.9862078727421419]
81,59.166.0.4,*,*,*,*,*,INT,[10]
82,59.166.0.5,*,*,*,*,*,CON,[0.05441720726480394]
