cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,arp,INT,[3.477838527698241]
1,10.40.182.1,*,*,*,*,arp,CON,[2.292651303622075]
2,10.40.182.1,*,*,*,*,ospf,INT,[3.4641016151377544]
3,10.40.182.1,*,*,*,*,ospf,REQ,[3.203121287835202]
4,10.40.182.3,*,*,*,*,arp,INT,[3.5095970693922776]
5,10.40.85.1,*,*,*,*,arp,CON,[2.7937414508601557]
6,10.40.85.1,*,*,*,*,icmp,PAR,[10]
7,10.40.85.1,*,*,*,*,ospf,INT,[3.4641016151377544]
8,10.40.85.1,*,*,*,*,ospf,REQ,[3.203121287835202]
9,10.40.85.30,*,*,*,*,arp,CON,[2.901256033955994]
10,149.171.126.0,*,*,*,*,tcp,CON,[10]
11,149.171.126.0,*,*,*,*,tcp,FIN,[10]
12,149.171.126.1,*,*,*,*,tcp,CON,[10]
13,149.171.126.1,*,*,*,*,tcp,FIN,[10]
14,149.171.126.1,*,*,*,*,udp,INT,[10]
15,149.171.126.11,*,*,*,*,udp,INT,[10]
16,149.171.126.12,*,*,*,*,udp,INT,[10]
17,149.171.126.15,*,*,*,*,tcp,FIN,[10]
18,149.171.126.15,*,*,*,*,udp,CON,[10]
19,149.171.126.18,*,*,*,*,udp,INT,[10]
20,149.171.126.18,*,*,*,*,udp,REQ,[10]
21,149.171.126.19,*,*,*,*,icmp,ECR,[10]
22,149.171.126.2,*,*,*,*,tcp,CON,[10]
23,149.171.126.2,*,*,*,*,tcp,FIN,[10]
24,149.171.126.2,*,*,*,*,udp,CON,[10]
25,149.171.126.2,*,*,*,*,udp,INT,[10]
26,149.171.126.3,*,*,*,*,tcp,CON,[10]
27,149.171.126.3,*,*,*,*,tcp,FIN,[10]
28,149.171.126.3,*,*,*,*,udp,INT,[10]
29,149.171.126.4,*,*,*,*,tcp,FIN,[10]
30,149.171.126.4,*,*,*,*,udp,INT,[10]
31,149.171.126.5,*,*,*,*,tcp,CON,[10]
32,149.171.126.5,*,*,*,*,tcp,FIN,[10]
33,149.171.126.5,*,*,*,*,udp,INT,[10]
34,149.171.126.6,*,*,*,*,tcp,CON,[10]
35,149.171.126.6,*,*,*,*,tcp,FIN,[10]
36,149.171.126.6,*,*,*,*,udp,INT,[10]
37,149.171.126.7,*,*,*,*,tcp,CON,[10]
38,149.171.126.7,*,*,*,*,tcp,FIN,[10]
39,149.171.126.7,*,*,*,*,udp,CON,[10]
40,149.171.126.8,*,*,*,*,tcp,CON,[10]
41,149.171.126.8,*,*,*,*,tcp,FIN,[10]
42,149.171.126.8,*,*,*,*,udp,INT,[10]
43,149.171.126.9,*,*,*,*,tcp,CON,[10]
44,149.171.126.9,*,*,*,*,tcp,FIN,[10]
45,149.171.126.9,*,*,*,*,udp,INT,[10]
46,175.45.176.0,*,*,*,*,icmp,ECO,[3.4641016151377544]
47,175.45.176.0,*,*,*,*,sctp,CON,[10]
48,175.45.176.0,*,*,*,*,tcp,CON,[0.16826518540553265]
49,175.45.176.0,*,*,*,*,tcp,FIN,[7.384910586401026]
50,175.45.176.0,*,*,*,*,udp,CON,[10]
51,175.45.176.0,*,*,*,*,udp,INT,[0.2122626931316074]
52,175.45.176.1,*,*,*,*,icmp,ECO,[10]
53,175.45.176.1,*,*,*,*,icmp,TST,[10]
54,175.45.176.1,*,*,*,*,ospf,INT,[10]
55,175.45.176.1,*,*,*,*,tcp,FIN,[1.793628564886175]
56,175.45.176.1,*,*,*,*,udp,CON,[10]
57,175.45.176.1,*,*,*,*,udp,INT,[10]
58,175.45.176.2,*,*,*,*,icmp,ECO,[3.4641016151377544]
59,175.45.176.2,*,*,*,*,ospf,INT,[10]
60,175.45.176.2,*,*,*,*,sctp,CON,[10]
61,175.45.176.2,*,*,*,*,sctp,INT,[10]
62,175.45.176.2,*,*,*,*,tcp,FIN,[0.44080766533508703]
63,175.45.176.2,*,*,*,*,tcp,RST,[10]
64,175.45.176.2,*,*,*,*,udp,CON,[10]
