cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,arp,*,[3.477838527698241]
1,10.40.182.1,*,*,*,*,arp,*,[2.292651303622075]
2,10.40.182.1,*,*,*,*,ospf,*,[3.4763439588541063]
3,10.40.182.3,*,*,*,*,arp,*,[3.5095970693922776]
4,10.40.85.1,*,*,*,*,arp,*,[2.7937414508601557]
5,10.40.85.1,*,*,*,*,icmp,*,[10]
6,10.40.85.1,*,*,*,*,ospf,*,[3.4763439588541063]
7,10.40.85.30,*,*,*,*,arp,*,[2.901256033955994]
8,149.171.126.0,*,*,*,*,tcp,*,[10]
9,149.171.126.1,*,*,*,*,tcp,*,[10]
10,149.171.126.1,*,*,*,*,udp,*,[10]
11,149.171.126.11,*,*,*,*,udp,*,[10]
12,149.171.126.12,*,*,*,*,udp,*,[10]
13,149.171.126.15,*,*,*,*,tcp,*,[10]
14,149.171.126.15,*,*,*,*,udp,*,[0.42580344037034834]
15,149.171.126.18,*,*,*,*,udp,*,[10]
16,149.171.126.19,*,*,*,*,icmp,*,[10]
17,149.171.126.2,*,*,*,*,tcp,*,[10]
18,149.171.126.2,*,*,*,*,udp,*,[10]
19,149.171.126.3,*,*,*,*,tcp,*,[10]
20,149.171.126.3,*,*,*,*,udp,*,[10]
21,149.171.126.4,*,*,*,*,tcp,*,[10]
22,149.171.126.4,*,*,*,*,udp,*,[10]
23,149.171.126.5,*,*,*,*,tcp,*,[10]
24,149.171.126.5,*,*,*,*,udp,*,[10]
25,149.171.126.6,*,*,*,*,tcp,*,[10]
26,149.171.126.6,*,*,*,*,udp,*,[10]
27,149.171.126.7,*,*,*,*,tcp,*,[10]
28,149.171.126.7,*,*,*,*,udp,*,[10]
29,149.171.126.8,*,*,*,*,tcp,*,[10]
30,149.171.126.8,*,*,*,*,udp,*,[10]
31,149.171.126.9,*,*,*,*,tcp,*,[10]
32,149.171.126.9,*,*,*,*,udp,*,[10]
33,175.45.176.0,*,*,*,*,icmp,*,[2.345207879911715]
34,175.45.176.0,*,*,*,*,sctp,*,[10]
35,175.45.176.0,*,*,*,*,tcp,*,[4.637263264686259]
36,175.45.176.0,*,*,*,*,udp,*,[0.22264692402759723]
37,175.45.176.1,*,*,*,*,icmp,*,[7.216878364870321]
38,175.45.176.1,*,*,*,*,ospf,*,[10]
39,175.45.176.1,*,*,*,*,tcp,*,[0.7065187645591522]
40,175.45.176.1,*,*,*,*,udp,*,[10]
41,175.45.176.2,*,*,*,*,icmp,*,[2.3452078799117144]
42,175.45.176.2,*,*,*,*,ospf,*,[10]
43,175.45.176.2,*,*,*,*,sctp,*,[10]
44,175.45.176.2,*,*,*,*,tcp,*,[0.07902719512093202]
45,175.45.176.2,*,*,*,*,udp,*,[0.7390654236104189]
46,175.45.176.3,*,*,*,*,icmp,*,[0.6666666666666666]
47,175.45.176.3,*,*,*,*,tcp,*,[2.7305613971053986]
48,175.45.176.3,*,*,*,*,udp,*,[2.9412472055998444]
49,59.166.0.0,*,*,*,*,tcp,*,[0.4901798091081927]
50,59.166.0.0,*,*,*,*,udp,*,[0.19738358455196459]
51,59.166.0.1,*,*,*,*,tcp,*,[0.9206435480914705]
52,59.166.0.1,*,*,*,*,udp,*,[0.3592481042655953]
53,59.166.0.2,*,*,*,*,tcp,*,[1.5911276996984918]
54,59.166.0.2,*,*,*,*,udp,*,[0.36076548273727915]
55,59.166.0.3,*,*,*,*,tcp,*,[1.8079236101726395]
56,59.166.0.3,*,*,*,*,udp,*,[1.2375977870250536]
57,59.166.0.4,*,*,*,*,tcp,*,[0.8458757213792958]
58,59.166.0.4,*,*,*,*,udp,*,[0.019521514296635834]
59,59.166.0.5,*,*,*,*,tcp,*,[0.9102454118742033]
60,59.166.0.5,*,*,*,*,udp,*,[0.23703466824424232]
61,59.166.0.6,*,*,*,*,tcp,*,[1.3419219089441625]
62,59.166.0.6,*,*,*,*,udp,*,[0.13042949749792668]
63,59.166.0.7,*,*,*,*,tcp,*,[0.5435685744226676]
64,59.166.0.7,*,*,*,*,udp,*,[0.5866063774020657]
65,59.166.0.8,*,*,*,*,tcp,*,[1.070706984101858]
66,59.166.0.8,*,*,*,*,udp,*,[1.1378787633149905]
67,59.166.0.9,*,*,*,*,tcp,*,[2.1569949659694325]
68,59.166.0.9,*,*,*,*,udp,*,[0.7539128126206461]
