cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,*,INT,[3.477838527698241]
1,10.40.182.1,*,*,*,unknown,*,CON,[2.292651303622075]
2,10.40.182.1,*,*,*,unknown,*,INT,[3.4641016151377544]
3,10.40.182.1,*,*,*,unknown,*,REQ,[3.203121287835202]
4,10.40.182.3,*,*,*,unknown,*,INT,[3.5095970693922776]
5,10.40.85.1,*,*,*,unknown,*,CON,[2.7937414508601557]
6,10.40.85.1,*,*,*,unknown,*,INT,[3.4641016151377544]
7,10.40.85.1,*,*,*,unknown,*,PAR,[10]
8,10.40.85.1,*,*,*,unknown,*,REQ,[3.203121287835202]
9,10.40.85.30,*,*,*,unknown,*,CON,[2.901256033955994]
10,149.171.126.0,*,*,*,unknown,*,CON,[10]
11,149.171.126.0,*,*,*,unknown,*,FIN,[10]
12,149.171.126.1,*,*,*,unknown,*,CON,[10]
13,149.171.126.1,*,*,*,unknown,*,FIN,[10]
14,149.171.126.1,*,*,*,unknown,*,INT,[10]
15,149.171.126.11,*,*,*,unknown,*,INT,[10]
16,149.171.126.12,*,*,*,unknown,*,INT,[10]
17,149.171.126.15,*,*,*,unknown,*,CON,[10]
18,149.171.126.15,*,*,*,unknown,*,FIN,[10]
19,149.171.126.18,*,*,*,dns,*,INT,[10]
20,149.171.126.18,*,*,*,unknown,*,REQ,[10]
21,149.171.126.19,*,*,*,unknown,*,ECR,[10]
22,149.171.126.2,*,*,*,unknown,*,CON,[10]
23,149.171.126.2,*,*,*,unknown,*,FIN,[10]
24,149.171.126.2,*,*,*,unknown,*,INT,[10]
25,149.171.126.3,*,*,*,unknown,*,CON,[10]
26,149.171.126.3,*,*,*,unknown,*,FIN,[10]
27,149.171.126.3,*,*,*,unknown,*,INT,[10]
28,149.171.126.4,*,*,*,unknown,*,FIN,[10]
29,149.171.126.4,*,*,*,unknown,*,INT,[10]
30,149.171.126.5,*,*,*,unknown,*,CON,[10]
31,149.171.126.5,*,*,*,unknown,*,FIN,[10]
32,149.171.126.5,*,*,*,unknown,*,INT,[10]
33,149.171.126.6,*,*,*,unknown,*,CON,[10]
34,149.171.126.6,*,*,*,unknown,*,FIN,[10]
35,149.171.126.6,*,*,*,unknown,*,INT,[10]
36,149.171.126.7,*,*,*,unknown,*,CON,[10]
37,149.171.126.7,*,*,*,unknown,*,FIN,[10]
38,149.171.126.8,*,*,*,unknown,*,CON,[10]
39,149.171.126.8,*,*,*,unknown,*,FIN,[10]
40,149.171.126.8,*,*,*,unknown,*,INT,[10]
41,149.171.126.9,*,*,*,unknown,*,CON,[10]
42,149.171.126.9,*,*,*,unknown,*,FIN,[10]
43,149.171.126.9,*,*,*,unknown,*,INT,[10]
44,175.45.176.0,*,*,*,ftp,*,FIN,[3.577034241077464]
45,175.45.176.0,*,*,*,http,*,CON,[10]
46,175.45.176.0,*,*,*,http,*,FIN,[9.325242285752783]
47,175.45.176.0,*,*,*,pop3,*,FIN,[10]
48,175.45.176.0,*,*,*,smtp,*,FIN,[10]
49,175.45.176.0,*,*,*,ssh,*,FIN,[10]
50,175.45.176.0,*,*,*,unknown,*,CON,[0.030900129638675826]
51,175.45.176.0,*,*,*,unknown,*,ECO,[3.4641016151377544]
52,175.45.176.0,*,*,*,unknown,*,FIN,[6.558084557291537]
53,175.45.176.0,*,*,*,unknown,*,INT,[0.21276491821989094]
54,175.45.176.1,*,*,*,dns,*,CON,[10]
55,175.45.176.1,*,*,*,dns,*,INT,[10]
56,175.45.176.1,*,*,*,ftp,*,FIN,[0.26729179129149333]
57,175.45.176.1,*,*,*,http,*,FIN,[10]
58,175.45.176.1,*,*,*,pop3,*,FIN,[10]
59,175.45.176.1,*,*,*,smtp,*,FIN,[10]
60,175.45.176.1,*,*,*,snmp,*,INT,[10]
61,175.45.176.1,*,*,*,unknown,*,CON,[1.2124355652982144]
62,175.45.176.1,*,*,*,unknown,*,ECO,[10]
63,175.45.176.1,*,*,*,unknown,*,FIN,[0.994700445375881]
64,175.45.176.1,*,*,*,unknown,*,INT,[0.24401336567891693]
65,175.45.176.1,*,*,*,unknown,*,TST,[10]
66,175.45.176.2,*,*,*,dhcp,*,INT,[10]
67,175.45.176.2,*,*,*,dns,*,FIN,[10]
68,175.45.176.2,*,*,*,dns,*,INT,[10]
69,175.45.176.2,*,*,*,dns,*,REQ,[10]
70,175.45.176.2,*,*,*,ftp,*,FIN,[0.3654345452467909]
71,175.45.176.2,*,*,*,http,*,FIN,[0.15970509712559253]
72,175.45.176.2,*,*,*,pop3,*,FIN,[10]
73,175.45.176.2,*,*,*,smtp,*,FIN,[10]
74,175.45.176.2,*,*,*,snmp,*,INT,[10]
75,175.45.176.2,*,*,*,unknown,*,CON,[0.22056811856791764]
76,175.45.176.2,*,*,*,unknown,*,ECO,[3.4641016151377544]
77,175.45.176.2,*,*,*,unknown,*,FIN,[0.2844731146172401]
78,175.45.176.2,*,*,*,unknown,*,INT,[0.8048617097982297]
79,175.45.176.2,*,*,*,unknown,*,RST,[10]
80,175.45.176.3,*,*,*,dhcp,*,CON,[10]
81,175.45.176.3,*,*,*,ftp,*,FIN,[0.19816335393321263]
82,175.45.176.3,*,*,*,http,*,CON,[10]
83,175.45.176.3,*,*,*,http,*,FIN,[0.1317816517253681]
84,175.45.176.3,*,*,*,pop3,*,FIN,[10]
85,175.45.176.3,*,*,*,smtp,*,FIN,[10]
86,175.45.176.3,*,*,*,unknown,*,ACC,[10]
87,175.45.176.3,*,*,*,unknown,*,CLO,[10]
88,175.45.176.3,*,*,*,unknown,*,CON,[3.4807436406354597]
89,175.45.176.3,*,*,*,unknown,*,ECO,[0.9594032236002469]
90,175.45.176.3,*,*,*,unknown,*,FIN,[1.672928041471392]
91,175.45.176.3,*,*,*,unknown,*,INT,[2.88683432735894]
92,175.45.176.3,*,*,*,unknown,*,REQ,[0.2778912933599492]
93,59.166.0.0,*,*,*,dns,*,CON,[5.439153084956191]
94,59.166.0.0,*,*,*,dns,*,INT,[10]
95,59.166.0.0,*,*,*,ftp,*,FIN,[4.175150269552365]
96,59.166.0.0,*,*,*,http,*,CON,[10]
97,59.166.0.0,*,*,*,http,*,FIN,[5.729754452417986]
98,59.166.0.0,*,*,*,smtp,*,FIN,[2.6528374478083876]
99,59.166.0.0,*,*,*,ssh,*,FIN,[0.9820598971563772]
100,59.166.0.0,*,*,*,unknown,*,CON,[9.066863147691633]
101,59.166.0.0,*,*,*,unknown,*,FIN,[1.3349039979225805]
102,59.166.0.0,*,*,*,unknown,*,INT,[10]
103,59.166.0.1,*,*,*,dns,*,CON,[6.355063344068237]
104,59.166.0.1,*,*,*,dns,*,INT,[10]
105,59.166.0.1,*,*,*,ftp,*,FIN,[3.1853894477257203]
106,59.166.0.1,*,*,*,http,*,CON,[10]
107,59.166.0.1,*,*,*,http,*,FIN,[7.284415117760319]
108,59.166.0.1,*,*,*,smtp,*,FIN,[4.047311975974316]
109,59.166.0.1,*,*,*,ssh,*,FIN,[1.2713545061274016]
110,59.166.0.1,*,*,*,unknown,*,CLO,[10]
111,59.166.0.1,*,*,*,unknown,*,CON,[8.879678553740815]
112,59.166.0.1,*,*,*,unknown,*,FIN,[0.8947061297042544]
113,59.166.0.1,*,*,*,unknown,*,INT,[10]
114,59.166.0.2,*,*,*,dns,*,CON,[5.4310432711089875]
115,59.166.0.2,*,*,*,dns,*,INT,[10]
116,59.166.0.2,*,*,*,ftp,*,FIN,[3.184477833218162]
117,59.166.0.2,*,*,*,http,*,CON,[5.340489990004038]
118,59.166.0.2,*,*,*,http,*,FIN,[6.044545596471669]
119,59.166.0.2,*,*,*,smtp,*,CON,[10]
120,59.166.0.2,*,*,*,smtp,*,FIN,[3.0138813345464723]
121,59.166.0.2,*,*,*,ssh,*,FIN,[0.4828485610852544]
122,59.166.0.2,*,*,*,unknown,*,CON,[8.014646409733151]
123,59.166.0.2,*,*,*,unknown,*,FIN,[0.4403863840119926]
124,59.166.0.2,*,*,*,unknown,*,INT,[10]
125,59.166.0.3,*,*,*,dns,*,CON,[5.468207044888225]
126,59.166.0.3,*,*,*,ftp,*,CON,[1.5877132402714706]
127,59.166.0.3,*,*,*,ftp,*,FIN,[3.5698210054863435]
128,59.166.0.3,*,*,*,http,*,CON,[10]
129,59.166.0.3,*,*,*,http,*,FIN,[6.203214230079071]
130,59.166.0.3,*,*,*,smtp,*,FIN,[3.604085067735734]
131,59.166.0.3,*,*,*,ssh,*,FIN,[1.1957595446501925]
132,59.166.0.3,*,*,*,unknown,*,CLO,[10]
133,59.166.0.3,*,*,*,unknown,*,CON,[9.341049556077294]
