cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,*,*,[3.477838527698241]
1,10.40.182.1,*,*,*,unknown,*,*,[2.947500768254273]
2,10.40.182.3,*,*,*,unknown,*,*,[3.5095970693922776]
3,10.40.85.1,*,*,*,unknown,*,*,[3.365333816742881]
4,10.40.85.30,*,*,*,unknown,*,*,[2.901256033955994]
5,149.171.126.0,*,*,*,unknown,*,*,[10]
6,149.171.126.1,*,*,*,unknown,*,*,[10]
7,149.171.126.11,*,*,*,unknown,*,*,[10]
8,149.171.126.12,*,*,*,unknown,*,*,[10]
9,149.171.126.15,*,*,*,unknown,*,*,[10]
10,149.171.126.18,*,*,*,dns,*,*,[10]
11,149.171.126.18,*,*,*,unknown,*,*,[10]
12,149.171.126.19,*,*,*,unknown,*,*,[2.2131760318935654]
13,149.171.126.2,*,*,*,unknown,*,*,[10]
14,149.171.126.3,*,*,*,unknown,*,*,[10]
15,149.171.126.4,*,*,*,unknown,*,*,[10]
16,149.171.126.5,*,*,*,unknown,*,*,[10]
17,149.171.126.6,*,*,*,unknown,*,*,[10]
18,149.171.126.7,*,*,*,unknown,*,*,[10]
19,149.171.126.8,*,*,*,unknown,*,*,[10]
20,149.171.126.9,*,*,*,unknown,*,*,[10]
21,175.45.176.0,*,*,*,ftp,*,*,[3.577034241077464]
22,175.45.176.0,*,*,*,http,*,*,[9.49526774117324]
23,175.45.176.0,*,*,*,pop3,*,*,[10]
24,175.45.176.0,*,*,*,smtp,*,*,[10]
25,175.45.176.0,*,*,*,ssh,*,*,[10]
26,175.45.176.0,*,*,*,unknown,*,*,[2.2541381926490978]
27,175.45.176.1,*,*,*,dns,*,*,[10]
28,175.45.176.1,*,*,*,ftp,*,*,[0.26729179129149333]
29,175.45.176.1,*,*,*,http,*,*,[10]
30,175.45.176.1,*,*,*,pop3,*,*,[10]
31,175.45.176.1,*,*,*,smtp,*,*,[10]
32,175.45.176.1,*,*,*,snmp,*,*,[10]
33,175.45.176.1,*,*,*,unknown,*,*,[0.3561929446646546]
34,175.45.176.2,*,*,*,dhcp,*,*,[10]
35,175.45.176.2,*,*,*,dns,*,*,[10]
36,175.45.176.2,*,*,*,ftp,*,*,[0.3654345452467909]
37,175.45.176.2,*,*,*,http,*,*,[0.1587854567191342]
38,175.45.176.2,*,*,*,pop3,*,*,[10]
39,175.45.176.2,*,*,*,smtp,*,*,[10]
40,175.45.176.2,*,*,*,snmp,*,*,[10]
41,175.45.176.2,*,*,*,unknown,*,*,[0.1561419204993334]
42,175.45.176.3,*,*,*,dhcp,*,*,[10]
43,175.45.176.3,*,*,*,ftp,*,*,[0.19816335393321263]
44,175.45.176.3,*,*,*,http,*,*,[0.13589553517559483]
45,175.45.176.3,*,*,*,pop3,*,*,[10]
46,175.45.176.3,*,*,*,smtp,*,*,[10]
47,175.45.176.3,*,*,*,unknown,*,*,[3.9201424174425705]
48,59.166.0.0,*,*,*,dns,*,*,[5.394932328167929]
49,59.166.0.0,*,*,*,ftp,*,*,[4.175150269552365]
50,59.166.0.0,*,*,*,http,*,*,[5.693137773761546]
51,59.166.0.0,*,*,*,smtp,*,*,[2.6528374478083876]
52,59.166.0.0,*,*,*,ssh,*,*,[0.9820598971563772]
53,59.166.0.0,*,*,*,unknown,*,*,[3.544229100025247]
54,59.166.0.1,*,*,*,dns,*,*,[6.303428454397683]
55,59.166.0.1,*,*,*,ftp,*,*,[3.1853894477257203]
56,59.166.0.1,*,*,*,http,*,*,[7.210981399844821]
57,59.166.0.1,*,*,*,smtp,*,*,[4.047311975974316]
58,59.166.0.1,*,*,*,ssh,*,*,[1.2713545061274016]
59,59.166.0.1,*,*,*,unknown,*,*,[2.635406052438704]
60,59.166.0.2,*,*,*,dns,*,*,[5.407917308932631]
61,59.166.0.2,*,*,*,ftp,*,*,[3.1609747026923136]
62,59.166.0.2,*,*,*,http,*,*,[5.890643244864675]
63,59.166.0.2,*,*,*,smtp,*,*,[2.9535108301564814]
64,59.166.0.2,*,*,*,ssh,*,*,[0.4828485610852544]
65,59.166.0.2,*,*,*,unknown,*,*,[2.7734533102823864]
66,59.166.0.3,*,*,*,dns,*,*,[5.468207044888225]
