cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,arp,INT,[3.477838527698241]
1,10.40.182.1,*,*,*,unknown,arp,CON,[2.292651303622075]
2,10.40.182.1,*,*,*,unknown,ospf,INT,[3.4641016151377544]
3,10.40.182.1,*,*,*,unknown,ospf,REQ,[3.203121287835202]
4,10.40.182.3,*,*,*,unknown,arp,INT,[3.5095970693922776]
5,10.40.85.1,*,*,*,unknown,arp,CON,[2.7937414508601557]
6,10.40.85.1,*,*,*,unknown,icmp,PAR,[10]
7,10.40.85.1,*,*,*,unknown,ospf,INT,[3.4641016151377544]
8,10.40.85.1,*,*,*,unknown,ospf,REQ,[3.203121287835202]
9,10.40.85.30,*,*,*,unknown,arp,CON,[2.901256033955994]
10,149.171.126.0,*,*,*,unknown,tcp,CON,[10]
11,149.171.126.0,*,*,*,unknown,tcp,FIN,[10]
12,149.171.126.1,*,*,*,unknown,tcp,CON,[10]
13,149.171.126.1,*,*,*,unknown,tcp,FIN,[10]
14,149.171.126.1,*,*,*,unknown,udp,INT,[10]
15,149.171.126.11,*,*,*,unknown,udp,INT,[10]
16,149.171.126.12,*,*,*,unknown,udp,INT,[10]
17,149.171.126.15,*,*,*,unknown,tcp,FIN,[10]
18,149.171.126.15,*,*,*,unknown,udp,CON,[10]
19,149.171.126.18,*,*,*,dns,udp,INT,[10]
20,149.171.126.18,*,*,*,unknown,udp,REQ,[10]
21,149.171.126.19,*,*,*,unknown,icmp,ECR,[10]
22,149.171.126.2,*,*,*,unknown,tcp,CON,[10]
23,149.171.126.2,*,*,*,unknown,tcp,FIN,[10]
24,149.171.126.2,*,*,*,unknown,udp,CON,[10]
25,149.171.126.2,*,*,*,unknown,udp,INT,[10]
26,149.171.126.3,*,*,*,unknown,tcp,CON,[10]
27,149.171.126.3,*,*,*,unknown,tcp,FIN,[10]
28,149.171.126.3,*,*,*,unknown,udp,INT,[10]
29,149.171.126.4,*,*,*,unknown,tcp,FIN,[10]
30,149.171.126.4,*,*,*,unknown,udp,INT,[10]
31,149.171.126.5,*,*,*,unknown,tcp,CON,[10]
32,149.171.126.5,*,*,*,unknown,tcp,FIN,[10]
33,149.171.126.5,*,*,*,unknown,udp,INT,[10]
34,149.171.126.6,*,*,*,unknown,tcp,CON,[10]
35,149.171.126.6,*,*,*,unknown,tcp,FIN,[10]
36,149.171.126.6,*,*,*,unknown,udp,INT,[10]
