cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,arp,*,[3.477838527698241]
1,10.40.182.1,*,*,*,unknown,arp,*,[2.292651303622075]
2,10.40.182.1,*,*,*,unknown,ospf,*,[3.4763439588541063]
3,10.40.182.3,*,*,*,unknown,arp,*,[3.5095970693922776]
4,10.40.85.1,*,*,*,unknown,arp,*,[2.7937414508601557]
5,10.40.85.1,*,*,*,unknown,icmp,*,[10]
6,10.40.85.1,*,*,*,unknown,ospf,*,[3.4763439588541063]
7,10.40.85.30,*,*,*,unknown,arp,*,[2.901256033955994]
8,149.171.126.0,*,*,*,unknown,tcp,*,[10]
9,149.171.126.1,*,*,*,unknown,tcp,*,[10]
10,149.171.126.1,*,*,*,unknown,udp,*,[10]
11,149.171.126.11,*,*,*,unknown,udp,*,[10]
12,149.171.126.12,*,*,*,unknown,udp,*,[10]
13,149.171.126.15,*,*,*,unknown,tcp,*,[10]
14,149.171.126.15,*,*,*,unknown,udp,*,[10]
15,149.171.126.18,*,*,*,dns,udp,*,[10]
16,149.171.126.18,*,*,*,unknown,udp,*,[10]
17,149.171.126.19,*,*,*,unknown,icmp,*,[10]
18,149.171.126.2,*,*,*,unknown,tcp,*,[10]
19,149.171.126.2,*,*,*,unknown,udp,*,[10]
20,149.171.126.3,*,*,*,unknown,tcp,*,[10]
21,149.171.126.3,*,*,*,unknown,udp,*,[10]
22,149.171.126.4,*,*,*,unknown,tcp,*,[10]
23,149.171.126.4,*,*,*,unknown,udp,*,[10]
24,149.171.126.5,*,*,*,unknown,tcp,*,[10]
25,149.171.126.5,*,*,*,unknown,udp,*,[10]
26,149.171.126.6,*,*,*,unknown,tcp,*,[10]
27,149.171.126.6,*,*,*,unknown,udp,*,[10]
28,149.171.126.7,*,*,*,unknown,tcp,*,[10]
29,149.171.126.7,*,*,*,unknown,udp,*,[10]
30,149.171.126.8,*,*,*,unknown,tcp,*,[10]
31,149.171.126.8,*,*,*,unknown,udp,*,[10]
32,149.171.126.9,*,*,*,unknown,tcp,*,[10]
33,149.171.126.9,*,*,*,unknown,udp,*,[10]
34,175.45.176.0,*,*,*,ftp,tcp,*,[3.577034241077464]
35,175.45.176.0,*,*,*,http,tcp,*,[9.49526774117324]
36,175.45.176.0,*,*,*,pop3,tcp,*,[10]
37,175.45.176.0,*,*,*,smtp,tcp,*,[10]
38,175.45.176.0,*,*,*,ssh,tcp,*,[10]
39,175.45.176.0,*,*,*,unknown,icmp,*,[2.345207879911715]
40,175.45.176.0,*,*,*,unknown,sctp,*,[10]
41,175.45.176.0,*,*,*,unknown,tcp,*,[3.9815952093296705]
42,175.45.176.0,*,*,*,unknown,udp,*,[0.22373630341495512]
43,175.45.176.1,*,*,*,dns,udp,*,[10]
44,175.45.176.1,*,*,*,ftp,tcp,*,[0.26729179129149333]
45,175.45.176.1,*,*,*,http,tcp,*,[10]
46,175.45.176.1,*,*,*,pop3,tcp,*,[10]
47,175.45.176.1,*,*,*,smtp,tcp,*,[10]
48,175.45.176.1,*,*,*,snmp,udp,*,[10]
49,175.45.176.1,*,*,*,unknown,icmp,*,[7.216878364870321]
50,175.45.176.1,*,*,*,unknown,ospf,*,[10]
51,175.45.176.1,*,*,*,unknown,tcp,*,[0.2761839288907083]
52,175.45.176.1,*,*,*,unknown,udp,*,[0.02021606374992119]
53,175.45.176.2,*,*,*,dhcp,udp,*,[10]
54,175.45.176.2,*,*,*,dns,tcp,*,[10]
55,175.45.176.2,*,*,*,dns,udp,*,[10]
56,175.45.176.2,*,*,*,ftp,tcp,*,[0.3654345452467909]
57,175.45.176.2,*,*,*,http,tcp,*,[0.1587854567191342]
58,175.45.176.2,*,*,*,pop3,tcp,*,[10]
