cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,*,*,INT,[3.477838527698241]
1,10.40.182.1,*,*,0,*,*,CON,[2.292651303622075]
2,10.40.182.1,*,*,0,*,*,INT,[3.4641016151377544]
3,10.40.182.1,*,*,0,*,*,REQ,[3.203121287835202]
4,10.40.182.3,*,*,0,*,*,INT,[3.5095970693922776]
5,10.40.85.1,*,*,0,*,*,CON,[2.7937414508601557]
6,10.40.85.1,*,*,0,*,*,INT,[3.4641016151377544]
7,10.40.85.1,*,*,0,*,*,PAR,[10]
8,10.40.85.1,*,*,0,*,*,REQ,[3.203121287835202]
9,10.40.85.30,*,*,0,*,*,CON,[2.901256033955994]
10,149.171.126.0,*,*,35783,*,*,CON,[10]
11,149.171.126.0,*,*,36410,*,*,FIN,[10]
12,149.171.126.0,*,*,44192,*,*,FIN,[10]
13,149.171.126.0,*,*,51720,*,*,FIN,[10]
14,149.171.126.1,*,*,10547,*,*,INT,[10]
15,149.171.126.1,*,*,12809,*,*,FIN,[10]
16,149.171.126.1,*,*,15271,*,*,CON,[10]
17,149.171.126.1,*,*,30229,*,*,FIN,[10]
18,149.171.126.1,*,*,36725,*,*,FIN,[10]
19,149.171.126.1,*,*,40110,*,*,CON,[10]
20,149.171.126.1,*,*,47920,*,*,CON,[10]
21,149.171.126.1,*,*,56708,*,*,FIN,[10]
22,149.171.126.1,*,*,59938,*,*,FIN,[10]
23,149.171.126.1,*,*,9263,*,*,FIN,[10]
24,149.171.126.11,*,*,60986,*,*,INT,[10]
25,149.171.126.12,*,*,65488,*,*,INT,[10]
26,149.171.126.15,*,*,13067,*,*,FIN,[10]
27,149.171.126.15,*,*,31459,*,*,FIN,[10]
28,149.171.126.15,*,*,5060,*,*,CON,[10]
29,149.171.126.15,*,*,58602,*,*,FIN,[10]
30,149.171.126.18,*,*,4569,*,*,REQ,[10]
31,149.171.126.18,*,*,53,*,*,INT,[10]
32,149.171.126.19,*,*,48879,*,*,ECR,[10]
33,149.171.126.2,*,*,1047,*,*,FIN,[10]
34,149.171.126.2,*,*,13824,*,*,INT,[10]
35,149.171.126.2,*,*,14417,*,*,FIN,[10]
36,149.171.126.2,*,*,20203,*,*,FIN,[10]
37,149.171.126.2,*,*,20873,*,*,FIN,[10]
38,149.171.126.2,*,*,22196,*,*,CON,[10]
39,149.171.126.2,*,*,29421,*,*,FIN,[10]
40,149.171.126.2,*,*,29810,*,*,FIN,[10]
41,149.171.126.2,*,*,33260,*,*,FIN,[10]
42,149.171.126.2,*,*,35002,*,*,FIN,[10]
43,149.171.126.2,*,*,35211,*,*,FIN,[10]
44,149.171.126.2,*,*,35880,*,*,FIN,[10]
45,149.171.126.2,*,*,36786,*,*,CON,[10]
46,149.171.126.2,*,*,38017,*,*,FIN,[10]
47,149.171.126.2,*,*,40104,*,*,CON,[10]
48,149.171.126.2,*,*,41515,*,*,FIN,[10]
49,149.171.126.2,*,*,43903,*,*,CON,[10]
50,149.171.126.2,*,*,51510,*,*,FIN,[10]
51,149.171.126.2,*,*,57426,*,*,CON,[10]
52,149.171.126.2,*,*,57613,*,*,FIN,[10]
53,149.171.126.2,*,*,58324,*,*,CON,[10]
54,149.171.126.2,*,*,65313,*,*,FIN,[10]
55,149.171.126.2,*,*,8819,*,*,CON,[10]
56,149.171.126.3,*,*,1547,*,*,CON,[10]
57,149.171.126.3,*,*,29658,*,*,FIN,[10]
58,149.171.126.3,*,*,31444,*,*,FIN,[10]
59,149.171.126.3,*,*,36169,*,*,FIN,[10]
60,149.171.126.3,*,*,37057,*,*,FIN,[10]
61,149.171.126.3,*,*,40291,*,*,FIN,[10]
62,149.171.126.3,*,*,40396,*,*,INT,[10]
63,149.171.126.3,*,*,45545,*,*,FIN,[10]
64,149.171.126.3,*,*,56796,*,*,FIN,[10]
65,149.171.126.3,*,*,62463,*,*,CON,[10]
66,149.171.126.3,*,*,7378,*,*,FIN,[10]
67,149.171.126.4,*,*,13224,*,*,FIN,[10]
68,149.171.126.4,*,*,13338,*,*,FIN,[10]
69,149.171.126.4,*,*,16892,*,*,FIN,[10]
70,149.171.126.4,*,*,18066,*,*,FIN,[10]
71,149.171.126.4,*,*,26067,*,*,FIN,[10]
72,149.171.126.4,*,*,29886,*,*,FIN,[10]
73,149.171.126.4,*,*,38595,*,*,INT,[10]
74,149.171.126.4,*,*,42613,*,*,FIN,[10]
75,149.171.126.4,*,*,51310,*,*,FIN,[10]
76,149.171.126.4,*,*,57155,*,*,FIN,[10]
77,149.171.126.5,*,*,10551,*,*,FIN,[10]
78,149.171.126.5,*,*,11500,*,*,FIN,[10]
79,149.171.126.5,*,*,15573,*,*,CON,[10]
80,149.171.126.5,*,*,37496,*,*,FIN,[10]
81,149.171.126.5,*,*,40028,*,*,INT,[10]
82,149.171.126.5,*,*,40364,*,*,FIN,[10]
83,149.171.126.5,*,*,49383,*,*,FIN,[10]
84,149.171.126.5,*,*,5655,*,*,INT,[10]
85,149.171.126.6,*,*,10927,*,*,CON,[10]
86,149.171.126.6,*,*,12620,*,*,FIN,[10]
87,149.171.126.6,*,*,15156,*,*,FIN,[10]
88,149.171.126.6,*,*,16184,*,*,CON,[10]
89,149.171.126.6,*,*,31588,*,*,CON,[10]
90,149.171.126.6,*,*,40087,*,*,FIN,[10]
91,149.171.126.6,*,*,41558,*,*,FIN,[10]
92,149.171.126.6,*,*,42256,*,*,INT,[10]
93,149.171.126.6,*,*,45606,*,*,INT,[10]
94,149.171.126.6,*,*,56503,*,*,FIN,[10]
95,149.171.126.6,*,*,59484,*,*,INT,[10]
96,149.171.126.6,*,*,63859,*,*,CON,[10]
97,149.171.126.6,*,*,8491,*,*,CON,[10]
98,149.171.126.7,*,*,15439,*,*,CON,[10]
99,149.171.126.7,*,*,15921,*,*,FIN,[10]
100,149.171.126.7,*,*,17633,*,*,CON,[10]
101,149.171.126.7,*,*,17843,*,*,FIN,[10]
102,149.171.126.7,*,*,1831,*,*,CON,[10]
103,149.171.126.7,*,*,30543,*,*,FIN,[10]
104,149.171.126.7,*,*,31391,*,*,FIN,[10]
105,149.171.126.7,*,*,31508,*,*,CON,[10]
106,149.171.126.7,*,*,31562,*,*,CON,[10]
107,149.171.126.7,*,*,48658,*,*,CON,[10]
108,149.171.126.7,*,*,51621,*,*,FIN,[10]
109,149.171.126.7,*,*,5667,*,*,FIN,[10]
110,149.171.126.7,*,*,57233,*,*,FIN,[10]
111,149.171.126.7,*,*,58104,*,*,FIN,[10]
112,149.171.126.7,*,*,60578,*,*,FIN,[10]
113,149.171.126.7,*,*,62791,*,*,CON,[10]
114,149.171.126.7,*,*,7548,*,*,CON,[10]
115,149.171.126.8,*,*,1708,*,*,CON,[10]
116,149.171.126.8,*,*,38841,*,*,INT,[10]
117,149.171.126.8,*,*,40999,*,*,FIN,[10]
118,149.171.126.8,*,*,43121,*,*,CON,[10]
119,149.171.126.8,*,*,52029,*,*,FIN,[10]
120,149.171.126.8,*,*,54216,*,*,FIN,[10]
121,149.171.126.8,*,*,59228,*,*,INT,[10]
122,149.171.126.9,*,*,14411,*,*,FIN,[10]
123,149.171.126.9,*,*,17717,*,*,FIN,[10]
124,149.171.126.9,*,*,20119,*,*,FIN,[10]
125,149.171.126.9,*,*,22604,*,*,CON,[10]
126,149.171.126.9,*,*,23190,*,*,FIN,[10]
127,149.171.126.9,*,*,30585,*,*,FIN,[10]
128,149.171.126.9,*,*,37017,*,*,CON,[10]
129,149.171.126.9,*,*,38851,*,*,INT,[10]
130,149.171.126.9,*,*,46281,*,*,FIN,[10]
131,149.171.126.9,*,*,47518,*,*,CON,[10]
132,149.171.126.9,*,*,53937,*,*,FIN,[10]
133,149.171.126.9,*,*,56540,*,*,CON,[10]
134,149.171.126.9,*,*,61360,*,*,INT,[10]
135,175.45.176.0,*,*,0,*,*,CON,[10]
136,175.45.176.0,*,*,10000,*,*,FIN,[10]
137,175.45.176.0,*,*,10607,*,*,FIN,[10]
138,175.45.176.0,*,*,110,*,*,FIN,[10]
139,175.45.176.0,*,*,111,*,*,FIN,[10]
140,175.45.176.0,*,*,111,*,*,INT,[10]
141,175.45.176.0,*,*,139,*,*,FIN,[10]
142,175.45.176.0,*,*,143,*,*,FIN,[10]
143,175.45.176.0,*,*,1434,*,*,INT,[10]
144,175.45.176.0,*,*,1500,*,*,FIN,[10]
145,175.45.176.0,*,*,1521,*,*,FIN,[10]
146,175.45.176.0,*,*,162,*,*,INT,[10]
147,175.45.176.0,*,*,179,*,*,CON,[10]
148,175.45.176.0,*,*,179,*,*,FIN,[3.2738219997917586]
149,175.45.176.0,*,*,1900,*,*,FIN,[10]
150,175.45.176.0,*,*,2001,*,*,FIN,[10]
151,175.45.176.0,*,*,21,*,*,FIN,[5.732730373117526]
152,175.45.176.0,*,*,21554,*,*,FIN,[10]
153,175.45.176.0,*,*,22,*,*,FIN,[10]
154,175.45.176.0,*,*,23,*,*,FIN,[10]
155,175.45.176.0,*,*,25,*,*,CON,[10]
156,175.45.176.0,*,*,25,*,*,FIN,[10]
157,175.45.176.0,*,*,25246,*,*,CON,[10]
158,175.45.176.0,*,*,26274,*,*,CON,[10]
159,175.45.176.0,*,*,28520,*,*,FIN,[10]
160,175.45.176.0,*,*,2967,*,*,FIN,[10]
161,175.45.176.0,*,*,3128,*,*,FIN,[10]
162,175.45.176.0,*,*,32596,*,*,FIN,[10]
163,175.45.176.0,*,*,41082,*,*,INT,[10]
164,175.45.176.0,*,*,44305,*,*,FIN,[10]
165,175.45.176.0,*,*,4433,*,*,INT,[10]
166,175.45.176.0,*,*,445,*,*,CON,[10]
167,175.45.176.0,*,*,445,*,*,FIN,[3.8352235487407222]
168,175.45.176.0,*,*,48879,*,*,ECO,[3.4641016151377544]
169,175.45.176.0,*,*,49690,*,*,FIN,[10]
170,175.45.176.0,*,*,5000,*,*,FIN,[10]
171,175.45.176.0,*,*,50158,*,*,FIN,[10]
172,175.45.176.0,*,*,5060,*,*,INT,[10]
173,175.45.176.0,*,*,513,*,*,FIN,[10]
174,175.45.176.0,*,*,514,*,*,INT,[1.090062348576932]
175,175.45.176.0,*,*,520,*,*,INT,[0.19713072420682798]
176,175.45.176.0,*,*,52525,*,*,FIN,[10]
177,175.45.176.0,*,*,53,*,*,FIN,[10]
178,175.45.176.0,*,*,53,*,*,INT,[10]
179,175.45.176.0,*,*,54470,*,*,INT,[10]
180,175.45.176.0,*,*,54906,*,*,FIN,[10]
181,175.45.176.0,*,*,55152,*,*,FIN,[10]
182,175.45.176.0,*,*,554,*,*,FIN,[10]
183,175.45.176.0,*,*,5555,*,*,FIN,[10]
184,175.45.176.0,*,*,56818,*,*,FIN,[10]
185,175.45.176.0,*,*,57401,*,*,FIN,[10]
186,175.45.176.0,*,*,58297,*,*,FIN,[10]
187,175.45.176.0,*,*,60994,*,*,INT,[10]
188,175.45.176.0,*,*,62649,*,*,INT,[10]
189,175.45.176.0,*,*,64110,*,*,FIN,[10]
190,175.45.176.0,*,*,7144,*,*,FIN,[10]
191,175.45.176.0,*,*,7180,*,*,FIN,[10]
192,175.45.176.0,*,*,80,*,*,CON,[10]
193,175.45.176.0,*,*,80,*,*,FIN,[10]
194,175.45.176.0,*,*,8080,*,*,FIN,[10]
195,175.45.176.0,*,*,9080,*,*,FIN,[10]
196,175.45.176.1,*,*,0,*,*,INT,[10]
197,175.45.176.1,*,*,0,*,*,TST,[10]
198,175.45.176.1,*,*,1094,*,*,FIN,[10]
199,175.45.176.1,*,*,110,*,*,FIN,[10]
200,175.45.176.1,*,*,111,*,*,FIN,[10]
201,175.45.176.1,*,*,111,*,*,INT,[10]
202,175.45.176.1,*,*,11682,*,*,FIN,[10]
203,175.45.176.1,*,*,11995,*,*,FIN,[10]
204,175.45.176.1,*,*,123,*,*,INT,[10]
205,175.45.176.1,*,*,13666,*,*,FIN,[10]
206,175.45.176.1,*,*,13838,*,*,FIN,[10]
207,175.45.176.1,*,*,13843,*,*,INT,[10]
208,175.45.176.1,*,*,139,*,*,FIN,[10]
209,175.45.176.1,*,*,143,*,*,FIN,[10]
210,175.45.176.1,*,*,14644,*,*,FIN,[10]
211,175.45.176.1,*,*,161,*,*,INT,[10]
212,175.45.176.1,*,*,179,*,*,FIN,[0.27611499441524245]
213,175.45.176.1,*,*,18810,*,*,FIN,[10]
214,175.45.176.1,*,*,1900,*,*,FIN,[10]
215,175.45.176.1,*,*,19813,*,*,FIN,[10]
216,175.45.176.1,*,*,20001,*,*,FIN,[10]
217,175.45.176.1,*,*,2003,*,*,CON,[10]
218,175.45.176.1,*,*,20159,*,*,FIN,[10]
219,175.45.176.1,*,*,21,*,*,FIN,[1.5182173745356822]
220,175.45.176.1,*,*,21064,*,*,FIN,[10]
221,175.45.176.1,*,*,2140,*,*,CON,[10]
222,175.45.176.1,*,*,22222,*,*,FIN,[10]
223,175.45.176.1,*,*,23,*,*,FIN,[10]
224,175.45.176.1,*,*,24800,*,*,FIN,[10]
225,175.45.176.1,*,*,25,*,*,FIN,[10]
226,175.45.176.1,*,*,3306,*,*,FIN,[10]
227,175.45.176.1,*,*,34054,*,*,INT,[10]
228,175.45.176.1,*,*,35788,*,*,FIN,[10]
229,175.45.176.1,*,*,36399,*,*,INT,[10]
230,175.45.176.1,*,*,3817,*,*,FIN,[10]
231,175.45.176.1,*,*,38611,*,*,INT,[10]
232,175.45.176.1,*,*,42121,*,*,FIN,[10]
233,175.45.176.1,*,*,445,*,*,FIN,[0.24513542915161746]
234,175.45.176.1,*,*,48879,*,*,ECO,[10]
235,175.45.176.1,*,*,5000,*,*,FIN,[10]
236,175.45.176.1,*,*,5002,*,*,FIN,[10]
237,175.45.176.1,*,*,50342,*,*,FIN,[10]
238,175.45.176.1,*,*,5060,*,*,INT,[10]
239,175.45.176.1,*,*,50884,*,*,FIN,[10]
240,175.45.176.1,*,*,51123,*,*,INT,[10]
241,175.45.176.1,*,*,51918,*,*,INT,[10]
242,175.45.176.1,*,*,53,*,*,CON,[10]
243,175.45.176.1,*,*,53,*,*,INT,[10]
244,175.45.176.1,*,*,55198,*,*,FIN,[10]
245,175.45.176.1,*,*,554,*,*,FIN,[10]
246,175.45.176.1,*,*,554,*,*,INT,[10]
