cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,*,*,*,[3.477838527698241]
1,10.40.182.1,*,*,0,*,*,*,[2.947500768254273]
2,10.40.182.3,*,*,0,*,*,*,[3.5095970693922776]
3,10.40.85.1,*,*,0,*,*,*,[3.365333816742881]
4,10.40.85.30,*,*,0,*,*,*,[2.901256033955994]
5,149.171.126.0,*,*,35783,*,*,*,[10]
6,149.171.126.0,*,*,36410,*,*,*,[10]
7,149.171.126.0,*,*,44192,*,*,*,[10]
8,149.171.126.0,*,*,51720,*,*,*,[10]
9,149.171.126.1,*,*,10547,*,*,*,[10]
10,149.171.126.1,*,*,12809,*,*,*,[10]
11,149.171.126.1,*,*,15271,*,*,*,[10]
12,149.171.126.1,*,*,30229,*,*,*,[10]
13,149.171.126.1,*,*,36725,*,*,*,[10]
14,149.171.126.1,*,*,40110,*,*,*,[10]
15,149.171.126.1,*,*,47920,*,*,*,[10]
16,149.171.126.1,*,*,56708,*,*,*,[10]
17,149.171.126.1,*,*,59938,*,*,*,[10]
18,149.171.126.1,*,*,9263,*,*,*,[10]
19,149.171.126.11,*,*,60986,*,*,*,[10]
20,149.171.126.12,*,*,65488,*,*,*,[10]
21,149.171.126.15,*,*,13067,*,*,*,[10]
22,149.171.126.15,*,*,31459,*,*,*,[10]
23,149.171.126.15,*,*,5060,*,*,*,[10]
24,149.171.126.15,*,*,58602,*,*,*,[10]
25,149.171.126.18,*,*,4569,*,*,*,[10]
26,149.171.126.18,*,*,53,*,*,*,[10]
27,149.171.126.19,*,*,48879,*,*,*,[10]
28,149.171.126.2,*,*,1047,*,*,*,[10]
29,149.171.126.2,*,*,13824,*,*,*,[10]
30,149.171.126.2,*,*,14417,*,*,*,[10]
31,149.171.126.2,*,*,20203,*,*,*,[10]
32,149.171.126.2,*,*,20873,*,*,*,[10]
33,149.171.126.2,*,*,22196,*,*,*,[10]
34,149.171.126.2,*,*,29421,*,*,*,[10]
35,149.171.126.2,*,*,29810,*,*,*,[10]
36,149.171.126.2,*,*,33260,*,*,*,[10]
37,149.171.126.2,*,*,35002,*,*,*,[10]
38,149.171.126.2,*,*,35211,*,*,*,[10]
39,149.171.126.2,*,*,35880,*,*,*,[10]
40,149.171.126.2,*,*,36786,*,*,*,[10]
41,149.171.126.2,*,*,38017,*,*,*,[10]
42,149.171.126.2,*,*,40104,*,*,*,[10]
43,149.171.126.2,*,*,41515,*,*,*,[10]
44,149.171.126.2,*,*,43903,*,*,*,[10]
45,149.171.126.2,*,*,51510,*,*,*,[10]
46,149.171.126.2,*,*,57426,*,*,*,[10]
47,149.171.126.2,*,*,57613,*,*,*,[10]
