cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,unknown,*,*,[3.477838527698241]
1,10.40.182.1,*,*,0,unknown,*,*,[2.947500768254273]
2,10.40.182.3,*,*,0,unknown,*,*,[3.5095970693922776]
3,10.40.85.1,*,*,0,unknown,*,*,[3.365333816742881]
4,10.40.85.30,*,*,0,unknown,*,*,[2.901256033955994]
5,149.171.126.0,*,*,35783,unknown,*,*,[10]
6,149.171.126.0,*,*,36410,unknown,*,*,[10]
7,149.171.126.0,*,*,44192,unknown,*,*,[10]
8,149.171.126.0,*,*,51720,unknown,*,*,[10]
9,149.171.126.1,*,*,10547,unknown,*,*,[10]
10,149.171.126.1,*,*,12809,unknown,*,*,[10]
11,149.171.126.1,*,*,15271,unknown,*,*,[10]
12,149.171.126.1,*,*,30229,unknown,*,*,[10]
13,149.171.126.1,*,*,36725,unknown,*,*,[10]
14,149.171.126.1,*,*,40110,unknown,*,*,[10]
15,149.171.126.1,*,*,47920,unknown,*,*,[10]
16,149.171.126.1,*,*,56708,unknown,*,*,[10]
17,149.171.126.1,*,*,59938,unknown,*,*,[10]
18,149.171.126.1,*,*,9263,unknown,*,*,[10]
19,149.171.126.11,*,*,60986,unknown,*,*,[10]
20,149.171.126.12,*,*,65488,unknown,*,*,[10]
21,149.171.126.15,*,*,13067,unknown,*,*,[10]
22,149.171.126.15,*,*,31459,unknown,*,*,[10]
23,149.171.126.15,*,*,5060,unknown,*,*,[10]
24,149.171.126.15,*,*,58602,unknown,*,*,[10]
25,149.171.126.18,*,*,4569,unknown,*,*,[10]
26,149.171.126.18,*,*,53,dns,*,*,[10]
27,149.171.126.19,*,*,48879,unknown,*,*,[10]
28,149.171.126.2,*,*,1047,unknown,*,*,[10]
29,149.171.126.2,*,*,13824,unknown,*,*,[10]
30,149.171.126.2,*,*,14417,unknown,*,*,[10]
31,149.171.126.2,*,*,20203,unknown,*,*,[10]
32,149.171.126.2,*,*,20873,unknown,*,*,[10]
33,149.171.126.2,*,*,22196,unknown,*,*,[10]
34,149.171.126.2,*,*,29421,unknown,*,*,[10]
35,149.171.126.2,*,*,29810,unknown,*,*,[10]
36,149.171.126.2,*,*,33260,unknown,*,*,[10]
37,149.171.126.2,*,*,35002,unknown,*,*,[10]
38,149.171.126.2,*,*,35211,unknown,*,*,[10]
39,149.171.126.2,*,*,35880,unknown,*,*,[10]
40,149.171.126.2,*,*,36786,unknown,*,*,[10]
