cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,unknown,arp,*,[3.477838527698241]
1,10.40.182.1,*,*,0,unknown,arp,*,[2.292651303622075]
2,10.40.182.1,*,*,0,unknown,ospf,*,[3.4763439588541063]
3,10.40.182.3,*,*,0,unknown,arp,*,[3.5095970693922776]
4,10.40.85.1,*,*,0,unknown,arp,*,[2.7937414508601557]
5,10.40.85.1,*,*,0,unknown,icmp,*,[10]
6,10.40.85.1,*,*,0,unknown,ospf,*,[3.4763439588541063]
7,10.40.85.30,*,*,0,unknown,arp,*,[2.901256033955994]
8,149.171.126.0,*,*,35783,unknown,tcp,*,[10]
9,149.171.126.0,*,*,36410,unknown,tcp,*,[10]
10,149.171.126.0,*,*,44192,unknown,tcp,*,[10]
11,149.171.126.0,*,*,51720,unknown,tcp,*,[10]
12,149.171.126.1,*,*,10547,unknown,udp,*,[10]
13,149.171.126.1,*,*,12809,unknown,tcp,*,[10]
14,149.171.126.1,*,*,15271,unknown,tcp,*,[10]
15,149.171.126.1,*,*,30229,unknown,tcp,*,[10]
16,149.171.126.1,*,*,36725,unknown,tcp,*,[10]
17,149.171.126.1,*,*,40110,unknown,tcp,*,[10]
18,149.171.126.1,*,*,47920,unknown,tcp,*,[10]
19,149.171.126.1,*,*,56708,unknown,tcp,*,[10]
20,149.171.126.1,*,*,59938,unknown,tcp,*,[10]
21,149.171.126.1,*,*,9263,unknown,tcp,*,[10]
22,149.171.126.11,*,*,60986,unknown,udp,*,[10]
23,149.171.126.12,*,*,65488,unknown,udp,*,[10]
24,149.171.126.15,*,*,13067,unknown,tcp,*,[10]
25,149.171.126.15,*,*,31459,unknown,tcp,*,[10]
26,149.171.126.15,*,*,5060,unknown,udp,*,[10]
27,149.171.126.15,*,*,58602,unknown,tcp,*,[10]
28,149.171.126.18,*,*,4569,unknown,udp,*,[10]
29,149.171.126.18,*,*,53,dns,udp,*,[10]
30,149.171.126.19,*,*,48879,unknown,icmp,*,[10]
31,149.171.126.2,*,*,1047,unknown,tcp,*,[10]
32,149.171.126.2,*,*,13824,unknown,udp,*,[10]
33,149.171.126.2,*,*,14417,unknown,tcp,*,[10]
34,149.171.126.2,*,*,20203,unknown,tcp,*,[10]
35,149.171.126.2,*,*,20873,unknown,tcp,*,[10]
36,149.171.126.2,*,*,22196,unknown,tcp,*,[10]
37,149.171.126.2,*,*,29421,unknown,tcp,*,[10]
38,149.171.126.2,*,*,29810,unknown,tcp,*,[10]
39,149.171.126.2,*,*,33260,unknown,tcp,*,[10]
40,149.171.126.2,*,*,35002,unknown,tcp,*,[10]
41,149.171.126.2,*,*,35211,unknown,tcp,*,[10]
42,149.171.126.2,*,*,35880,unknown,tcp,*,[10]
43,149.171.126.2,*,*,36786,unknown,tcp,*,[10]
44,149.171.126.2,*,*,38017,unknown,tcp,*,[10]
45,149.171.126.2,*,*,40104,unknown,udp,*,[10]
46,149.171.126.2,*,*,41515,unknown,tcp,*,[10]
47,149.171.126.2,*,*,43903,unknown,tcp,*,[10]
48,149.171.126.2,*,*,51510,unknown,tcp,*,[10]
49,149.171.126.2,*,*,57426,unknown,tcp,*,[10]
50,149.171.126.2,*,*,57613,unknown,tcp,*,[10]
51,149.171.126.2,*,*,58324,unknown,tcp,*,[10]
52,149.171.126.2,*,*,65313,unknown,tcp,*,[10]
53,149.171.126.2,*,*,8819,unknown,tcp,*,[10]
54,149.171.126.3,*,*,1547,unknown,tcp,*,[10]
55,149.171.126.3,*,*,29658,unknown,tcp,*,[10]
56,149.171.126.3,*,*,31444,unknown,tcp,*,[10]
57,149.171.126.3,*,*,36169,unknown,tcp,*,[10]
58,149.171.126.3,*,*,37057,unknown,tcp,*,[10]
59,149.171.126.3,*,*,40291,unknown,tcp,*,[10]
60,149.171.126.3,*,*,40396,unknown,udp,*,[10]
61,149.171.126.3,*,*,45545,unknown,tcp,*,[10]
62,149.171.126.3,*,*,56796,unknown,tcp,*,[10]
63,149.171.126.3,*,*,62463,unknown,tcp,*,[10]
64,149.171.126.3,*,*,7378,unknown,tcp,*,[10]
65,149.171.126.4,*,*,13224,unknown,tcp,*,[10]
66,149.171.126.4,*,*,13338,unknown,tcp,*,[10]
67,149.171.126.4,*,*,16892,unknown,tcp,*,[10]
68,149.171.126.4,*,*,18066,unknown,tcp,*,[10]
69,149.171.126.4,*,*,26067,unknown,tcp,*,[10]
70,149.171.126.4,*,*,29886,unknown,tcp,*,[10]
71,149.171.126.4,*,*,38595,unknown,udp,*,[10]
72,149.171.126.4,*,*,42613,unknown,tcp,*,[10]
73,149.171.126.4,*,*,51310,unknown,tcp,*,[10]
74,149.171.126.4,*,*,57155,unknown,tcp,*,[10]
75,149.171.126.5,*,*,10551,unknown,tcp,*,[10]
76,149.171.126.5,*,*,11500,unknown,tcp,*,[10]
77,149.171.126.5,*,*,15573,unknown,tcp,*,[10]
78,149.171.126.5,*,*,37496,unknown,tcp,*,[10]
79,149.171.126.5,*,*,40028,unknown,udp,*,[10]
80,149.171.126.5,*,*,40364,unknown,tcp,*,[10]
81,149.171.126.5,*,*,49383,unknown,tcp,*,[10]
82,149.171.126.5,*,*,5655,unknown,udp,*,[10]
83,149.171.126.6,*,*,10927,unknown,tcp,*,[10]
84,149.171.126.6,*,*,12620,unknown,tcp,*,[10]
85,149.171.126.6,*,*,15156,unknown,tcp,*,[10]
86,149.171.126.6,*,*,16184,unknown,tcp,*,[10]
87,149.171.126.6,*,*,31588,unknown,tcp,*,[10]
88,149.171.126.6,*,*,40087,unknown,tcp,*,[10]
