cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,10.40.170.2,*,*,*,INT,[3.477838527698241]
1,10.40.182.1,*,10.40.182.3,*,*,*,CON,[2.292651303622075]
2,10.40.182.1,*,224.0.0.5,*,*,*,INT,[3.4641016151377544]
3,10.40.182.1,*,224.0.0.5,*,*,*,REQ,[3.203121287835202]
4,10.40.182.3,*,10.40.182.3,*,*,*,INT,[3.477838527698241]
5,10.40.85.1,*,10.40.85.30,*,*,*,CON,[2.7937414508601557]
6,10.40.85.1,*,175.45.176.2,*,*,*,PAR,[10]
7,10.40.85.1,*,224.0.0.5,*,*,*,INT,[3.4641016151377544]
8,10.40.85.1,*,224.0.0.5,*,*,*,REQ,[3.203121287835202]
9,10.40.85.30,*,10.40.85.1,*,*,*,CON,[2.901256033955994]
10,149.171.126.0,*,59.166.0.1,*,*,*,FIN,[10]
11,149.171.126.0,*,59.166.0.3,*,*,*,CON,[10]
12,149.171.126.0,*,59.166.0.6,*,*,*,FIN,[10]
13,149.171.126.0,*,59.166.0.8,*,*,*,FIN,[10]
14,149.171.126.1,*,59.166.0.0,*,*,*,CON,[10]
15,149.171.126.1,*,59.166.0.1,*,*,*,FIN,[10]
16,149.171.126.1,*,59.166.0.2,*,*,*,CON,[10]
17,149.171.126.1,*,59.166.0.2,*,*,*,FIN,[10]
18,149.171.126.1,*,59.166.0.3,*,*,*,FIN,[10]
19,149.171.126.1,*,59.166.0.4,*,*,*,FIN,[10]
20,149.171.126.1,*,59.166.0.5,*,*,*,CON,[10]
21,149.171.126.1,*,59.166.0.5,*,*,*,FIN,[10]
22,149.171.126.1,*,59.166.0.9,*,*,*,INT,[10]
23,149.171.126.11,*,175.45.176.1,*,*,*,INT,[10]
24,149.171.126.12,*,175.45.176.1,*,*,*,INT,[10]
25,149.171.126.15,*,175.45.176.0,*,*,*,CON,[10]
26,149.171.126.15,*,175.45.176.3,*,*,*,FIN,[10]
27,149.171.126.18,*,175.45.176.0,*,*,*,REQ,[10]
