cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,10.40.170.2,*,*,*,*,[3.477838527698241]
1,10.40.182.1,*,10.40.182.3,*,*,*,*,[2.292651303622075]
2,10.40.182.1,*,224.0.0.5,*,*,*,*,[3.4763439588541063]
3,10.40.182.3,*,10.40.182.3,*,*,*,*,[3.477838527698241]
4,10.40.85.1,*,10.40.85.30,*,*,*,*,[2.7937414508601557]
5,10.40.85.1,*,175.45.176.2,*,*,*,*,[10]
6,10.40.85.1,*,224.0.0.5,*,*,*,*,[3.4763439588541063]
7,10.40.85.30,*,10.40.85.1,*,*,*,*,[2.901256033955994]
8,149.171.126.0,*,59.166.0.1,*,*,*,*,[10]
9,149.171.126.0,*,59.166.0.3,*,*,*,*,[10]
10,149.171.126.0,*,59.166.0.6,*,*,*,*,[10]
11,149.171.126.0,*,59.166.0.8,*,*,*,*,[10]
12,149.171.126.1,*,59.166.0.0,*,*,*,*,[10]
13,149.171.126.1,*,59.166.0.1,*,*,*,*,[10]
14,149.171.126.1,*,59.166.0.2,*,*,*,*,[10]
15,149.171.126.1,*,59.166.0.3,*,*,*,*,[10]
16,149.171.126.1,*,59.166.0.4,*,*,*,*,[10]
17,149.171.126.1,*,59.166.0.5,*,*,*,*,[10]
18,149.171.126.1,*,59.166.0.9,*,*,*,*,[10]
19,149.171.126.11,*,175.45.176.1,*,*,*,*,[10]
20,149.171.126.12,*,175.45.176.1,*,*,*,*,[1.5877132402714706]
21,149.171.126.15,*,175.45.176.0,*,*,*,*,[10]
22,149.171.126.15,*,175.45.176.3,*,*,*,*,[0.4251546540687995]
23,149.171.126.18,*,175.45.176.0,*,*,*,*,[10]
24,149.171.126.18,*,175.45.176.1,*,*,*,*,[10]
25,149.171.126.19,*,175.45.176.1,*,*,*,*,[10]
26,149.171.126.2,*,59.166.0.0,*,*,*,*,[10]
27,149.171.126.2,*,59.166.0.1,*,*,*,*,[10]
28,149.171.126.2,*,59.166.0.2,*,*,*,*,[10]
29,149.171.126.2,*,59.166.0.3,*,*,*,*,[10]
30,149.171.126.2,*,59.166.0.4,*,*,*,*,[10]
31,149.171.126.2,*,59.166.0.5,*,*,*,*,[10]
32,149.171.126.2,*,59.166.0.6,*,*,*,*,[10]
33,149.171.126.2,*,59.166.0.7,*,*,*,*,[10]
34,149.171.126.2,*,59.166.0.8,*,*,*,*,[10]
35,149.171.126.2,*,59.166.0.9,*,*,*,*,[10]
36,149.171.126.3,*,59.166.0.1,*,*,*,*,[10]
37,149.171.126.3,*,59.166.0.2,*,*,*,*,[10]
38,149.171.126.3,*,59.166.0.3,*,*,*,*,[10]
39,149.171.126.3,*,59.166.0.4,*,*,*,*,[10]
40,149.171.126.4,*,59.166.0.0,*,*,*,*,[10]
41,149.171.126.4,*,59.166.0.4,*,*,*,*,[10]
