cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,10.40.170.2,*,unknown,*,INT,[3.477838527698241]
1,10.40.182.1,*,10.40.182.3,*,unknown,*,CON,[2.292651303622075]
2,10.40.182.1,*,224.0.0.5,*,unknown,*,INT,[3.4641016151377544]
3,10.40.182.1,*,224.0.0.5,*,unknown,*,REQ,[3.203121287835202]
4,10.40.182.3,*,10.40.182.3,*,unknown,*,INT,[3.477838527698241]
5,10.40.85.1,*,10.40.85.30,*,unknown,*,CON,[2.7937414508601557]
6,10.40.85.1,*,175.45.176.2,*,unknown,*,PAR,[10]
7,10.40.85.1,*,224.0.0.5,*,unknown,*,INT,[3.4641016151377544]
8,10.40.85.1,*,224.0.0.5,*,unknown,*,REQ,[3.203121287835202]
9,10.40.85.30,*,10.40.85.1,*,unknown,*,CON,[2.901256033955994]
10,149.171.126.0,*,59.166.0.1,*,unknown,*,FIN,[10]
11,149.171.126.0,*,59.166.0.3,*,unknown,*,CON,[10]
12,149.171.126.0,*,59.166.0.6,*,unknown,*,FIN,[10]
13,149.171.126.0,*,59.166.0.8,*,unknown,*,FIN,[10]
14,149.171.126.1,*,59.166.0.0,*,unknown,*,CON,[10]
15,149.171.126.1,*,59.166.0.1,*,unknown,*,FIN,[10]
16,149.171.126.1,*,59.166.0.2,*,unknown,*,CON,[10]
17,149.171.126.1,*,59.166.0.2,*,unknown,*,FIN,[10]
18,149.171.126.1,*,59.166.0.3,*,unknown,*,FIN,[10]
19,149.171.126.1,*,59.166.0.4,*,unknown,*,FIN,[10]
20,149.171.126.1,*,59.166.0.5,*,unknown,*,CON,[10]
21,149.171.126.1,*,59.166.0.5,*,unknown,*,FIN,[10]
22,149.171.126.1,*,59.166.0.9,*,unknown,*,INT,[10]
23,149.171.126.11,*,175.45.176.1,*,unknown,*,INT,[10]
24,149.171.126.12,*,175.45.176.1,*,unknown,*,INT,[10]
25,149.171.126.15,*,175.45.176.0,*,unknown,*,CON,[10]
26,149.171.126.15,*,175.45.176.3,*,unknown,*,FIN,[10]
27,149.171.126.18,*,175.45.176.0,*,unknown,*,REQ,[10]
28,149.171.126.18,*,175.45.176.1,*,dns,*,INT,[10]
29,149.171.126.19,*,175.45.176.1,*,unknown,*,ECR,[10]
30,149.171.126.2,*,59.166.0.0,*,unknown,*,CON,[10]
31,149.171.126.2,*,59.166.0.0,*,unknown,*,FIN,[10]
32,149.171.126.2,*,59.166.0.1,*,unknown,*,FIN,[10]
33,149.171.126.2,*,59.166.0.2,*,unknown,*,FIN,[10]
34,149.171.126.2,*,59.166.0.3,*,unknown,*,CON,[10]
35,149.171.126.2,*,59.166.0.3,*,unknown,*,FIN,[10]
36,149.171.126.2,*,59.166.0.4,*,unknown,*,FIN,[10]
37,149.171.126.2,*,59.166.0.5,*,unknown,*,CON,[10]
38,149.171.126.2,*,59.166.0.5,*,unknown,*,FIN,[10]
39,149.171.126.2,*,59.166.0.6,*,unknown,*,FIN,[10]
40,149.171.126.2,*,59.166.0.7,*,unknown,*,CON,[10]
41,149.171.126.2,*,59.166.0.7,*,unknown,*,FIN,[10]
42,149.171.126.2,*,59.166.0.7,*,unknown,*,INT,[10]
43,149.171.126.2,*,59.166.0.8,*,unknown,*,CON,[10]
44,149.171.126.2,*,59.166.0.9,*,unknown,*,CON,[10]
45,149.171.126.2,*,59.166.0.9,*,unknown,*,FIN,[10]
46,149.171.126.3,*,59.166.0.1,*,unknown,*,CON,[10]
47,149.171.126.3,*,59.166.0.1,*,unknown,*,FIN,[10]
48,149.171.126.3,*,59.166.0.1,*,unknown,*,INT,[10]
49,149.171.126.3,*,59.166.0.2,*,unknown,*,FIN,[10]
50,149.171.126.3,*,59.166.0.3,*,unknown,*,CON,[10]
51,149.171.126.3,*,59.166.0.3,*,unknown,*,FIN,[10]
52,149.171.126.3,*,59.166.0.4,*,unknown,*,FIN,[10]
53,149.171.126.4,*,59.166.0.0,*,unknown,*,FIN,[10]
54,149.171.126.4,*,59.166.0.4,*,unknown,*,FIN,[10]
55,149.171.126.4,*,59.166.0.5,*,unknown,*,FIN,[10]
56,149.171.126.4,*,59.166.0.6,*,unknown,*,FIN,[10]
57,149.171.126.4,*,59.166.0.6,*,unknown,*,INT,[10]
58,149.171.126.4,*,59.166.0.7,*,unknown,*,FIN,[10]
59,149.171.126.4,*,59.166.0.8,*,unknown,*,FIN,[10]
60,149.171.126.5,*,59.166.0.0,*,unknown,*,FIN,[10]
61,149.171.126.5,*,59.166.0.1,*,unknown,*,INT,[10]
62,149.171.126.5,*,59.166.0.2,*,unknown,*,CON,[10]
63,149.171.126.5,*,59.166.0.4,*,unknown,*,FIN,[10]
64,149.171.126.5,*,59.166.0.5,*,unknown,*,FIN,[10]
65,149.171.126.5,*,59.166.0.5,*,unknown,*,INT,[10]
66,149.171.126.6,*,59.166.0.0,*,unknown,*,CON,[10]
67,149.171.126.6,*,59.166.0.1,*,unknown,*,FIN,[10]
68,149.171.126.6,*,59.166.0.2,*,unknown,*,FIN,[10]
69,149.171.126.6,*,59.166.0.4,*,unknown,*,INT,[10]
70,149.171.126.6,*,59.166.0.5,*,unknown,*,CON,[10]
71,149.171.126.6,*,59.166.0.6,*,unknown,*,CON,[10]
72,149.171.126.6,*,59.166.0.7,*,unknown,*,CON,[10]
73,149.171.126.6,*,59.166.0.8,*,unknown,*,INT,[10]
74,149.171.126.6,*,59.166.0.9,*,unknown,*,CON,[10]
75,149.171.126.6,*,59.166.0.9,*,unknown,*,FIN,[10]
76,149.171.126.7,*,59.166.0.1,*,unknown,*,CON,[10]
77,149.171.126.7,*,59.166.0.2,*,unknown,*,FIN,[10]
78,149.171.126.7,*,59.166.0.4,*,unknown,*,CON,[10]
79,149.171.126.7,*,59.166.0.4,*,unknown,*,FIN,[10]
80,149.171.126.7,*,59.166.0.5,*,unknown,*,CON,[10]
81,149.171.126.7,*,59.166.0.5,*,unknown,*,FIN,[10]
82,149.171.126.7,*,59.166.0.6,*,unknown,*,CON,[10]
83,149.171.126.7,*,59.166.0.6,*,unknown,*,FIN,[10]
84,149.171.126.7,*,59.166.0.7,*,unknown,*,CON,[10]
85,149.171.126.7,*,59.166.0.7,*,unknown,*,FIN,[10]
86,149.171.126.7,*,59.166.0.8,*,unknown,*,FIN,[10]
87,149.171.126.7,*,59.166.0.9,*,unknown,*,CON,[10]
88,149.171.126.7,*,59.166.0.9,*,unknown,*,FIN,[10]
89,149.171.126.8,*,59.166.0.1,*,unknown,*,CON,[10]
90,149.171.126.8,*,59.166.0.3,*,unknown,*,INT,[10]
91,149.171.126.8,*,59.166.0.4,*,unknown,*,FIN,[10]
92,149.171.126.8,*,59.166.0.4,*,unknown,*,INT,[10]
93,149.171.126.8,*,59.166.0.6,*,unknown,*,FIN,[10]
94,149.171.126.8,*,59.166.0.8,*,unknown,*,CON,[10]
95,149.171.126.8,*,59.166.0.9,*,unknown,*,FIN,[10]
96,149.171.126.9,*,59.166.0.0,*,unknown,*,FIN,[10]
97,149.171.126.9,*,59.166.0.1,*,unknown,*,CON,[10]
98,149.171.126.9,*,59.166.0.2,*,unknown,*,FIN,[10]
99,149.171.126.9,*,59.166.0.3,*,unknown,*,INT,[10]
100,149.171.126.9,*,59.166.0.4,*,unknown,*,CON,[10]
101,149.171.126.9,*,59.166.0.4,*,unknown,*,FIN,[10]
102,149.171.126.9,*,59.166.0.5,*,unknown,*,CON,[10]
103,149.171.126.9,*,59.166.0.6,*,unknown,*,FIN,[10]
104,149.171.126.9,*,59.166.0.7,*,unknown,*,INT,[10]
105,149.171.126.9,*,59.166.0.8,*,unknown,*,FIN,[10]
106,175.45.176.0,*,149.171.126.10,*,http,*,FIN,[1.7582940016229511]
107,175.45.176.0,*,149.171.126.10,*,smtp,*,FIN,[10]
108,175.45.176.0,*,149.171.126.10,*,unknown,*,CON,[10]
109,175.45.176.0,*,149.171.126.10,*,unknown,*,FIN,[10]
110,175.45.176.0,*,149.171.126.10,*,unknown,*,INT,[0.2838968671364968]
111,175.45.176.0,*,149.171.126.11,*,ftp,*,FIN,[10]
112,175.45.176.0,*,149.171.126.11,*,http,*,CON,[10]
113,175.45.176.0,*,149.171.126.11,*,http,*,FIN,[10]
114,175.45.176.0,*,149.171.126.11,*,unknown,*,ECO,[10]
115,175.45.176.0,*,149.171.126.11,*,unknown,*,FIN,[1.323501276591403]
116,175.45.176.0,*,149.171.126.11,*,unknown,*,INT,[5.072434507880284]
117,175.45.176.0,*,149.171.126.12,*,http,*,FIN,[10]
118,175.45.176.0,*,149.171.126.12,*,smtp,*,FIN,[10]
119,175.45.176.0,*,149.171.126.12,*,unknown,*,FIN,[0.5850438008476256]
120,175.45.176.0,*,149.171.126.12,*,unknown,*,INT,[0.2074462006179175]
121,175.45.176.0,*,149.171.126.13,*,ftp,*,FIN,[10]
122,175.45.176.0,*,149.171.126.13,*,http,*,FIN,[4.0002125793852645]
123,175.45.176.0,*,149.171.126.13,*,ssh,*,FIN,[10]
124,175.45.176.0,*,149.171.126.13,*,unknown,*,CON,[10]
125,175.45.176.0,*,149.171.126.13,*,unknown,*,FIN,[0.8763696547394779]
126,175.45.176.0,*,149.171.126.13,*,unknown,*,INT,[0.24338801231042878]
127,175.45.176.0,*,149.171.126.14,*,http,*,FIN,[10]
128,175.45.176.0,*,149.171.126.14,*,smtp,*,FIN,[10]
129,175.45.176.0,*,149.171.126.14,*,unknown,*,CON,[10]
130,175.45.176.0,*,149.171.126.14,*,unknown,*,FIN,[0.3615684856733449]
131,175.45.176.0,*,149.171.126.14,*,unknown,*,INT,[2.213176031893565]
132,175.45.176.0,*,149.171.126.15,*,ftp,*,FIN,[10]
133,175.45.176.0,*,149.171.126.15,*,http,*,FIN,[10]
134,175.45.176.0,*,149.171.126.15,*,unknown,*,CON,[10]
135,175.45.176.0,*,149.171.126.15,*,unknown,*,FIN,[1.6620418650208952]
136,175.45.176.0,*,149.171.126.15,*,unknown,*,INT,[0.0631476856926153]
137,175.45.176.0,*,149.171.126.16,*,http,*,FIN,[10]
138,175.45.176.0,*,149.171.126.16,*,smtp,*,FIN,[10]
139,175.45.176.0,*,149.171.126.16,*,unknown,*,CON,[10]
140,175.45.176.0,*,149.171.126.16,*,unknown,*,FIN,[7.67453406605722]
141,175.45.176.0,*,149.171.126.16,*,unknown,*,INT,[0.5869727736761197]
142,175.45.176.0,*,149.171.126.17,*,ftp,*,FIN,[10]
143,175.45.176.0,*,149.171.126.17,*,http,*,FIN,[10]
144,175.45.176.0,*,149.171.126.17,*,smtp,*,FIN,[10]
145,175.45.176.0,*,149.171.126.17,*,unknown,*,FIN,[0.5825051823073905]
146,175.45.176.0,*,149.171.126.17,*,unknown,*,INT,[0.7537628514420113]
147,175.45.176.0,*,149.171.126.18,*,http,*,FIN,[10]
148,175.45.176.0,*,149.171.126.18,*,pop3,*,FIN,[10]
149,175.45.176.0,*,149.171.126.18,*,unknown,*,CON,[0.24832269642564553]
150,175.45.176.0,*,149.171.126.18,*,unknown,*,FIN,[0.5758579004192955]
151,175.45.176.0,*,149.171.126.18,*,unknown,*,INT,[10]
152,175.45.176.0,*,149.171.126.19,*,http,*,FIN,[0.606976978666884]
153,175.45.176.0,*,149.171.126.19,*,unknown,*,FIN,[0.3500512896401991]
154,175.45.176.0,*,149.171.126.19,*,unknown,*,INT,[10]
155,175.45.176.1,*,149.171.126.10,*,dns,*,CON,[10]
156,175.45.176.1,*,149.171.126.10,*,http,*,FIN,[10]
157,175.45.176.1,*,149.171.126.10,*,pop3,*,FIN,[10]
158,175.45.176.1,*,149.171.126.10,*,smtp,*,FIN,[10]
159,175.45.176.1,*,149.171.126.10,*,unknown,*,FIN,[0.5277378528390223]
160,175.45.176.1,*,149.171.126.10,*,unknown,*,INT,[0.3066311696039934]
161,175.45.176.1,*,149.171.126.10,*,unknown,*,TST,[10]
162,175.45.176.1,*,149.171.126.11,*,dns,*,CON,[10]
163,175.45.176.1,*,149.171.126.11,*,dns,*,INT,[10]
164,175.45.176.1,*,149.171.126.11,*,http,*,FIN,[10]
165,175.45.176.1,*,149.171.126.11,*,smtp,*,FIN,[10]
166,175.45.176.1,*,149.171.126.11,*,snmp,*,INT,[10]
167,175.45.176.1,*,149.171.126.11,*,unknown,*,FIN,[10]
168,175.45.176.1,*,149.171.126.11,*,unknown,*,INT,[0.2623349282678662]
169,175.45.176.1,*,149.171.126.12,*,http,*,FIN,[4.536323543632775]
170,175.45.176.1,*,149.171.126.12,*,pop3,*,FIN,[10]
171,175.45.176.1,*,149.171.126.12,*,unknown,*,FIN,[0.2364821979126308]
172,175.45.176.1,*,149.171.126.12,*,unknown,*,INT,[10]
173,175.45.176.1,*,149.171.126.13,*,http,*,FIN,[10]
174,175.45.176.1,*,149.171.126.13,*,pop3,*,FIN,[10]
175,175.45.176.1,*,149.171.126.13,*,smtp,*,FIN,[10]
176,175.45.176.1,*,149.171.126.13,*,unknown,*,FIN,[10]
177,175.45.176.1,*,149.171.126.13,*,unknown,*,INT,[0.12830005981991682]
