cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,10.40.170.2,*,unknown,arp,*,[3.477838527698241]
1,10.40.182.1,*,10.40.182.3,*,unknown,arp,*,[2.292651303622075]
2,10.40.182.1,*,224.0.0.5,*,unknown,ospf,*,[3.4763439588541063]
3,10.40.182.3,*,10.40.182.3,*,unknown,arp,*,[3.477838527698241]
4,10.40.85.1,*,10.40.85.30,*,unknown,arp,*,[2.7937414508601557]
5,10.40.85.1,*,175.45.176.2,*,unknown,icmp,*,[10]
6,10.40.85.1,*,224.0.0.5,*,unknown,ospf,*,[3.4763439588541063]
7,10.40.85.30,*,10.40.85.1,*,unknown,arp,*,[2.901256033955994]
8,149.171.126.0,*,59.166.0.1,*,unknown,tcp,*,[10]
9,149.171.126.0,*,59.166.0.3,*,unknown,tcp,*,[10]
10,149.171.126.0,*,59.166.0.6,*,unknown,tcp,*,[10]
11,149.171.126.0,*,59.166.0.8,*,unknown,tcp,*,[10]
12,149.171.126.1,*,59.166.0.0,*,unknown,tcp,*,[10]
13,149.171.126.1,*,59.166.0.1,*,unknown,tcp,*,[10]
14,149.171.126.1,*,59.166.0.2,*,unknown,tcp,*,[10]
15,149.171.126.1,*,59.166.0.3,*,unknown,tcp,*,[10]
16,149.171.126.1,*,59.166.0.4,*,unknown,tcp,*,[10]
17,149.171.126.1,*,59.166.0.5,*,unknown,tcp,*,[10]
18,149.171.126.1,*,59.166.0.9,*,unknown,udp,*,[10]
19,149.171.126.11,*,175.45.176.1,*,unknown,udp,*,[10]
20,149.171.126.12,*,175.45.176.1,*,unknown,udp,*,[10]
21,149.171.126.15,*,175.45.176.0,*,unknown,udp,*,[10]
22,149.171.126.15,*,175.45.176.3,*,unknown,tcp,*,[10]
23,149.171.126.18,*,175.45.176.0,*,unknown,udp,*,[10]
24,149.171.126.18,*,175.45.176.1,*,dns,udp,*,[10]
25,149.171.126.19,*,175.45.176.1,*,unknown,icmp,*,[10]
26,149.171.126.2,*,59.166.0.0,*,unknown,tcp,*,[10]
27,149.171.126.2,*,59.166.0.1,*,unknown,tcp,*,[10]
28,149.171.126.2,*,59.166.0.2,*,unknown,tcp,*,[10]
29,149.171.126.2,*,59.166.0.3,*,unknown,tcp,*,[10]
30,149.171.126.2,*,59.166.0.4,*,unknown,tcp,*,[10]
31,149.171.126.2,*,59.166.0.5,*,unknown,tcp,*,[10]
32,149.171.126.2,*,59.166.0.6,*,unknown,tcp,*,[10]
33,149.171.126.2,*,59.166.0.7,*,unknown,tcp,*,[10]
34,149.171.126.2,*,59.166.0.7,*,unknown,udp,*,[10]
35,149.171.126.2,*,59.166.0.8,*,unknown,tcp,*,[10]
36,149.171.126.2,*,59.166.0.9,*,unknown,tcp,*,[10]
37,149.171.126.3,*,59.166.0.1,*,unknown,tcp,*,[10]
38,149.171.126.3,*,59.166.0.1,*,unknown,udp,*,[10]
39,149.171.126.3,*,59.166.0.2,*,unknown,tcp,*,[10]
40,149.171.126.3,*,59.166.0.3,*,unknown,tcp,*,[10]
41,149.171.126.3,*,59.166.0.4,*,unknown,tcp,*,[10]
42,149.171.126.4,*,59.166.0.0,*,unknown,tcp,*,[10]
43,149.171.126.4,*,59.166.0.4,*,unknown,tcp,*,[10]
44,149.171.126.4,*,59.166.0.5,*,unknown,tcp,*,[10]
45,149.171.126.4,*,59.166.0.6,*,unknown,tcp,*,[10]
46,149.171.126.4,*,59.166.0.6,*,unknown,udp,*,[10]
47,149.171.126.4,*,59.166.0.7,*,unknown,tcp,*,[10]
48,149.171.126.4,*,59.166.0.8,*,unknown,tcp,*,[10]
49,149.171.126.5,*,59.166.0.0,*,unknown,tcp,*,[10]
50,149.171.126.5,*,59.166.0.1,*,unknown,udp,*,[10]
51,149.171.126.5,*,59.166.0.2,*,unknown,tcp,*,[10]
52,149.171.126.5,*,59.166.0.4,*,unknown,tcp,*,[10]
